"price","volume","type"
"0.0609","1549.7","ask"
"0.061","3218.35","ask"
"0.0611","4100.7","ask"
"0.0612","1695.2","ask"
"0.0613","3831.02","ask"
"0.0614","78293.15","ask"
"0.0615","49763.06","ask"
"0.0616","60","ask"
"0.0617","1396.24","ask"
"0.0618","28924.57","ask"
"0.0619","77272.27","ask"
"0.062","81814.89","ask"
"0.0621","99556","ask"
"0.0622","9085.2","ask"
"0.0623","60","ask"
"0.0624","56319.63","ask"
"0.0625","647.25","ask"
"0.0626","1388.08","ask"
"0.0627","1383.27","ask"
"0.0628","6470.37","ask"
"0.0629","9532.82","ask"
"0.063","60","ask"
"0.0631","1381","ask"
"0.0632","503.48","ask"
"0.0633","1719.34","ask"
"0.0634","7954.22","ask"
"0.0635","1248.51","ask"
"0.0636","60","ask"
"0.0637","2316.78","ask"
"0.0638","4180.06","ask"
"0.0639","60","ask"
"0.064","17233.84","ask"
"0.0641","682.04","ask"
"0.0642","2283.28","ask"
"0.0643","1099.55","ask"
"0.0644","1131.07","ask"
"0.0645","11641.86","ask"
"0.0646","951.5","ask"
"0.0647","492.87","ask"
"0.0648","94.05","ask"
"0.0649","60","ask"
"0.065","4646.92","ask"
"0.0651","60","ask"
"0.0652","102.59","ask"
"0.0653","60","ask"
"0.0654","635.21","ask"
"0.0655","15306.12","ask"
"0.0656","60","ask"
"0.0657","38140.25","ask"
"0.0658","665.18","ask"
"0.0659","60","ask"
"0.066","60","ask"
"0.0661","60","ask"
"0.0662","95","ask"
"0.0663","65.25","ask"
"0.0664","4409.69","ask"
"0.0665","15415.34","ask"
"0.0666","60","ask"
"0.0667","60","ask"
"0.0668","60.2","ask"
"0.0669","4678.64","ask"
"0.067","6719.78","ask"
"0.0671","60","ask"
"0.0672","60","ask"
"0.0673","60","ask"
"0.0674","37662.07","ask"
"0.0675","617.07","ask"
"0.0676","60","ask"
"0.0677","3865.68","ask"
"0.0678","543.09","ask"
"0.0679","60","ask"
"0.068","1150","ask"
"0.0681","7099.14","ask"
"0.0682","60","ask"
"0.0683","60","ask"
"0.0684","1094.67","ask"
"0.0685","14695.03","ask"
"0.0686","60","ask"
"0.0687","1346.06","ask"
"0.0688","1353.19","ask"
"0.0689","4387.08","ask"
"0.069","60","ask"
"0.0691","565.83","ask"
"0.0692","8969.84","ask"
"0.0693","60","ask"
"0.0694","1850.6","ask"
"0.0695","531.13","ask"
"0.0696","2912.72","ask"
"0.0697","14443.07","ask"
"0.0698","930.58","ask"
"0.0699","15410.87","ask"
"0.07","642.96","ask"
"0.0701","59260.4","ask"
"0.0702","11371.8","ask"
"0.0703","2941.69","ask"
"0.0704","1200.91","ask"
"0.0705","60","ask"
"0.0706","2872.55","ask"
"0.0707","2868.92","ask"
"0.0708","591.53","ask"
"0.0709","1656.94","ask"
"0.071","484.86","ask"
"0.0711","1596.31","ask"
"0.0712","1980.62","ask"
"0.0713","7305.98","ask"
"0.0714","2173.1","ask"
"0.0715","2195.64","ask"
"0.0716","7594.71","ask"
"0.0717","1775","ask"
"0.0718","2351.25","ask"
"0.0719","1206.75","ask"
"0.072","1211.76","ask"
"0.0721","2817.7","ask"
"0.0722","971.76","ask"
"0.0723","2116.53","ask"
"0.0724","6673.92","ask"
"0.0725","4061.83","ask"
"0.0726","4074.81","ask"
"0.0727","3019.87","ask"
"0.0728","1408.59","ask"
"0.0729","1237.46","ask"
"0.073","60","ask"
"0.0731","508.3","ask"
"0.0732","6379.17","ask"
"0.0733","1036.31","ask"
"0.0734","2050.85","ask"
"0.0735","97999.01","ask"
"0.0736","4808.95","ask"
"0.0737","1081.71","ask"
"0.0738","503.99","ask"
"0.0739","181444.18","ask"
"0.074","60","ask"
"0.0741","567.53","ask"
"0.0742","3020.32","ask"
"0.0743","1653.23","ask"
"0.0744","2084.21","ask"
"0.0745","9344.19","ask"
"0.0746","3460.68","ask"
"0.0747","1847.81","ask"
"0.0748","89.49","ask"
"0.0749","69022.12","ask"
"0.075","60","ask"
"0.0751","565.57","ask"
"0.0752","17074.49","ask"
"0.0753","495.04","ask"
"0.0754","8915.26","ask"
"0.0755","1203.63","ask"
"0.0756","14301.18","ask"
"0.0757","13303.06","ask"
"0.0758","7008.67","ask"
"0.0759","2472.94","ask"
"0.076","520.64","ask"
"0.0761","2047.76","ask"
"0.0762","1121.63","ask"
"0.0764","4452.91","ask"
"0.0765","1034.65","ask"
"0.0766","1258.28","ask"
"0.0767","490.75","ask"
"0.0768","3958.35","ask"
"0.0769","12679.22","ask"
"0.077","190.29","ask"
"0.0771","3600.43","ask"
"0.0772","487.53","ask"
"0.0773","6691.33","ask"
"0.0775","52449.52","ask"
"0.0776","55636.42","ask"
"0.0777","1747.56","ask"
"0.0778","25157.87","ask"
"0.0779","12869.06","ask"
"0.078","90470.96","ask"
"0.0781","6930.09","ask"
"0.0782","1152.33","ask"
"0.0783","585.67","ask"
"0.0784","1506.71","ask"
"0.0785","500.17","ask"
"0.0786","15061.54","ask"
"0.0787","14300.72","ask"
"0.0788","2182.6","ask"
"0.0789","4300.98","ask"
"0.079","15372.96","ask"
"0.0791","354.32","ask"
"0.0792","19175.35","ask"
"0.0793","4792.49","ask"
"0.0794","5432","ask"
"0.0795","6855.14","ask"
"0.0796","50000","ask"
"0.0797","65167.96","ask"
"0.0798","6281.33","ask"
"0.0799","6706.04","ask"
"0.08","38436.99","ask"
"0.0801","411.01","ask"
"0.0803","876.6","ask"
"0.0804","5476.55","ask"
"0.0805","408.94","ask"
"0.0806","4294.89","ask"
"0.0807","10754.47","ask"
"0.0808","164668.51","ask"
"0.0809","406.89","ask"
"0.081","5923.53","ask"
