"time","low","high","open","close","volume"
"2023-08-01T00:00:00.000Z",0.301,0.321,0.314,0.321,365321.87
"2023-08-02T00:00:00.000Z",0.31,0.322,0.32,0.316,288484.24
"2023-08-03T00:00:00.000Z",0.308,0.32,0.314,0.311,328392.86
"2023-08-04T00:00:00.000Z",0.3,0.314,0.311,0.306,321241.17
"2023-08-05T00:00:00.000Z",0.301,0.306,0.304,0.305,268661.59
"2023-08-06T00:00:00.000Z",0.302,0.31,0.304,0.305,511743.53
"2023-08-07T00:00:00.000Z",0.294,0.309,0.306,0.305,448924.73
"2023-08-08T00:00:00.000Z",0.301,0.309,0.304,0.307,468699.68
"2023-08-09T00:00:00.000Z",0.302,0.309,0.307,0.306,148162.44
"2023-08-10T00:00:00.000Z",0.304,0.309,0.305,0.307,198243.74
"2023-08-11T00:00:00.000Z",0.305,0.311,0.308,0.308,124642.31
"2023-08-12T00:00:00.000Z",0.303,0.309,0.308,0.306,89063.63
"2023-08-13T00:00:00.000Z",0.304,0.312,0.306,0.308,149951.86
"2023-08-14T00:00:00.000Z",0.304,0.313,0.308,0.31,177013.61
"2023-08-15T00:00:00.000Z",0.265,0.311,0.31,0.286,429025.08
"2023-08-16T00:00:00.000Z",0.258,0.287,0.286,0.266,568625.88
"2023-08-17T00:00:00.000Z",0.202,0.27,0.265,0.234,1204129.7
"2023-08-18T00:00:00.000Z",0.232,0.244,0.236,0.242,531680.09
"2023-08-19T00:00:00.000Z",0.241,0.251,0.243,0.249,136399.29
"2023-08-20T00:00:00.000Z",0.245,0.252,0.248,0.25,136254.87
"2023-08-21T00:00:00.000Z",0.237,0.251,0.251,0.244,171243.71
"2023-08-22T00:00:00.000Z",0.235,0.247,0.244,0.246,282651
"2023-08-23T00:00:00.000Z",0.243,0.255,0.244,0.252,285700.27
"2023-08-24T00:00:00.000Z",0.247,0.254,0.253,0.252,111588.05
"2023-08-25T00:00:00.000Z",0.24,0.25,0.25,0.247,627976.09
"2023-08-26T00:00:00.000Z",0.241,0.25,0.247,0.242,122343.96
"2023-08-27T00:00:00.000Z",0.241,0.248,0.243,0.248,54559.18
"2023-08-28T00:00:00.000Z",0.239,0.254,0.248,0.248,430347.46
"2023-08-29T00:00:00.000Z",0.24,0.263,0.248,0.258,232157.91
"2023-08-30T00:00:00.000Z",0.253,0.259,0.259,0.256,249205.02
"2023-08-31T00:00:00.000Z",0.242,0.257,0.257,0.245,132092.48
"2023-09-01T00:00:00.000Z",0.233,0.246,0.245,0.235,138971.74
"2023-09-02T00:00:00.000Z",0.232,0.236,0.235,0.234,201144.45
"2023-09-03T00:00:00.000Z",0.231,0.237,0.234,0.235,91143.77
"2023-09-04T00:00:00.000Z",0.232,0.239,0.236,0.235,252134.52
"2023-09-05T00:00:00.000Z",0.235,0.245,0.235,0.244,391726.48
"2023-09-06T00:00:00.000Z",0.24,0.249,0.245,0.246,239755.6
