"time","low","high","open","close","volume"
"2023-07-31T00:00:00.000Z",63.96,72.28,70.73,65.39,82734.83
"2023-08-01T00:00:00.000Z",61.47,65.63,65.39,65.62,152184.866
"2023-08-02T00:00:00.000Z",62.44,67.24,65.63,64.42,83884.786
"2023-08-03T00:00:00.000Z",62.82,64.99,64.4,62.93,52925.737
"2023-08-04T00:00:00.000Z",62.7,67.15,62.91,64.14,39413.385
"2023-08-05T00:00:00.000Z",63.03,65.86,64.08,64.43,25519.381
"2023-08-06T00:00:00.000Z",64.09,66.07,64.41,65.82,17587.602
"2023-08-07T00:00:00.000Z",62.88,67.01,65.88,64.89,34943.667
"2023-08-08T00:00:00.000Z",64.51,67.04,64.86,66.26,28105.752
"2023-08-09T00:00:00.000Z",65.82,67.97,66.27,67.31,31511.247
"2023-08-10T00:00:00.000Z",66.73,69.49,67.32,67.02,29648.215
"2023-08-11T00:00:00.000Z",65.27,67.04,67.04,65.91,13269.864
"2023-08-12T00:00:00.000Z",65.73,66.59,65.92,66.15,5719.877
"2023-08-13T00:00:00.000Z",65.19,66.36,66.14,65.61,8753.8
"2023-08-14T00:00:00.000Z",65.2,66.54,65.56,65.49,18657.654
"2023-08-15T00:00:00.000Z",61.59,65.75,65.49,63.52,19059.017
"2023-08-16T00:00:00.000Z",58.64,63.98,63.41,60.33,21407.819
"2023-08-17T00:00:00.000Z",50,60.54,60.3,55.42,43328.561
"2023-08-18T00:00:00.000Z",54.74,56.77,55.42,55.82,23776.032
"2023-08-19T00:00:00.000Z",55.55,57.12,55.81,56.58,5049.018
"2023-08-20T00:00:00.000Z",56.25,57.44,56.59,57.1,5668.541
"2023-08-21T00:00:00.000Z",55.07,57.61,57.25,55.52,9159.202
"2023-08-22T00:00:00.000Z",52.66,55.64,55.56,54.92,18529.447
"2023-08-23T00:00:00.000Z",54.85,57.7,54.91,57.15,17690.479
"2023-08-24T00:00:00.000Z",56.23,58.96,57.17,57.45,22546.222
"2023-08-25T00:00:00.000Z",55.7,58.46,57.47,56.93,11683.39
"2023-08-26T00:00:00.000Z",56.27,57.33,56.93,56.67,3281.366
"2023-08-27T00:00:00.000Z",56.6,58.34,56.68,58.32,9132.082
"2023-08-28T00:00:00.000Z",56.1,58.44,58.24,58.21,18524.661
"2023-08-29T00:00:00.000Z",56.59,60.68,58.21,59.59,29289.676
"2023-08-30T00:00:00.000Z",57.37,59.64,59.55,57.75,9423.969
"2023-08-31T00:00:00.000Z",54.26,57.97,57.75,55.49,16014.555
"2023-09-01T00:00:00.000Z",53.56,55.86,55.53,54.52,9475.292
"2023-09-02T00:00:00.000Z",53.92,55.3,54.49,55.2,8567.462
"2023-09-03T00:00:00.000Z",54.1,55.19,55.19,54.79,7350.233
"2023-09-04T00:00:00.000Z",54.1,55.56,54.78,54.67,11840.725
"2023-09-05T00:00:00.000Z",54.15,55.79,54.66,55.48,10533.917
"2023-09-06T00:00:00.000Z",54.01,55.87,55.49,55.12,16084.224
"2023-09-07T00:00:00.000Z",54.81,56.45,55.11,56.29,15296.135
"2023-09-08T00:00:00.000Z",55.71,57.35,56.3,56.42,17776.247
"2023-09-09T00:00:00.000Z",55.93,56.6,56.46,56.2,8064.42
"2023-09-10T00:00:00.000Z",53.57,56.17,56.15,53.98,21280.279
"2023-09-11T00:00:00.000Z",51.36,54.18,53.98,52.13,21532.604
"2023-09-12T00:00:00.000Z",52.07,54.32,52.11,53.02,22457.596
"2023-09-13T00:00:00.000Z",52.84,54.6,53.01,53.6,27654.858
"2023-09-14T00:00:00.000Z",53.37,55.1,53.59,54.35,22934.825
"2023-09-15T00:00:00.000Z",53.93,56.11,54.38,55.85,22886.982
"2023-09-16T00:00:00.000Z",55.8,62.79,55.86,59.18,77999.525
"2023-09-17T00:00:00.000Z",57.69,61.63,59.17,59.36,53231.416
"2023-09-18T00:00:00.000Z",58.17,62.52,59.37,60.57,59285.059
"2023-09-19T00:00:00.000Z",60.55,64.48,60.55,61.87,71511.154
"2023-09-20T00:00:00.000Z",61.29,65.95,61.88,65.5,60803.866
"2023-09-21T00:00:00.000Z",62.1,66.12,65.54,62.54,47281.921
