"price","volume","timestamp","type"
"105.39","3.962","2024-05-25T21:05:02.974Z","ask"
"105.4","5.374","2024-05-25T21:05:02.974Z","ask"
"105.41","9.659","2024-05-25T21:05:02.974Z","ask"
"105.42","11.787","2024-05-25T21:05:02.974Z","ask"
"105.43","35.607","2024-05-25T21:05:02.974Z","ask"
"105.44","7.66","2024-05-25T21:05:02.974Z","ask"
"105.45","57.84","2024-05-25T21:05:02.974Z","ask"
"105.46","4.951","2024-05-25T21:05:02.974Z","ask"
"105.47","3.291","2024-05-25T21:05:02.974Z","ask"
"105.48","4.881","2024-05-25T21:05:02.974Z","ask"
"105.49","2.4","2024-05-25T21:05:02.974Z","ask"
"105.5","9.838","2024-05-25T21:05:02.974Z","ask"
"105.51","32.425","2024-05-25T21:05:02.974Z","ask"
"105.53","5.66","2024-05-25T21:05:02.974Z","ask"
"105.55","2.866","2024-05-25T21:05:02.974Z","ask"
"105.56","0.932","2024-05-25T21:05:02.974Z","ask"
"105.57","2.66","2024-05-25T21:05:02.974Z","ask"
"105.58","10.867","2024-05-25T21:05:02.974Z","ask"
"105.59","3.44","2024-05-25T21:05:02.974Z","ask"
"105.6","3.119","2024-05-25T21:05:02.974Z","ask"
"105.61","90.397","2024-05-25T21:05:02.974Z","ask"
"105.62","0.118","2024-05-25T21:05:02.974Z","ask"
"105.63","5.767","2024-05-25T21:05:02.974Z","ask"
"105.64","0.156","2024-05-25T21:05:02.974Z","ask"
"105.65","0.118","2024-05-25T21:05:02.974Z","ask"
"105.66","21.343","2024-05-25T21:05:02.974Z","ask"
"105.67","54.263","2024-05-25T21:05:02.974Z","ask"
"105.68","24.824","2024-05-25T21:05:02.974Z","ask"
"105.71","2.4","2024-05-25T21:05:02.974Z","ask"
"105.72","0.661","2024-05-25T21:05:02.974Z","ask"
"105.73","11.349","2024-05-25T21:05:02.974Z","ask"
"105.77","2.4","2024-05-25T21:05:02.974Z","ask"
"105.78","50.534","2024-05-25T21:05:02.974Z","ask"
"105.79","2.4","2024-05-25T21:05:02.974Z","ask"
"105.8","4.661","2024-05-25T21:05:02.974Z","ask"
"105.82","2.4","2024-05-25T21:05:02.974Z","ask"
"105.86","2.4","2024-05-25T21:05:02.974Z","ask"
"105.87","76.254","2024-05-25T21:05:02.974Z","ask"
"105.88","2.4","2024-05-25T21:05:02.974Z","ask"
"105.9","26.441","2024-05-25T21:05:02.974Z","ask"
"105.96","2.4","2024-05-25T21:05:02.974Z","ask"
"105.98","2.4","2024-05-25T21:05:02.974Z","ask"
"105.99","9.322","2024-05-25T21:05:02.974Z","ask"
"106","129.16","2024-05-25T21:05:02.974Z","ask"
"106.07","2.4","2024-05-25T21:05:02.974Z","ask"
"106.11","77.796","2024-05-25T21:05:02.974Z","ask"
"106.24","11.652","2024-05-25T21:05:02.974Z","ask"
"106.32","50.534","2024-05-25T21:05:02.974Z","ask"
"106.55","13.982","2024-05-25T21:05:02.974Z","ask"
"106.74","3.723","2024-05-25T21:05:02.974Z","ask"
"106.75","25.366","2024-05-25T21:05:02.974Z","ask"
"107.09","1.346","2024-05-25T21:05:02.974Z","ask"
"107.19","0.247","2024-05-25T21:05:02.974Z","ask"
"107.27","0.03","2024-05-25T21:05:02.974Z","ask"
"107.6","7.631","2024-05-25T21:05:02.974Z","ask"
"107.69","0.077","2024-05-25T21:05:02.974Z","ask"
"107.74","0.245","2024-05-25T21:05:02.974Z","ask"
"107.76","1.161","2024-05-25T21:05:02.974Z","ask"
"107.84","19.29","2024-05-25T21:05:02.974Z","ask"
"107.85","0.233","2024-05-25T21:05:02.974Z","ask"
"107.88","13.608","2024-05-25T21:05:02.974Z","ask"
"107.91","0.138","2024-05-25T21:05:02.974Z","ask"
"108.06","0.953","2024-05-25T21:05:02.974Z","ask"
"108.19","0.564","2024-05-25T21:05:02.974Z","ask"
"108.2","98.2","2024-05-25T21:05:02.974Z","ask"
"108.27","0.244","2024-05-25T21:05:02.974Z","ask"
"108.33","0.261","2024-05-25T21:05:02.974Z","ask"
"108.35","1.447","2024-05-25T21:05:02.974Z","ask"
"108.47","0.561","2024-05-25T21:05:02.974Z","ask"
"108.48","0.03","2024-05-25T21:05:02.974Z","ask"
"108.55","0.353","2024-05-25T21:05:02.974Z","ask"
"108.58","0.288","2024-05-25T21:05:02.974Z","ask"
"108.7","0.464","2024-05-25T21:05:02.974Z","ask"
"108.82","0.243","2024-05-25T21:05:02.974Z","ask"
"108.86","0.044","2024-05-25T21:05:02.974Z","ask"
"108.88","0.21","2024-05-25T21:05:02.974Z","ask"
"109","8.207","2024-05-25T21:05:02.974Z","ask"
"109.21","2.777","2024-05-25T21:05:02.974Z","ask"
"109.28","1.504","2024-05-25T21:05:02.974Z","ask"
"109.31","0.44","2024-05-25T21:05:02.974Z","ask"
"109.32","121.484","2024-05-25T21:05:02.974Z","ask"
"109.33","0.056","2024-05-25T21:05:02.974Z","ask"
"109.36","0.26","2024-05-25T21:05:02.974Z","ask"
"109.37","0.242","2024-05-25T21:05:02.974Z","ask"
"109.56","0.131","2024-05-25T21:05:02.974Z","ask"
"109.58","0.373","2024-05-25T21:05:02.974Z","ask"
"109.68","0.471","2024-05-25T21:05:02.974Z","ask"
"109.7","0.03","2024-05-25T21:05:02.974Z","ask"
"109.92","0.241","2024-05-25T21:05:02.974Z","ask"
"109.97","1.425","2024-05-25T21:05:02.974Z","ask"
"110","7.899","2024-05-25T21:05:02.974Z","ask"
"110.03","11.235","2024-05-25T21:05:02.974Z","ask"
"110.04","10.6","2024-05-25T21:05:02.974Z","ask"
"110.1","3.865","2024-05-25T21:05:02.974Z","ask"
"110.11","0.654","2024-05-25T21:05:02.974Z","ask"
"110.18","0.188","2024-05-25T21:05:02.974Z","ask"
"110.25","3.06","2024-05-25T21:05:02.974Z","ask"
"110.27","0.277","2024-05-25T21:05:02.974Z","ask"
"110.29","7.741","2024-05-25T21:05:02.974Z","ask"
"110.46","0.239","2024-05-25T21:05:02.974Z","ask"
"110.51","4.358","2024-05-25T21:05:02.974Z","ask"
"110.56","0.227","2024-05-25T21:05:02.974Z","ask"
"110.82","13.01","2024-05-25T21:05:02.974Z","ask"
"110.91","0.03","2024-05-25T21:05:02.974Z","ask"
"111","19.416","2024-05-25T21:05:02.974Z","ask"
"111.02","2.723","2024-05-25T21:05:02.974Z","ask"
"111.11","2","2024-05-25T21:05:02.974Z","ask"
"111.2","0.547","2024-05-25T21:05:02.974Z","ask"
"111.27","9.126","2024-05-25T21:05:02.974Z","ask"
"111.28","50","2024-05-25T21:05:02.974Z","ask"
"111.31","1.287","2024-05-25T21:05:02.974Z","ask"
"111.39","0.274","2024-05-25T21:05:02.974Z","ask"
"111.42","11.09","2024-05-25T21:05:02.974Z","ask"
"111.5","9.008","2024-05-25T21:05:02.974Z","ask"
"111.51","0.883","2024-05-25T21:05:02.974Z","ask"
"111.58","0.237","2024-05-25T21:05:02.975Z","ask"
"111.6","1.684","2024-05-25T21:05:02.975Z","ask"
"111.65","0.26","2024-05-25T21:05:02.975Z","ask"
"111.66","64.7","2024-05-25T21:05:02.975Z","ask"
"111.88","0.253","2024-05-25T21:05:02.975Z","ask"
"112","0.814","2024-05-25T21:05:02.975Z","ask"
"112.12","0.03","2024-05-25T21:05:02.975Z","ask"
"112.13","0.236","2024-05-25T21:05:02.975Z","ask"
"112.17","0.6","2024-05-25T21:05:02.975Z","ask"
"112.33","0.047","2024-05-25T21:05:02.975Z","ask"
"112.49","0.446","2024-05-25T21:05:02.975Z","ask"
"112.5","36.117","2024-05-25T21:05:02.975Z","ask"
"112.52","0.271","2024-05-25T21:05:02.975Z","ask"
"112.57","0.264","2024-05-25T21:05:02.975Z","ask"
"112.7","0.235","2024-05-25T21:05:02.975Z","ask"
"113.1","0.25","2024-05-25T21:05:02.975Z","ask"
"113.14","0.21","2024-05-25T21:05:02.975Z","ask"
"113.2","0.094","2024-05-25T21:05:02.975Z","ask"
"113.27","0.233","2024-05-25T21:05:02.975Z","ask"
"113.34","0.221","2024-05-25T21:05:02.975Z","ask"
"113.42","0.635","2024-05-25T21:05:02.975Z","ask"
"113.43","0.07","2024-05-25T21:05:02.975Z","ask"
"113.61","0.595","2024-05-25T21:05:02.975Z","ask"
"113.62","2067.47","2024-05-25T21:05:02.975Z","ask"
"113.67","0.269","2024-05-25T21:05:02.975Z","ask"
"113.84","0.232","2024-05-25T21:05:02.975Z","ask"
"113.96","0.3","2024-05-25T21:05:02.975Z","ask"
"113.98","0.883","2024-05-25T21:05:02.975Z","ask"
"114","0.595","2024-05-25T21:05:02.975Z","ask"
"114.33","0.284","2024-05-25T21:05:02.975Z","ask"
"114.4","0.231","2024-05-25T21:05:02.975Z","ask"
"114.65","0.898","2024-05-25T21:05:02.975Z","ask"
"114.71","0.272","2024-05-25T21:05:02.975Z","ask"
"114.78","0.06","2024-05-25T21:05:02.975Z","ask"
"114.82","0.266","2024-05-25T21:05:02.975Z","ask"
"114.86","0.172","2024-05-25T21:05:02.975Z","ask"
"114.87","11.07","2024-05-25T21:05:02.975Z","ask"
"114.98","0.23","2024-05-25T21:05:02.975Z","ask"
"115","34.187","2024-05-25T21:05:02.975Z","ask"
"115.44","9.734","2024-05-25T21:05:02.975Z","ask"
"115.52","0.765","2024-05-25T21:05:02.975Z","ask"
"115.56","0.474","2024-05-25T21:05:02.975Z","ask"
"115.79","0.178","2024-05-25T21:05:02.975Z","ask"
"115.98","0.263","2024-05-25T21:05:02.975Z","ask"
"115.99","1.417","2024-05-25T21:05:02.975Z","ask"
"116","73.563","2024-05-25T21:05:02.975Z","ask"
"116.14","0.228","2024-05-25T21:05:02.975Z","ask"
"116.19","0.216","2024-05-25T21:05:02.975Z","ask"
"116.28","4.831","2024-05-25T21:05:02.975Z","ask"
"116.29","1.615","2024-05-25T21:05:02.975Z","ask"
"116.45","0.883","2024-05-25T21:05:02.975Z","ask"
"116.51","5.46","2024-05-25T21:05:02.975Z","ask"
"116.59","13.581","2024-05-25T21:05:02.975Z","ask"
"116.72","5.868","2024-05-25T21:05:02.975Z","ask"
"116.73","111","2024-05-25T21:05:02.975Z","ask"
"116.81","0.242","2024-05-25T21:05:02.975Z","ask"
"116.83","0.617","2024-05-25T21:05:02.975Z","ask"
"116.84","0.175","2024-05-25T21:05:02.975Z","ask"
"116.85","4.851","2024-05-25T21:05:02.975Z","ask"
"116.86","1.404","2024-05-25T21:05:02.975Z","ask"
"116.87","0.623","2024-05-25T21:05:02.975Z","ask"
"117.15","2.022","2024-05-25T21:05:02.975Z","ask"
"117.17","11.6","2024-05-25T21:05:02.975Z","ask"
"117.27","1.5","2024-05-25T21:05:02.975Z","ask"
"117.29","10","2024-05-25T21:05:02.975Z","ask"
"117.3","0.225","2024-05-25T21:05:02.975Z","ask"
"117.41","0.175","2024-05-25T21:05:02.975Z","ask"
"117.42","6.255","2024-05-25T21:05:02.975Z","ask"
"117.44","0.1","2024-05-25T21:05:02.975Z","ask"
"117.51","0.427","2024-05-25T21:05:02.975Z","ask"
"117.56","6.233","2024-05-25T21:05:02.975Z","ask"
"117.57","0.5","2024-05-25T21:05:02.975Z","ask"
"117.72","1.761","2024-05-25T21:05:02.975Z","ask"
"117.77","9.668","2024-05-25T21:05:02.975Z","ask"
"117.88","6.3","2024-05-25T21:05:02.975Z","ask"
"117.9","1.989","2024-05-25T21:05:02.975Z","ask"
"117.98","0.949","2024-05-25T21:05:02.975Z","ask"
"117.99","5.481","2024-05-25T21:05:02.975Z","ask"
"118","78.809","2024-05-25T21:05:02.975Z","ask"
"118.01","0.1","2024-05-25T21:05:02.975Z","ask"
"118.08","0.24","2024-05-25T21:05:02.975Z","ask"
"118.09","0.872","2024-05-25T21:05:02.975Z","ask"
"118.13","1.621","2024-05-25T21:05:02.975Z","ask"
"118.16","0.191","2024-05-25T21:05:02.975Z","ask"
"118.17","1","2024-05-25T21:05:02.975Z","ask"
"118.28","1.761","2024-05-25T21:05:02.975Z","ask"
"118.34","0.258","2024-05-25T21:05:02.975Z","ask"
