"price","volume","type"
"2.816","18.4","ask"
"2.817","22","ask"
"2.8176","0.2","ask"
"2.818","22","ask"
"2.819","22","ask"
"2.82","22","ask"
"2.821","22","ask"
"2.822","22","ask"
"2.823","22","ask"
"2.824","22","ask"
"2.8245","12.1","ask"
"2.825","22","ask"
"2.8256","66.2","ask"
"2.826","22","ask"
"2.827","22.3","ask"
"2.8278","0.9","ask"
"2.828","22.2","ask"
"2.829","22","ask"
"2.83","22","ask"
"2.8309","5","ask"
"2.831","22","ask"
"2.8315","0.2","ask"
"2.8319","400","ask"
"2.832","22","ask"
"2.8322","19.1","ask"
"2.833","22","ask"
"2.8335","89.5","ask"
"2.834","22","ask"
"2.835","22","ask"
"2.836","22","ask"
"2.837","22","ask"
"2.838","22","ask"
"2.8385","363.7","ask"
"2.8386","4479.8","ask"
"2.8387","5008.2","ask"
"2.839","22","ask"
"2.84","22","ask"
"2.8408","0.3","ask"
"2.841","22","ask"
"2.8418","1.1","ask"
"2.842","22","ask"
"2.843","22","ask"
"2.844","22","ask"
"2.845","22","ask"
"2.8453","0.2","ask"
"2.8458","9","ask"
"2.846","22","ask"
"2.8469","1614.5","ask"
"2.847","22","ask"
"2.848","22","ask"
"2.849","22","ask"
"2.85","22","ask"
"2.8509","21.5","ask"
"2.851","2328","ask"
"2.852","22","ask"
"2.853","22","ask"
"2.8536","3.7","ask"
"2.854","22","ask"
"2.8546","0.3","ask"
"2.855","22","ask"
"2.8556","0.2","ask"
"2.8557","0.9","ask"
"2.856","22","ask"
"2.857","22","ask"
"2.8572","6.4","ask"
"2.858","22","ask"
"2.8587","116.7","ask"
"2.859","22","ask"
"2.8592","0.2","ask"
"2.8598","1238.4","ask"
"2.86","456.8","ask"
"2.861","22","ask"
"2.862","22","ask"
"2.863","22","ask"
"2.864","22","ask"
"2.865","134.7","ask"
"2.866","22","ask"
"2.867","22","ask"
"2.8673","11.9","ask"
"2.868","22","ask"
"2.8683","5","ask"
"2.8684","0.3","ask"
"2.8687","231.1","ask"
"2.8688","3493.6","ask"
"2.869","22","ask"
"2.8692","36.7","ask"
"2.8694","0.2","ask"
"2.8696","0.9","ask"
"2.87","22","ask"
"2.871","22","ask"
"2.872","22","ask"
"2.873","22","ask"
"2.8731","0.2","ask"
"2.874","22","ask"
"2.875","22","ask"
"2.876","22","ask"
