"time","open","high","low","close","volume"
"2022-06-06T00:00:00.000Z","0.374","0.429","0.373","0.385","22583.69759636"
"2022-06-07T00:00:00.000Z","0.369","0.383","0.354","0.372","29426.42609278"
"2022-06-08T00:00:00.000Z","0.371","0.412","0.360","0.361","10837.00949071"
"2022-06-09T00:00:00.000Z","0.361","0.369","0.359","0.360","7957.72089419"
"2022-06-10T00:00:00.000Z","0.359","0.385","0.333","0.333","45748.65063755"
"2022-06-11T00:00:00.000Z","0.336","0.340","0.300","0.310","47403.65415187"
"2022-06-12T00:00:00.000Z","0.314","0.318","0.267","0.275","63978.37776132"
"2022-06-13T00:00:00.000Z","0.268","0.384","0.233","0.280","170163.64139042"
"2022-06-14T00:00:00.000Z","0.278","0.315","0.257","0.280","25221.63884080"
"2022-06-15T00:00:00.000Z","0.285","0.384","0.251","0.293","78835.32517170"
"2022-06-16T00:00:00.000Z","0.291","0.305","0.256","0.259","42047.61064096"
"2022-06-17T00:00:00.000Z","0.267","0.303","0.258","0.261","16235.15314848"
"2022-06-18T00:00:00.000Z","0.266","0.280","0.230","0.249","63250.88838729"
"2022-06-19T00:00:00.000Z","0.248","0.267","0.235","0.260","14688.95582910"
"2022-06-20T00:00:00.000Z","0.259","0.298","0.245","0.264","71424.39127041"
"2022-06-21T00:00:00.000Z","0.262","0.293","0.260","0.266","83585.13609701"
"2022-06-22T00:00:00.000Z","0.264","0.265","0.247","0.247","19437.65549584"
"2022-06-23T00:00:00.000Z","0.261","0.281","0.254","0.270","19214.23389866"
"2022-06-24T00:00:00.000Z","0.269","0.279","0.265","0.277","56703.46782499"
"2022-06-25T00:00:00.000Z","0.275","0.295","0.259","0.266","60495.87511231"
"2022-06-26T00:00:00.000Z","0.270","0.289","0.254","0.254","37631.74574889"
"2022-06-27T00:00:00.000Z","0.253","0.266","0.250","0.253","28981.69195257"
"2022-06-28T00:00:00.000Z","0.253","0.253","0.230","0.230","61179.70254789"
"2022-06-29T00:00:00.000Z","0.228","0.232","0.215","0.224","61903.62944750"
"2022-06-30T00:00:00.000Z","0.218","0.265","0.217","0.221","61392.64035505"
"2022-07-01T00:00:00.000Z","0.234","0.245","0.227","0.227","47219.28151941"
"2022-07-02T00:00:00.000Z","0.227","0.244","0.214","0.229","23576.21054268"
"2022-07-03T00:00:00.000Z","0.228","0.234","0.225","0.232","14809.34152389"
"2022-07-04T00:00:00.000Z","0.227","0.264","0.224","0.256","58520.93467177"
"2022-07-05T00:00:00.000Z","0.250","0.315","0.234","0.238","71273.22872124"
"2022-07-06T00:00:00.000Z","0.241","0.244","0.229","0.243","17241.64785788"
"2022-07-07T00:00:00.000Z","0.241","0.262","0.238","0.250","35335.71962538"
"2022-07-08T00:00:00.000Z","0.254","0.274","0.233","0.247","47019.01939737"
"2022-07-09T00:00:00.000Z","0.241","0.262","0.240","0.252","15788.57303461"
"2022-07-10T00:00:00.000Z","0.248","0.253","0.233","0.234","31546.10480487"
"2022-07-11T00:00:00.000Z","0.246","0.252","0.221","0.221","23178.47962480"
"2022-07-12T00:00:00.000Z","0.224","0.230","0.218","0.222","27226.01762547"
"2022-07-13T00:00:00.000Z","0.223","0.233","0.216","0.229","26875.93992063"
"2022-07-14T00:00:00.000Z","0.231","0.238","0.214","0.237","51567.86120188"
"2022-07-15T00:00:00.000Z","0.236","0.237","0.228","0.232","39898.59829176"
"2022-07-16T00:00:00.000Z","0.231","0.243","0.230","0.237","4200.51770690"
"2022-07-17T00:00:00.000Z","0.239","0.246","0.235","0.237","6575.70355006"
"2022-07-18T00:00:00.000Z","0.245","0.262","0.244","0.262","48688.00747567"
"2022-07-19T00:00:00.000Z","0.261","0.313","0.247","0.270","51371.24032523"
"2022-07-20T00:00:00.000Z","0.267","0.350","0.231","0.252","111667.57366678"
"2022-07-21T00:00:00.000Z","0.244","0.329","0.240","0.275","56036.97953236"
"2022-07-22T00:00:00.000Z","0.277","0.360","0.276","0.299","124608.34164096"
"2022-07-23T00:00:00.000Z","0.293","0.314","0.275","0.299","54890.00788021"
"2022-07-24T00:00:00.000Z","0.309","0.346","0.290","0.298","38326.50405940"
