"price","volume","time","side","orderType"
"0.10300","830.00000000","2024-05-20T16:00:35.917Z","b","maker"
"0.10300","1078.00000000","2024-05-20T16:00:35.942Z","b","maker"
"0.10300","497.00000000","2024-05-20T16:01:42.488Z","b","maker"
"0.10300","383.00000000","2024-05-20T16:01:42.625Z","b","maker"
"0.10300","1172.00000000","2024-05-20T16:01:42.770Z","b","maker"
"0.10300","497.00000000","2024-05-20T16:01:42.850Z","b","maker"
"0.10300","499.00000000","2024-05-20T16:01:42.856Z","b","maker"
"0.10300","499.00000000","2024-05-20T16:01:42.927Z","b","maker"
"0.10300","499.00000000","2024-05-20T16:01:43.082Z","b","maker"
"0.10300","618.00000000","2024-05-20T16:01:43.087Z","b","maker"
"0.10300","2168.00000000","2024-05-20T16:01:43.107Z","b","maker"
"0.10300","2015.00000000","2024-05-20T16:01:43.123Z","b","maker"
"0.10300","2176.00000000","2024-05-20T16:01:43.182Z","b","maker"
"0.10300","1293.12244897","2024-05-20T16:01:43.207Z","b","maker"
"0.10300","375.87755103","2024-05-20T16:01:43.207Z","b","maker"
"0.10300","1692.00000000","2024-05-20T16:01:43.208Z","b","maker"
"0.10300","2023.00000000","2024-05-20T16:01:43.211Z","b","maker"
"0.10300","364.56799352","2024-05-20T16:01:43.273Z","b","maker"
"0.10300","132.43200648","2024-05-20T16:01:43.273Z","b","maker"
"0.10300","1394.27972362","2024-05-20T16:01:43.340Z","b","maker"
"0.10300","616.00000000","2024-05-20T16:01:43.509Z","b","maker"
"0.10300","303.72027638","2024-05-20T16:01:43.801Z","b","maker"
"0.10300","470.00000000","2024-05-20T16:18:11.172Z","b","maker"
"0.10400","416.59737050","2024-05-20T16:39:32.066Z","b","maker"
"0.10400","21.40262950","2024-05-20T16:39:32.066Z","b","maker"
"0.10400","438.00000000","2024-05-20T16:39:32.070Z","b","maker"
"0.10400","408.79184379","2024-05-20T16:39:32.108Z","b","maker"
"0.10400","31.20815621","2024-05-20T16:39:32.108Z","b","maker"
"0.10400","50.79184379","2024-05-20T16:39:32.549Z","b","maker"
"0.10400","517.00000000","2024-05-20T19:22:44.363Z","b","maker"
"0.10400","590.00000000","2024-05-20T19:22:44.369Z","b","maker"
"0.10400","588.00000000","2024-05-20T19:22:44.382Z","b","maker"
"0.10400","36.05239689","2024-05-20T19:22:44.399Z","b","maker"
"0.10400","551.94760311","2024-05-20T19:22:44.399Z","b","maker"
"0.10400","707.00000000","2024-05-20T19:22:44.502Z","b","maker"
"0.10400","590.00000000","2024-05-20T19:22:44.544Z","b","maker"
"0.10400","169.22562479","2024-05-20T19:22:44.636Z","b","maker"
"0.10500","50.00000000","2024-05-20T19:30:48.208Z","b","maker"
"0.10500","50.50500000","2024-05-20T19:30:48.208Z","b","maker"
"0.10500","51.80000000","2024-05-20T19:30:48.208Z","b","maker"
"0.10500","82.00000000","2024-05-20T19:30:48.208Z","b","maker"
"0.10600","51.58597877","2024-05-20T19:38:04.052Z","b","maker"
"0.10600","1089.72277227","2024-05-20T19:38:04.052Z","b","maker"
