"price","volume","time","side","orderType"
"0.0316800","4040.90321647","2024-05-22T00:13:34.068Z","b","taker"
"0.0316800","8973.27839808","2024-05-22T00:13:36.258Z","b","taker"
"0.0317000","4319.83970203","2024-05-22T00:13:53.886Z","b","taker"
"0.0317000","4853.80938786","2024-05-22T00:13:55.059Z","b","taker"
"0.0316900","670.01331594","2024-05-22T00:13:58.163Z","b","taker"
"0.0316900","2658.22283929","2024-05-22T00:13:58.859Z","b","taker"
"0.0316900","7848.94213958","2024-05-22T00:14:00.560Z","b","taker"
"0.0317000","2093.63140473","2024-05-22T00:14:03.845Z","b","taker"
"0.0316900","2494.45874236","2024-05-22T00:14:04.503Z","b","taker"
"0.0316900","3476.93596924","2024-05-22T00:14:05.123Z","b","taker"
"0.0316900","4740.79975212","2024-05-22T00:14:08.531Z","b","taker"
"0.0317000","4505.81602150","2024-05-22T00:14:21.041Z","b","taker"
"0.0317000","377.79099051","2024-05-22T00:14:21.041Z","b","taker"
"0.0317000","4550.32200914","2024-05-22T00:14:21.763Z","b","taker"
"0.0317000","640.11511753","2024-05-22T00:14:21.763Z","b","taker"
"0.0317100","1924.17948532","2024-05-22T00:14:27.238Z","b","taker"
"0.0317100","687.90710260","2024-05-22T00:14:31.877Z","b","taker"
"0.0317100","1459.87775417","2024-05-22T00:14:34.632Z","b","taker"
"0.0316700","1298.52562527","2024-05-22T00:15:03.739Z","s","maker"
"0.0317400","630.98282315","2024-05-22T00:17:24.805Z","b","taker"
"0.0317300","7620.48332743","2024-05-22T00:19:51.208Z","b","taker"
"0.0317600","15744.85231127","2024-05-22T00:41:51.337Z","b","maker"
"0.0317700","4079.34318163","2024-05-22T00:41:51.337Z","b","maker"
"0.0317700","9825.40450710","2024-05-22T00:41:51.337Z","b","maker"
"0.0317500","1756.95516000","2024-05-22T00:54:02.107Z","b","maker"
"0.0316900","4669.42232463","2024-05-22T01:01:45.329Z","b","taker"
"0.0317000","2251.35441960","2024-05-22T02:02:08.277Z","b","taker"
"0.0315400","866.70814628","2024-05-22T02:59:22.879Z","s","maker"
"0.0315400","6850.40383873","2024-05-22T03:01:33.909Z","b","taker"
"0.0314300","15909.79583049","2024-05-22T03:05:17.560Z","b","taker"
"0.0314400","15903.56169082","2024-05-22T03:05:17.560Z","b","taker"
"0.0314400","21365.52587845","2024-05-22T03:05:17.560Z","b","taker"
"0.0314300","15910.19276064","2024-05-22T03:05:23.255Z","b","taker"
"0.0314300","4708.39212548","2024-05-22T03:05:23.255Z","b","taker"
"0.0314300","3911.01209889","2024-05-22T03:05:49.312Z","b","taker"
"0.0313900","570.30338000","2024-05-22T03:33:01.942Z","s","maker"
"0.0313500","5714.28571428","2024-05-22T03:38:03.971Z","b","taker"
"0.0313500","15948.88348527","2024-05-22T03:38:35.969Z","s","taker"
"0.0313400","9051.11651473","2024-05-22T03:38:35.969Z","s","taker"
"0.0313700","1073.02726349","2024-05-22T04:06:25.636Z","b","taker"
"0.0313700","3309.31213904","2024-05-22T04:10:06.942Z","b","taker"
"0.0313300","20624.19414742","2024-05-22T04:11:14.243Z","b","taker"
"0.0312700","1095.94342291","2024-05-22T04:24:04.578Z","b","taker"
"0.0312500","9617.48750944","2024-05-22T04:26:53.541Z","b","taker"
"0.0312400","1316.39905737","2024-05-22T04:27:26.397Z","s","maker"
"0.0311800","871.64674535","2024-05-22T04:28:25.600Z","s","maker"
"0.0311600","2518.96109932","2024-05-22T04:28:49.529Z","b","taker"
"0.0311600","4932.16662301","2024-05-22T04:29:58.253Z","b","taker"
"0.0310800","879.53587303","2024-05-22T04:35:19.875Z","s","maker"
"0.0310400","9044.14544512","2024-05-22T04:35:41.376Z","b","taker"
"0.0310400","7066.44051256","2024-05-22T04:35:42.254Z","b","taker"
"0.0310400","848.16969745","2024-05-22T04:35:42.254Z","b","taker"
"0.0310500","670.15255905","2024-05-22T04:36:16.402Z","b","taker"
"0.0310400","4730.82984396","2024-05-22T04:36:24.353Z","b","taker"
"0.0310200","16118.69383791","2024-05-22T04:36:27.620Z","b","taker"
"0.0310300","11968.27584877","2024-05-22T04:36:27.620Z","b","taker"
