"time","low","high","open","close","volume"
"2024-05-26T00:00:00.000Z",0.457,0.4628,0.4619,0.4578,6655939.22586159
"2024-05-25T00:00:00.000Z",0.457,0.4645,0.4595,0.4619,8317612.64319328
"2024-05-24T00:00:00.000Z",0.454,0.4696,0.4651,0.4598,14932485.27393629
"2024-05-23T00:00:00.000Z",0.4453,0.4884,0.4832,0.4655,25612594.871047
"2024-05-22T00:00:00.000Z",0.4747,0.4953,0.4946,0.4832,16219044.09371565
"2024-05-21T00:00:00.000Z",0.4906,0.5105,0.5022,0.4945,20902892.20708156
"2024-05-20T00:00:00.000Z",0.4607,0.5032,0.4674,0.5021,26414163.15924881
"2024-05-19T00:00:00.000Z",0.4648,0.484,0.4821,0.4671,9492432.16131735
"2024-05-18T00:00:00.000Z",0.4757,0.486,0.4826,0.4824,9397792.18760239
"2024-05-17T00:00:00.000Z",0.4552,0.4908,0.4597,0.4822,22398034.89297534
"2024-05-16T00:00:00.000Z",0.4486,0.4628,0.4528,0.4597,18175997.00172014
"2024-05-15T00:00:00.000Z",0.4258,0.4554,0.4284,0.4527,19598356.68117369
"2024-05-14T00:00:00.000Z",0.426,0.4383,0.4365,0.4282,10365622.45993868
"2024-05-13T00:00:00.000Z",0.4251,0.4529,0.4378,0.4366,15113377.90765634
"2024-05-12T00:00:00.000Z",0.4329,0.4434,0.4388,0.4377,5959871.61490448
"2024-05-11T00:00:00.000Z",0.4378,0.451,0.4479,0.4388,9118918.37164929
"2024-05-10T00:00:00.000Z",0.443,0.4687,0.4635,0.4477,14929489.57187615
"2024-05-09T00:00:00.000Z",0.4467,0.4645,0.4515,0.4635,14615040.41130642
"2024-05-08T00:00:00.000Z",0.4364,0.4687,0.4414,0.4515,22959273.54426799
"2024-05-07T00:00:00.000Z",0.4407,0.4565,0.4539,0.4415,17642643.99649607
"2024-05-06T00:00:00.000Z",0.4515,0.4753,0.4581,0.4538,16964297.77253549
"2024-05-05T00:00:00.000Z",0.4522,0.466,0.4634,0.4581,10636487.241697
"2024-05-04T00:00:00.000Z",0.4625,0.4772,0.4676,0.4633,12070110.90168488
"2024-05-03T00:00:00.000Z",0.4463,0.4738,0.4578,0.4675,18759968.51220508
"2024-05-02T00:00:00.000Z",0.4383,0.4625,0.4494,0.4577,26865898.96091807
"2024-05-01T00:00:00.000Z",0.4179,0.4573,0.4408,0.4493,32158249.79691032
"2024-04-30T00:00:00.000Z",0.4255,0.4631,0.4571,0.4409,30325151.80990844
"2024-04-29T00:00:00.000Z",0.4464,0.4636,0.4599,0.457,14069564.23447742
"2024-04-28T00:00:00.000Z",0.458,0.478,0.4673,0.4596,10633937.41076047
"2024-04-27T00:00:00.000Z",0.445,0.4696,0.4629,0.467,12146522.5943886
"2024-04-26T00:00:00.000Z",0.4605,0.4788,0.4704,0.4628,12297184.19261632
"2024-04-25T00:00:00.000Z",0.462,0.4798,0.4745,0.4705,18697839.87020219
"2024-04-24T00:00:00.000Z",0.4685,0.5108,0.5,0.4746,25364299.59466659
"2024-04-23T00:00:00.000Z",0.497,0.5219,0.5167,0.4999,26060228.38560476
"2024-04-22T00:00:00.000Z",0.495,0.5227,0.4995,0.517,22749774.87322417
"2024-04-21T00:00:00.000Z",0.4877,0.5128,0.5073,0.4992,21592077.1820638
"2024-04-20T00:00:00.000Z",0.4647,0.5089,0.4683,0.5074,26188128.28078643
"2024-04-19T00:00:00.000Z",0.4228,0.4763,0.4583,0.4683,32468216.29167013
"2024-04-18T00:00:00.000Z",0.4345,0.4614,0.4442,0.4583,20967986.84086637
"2024-04-17T00:00:00.000Z",0.4274,0.4652,0.4585,0.4441,24223689.91872043
"2024-04-16T00:00:00.000Z",0.4393,0.4788,0.4612,0.4586,27154820.61374713
"2024-04-15T00:00:00.000Z",0.4392,0.4957,0.4682,0.4612,42492992.23288223
"2024-04-14T00:00:00.000Z",0.4333,0.4783,0.4461,0.4681,52100492.66872696
"2024-04-13T00:00:00.000Z",0.4051,0.5167,0.5031,0.4459,72923406.77084918
"2024-04-12T00:00:00.000Z",0.47,0.5924,0.5859,0.503,71416511.95584968
"2024-04-11T00:00:00.000Z",0.5753,0.5945,0.5863,0.5857,14228587.85308769
"2024-04-10T00:00:00.000Z",0.558,0.5939,0.5909,0.5861,25484497.48311125
"2024-04-09T00:00:00.000Z",0.5896,0.6241,0.6138,0.591,21951253.72900763
"2024-04-08T00:00:00.000Z",0.5792,0.617,0.5888,0.6138,21265392.73423598
"2024-04-07T00:00:00.000Z",0.5817,0.5973,0.584,0.5888,13850459.63372842
"2024-04-06T00:00:00.000Z",0.5711,0.5897,0.5745,0.5837,11341306.46008998
"2024-04-05T00:00:00.000Z",0.5598,0.5852,0.5835,0.5742,19993781.56396254
"2024-04-04T00:00:00.000Z",0.5592,0.5971,0.5694,0.5833,24783297.16775102
"2024-04-03T00:00:00.000Z",0.5628,0.595,0.581,0.5693,22655781.92019766
"2024-04-02T00:00:00.000Z",0.5739,0.6218,0.6216,0.5809,32965941.89150286
"2024-04-01T00:00:00.000Z",0.6052,0.6516,0.6499,0.6216,28397876.79510694
"2024-03-31T00:00:00.000Z",0.6419,0.6536,0.6438,0.6499,14367860.22001281
"2024-03-30T00:00:00.000Z",0.6419,0.6694,0.6646,0.6438,17522801.65659307
"2024-03-29T00:00:00.000Z",0.6352,0.6682,0.6512,0.6647,19625453.4749044
"2024-03-28T00:00:00.000Z",0.6349,0.6583,0.6475,0.651,20069503.11149852
"2024-03-27T00:00:00.000Z",0.63,0.671,0.6651,0.6475,32785896.98897415
"2024-03-26T00:00:00.000Z",0.6515,0.6839,0.6565,0.6651,28838268.1193335
"2024-03-25T00:00:00.000Z",0.6381,0.6684,0.6468,0.6565,28079295.94346843
"2024-03-24T00:00:00.000Z",0.6224,0.6481,0.6231,0.6467,14610881.03462784
"2024-03-23T00:00:00.000Z",0.6103,0.6394,0.6148,0.6231,13640614.65281187
"2024-03-22T00:00:00.000Z",0.5988,0.6426,0.6314,0.6147,25520158.23631548
"2024-03-21T00:00:00.000Z",0.6176,0.6483,0.6398,0.6315,26143850.2597165
"2024-03-20T00:00:00.000Z",0.569,0.6447,0.5862,0.6399,47806918.65483145
"2024-03-19T00:00:00.000Z",0.58,0.6659,0.6601,0.5862,61081840.17862668
"2024-03-18T00:00:00.000Z",0.642,0.6988,0.6809,0.6604,33443555.36964577
"2024-03-17T00:00:00.000Z",0.6286,0.7021,0.6585,0.6808,37277822.02145146
"2024-03-16T00:00:00.000Z",0.6502,0.7349,0.7276,0.6585,34629348.9059031
"2024-03-15T00:00:00.000Z",0.6703,0.764,0.751,0.7275,56672218.19662288
"2024-03-14T00:00:00.000Z",0.7129,0.8102,0.7647,0.7506,76549201.94490649
"2024-03-13T00:00:00.000Z",0.7377,0.7736,0.7484,0.7646,40863956.53725657
"2024-03-12T00:00:00.000Z",0.7042,0.7761,0.7755,0.7483,44639757.56694202
"2024-03-11T00:00:00.000Z",0.6858,0.7884,0.7173,0.7754,64170508.2979103
"2024-03-10T00:00:00.000Z",0.7011,0.7456,0.7431,0.7173,26222687.67589033
"2024-03-09T00:00:00.000Z",0.7216,0.7473,0.7246,0.7431,22881453.70293556
"2024-03-08T00:00:00.000Z",0.6998,0.7556,0.7439,0.7246,46114405.80977563
"2024-03-07T00:00:00.000Z",0.7186,0.756,0.7354,0.7439,40020034.44830853
"2024-03-06T00:00:00.000Z",0.6656,0.757,0.6933,0.7355,52028853.93053169
"2024-03-05T00:00:00.000Z",0.58,0.7834,0.7714,0.6932,99501984.08071154
"2024-03-04T00:00:00.000Z",0.7237,0.7991,0.7285,0.7712,73808573.99043125
"2024-03-03T00:00:00.000Z",0.6899,0.7431,0.742,0.7285,30624170.75171903
"2024-03-02T00:00:00.000Z",0.7179,0.7645,0.7204,0.7422,59460400.23269315
"2024-03-01T00:00:00.000Z",0.6531,0.7214,0.6553,0.7203,46524167.53441218
"2024-02-29T00:00:00.000Z",0.6232,0.709,0.6295,0.6552,89684995.6156894
"2024-02-28T00:00:00.000Z",0.598,0.6619,0.6243,0.6293,66395959.3
"2024-02-27T00:00:00.000Z",0.6076,0.631,0.6198,0.6242,48809963.66
"2024-02-26T00:00:00.000Z",0.5734,0.6229,0.5914,0.6197,37286840.76
"2024-02-25T00:00:00.000Z",0.5804,0.6006,0.597,0.5914,16558671
"2024-02-24T00:00:00.000Z",0.5695,0.5999,0.5822,0.5969,16446681.71
"2024-02-23T00:00:00.000Z",0.5681,0.5948,0.5855,0.5823,19388978.96
"2024-02-22T00:00:00.000Z",0.5807,0.6079,0.5988,0.5855,22104517.14
"2024-02-21T00:00:00.000Z",0.5746,0.6237,0.6218,0.5987,32643512.61
"2024-02-20T00:00:00.000Z",0.5944,0.6413,0.6308,0.622,36743066.68
"2024-02-19T00:00:00.000Z",0.615,0.639,0.6197,0.6308,24657674.62
"2024-02-18T00:00:00.000Z",0.6094,0.639,0.6099,0.6196,39438221.78
"2024-02-17T00:00:00.000Z",0.5691,0.6109,0.599,0.6097,25028536.84
"2024-02-16T00:00:00.000Z",0.5824,0.6142,0.6092,0.5992,43402629.47
"2024-02-15T00:00:00.000Z",0.5712,0.6125,0.5774,0.6094,46175888.41
"2024-02-14T00:00:00.000Z",0.54,0.5835,0.5452,0.5776,33810719.74
"2024-02-13T00:00:00.000Z",0.5341,0.5647,0.5594,0.5452,27978738.81
"2024-02-12T00:00:00.000Z",0.5308,0.5687,0.5417,0.5595,31686695.49
"2024-02-11T00:00:00.000Z",0.5356,0.5656,0.5517,0.5418,30498260.03
"2024-02-10T00:00:00.000Z",0.5282,0.5583,0.5411,0.5516,28477631.61
"2024-02-09T00:00:00.000Z",0.5279,0.5489,0.5303,0.5409,36598494.85
"2024-02-08T00:00:00.000Z",0.5019,0.5376,0.5022,0.5305,42770513.91
"2024-02-07T00:00:00.000Z",0.4738,0.5024,0.4981,0.5022,31952976.66
"2024-02-06T00:00:00.000Z",0.4884,0.504,0.4938,0.4982,15924129.14
"2024-02-05T00:00:00.000Z",0.4867,0.5057,0.493,0.4938,15292779.15
"2024-02-04T00:00:00.000Z",0.493,0.5124,0.5122,0.4931,11624478.99
"2024-02-03T00:00:00.000Z",0.5115,0.5254,0.5145,0.5123,14278618.48
"2024-02-02T00:00:00.000Z",0.5038,0.524,0.5079,0.5144,23705323.05
"2024-02-01T00:00:00.000Z",0.4854,0.5083,0.4972,0.5076,15659657.73
"2024-01-31T00:00:00.000Z",0.4931,0.5203,0.5138,0.4974,29870505.25
"2024-01-30T00:00:00.000Z",0.5123,0.5376,0.5263,0.5137,33057566.32
"2024-01-29T00:00:00.000Z",0.4837,0.528,0.4904,0.5261,24636006.7
"2024-01-28T00:00:00.000Z",0.4834,0.5004,0.4862,0.4903,14869122.02
"2024-01-27T00:00:00.000Z",0.4753,0.4899,0.4849,0.4861,11212486.85
"2024-01-26T00:00:00.000Z",0.4628,0.4902,0.466,0.4848,16843639.69
"2024-01-25T00:00:00.000Z",0.4581,0.4837,0.4763,0.4663,18477917.96
"2024-01-24T00:00:00.000Z",0.4639,0.4801,0.4769,0.4762,33790698.16
"2024-01-23T00:00:00.000Z",0.4473,0.4858,0.478,0.477,41344938.09
"2024-01-22T00:00:00.000Z",0.4743,0.5059,0.5029,0.4781,30241489.83
"2024-01-21T00:00:00.000Z",0.502,0.5203,0.5154,0.5028,13543740.93
"2024-01-20T00:00:00.000Z",0.4982,0.5175,0.504,0.5156,19164433.58
"2024-01-19T00:00:00.000Z",0.4704,0.5049,0.5018,0.5041,34342163.76
"2024-01-18T00:00:00.000Z",0.495,0.5278,0.5278,0.502,30349983.92
"2024-01-17T00:00:00.000Z",0.5207,0.5395,0.5355,0.5278,16210571.39
"2024-01-16T00:00:00.000Z",0.525,0.548,0.5277,0.5353,15991570.25
"2024-01-15T00:00:00.000Z",0.5215,0.5472,0.525,0.5272,17485025.64
"2024-01-14T00:00:00.000Z",0.5232,0.55,0.5489,0.5246,17280848.2
"2024-01-13T00:00:00.000Z",0.531,0.5537,0.5477,0.5491,20149473.06
"2024-01-12T00:00:00.000Z",0.5258,0.589,0.582,0.5475,43886794.87
"2024-01-11T00:00:00.000Z",0.5607,0.6196,0.5664,0.582,63008097.79
"2024-01-10T00:00:00.000Z",0.4876,0.5899,0.5123,0.5664,61256264.89
"2024-01-09T00:00:00.000Z",0.4965,0.5441,0.5417,0.5123,42172469.01
"2024-01-08T00:00:00.000Z",0.465,0.5449,0.4949,0.5416,59450052.02
"2024-01-07T00:00:00.000Z",0.4882,0.5303,0.5234,0.4947,27990687.11
"2024-01-06T00:00:00.000Z",0.5073,0.5435,0.542,0.5231,25054540.88
"2024-01-05T00:00:00.000Z",0.5223,0.5733,0.5708,0.5419,39623373.26
"2024-01-04T00:00:00.000Z",0.5498,0.5796,0.5571,0.5704,34951418.32
"2024-01-03T00:00:00.000Z",0.54,0.6187,0.605,0.5572,61008077.04
"2024-01-02T00:00:00.000Z",0.6021,0.6373,0.6236,0.6053,34402311.98
"2024-01-01T00:00:00.000Z",0.5903,0.6244,0.5935,0.6236,23562755.36
"2023-12-31T00:00:00.000Z",0.58,0.6098,0.601,0.5937,21842891.09
"2023-12-30T00:00:00.000Z",0.5932,0.6132,0.6084,0.601,23674055.52
"2023-12-29T00:00:00.000Z",0.5916,0.626,0.6166,0.6083,42943963.04
"2023-12-28T00:00:00.000Z",0.6101,0.6785,0.634,0.6161,86360776.71
"2023-12-27T00:00:00.000Z",0.5839,0.6435,0.6088,0.6338,55020616.55
"2023-12-26T00:00:00.000Z",0.5625,0.6281,0.6242,0.6089,47108019.94
"2023-12-25T00:00:00.000Z",0.5896,0.6351,0.5919,0.6242,30450821.04
"2023-12-24T00:00:00.000Z",0.5881,0.6288,0.6132,0.5923,53345790.68
"2023-12-23T00:00:00.000Z",0.5969,0.6236,0.623,0.6134,27812401.11
"2023-12-22T00:00:00.000Z",0.6061,0.6513,0.6354,0.6232,52068484.03
"2023-12-21T00:00:00.000Z",0.582,0.6394,0.5896,0.6351,55298350.08
"2023-12-20T00:00:00.000Z",0.5683,0.61,0.576,0.5896,46543096.55
"2023-12-19T00:00:00.000Z",0.5658,0.6168,0.6022,0.576,45744310.63
