"price","volume","time","side","orderType"
"0.457999","5458.52608630","2024-05-26T20:38:36.099Z","s","maker"
"0.457993","140.93630724","2024-05-26T20:38:36.099Z","s","maker"
"0.457609","62.34067200","2024-05-26T20:34:13.972Z","s","maker"
"0.457703","8.12601400","2024-05-26T20:33:33.640Z","b","maker"
"0.457609","185.96874800","2024-05-26T20:33:25.042Z","s","maker"
"0.457630","32.77757140","2024-05-26T20:32:56.287Z","b","taker"
"0.457762","12.43156924","2024-05-26T20:32:56.287Z","b","taker"
"0.457569","17.49899700","2024-05-26T20:31:32.331Z","s","maker"
"0.457569","32.23691400","2024-05-26T20:30:09.996Z","s","taker"
"0.457630","2126.63590700","2024-05-26T20:29:44.051Z","b","maker"
"0.457532","15.79156800","2024-05-26T20:29:17.965Z","s","maker"
"0.457668","456.92128355","2024-05-26T20:27:45.432Z","b","taker"
"0.457532","24.14735600","2024-05-26T20:26:09.126Z","b","maker"
"0.457895","4147.71571500","2024-05-26T20:18:50.139Z","s","maker"
"0.457989","486.88635416","2024-05-26T20:17:05.700Z","s","taker"
"0.457916","200.00000000","2024-05-26T20:15:22.904Z","s","maker"
"0.457914","2.15153800","2024-05-26T20:13:02.032Z","b","maker"
"0.457813","203.37442464","2024-05-26T20:11:41.938Z","b","taker"
"0.457859","124.25778460","2024-05-26T20:11:41.938Z","b","taker"
"0.457813","14.94235300","2024-05-26T20:11:33.889Z","b","maker"
"0.457722","1746.43890192","2024-05-26T20:11:16.392Z","s","taker"
"0.458074","65.49160179","2024-05-26T20:11:14.959Z","s","maker"
"0.457963","436.71650329","2024-05-26T20:11:14.959Z","s","maker"
"0.457800","109.03442988","2024-05-26T20:11:14.959Z","s","maker"
"0.457796","436.87581368","2024-05-26T20:11:14.959Z","s","maker"
"0.457722","1900.00000000","2024-05-26T20:11:14.959Z","s","maker"
"0.457715","873.33881301","2024-05-26T20:11:14.959Z","s","maker"
"0.457699","109.03442988","2024-05-26T20:11:14.959Z","s","maker"
"0.457689","2980.67508147","2024-05-26T20:11:14.959Z","s","maker"
"0.458075","514.14795100","2024-05-26T20:08:45.193Z","b","maker"
"0.458235","20.44671402","2024-05-26T20:04:52.302Z","s","maker"
"0.458123","201.13304398","2024-05-26T20:04:52.302Z","s","maker"
"0.458236","21.50031200","2024-05-26T20:04:40.030Z","b","maker"
"0.458235","3.73838400","2024-05-26T20:03:28.525Z","s","maker"
"0.458495","63.91785621","2024-05-26T20:00:11.309Z","s","taker"
"0.458463","10.00000000","2024-05-26T19:59:30.992Z","b","taker"
"0.458605","80.00000000","2024-05-26T19:57:03.511Z","s","maker"
"0.458535","5.22675500","2024-05-26T19:56:17.231Z","s","maker"
"0.458593","700.00000000","2024-05-26T19:55:58.341Z","s","maker"
"0.458517","3.24753700","2024-05-26T19:54:54.893Z","b","maker"
"0.458517","171.89708100","2024-05-26T19:54:25.031Z","b","maker"
"0.458483","1478.62394100","2024-05-26T19:49:59.756Z","b","maker"
"0.458724","65.45199292","2024-05-26T19:48:21.999Z","b","taker"
"0.458730","278.10476800","2024-05-26T19:45:56.482Z","s","maker"
"0.458869","2845.92356424","2024-05-26T19:45:41.866Z","b","taker"
"0.458646","805.66126383","2024-05-26T19:45:16.041Z","b","taker"
"0.458661","64.16920298","2024-05-26T19:45:16.041Z","b","taker"
"0.458670","18.40194698","2024-05-26T19:45:16.041Z","b","taker"
"0.458700","68.53987510","2024-05-26T19:45:16.041Z","b","taker"
"0.458715","62.05650707","2024-05-26T19:45:16.041Z","b","taker"
"0.458720","57.65184476","2024-05-26T19:45:16.041Z","b","taker"
"0.458723","79.50230841","2024-05-26T19:45:16.041Z","b","taker"
"0.458737","68.62297510","2024-05-26T19:45:16.041Z","b","taker"
"0.458753","79.45423047","2024-05-26T19:45:16.041Z","b","taker"
"0.458763","1043.73511781","2024-05-26T19:45:16.041Z","b","taker"
"0.458772","90.42251790","2024-05-26T19:45:16.041Z","b","taker"
"0.458776","1061.78220959","2024-05-26T19:45:16.041Z","b","taker"
"0.458416","162.16471866","2024-05-26T19:44:34.897Z","s","maker"
"0.458416","60.47162134","2024-05-26T19:44:34.897Z","s","maker"
"0.458455","214.90041000","2024-05-26T19:43:57.030Z","b","maker"
"0.458644","2853.54629902","2024-05-26T19:41:28.092Z","s","maker"
"0.458644","107.96260280","2024-05-26T19:41:28.092Z","s","maker"
