"price","volume","time","side","orderType"
"1.306200","90.23987974","2024-05-27T18:29:54.032Z","s","maker"
"1.311600","15.24855139","2024-05-27T18:29:42.169Z","s","maker"
"1.320000","5.76637000","2024-05-27T16:51:39.225Z","s","maker"
"1.320300","15.13889941","2024-05-27T15:47:20.603Z","b","maker"
"1.318900","12.46153586","2024-05-27T15:42:59.608Z","s","maker"
"1.321800","32.78151122","2024-05-27T14:12:20.555Z","b","maker"
"1.339800","59.93574483","2024-05-27T14:07:06.871Z","b","maker"
"1.349600","13.65329570","2024-05-27T14:01:25.853Z","s","maker"
"1.362400","13.52715783","2024-05-27T13:40:51.433Z","s","maker"
"1.351000","1.46626000","2024-05-27T13:01:02.603Z","s","maker"
"1.361500","18.08039000","2024-05-27T12:16:11.268Z","b","maker"
"1.351500","43.54983000","2024-05-27T10:58:13.610Z","b","maker"
"1.353800","13.52715783","2024-05-27T10:52:19.825Z","s","maker"
"1.352600","15.57046979","2024-05-27T10:32:02.773Z","s","maker"
"1.346000","13.58931979","2024-05-27T08:15:24.237Z","s","maker"
"1.343900","1.98115000","2024-05-27T08:12:09.723Z","s","maker"
"1.329800","173.67654227","2024-05-27T06:41:57.706Z","b","maker"
"1.319000","30.30413491","2024-05-27T06:36:15.259Z","b","maker"
"1.324800","173.71587120","2024-05-27T06:21:08.179Z","s","maker"
"1.324700","173.72898480","2024-05-27T06:21:08.138Z","s","maker"
"1.367700","16.29366411","2024-05-27T06:01:19.995Z","s","maker"
"1.378900","10.50809000","2024-05-27T06:00:41.962Z","b","maker"
"1.398400","16.29366411","2024-05-27T05:41:37.756Z","b","maker"
"1.406100","14.26798154","2024-05-27T05:19:34.309Z","s","maker"
"1.411900","28.92689631","2024-05-27T05:18:15.967Z","s","maker"
"1.421600","12.95458084","2024-05-27T05:14:42.284Z","b","maker"
"1.421400","14.30851693","2024-05-27T05:09:42.083Z","b","maker"
"1.402000","14.30851693","2024-05-27T05:00:00.043Z","s","maker"
"1.416200","12.95458084","2024-05-27T04:56:04.937Z","s","maker"
"1.387400","13.34009526","2024-05-27T04:44:35.984Z","b","maker"
"1.381300","28.92689631","2024-05-27T04:43:57.094Z","b","maker"
"1.388900","4.16992000","2024-05-27T04:43:30.533Z","b","maker"
"1.366800","192.90755742","2024-05-27T04:40:25.130Z","b","maker"
"1.377400","13.34009526","2024-05-27T04:17:07.185Z","s","maker"
"1.416600","46.13543395","2024-05-27T03:35:58.358Z","b","maker"
"1.416600","11.13351958","2024-05-27T03:35:27.577Z","b","maker"
"1.416600","5.23104647","2024-05-27T03:35:20.657Z","b","maker"
"1.391000","62.00000000","2024-05-27T03:20:55.830Z","b","maker"
