"price","volume","time","side","orderType"
"26.25000","5.70000000","2024-05-27T19:11:38.911Z","b","maker"
"26.27000","0.06388000","2024-05-27T18:52:18.022Z","b","maker"
"26.46000","0.88420647","2024-05-27T18:03:04.024Z","s","taker"
"26.22000","2.03897000","2024-05-27T12:53:19.336Z","b","maker"
"26.13000","6.04763114","2024-05-27T12:02:17.864Z","b","maker"
"26.11000","0.20000000","2024-05-27T12:00:59.793Z","b","taker"
"26.11000","0.36237723","2024-05-27T07:58:03.968Z","s","maker"
"26.38000","20.00000000","2024-05-27T06:04:59.707Z","s","maker"
"26.38000","4.00000000","2024-05-27T06:02:57.610Z","b","maker"
"26.40000","3.00000000","2024-05-27T06:02:42.339Z","s","maker"
"26.37000","4.50000000","2024-05-27T06:02:38.994Z","b","maker"
"26.40000","4.50000000","2024-05-27T06:02:38.994Z","b","maker"
"26.38000","0.85448843","2024-05-27T05:21:12.278Z","s","maker"
"26.28000","1.00629018","2024-05-27T02:08:04.229Z","b","maker"
"26.15000","1.91204589","2024-05-27T00:26:07.416Z","b","taker"
"26.07000","0.16000000","2024-05-27T00:25:34.296Z","b","maker"
"25.83000","4.65000000","2024-05-26T23:43:12.510Z","s","taker"
"25.83000","2.79019053","2024-05-26T23:43:12.510Z","s","taker"
"25.82000","2.85000000","2024-05-26T23:40:01.522Z","s","taker"
"25.80000","1.38110000","2024-05-26T23:40:01.522Z","s","taker"
"25.90000","0.16000000","2024-05-26T23:39:25.779Z","s","taker"
"25.83000","2.85000000","2024-05-26T23:39:25.779Z","s","taker"
"25.82000","1.00830684","2024-05-26T23:39:25.779Z","s","taker"
"25.82000","6.09916014","2024-05-26T23:39:25.779Z","s","taker"
"25.80000","0.88374402","2024-05-26T23:39:25.779Z","s","taker"
"25.93000","6.07328634","2024-05-26T23:19:36.296Z","s","taker"
"25.93000","15.92671366","2024-05-26T23:19:36.296Z","s","taker"
"25.95000","4.05415100","2024-05-26T23:19:21.677Z","s","taker"
"25.99000","16.24120000","2024-05-26T23:06:55.716Z","s","taker"
"25.94000","9.04044000","2024-05-26T22:46:15.668Z","s","taker"
"25.96000","6.00110100","2024-05-26T22:31:33.275Z","s","taker"
"25.96000","4.65000000","2024-05-26T21:55:37.333Z","s","maker"
"25.97000","10.54529951","2024-05-26T21:12:39.633Z","s","maker"
"26.12000","0.81716150","2024-05-26T20:36:44.650Z","b","maker"
"26.14000","0.16000000","2024-05-26T16:49:36.236Z","b","maker"
"26.14000","0.16000000","2024-05-26T16:49:36.236Z","b","maker"
"25.98000","0.16000000","2024-05-26T16:29:31.364Z","b","maker"
"25.96000","4.65000000","2024-05-26T16:29:29.712Z","b","maker"
"25.98000","0.16000000","2024-05-26T16:29:29.702Z","s","maker"
"25.98000","25.54677059","2024-05-26T16:29:29.702Z","s","maker"
"25.98000","25.54677059","2024-05-26T16:29:26.107Z","s","maker"
"25.98000","3.70322941","2024-05-26T16:29:26.107Z","s","maker"
"25.99000","7.69022680","2024-05-26T16:27:56.924Z","s","maker"
"25.98000","9.33977320","2024-05-26T16:27:56.924Z","s","maker"
"26.06000","0.66362637","2024-05-26T16:20:50.803Z","s","maker"
"26.06000","7.00101000","2024-05-26T15:58:15.946Z","s","taker"
"26.19000","3.01010000","2024-05-26T15:46:37.136Z","s","taker"
"26.25000","6.01988971","2024-05-26T15:00:13.182Z","b","maker"
"26.09000","1.32101100","2024-05-26T14:31:16.344Z","s","taker"
"26.27000","4.82411924","2024-05-26T12:48:48.996Z","s","taker"
"26.17000","0.56942590","2024-05-26T11:19:23.945Z","s","maker"
"26.28000","7.62098650","2024-05-26T10:52:26.015Z","s","maker"
"26.28000","5.96064780","2024-05-26T10:52:26.011Z","s","maker"
"26.47000","4.50000000","2024-05-26T08:20:52.433Z","b","maker"
