"time","low","high","open","close","volume"
"2024-06-05T00:00:00.000Z",2.16,2.2,2.174,2.167,37723.668
"2024-06-04T00:00:00.000Z",2.091,2.38,2.347,2.175,2233216.91
"2024-06-03T00:00:00.000Z",1.656,2.855,1.656,2.362,8292936.195
"2024-06-02T00:00:00.000Z",1.529,1.678,1.562,1.657,746422.911
"2024-06-01T00:00:00.000Z",1.511,1.781,1.609,1.558,1518004.905
"2024-05-31T00:00:00.000Z",1.269,2.25,1.279,1.612,1973007.464
"2024-05-30T00:00:00.000Z",1.235,1.32,1.291,1.282,31986.197
"2024-05-29T00:00:00.000Z",1.275,1.318,1.281,1.286,41161.342
"2024-05-28T00:00:00.000Z",1.259,1.308,1.302,1.281,17644.162
"2024-05-27T00:00:00.000Z",1.278,1.332,1.292,1.301,29469.062
"2024-05-26T00:00:00.000Z",1.279,1.322,1.315,1.291,11351.681
"2024-05-25T00:00:00.000Z",1.28,1.347,1.28,1.322,67691.827
"2024-05-24T00:00:00.000Z",1.204,1.283,1.245,1.28,9242.5
"2024-05-23T00:00:00.000Z",1.156,1.302,1.269,1.244,36666.698
"2024-05-22T00:00:00.000Z",1.25,1.306,1.282,1.277,15932.159
"2024-05-21T00:00:00.000Z",1.253,1.317,1.259,1.283,27439.64
"2024-05-20T00:00:00.000Z",1.13,1.26,1.148,1.259,35413.336
"2024-05-19T00:00:00.000Z",1.145,1.209,1.202,1.151,27609.746
"2024-05-18T00:00:00.000Z",1.18,1.226,1.206,1.198,33302.442
"2024-05-17T00:00:00.000Z",1.163,1.235,1.171,1.207,38174.113
"2024-05-16T00:00:00.000Z",1.136,1.186,1.166,1.172,16990.305
"2024-05-15T00:00:00.000Z",1.083,1.172,1.101,1.165,32213.872
"2024-05-14T00:00:00.000Z",1.09,1.135,1.125,1.094,19737.464
"2024-05-13T00:00:00.000Z",1.059,1.153,1.12,1.125,34397.608
"2024-05-12T00:00:00.000Z",1.118,1.156,1.134,1.121,25432.195
"2024-05-11T00:00:00.000Z",1.129,1.18,1.172,1.132,5308.824
"2024-05-10T00:00:00.000Z",1.143,1.23,1.226,1.167,25262.931
"2024-05-09T00:00:00.000Z",1.139,1.225,1.165,1.225,11296.003
"2024-05-08T00:00:00.000Z",1.143,1.238,1.178,1.173,70903.8
"2024-05-07T00:00:00.000Z",1.177,1.236,1.212,1.181,61829.97
"2024-05-06T00:00:00.000Z",1.209,1.285,1.248,1.21,35645.334
"2024-05-05T00:00:00.000Z",1.196,1.273,1.224,1.245,17375.193
"2024-05-04T00:00:00.000Z",1.22,1.258,1.25,1.221,65588.636
"2024-05-03T00:00:00.000Z",1.17,1.261,1.205,1.251,43400.221
"2024-05-02T00:00:00.000Z",1.14,1.219,1.177,1.203,17148.001
"2024-05-01T00:00:00.000Z",1.089,1.205,1.198,1.183,109661.5
"2024-04-30T00:00:00.000Z",1.155,1.302,1.289,1.197,51249.98
"2024-04-29T00:00:00.000Z",1.234,1.297,1.276,1.286,31536.232
"2024-04-28T00:00:00.000Z",1.275,1.348,1.287,1.275,33477.378
"2024-04-27T00:00:00.000Z",1.206,1.29,1.253,1.29,29397.234
"2024-04-26T00:00:00.000Z",1.246,1.299,1.298,1.265,8828.096
"2024-04-25T00:00:00.000Z",1.242,1.314,1.285,1.298,31091.043
"2024-04-24T00:00:00.000Z",1.278,1.41,1.366,1.289,42503.692
"2024-04-23T00:00:00.000Z",1.338,1.398,1.378,1.369,16023.932
"2024-04-22T00:00:00.000Z",1.352,1.401,1.376,1.375,22733.531
"2024-04-21T00:00:00.000Z",1.341,1.405,1.39,1.369,25122.838
"2024-04-20T00:00:00.000Z",1.269,1.406,1.269,1.4,44672.3
"2024-04-19T00:00:00.000Z",1.14,1.31,1.221,1.278,28012.736
"2024-04-18T00:00:00.000Z",1.159,1.251,1.186,1.241,29140.36
"2024-04-17T00:00:00.000Z",1.131,1.216,1.207,1.188,28068.475
"2024-04-16T00:00:00.000Z",1.142,1.233,1.176,1.212,52769.97
"2024-04-15T00:00:00.000Z",1.147,1.315,1.255,1.182,44067.561
"2024-04-14T00:00:00.000Z",1.093,1.271,1.148,1.26,110045.883
"2024-04-13T00:00:00.000Z",1.005,1.404,1.404,1.158,266203.76
"2024-04-12T00:00:00.000Z",1.266,1.816,1.775,1.411,189203.989
"2024-04-11T00:00:00.000Z",1.766,1.865,1.794,1.779,33251.021
"2024-04-10T00:00:00.000Z",1.71,1.859,1.854,1.801,54057.99
"2024-04-09T00:00:00.000Z",1.835,1.931,1.915,1.839,39845.677
"2024-04-08T00:00:00.000Z",1.789,1.936,1.815,1.917,40322.026
"2024-04-07T00:00:00.000Z",1.764,1.839,1.764,1.816,34612.447
"2024-04-06T00:00:00.000Z",1.721,1.778,1.753,1.767,31460.586
"2024-04-05T00:00:00.000Z",1.671,1.782,1.775,1.737,38723.423
"2024-04-04T00:00:00.000Z",1.689,1.822,1.722,1.779,21683.597
"2024-04-03T00:00:00.000Z",1.655,1.782,1.72,1.727,21967.784
"2024-04-02T00:00:00.000Z",1.676,1.867,1.867,1.72,76590.087
"2024-04-01T00:00:00.000Z",1.82,2.056,1.946,1.881,82427.913
"2024-03-31T00:00:00.000Z",1.86,1.968,1.864,1.943,21273.37
"2024-03-30T00:00:00.000Z",1.85,1.964,1.944,1.868,28869.063
"2024-03-29T00:00:00.000Z",1.876,1.989,1.911,1.941,54806.94
