"price","volume","timestamp","type"
"1.11","45.046","2024-06-05T00:23:47.542Z","bid"
"1.1","529.847","2024-06-05T00:23:47.542Z","bid"
"1.09","40.295","2024-06-05T00:23:47.542Z","bid"
"1.082","1","2024-06-05T00:23:47.542Z","bid"
"1.08","138.694","2024-06-05T00:23:47.542Z","bid"
"1.066","2.322","2024-06-05T00:23:47.542Z","bid"
"1.06","223.383","2024-06-05T00:23:47.542Z","bid"
"1.051","47.564","2024-06-05T00:23:47.542Z","bid"
"1.006","98.21","2024-06-05T00:23:47.542Z","bid"
"1","971.064","2024-06-05T00:23:47.542Z","bid"
"0.96","525","2024-06-05T00:23:47.542Z","bid"
"0.95","19.189","2024-06-05T00:23:47.542Z","bid"
"0.92","3.6","2024-06-05T00:23:47.542Z","bid"
"0.9","16.666","2024-06-05T00:23:47.542Z","bid"
"0.89","3.7","2024-06-05T00:23:47.542Z","bid"
"0.883","2.84","2024-06-05T00:23:47.542Z","bid"
"0.876","1.132","2024-06-05T00:23:47.542Z","bid"
"0.87","150","2024-06-05T00:23:47.542Z","bid"
"0.86","137.451","2024-06-05T00:23:47.542Z","bid"
"0.85","29.411","2024-06-05T00:23:47.542Z","bid"
"0.805","1436.847","2024-06-05T00:23:47.542Z","bid"
"0.8","18.75","2024-06-05T00:23:47.542Z","bid"
"0.777","0.034","2024-06-05T00:23:47.542Z","bid"
"0.75","40","2024-06-05T00:23:47.542Z","bid"
"0.74","268.648","2024-06-05T00:23:47.542Z","bid"
"0.711","135","2024-06-05T00:23:47.542Z","bid"
"0.7","121.428","2024-06-05T00:23:47.542Z","bid"
"0.67","180","2024-06-05T00:23:47.542Z","bid"
"0.661","135","2024-06-05T00:23:47.542Z","bid"
"0.66","37.67","2024-06-05T00:23:47.542Z","bid"
"0.65","23.076","2024-06-05T00:23:47.542Z","bid"
"0.64","157.25","2024-06-05T00:23:47.542Z","bid"
"0.637","155.102","2024-06-05T00:23:47.542Z","bid"
"0.6","25","2024-06-05T00:23:47.542Z","bid"
"0.59","190","2024-06-05T00:23:47.542Z","bid"
"0.575","200","2024-06-05T00:23:47.542Z","bid"
"0.55","27.272","2024-06-05T00:23:47.542Z","bid"
"0.524","2.84","2024-06-05T00:23:47.542Z","bid"
"0.5","40","2024-06-05T00:23:47.542Z","bid"
"0.45","33.333","2024-06-05T00:23:47.542Z","bid"
"0.4","37.5","2024-06-05T00:23:47.542Z","bid"
"0.36","138.888","2024-06-05T00:23:47.542Z","bid"
"0.35","42.857","2024-06-05T00:23:47.542Z","bid"
"0.3","50","2024-06-05T00:23:47.542Z","bid"
"0.2","75","2024-06-05T00:23:47.542Z","bid"
"0.002","510","2024-06-05T00:23:47.542Z","bid"
"0.001","16939.976","2024-06-05T00:23:47.542Z","bid"
"7.09","150","2024-06-05T00:23:47.541Z","ask"
"7.344","2.84","2024-06-05T00:23:47.541Z","ask"
"7.4","7.722","2024-06-05T00:23:47.541Z","ask"
"7.45","154.401","2024-06-05T00:23:47.541Z","ask"
"7.5","7209.738","2024-06-05T00:23:47.541Z","ask"
"7.511","15.842","2024-06-05T00:23:47.541Z","ask"
"7.6","33.5","2024-06-05T00:23:47.541Z","ask"
"7.703","2.84","2024-06-05T00:23:47.541Z","ask"
"7.8","362.217","2024-06-05T00:23:47.541Z","ask"
"7.85","1","2024-06-05T00:23:47.541Z","ask"
"8","476.521","2024-06-05T00:23:47.541Z","ask"
"8.062","2.84","2024-06-05T00:23:47.541Z","ask"
"8.108","19.783","2024-06-05T00:23:47.541Z","ask"
"8.149","18.883","2024-06-05T00:23:47.541Z","ask"
"8.17","3.75","2024-06-05T00:23:47.541Z","ask"
"8.421","2.84","2024-06-05T00:23:47.541Z","ask"
"8.5","1","2024-06-05T00:23:47.541Z","ask"
"8.55","110","2024-06-05T00:23:47.541Z","ask"
"8.599","1.1","2024-06-05T00:23:47.541Z","ask"
