"price","volume","time","side","orderType"
"2.16700000","10.70900000","2024-06-05T00:23:43.961Z","sell","maker"
"2.16700000","10.70000000","2024-06-05T00:22:52.037Z","buy","maker"
"2.17200000","245.24600000","2024-06-05T00:21:33.101Z","sell","maker"
"2.17100000","186.65100000","2024-06-05T00:21:31.979Z","sell","maker"
"2.16800000","11.64300000","2024-06-05T00:21:07.473Z","sell","maker"
"2.17300000","0.17700000","2024-06-05T00:20:24.291Z","sell","maker"
"2.17200000","198.47500000","2024-06-05T00:20:23.019Z","sell","maker"
"2.16700000","532.48800000","2024-06-05T00:20:18.008Z","buy","maker"
"2.16800000","11.51200000","2024-06-05T00:20:18.008Z","buy","maker"
"2.16900000","16.00000000","2024-06-05T00:20:18.008Z","buy","maker"
"2.16900000","2999.00000000","2024-06-05T00:20:14.520Z","sell","maker"
"2.17800000","2920.92300000","2024-06-05T00:18:57.178Z","buy","maker"
"2.17800000","1175.70200000","2024-06-05T00:18:48.583Z","sell","maker"
"2.17700000","1175.70200000","2024-06-05T00:18:48.583Z","sell","maker"
"2.17700000","92.18100000","2024-06-05T00:18:48.583Z","sell","maker"
"2.17700000","245.24600000","2024-06-05T00:18:48.583Z","sell","maker"
"2.17600000","245.24600000","2024-06-05T00:18:48.583Z","sell","maker"
"2.17600000","20.32600000","2024-06-05T00:18:20.668Z","sell","maker"
"2.17500000","24.57600000","2024-06-05T00:18:20.668Z","sell","maker"
"2.17500000","9.70600000","2024-06-05T00:18:17.970Z","buy","maker"
"2.17500000","9.77300000","2024-06-05T00:18:17.961Z","buy","maker"
"2.17500000","7.07100000","2024-06-05T00:18:02.285Z","sell","maker"
"2.17600000","2.54200000","2024-06-05T00:17:46.755Z","sell","maker"
"2.17400000","12.40800000","2024-06-05T00:17:31.803Z","buy","maker"
"2.17400000","32.60700000","2024-06-05T00:17:26.675Z","sell","maker"
"2.17300000","245.24600000","2024-06-05T00:17:26.675Z","sell","maker"
