"price","volume","timestamp","type"
"0.777","50000","2024-06-05T00:17:23.846Z","ask"
"0.7985","3000","2024-06-05T00:17:23.846Z","ask"
"0.8","98362","2024-06-05T00:17:23.846Z","ask"
"0.81","500","2024-06-05T00:17:23.846Z","ask"
"0.8326","3000","2024-06-05T00:17:23.846Z","ask"
"0.848","400","2024-06-05T00:17:23.846Z","ask"
"0.85247","19090","2024-06-05T00:17:23.846Z","ask"
"0.88","16071","2024-06-05T00:17:23.846Z","ask"
"0.89","5561","2024-06-05T00:17:23.846Z","ask"
"0.89786","549980","2024-06-05T00:17:23.846Z","ask"
"0.8985","5000","2024-06-05T00:17:23.846Z","ask"
"0.9","280042","2024-06-05T00:17:23.846Z","ask"
"0.91","18937","2024-06-05T00:17:23.846Z","ask"
"0.93","26622","2024-06-05T00:17:23.846Z","ask"
"0.94","654","2024-06-05T00:17:23.846Z","ask"
"0.95","317549","2024-06-05T00:17:23.846Z","ask"
"0.95409","1000","2024-06-05T00:17:23.846Z","ask"
"0.96","46296","2024-06-05T00:17:23.846Z","ask"
"0.97","375","2024-06-05T00:17:23.846Z","ask"
"0.978","300","2024-06-05T00:17:23.846Z","ask"
"0.98","2040","2024-06-05T00:17:23.846Z","ask"
"0.9885","15263","2024-06-05T00:17:23.846Z","ask"
"0.99","11260","2024-06-05T00:17:23.846Z","ask"
"0.99999","305","2024-06-05T00:17:23.846Z","ask"
"1","31787836","2024-06-05T00:17:23.846Z","ask"
"1.00477","500","2024-06-05T00:17:23.846Z","ask"
"1.00754","1","2024-06-05T00:17:23.846Z","ask"
"1.01","115924","2024-06-05T00:17:23.846Z","ask"
"1.01227","1","2024-06-05T00:17:23.846Z","ask"
"1.01241","1","2024-06-05T00:17:23.846Z","ask"
"1.01883","23960","2024-06-05T00:17:23.846Z","ask"
"1.02","27124","2024-06-05T00:17:23.846Z","ask"
"1.03","241676","2024-06-05T00:17:23.846Z","ask"
"1.03719","1","2024-06-05T00:17:23.846Z","ask"
"1.05","55251","2024-06-05T00:17:23.846Z","ask"
"1.06","6776","2024-06-05T00:17:23.846Z","ask"
"1.09","1000","2024-06-05T00:17:23.846Z","ask"
"1.1","74163","2024-06-05T00:17:23.846Z","ask"
"1.11","211477","2024-06-05T00:17:23.846Z","ask"
"1.115","275500","2024-06-05T00:17:23.846Z","ask"
"1.12","4584","2024-06-05T00:17:23.846Z","ask"
"1.14723","750","2024-06-05T00:17:23.846Z","ask"
"1.14999","106","2024-06-05T00:17:23.846Z","ask"
"1.15","137633","2024-06-05T00:17:23.846Z","ask"
"1.16","22863","2024-06-05T00:17:23.846Z","ask"
"1.2","42496","2024-06-05T00:17:23.846Z","ask"
"1.21","146199","2024-06-05T00:17:23.846Z","ask"
"1.2147","3000","2024-06-05T00:17:23.846Z","ask"
"1.25","1343","2024-06-05T00:17:23.846Z","ask"
"1.28","20000","2024-06-05T00:17:23.846Z","ask"
"1.35","57534","2024-06-05T00:17:23.846Z","ask"
"1.38","33721","2024-06-05T00:17:23.846Z","ask"
"1.39","50000","2024-06-05T00:17:23.846Z","ask"
"1.396","59","2024-06-05T00:17:23.846Z","ask"
"1.4","274872","2024-06-05T00:17:23.846Z","ask"
"1.42","4612","2024-06-05T00:17:23.846Z","ask"
"1.44","276721","2024-06-05T00:17:23.846Z","ask"
"1.46","5000","2024-06-05T00:17:23.846Z","ask"
"1.49","8000","2024-06-05T00:17:23.846Z","ask"
"1.5","56221","2024-06-05T00:17:23.846Z","ask"
"1.51","332","2024-06-05T00:17:23.846Z","ask"
"1.582","100000","2024-06-05T00:17:23.846Z","ask"
"1.60725","1","2024-06-05T00:17:23.846Z","ask"
"1.65","50000","2024-06-05T00:17:23.846Z","ask"
"1.75","6342","2024-06-05T00:17:23.846Z","ask"
"1.79","50000","2024-06-05T00:17:23.846Z","ask"
"1.8","132","2024-06-05T00:17:23.846Z","ask"
"1.8462","3000","2024-06-05T00:17:23.846Z","ask"
"1.92","18300","2024-06-05T00:17:23.846Z","ask"
"1.99","8963","2024-06-05T00:17:23.846Z","ask"
"2","1144710","2024-06-05T00:17:23.846Z","ask"
"2.01","501","2024-06-05T00:17:23.846Z","ask"
"2.02","500","2024-06-05T00:17:23.846Z","ask"
"2.22","500","2024-06-05T00:17:23.846Z","ask"
"2.25","20000","2024-06-05T00:17:23.846Z","ask"
"2.39","50000","2024-06-05T00:17:23.846Z","ask"
"2.4","20000","2024-06-05T00:17:23.846Z","ask"
"2.42","5000","2024-06-05T00:17:23.846Z","ask"
"2.4632","3000","2024-06-05T00:17:23.846Z","ask"
"2.49","8726","2024-06-05T00:17:23.846Z","ask"
"2.5","254840","2024-06-05T00:17:23.846Z","ask"
"2.7","68","2024-06-05T00:17:23.846Z","ask"
"2.75","500","2024-06-05T00:17:23.846Z","ask"
"2.85","54607","2024-06-05T00:17:23.846Z","ask"
"2.95","50000","2024-06-05T00:17:23.846Z","ask"
"2.98","16875","2024-06-05T00:17:23.846Z","ask"
"3","166962","2024-06-05T00:17:23.846Z","ask"
"3.03","500","2024-06-05T00:17:23.846Z","ask"
"3.25","50000","2024-06-05T00:17:23.846Z","ask"
"3.259","350000","2024-06-05T00:17:23.846Z","ask"
"3.69107","1","2024-06-05T00:17:23.846Z","ask"
"3.71091","1","2024-06-05T00:17:23.846Z","ask"
"3.79","50000","2024-06-05T00:17:23.846Z","ask"
"4","17271","2024-06-05T00:17:23.846Z","ask"
"4.00326","13478","2024-06-05T00:17:23.846Z","ask"
"4.2","50853","2024-06-05T00:17:23.846Z","ask"
"4.25","71405","2024-06-05T00:17:23.846Z","ask"
"4.5","22","2024-06-05T00:17:23.846Z","ask"
"4.97","375","2024-06-05T00:17:23.846Z","ask"
"5","4704975","2024-06-05T00:17:23.846Z","ask"
"5.24","29155","2024-06-05T00:17:23.846Z","ask"
"5.55","10000","2024-06-05T00:17:23.846Z","ask"
"5.99","375000","2024-06-05T00:17:23.846Z","ask"
"6","112","2024-06-05T00:17:23.846Z","ask"
"6.19304","17970","2024-06-05T00:17:23.846Z","ask"
"7","50892","2024-06-05T00:17:23.846Z","ask"
"7.5","1000","2024-06-05T00:17:23.846Z","ask"
"8","6000","2024-06-05T00:17:23.846Z","ask"
"8.5","3435","2024-06-05T00:17:23.846Z","ask"
"9","57800","2024-06-05T00:17:23.846Z","ask"
"9.08","113000","2024-06-05T00:17:23.846Z","ask"
"9.77","100000","2024-06-05T00:17:23.846Z","ask"
"9.89","122","2024-06-05T00:17:23.846Z","ask"
"9.97","375","2024-06-05T00:17:23.846Z","ask"
"9.99","125","2024-06-05T00:17:23.846Z","ask"
"10","538562","2024-06-05T00:17:23.846Z","ask"
"10.00477","300","2024-06-05T00:17:23.846Z","ask"
"10.01249","1","2024-06-05T00:17:23.846Z","ask"
"10.37162","40432","2024-06-05T00:17:23.846Z","ask"
"11","300","2024-06-05T00:17:23.846Z","ask"
"11.0034","1823","2024-06-05T00:17:23.846Z","ask"
"11.01261","1","2024-06-05T00:17:23.846Z","ask"
"12","41607","2024-06-05T00:17:23.846Z","ask"
"12.09","1","2024-06-05T00:17:23.846Z","ask"
"12.88","1177","2024-06-05T00:17:23.846Z","ask"
"15","1800","2024-06-05T00:17:23.846Z","ask"
"15.5","5000","2024-06-05T00:17:23.846Z","ask"
"19","100070","2024-06-05T00:17:23.846Z","ask"
"20","1003204","2024-06-05T00:17:23.846Z","ask"
"25","10828","2024-06-05T00:17:23.846Z","ask"
"25.8","565","2024-06-05T00:17:23.846Z","ask"
"26","44","2024-06-05T00:17:23.846Z","ask"
"28","28","2024-06-05T00:17:23.846Z","ask"
"30","300","2024-06-05T00:17:23.846Z","ask"
"34","29513","2024-06-05T00:17:23.846Z","ask"
"40","28241","2024-06-05T00:17:23.846Z","ask"
"49.97","375","2024-06-05T00:17:23.846Z","ask"
"50","34105","2024-06-05T00:17:23.846Z","ask"
"55","375","2024-06-05T00:17:23.846Z","ask"
"62","500","2024-06-05T00:17:23.846Z","ask"
"65","500","2024-06-05T00:17:23.846Z","ask"
"68","2000","2024-06-05T00:17:23.846Z","ask"
"71","100000","2024-06-05T00:17:23.846Z","ask"
"77.77","250326","2024-06-05T00:17:23.846Z","ask"
"98","10000","2024-06-05T00:17:23.846Z","ask"
"98.95","47732","2024-06-05T00:17:23.846Z","ask"
"100","221501","2024-06-05T00:17:23.846Z","ask"
"110","1733","2024-06-05T00:17:23.846Z","ask"
"120","525","2024-06-05T00:17:23.846Z","ask"
"125","500","2024-06-05T00:17:23.846Z","ask"
"200","5392","2024-06-05T00:17:23.846Z","ask"
"216.685","216","2024-06-05T00:17:23.846Z","ask"
"225","325","2024-06-05T00:17:23.846Z","ask"
"250","10601","2024-06-05T00:17:23.846Z","ask"
"265","500","2024-06-05T00:17:23.846Z","ask"
"425","500","2024-06-05T00:17:23.846Z","ask"
"500","21334","2024-06-05T00:17:23.846Z","ask"
"600","1227","2024-06-05T00:17:23.846Z","ask"
"900","20000","2024-06-05T00:17:23.846Z","ask"
"1000","44891","2024-06-05T00:17:23.846Z","ask"
"1125","1","2024-06-05T00:17:23.846Z","ask"
"3655","300","2024-06-05T00:17:23.846Z","ask"
"5000","45","2024-06-05T00:17:23.846Z","ask"
"10000","185","2024-06-05T00:17:23.846Z","ask"
"25000","724280","2024-06-05T00:17:23.846Z","ask"
"100000","300","2024-06-05T00:17:23.846Z","ask"
"9999999","4747","2024-06-05T00:17:23.846Z","ask"
"0.00678","453357","2024-06-05T00:17:23.846Z","bid"
"0.00677","3957138","2024-06-05T00:17:23.846Z","bid"
"0.00676","3707726","2024-06-05T00:17:23.846Z","bid"
"0.00675","3591993","2024-06-05T00:17:23.846Z","bid"
"0.00674","1716925","2024-06-05T00:17:23.846Z","bid"
"0.00673","1838007","2024-06-05T00:17:23.846Z","bid"
"0.00672","1450718","2024-06-05T00:17:23.846Z","bid"
"0.00671","270630","2024-06-05T00:17:23.846Z","bid"
"0.0067","4139935","2024-06-05T00:17:23.846Z","bid"
"0.00669","510947","2024-06-05T00:17:23.846Z","bid"
"0.00668","737423","2024-06-05T00:17:23.846Z","bid"
"0.00667","727860","2024-06-05T00:17:23.846Z","bid"
"0.00666","305446","2024-06-05T00:17:23.846Z","bid"
"0.00665","1002187","2024-06-05T00:17:23.846Z","bid"
"0.00664","1805758","2024-06-05T00:17:23.846Z","bid"
"0.00663","297449","2024-06-05T00:17:23.846Z","bid"
"0.00662","1274304","2024-06-05T00:17:23.846Z","bid"
"0.00661","317918","2024-06-05T00:17:23.846Z","bid"
"0.0066","1327362","2024-06-05T00:17:23.846Z","bid"
"0.00659","469525","2024-06-05T00:17:23.846Z","bid"
"0.00658","348587","2024-06-05T00:17:23.846Z","bid"
"0.00657","60943","2024-06-05T00:17:23.846Z","bid"
"0.00656","18510","2024-06-05T00:17:23.846Z","bid"
"0.00655","30847","2024-06-05T00:17:23.846Z","bid"
"0.00654","158377","2024-06-05T00:17:23.846Z","bid"
"0.00653","162645","2024-06-05T00:17:23.846Z","bid"
"0.00652","43496","2024-06-05T00:17:23.846Z","bid"
"0.00651","123459","2024-06-05T00:17:23.846Z","bid"
"0.0065","2652847","2024-06-05T00:17:23.846Z","bid"
"0.00649","100653","2024-06-05T00:17:23.846Z","bid"
"0.00648","20145","2024-06-05T00:17:23.846Z","bid"
"0.00647","40787","2024-06-05T00:17:23.846Z","bid"
"0.00646","5020","2024-06-05T00:17:23.846Z","bid"
"0.00645","20500","2024-06-05T00:17:23.846Z","bid"
"0.00644","45861","2024-06-05T00:17:23.846Z","bid"
"0.00643","96719","2024-06-05T00:17:23.846Z","bid"
"0.00642","115049","2024-06-05T00:17:23.846Z","bid"
"0.00641","20283","2024-06-05T00:17:23.846Z","bid"
"0.0064","864636","2024-06-05T00:17:23.846Z","bid"
"0.00639","17348","2024-06-05T00:17:23.846Z","bid"
"0.00638","7804","2024-06-05T00:17:23.846Z","bid"
"0.00637","4955","2024-06-05T00:17:23.846Z","bid"
"0.00635","16917","2024-06-05T00:17:23.846Z","bid"
