"price","volume","time","side","orderType"
"0.0430300","3395.80230878","2024-05-15T12:34:36.145Z","s","l"
"0.0430800","2202.96764517","2024-05-15T12:40:23.902Z","b","m"
"0.0432900","655.10706839","2024-05-15T12:43:19.982Z","s","m"
"0.0436500","335.43608795","2024-05-15T12:45:53.483Z","b","l"
"0.0437000","20000.00000000","2024-05-15T12:45:55.051Z","b","l"
"0.0437300","4329.41634688","2024-05-15T12:46:07.524Z","s","l"
"0.0440500","2159.77220115","2024-05-15T12:47:17.673Z","s","m"
"0.0439900","19349.59940738","2024-05-15T12:56:28.088Z","s","l"
"0.0439600","205.30027297","2024-05-15T12:57:06.994Z","b","l"
"0.0438900","479.89031078","2024-05-15T13:00:14.147Z","b","m"
"0.0438400","357.99522673","2024-05-15T13:00:19.681Z","s","m"
"0.0435000","482.42591316","2024-05-15T13:09:05.022Z","b","m"
"0.0436300","9183.47094000","2024-05-15T13:12:58.742Z","b","l"
"0.0438000","2192.78004251","2024-05-15T13:18:54.907Z","s","l"
"0.0438000","3835.57762557","2024-05-15T13:19:09.450Z","s","l"
"0.0438900","221.41741183","2024-05-15T13:29:22.583Z","b","m"
"0.0437900","3494.97812222","2024-05-15T13:50:45.684Z","b","l"
"0.0436000","222.22995279","2024-05-15T13:52:33.554Z","s","l"
"0.0433500","240.72230445","2024-05-15T13:56:56.694Z","b","l"
"0.0434400","483.64808843","2024-05-15T13:57:33.101Z","b","m"
"0.0433900","1282.74090000","2024-05-15T14:04:09.132Z","s","l"
"0.0438000","10000.00000000","2024-05-15T14:25:50.463Z","b","l"
"0.0438100","494.90509921","2024-05-15T14:25:50.463Z","b","l"
"0.0438100","542.32718079","2024-05-15T14:25:50.463Z","b","l"
"0.0439800","10000.00000000","2024-05-15T14:44:14.302Z","b","m"
"0.0439800","3642.56480218","2024-05-15T14:44:14.302Z","b","m"
"0.0439800","917.77030151","2024-05-15T14:46:05.718Z","s","m"
"0.0440100","10000.00000000","2024-05-15T14:57:28.396Z","b","m"
"0.0440100","35333.08847668","2024-05-15T14:57:28.396Z","b","m"
"0.0440100","4654.91152332","2024-05-15T14:57:28.396Z","b","m"
"0.0440100","3408.31629175","2024-05-15T15:05:05.395Z","b","m"
"0.0438800","31901.64522101","2024-05-15T15:14:04.404Z","s","m"
"0.0438800","10000.00000000","2024-05-15T15:14:04.404Z","s","m"
"0.0438800","27834.47763964","2024-05-15T15:14:04.404Z","s","m"
"0.0438600","2810.26596441","2024-05-15T15:14:04.404Z","s","m"
"0.0438600","33340.44522101","2024-05-15T15:14:04.404Z","s","m"
"0.0438400","35090.00000000","2024-05-15T15:14:04.404Z","s","m"
"0.0438300","18351.14807333","2024-05-15T15:14:04.404Z","s","m"
"0.0438200","50000.00000000","2024-05-15T15:14:04.404Z","s","m"
"0.0438200","33877.53000000","2024-05-15T15:14:04.404Z","s","m"
"0.0438200","30917.47000000","2024-05-15T15:14:04.404Z","s","m"
"0.0438100","66215.60000000","2024-05-15T15:14:04.404Z","s","m"
"0.0438100","30232.71000000","2024-05-15T15:14:04.404Z","s","m"
"0.0436900","173795.60000000","2024-05-15T15:14:04.404Z","s","m"
"0.0436200","85813.20000000","2024-05-15T15:14:04.404Z","s","m"
"0.0435300","4145.12573632","2024-05-15T15:14:04.404Z","s","m"
"0.0435200","45130.80000000","2024-05-15T15:14:04.404Z","s","m"
"0.0435000","45130.80000000","2024-05-15T15:14:04.404Z","s","m"
"0.0432300","3238.46801820","2024-05-15T15:14:04.404Z","s","m"
"0.0431800","22154.00000000","2024-05-15T15:14:04.404Z","s","m"
"0.0427800","339.59728318","2024-05-15T15:14:04.404Z","s","m"
"0.0427800","22154.00000000","2024-05-15T15:14:04.404Z","s","m"
"0.0426300","22154.00000000","2024-05-15T15:14:04.404Z","s","m"
"0.0422600","717.93658306","2024-05-15T15:14:04.404Z","s","m"
"0.0421100","379.95725481","2024-05-15T15:14:04.404Z","s","m"
"0.0421100","644.91610594","2024-05-15T15:14:04.404Z","s","m"
"0.0421000","22154.00000000","2024-05-15T15:14:04.404Z","s","m"
"0.0417700","18669.39403202","2024-05-15T15:14:04.404Z","s","m"
"0.0417500","391.84099334","2024-05-15T15:14:04.404Z","s","m"
"0.0415300","653.99005832","2024-05-15T15:14:04.404Z","s","m"
"0.0415200","654.04624277","2024-05-15T15:14:04.404Z","s","m"
"0.0410100","662.28254382","2024-05-15T15:14:04.404Z","s","m"
"0.0410000","12500.00000000","2024-05-15T15:14:04.404Z","s","m"
"0.0410000","292.68292682","2024-05-15T15:14:04.404Z","s","m"
"0.0408500","391.44272263","2024-05-15T15:14:04.404Z","s","m"
"0.0400300","812.89033225","2024-05-15T15:14:04.404Z","s","m"
"0.0400200","437.53123438","2024-05-15T15:14:04.404Z","s","m"
"0.0400000","10000.00000000","2024-05-15T15:14:04.404Z","s","m"
"0.0400000","202.00000000","2024-05-15T15:14:04.404Z","s","m"
"0.0400000","5000.00000000","2024-05-15T15:14:04.404Z","s","m"
"0.0400000","500.00000000","2024-05-15T15:14:04.404Z","s","m"
"0.0400000","4000.00000000","2024-05-15T15:14:04.404Z","s","m"
"0.0395900","204469.75903005","2024-05-15T15:14:04.404Z","s","m"
"0.0395300","618.09813817","2024-05-15T15:14:04.404Z","s","m"
"0.0391100","5000.00000000","2024-05-15T15:14:04.404Z","s","m"
"0.0390000","250.00000000","2024-05-15T15:14:04.404Z","s","m"
"0.0390000","3846.15384615","2024-05-15T15:14:04.404Z","s","m"
"0.0388900","393.93160195","2024-05-15T15:14:04.404Z","s","m"
"0.0388800","20576.13168724","2024-05-15T15:14:04.404Z","s","m"
"0.0381100","5000.00000000","2024-05-15T15:14:04.404Z","s","m"
"0.0380000","1315.78947368","2024-05-15T15:14:04.404Z","s","m"
"0.0380000","2631.57894736","2024-05-15T15:14:04.404Z","s","m"
"0.0380000","700.00000000","2024-05-15T15:14:04.404Z","s","m"
"0.0380000","7201.57894736","2024-05-15T15:14:04.404Z","s","m"
"0.0378900","6330.00000000","2024-05-15T15:14:04.404Z","s","m"
"0.0376500","13280.21248339","2024-05-15T15:14:04.404Z","s","m"
"0.0376500","1328.00000000","2024-05-15T15:14:04.404Z","s","m"
"0.0368800","5000.00000000","2024-05-15T15:14:04.404Z","s","m"
"0.0367500","1461.98830409","2024-05-15T15:14:04.404Z","s","m"
"0.0367000","8174.38692098","2024-05-15T15:14:04.404Z","s","m"
"0.0365500","6839.94528043","2024-05-15T15:14:04.404Z","s","m"
"0.0362900","625.29850293","2024-05-15T15:14:04.404Z","s","m"
"0.0438600","27834.47763964","2024-05-15T15:14:07.878Z","s","l"
"0.0438500","10000.00000000","2024-05-15T15:14:07.878Z","s","l"
"0.0438300","27834.47763964","2024-05-15T15:14:40.188Z","s","l"
"0.0438100","570.64597124","2024-05-15T15:14:57.450Z","b","m"
"0.0437700","27834.47763964","2024-05-15T15:15:25.128Z","s","l"
"0.0437200","715.74687648","2024-05-15T15:15:57.603Z","s","l"
"0.0437200","791.38125406","2024-05-15T15:15:59.507Z","s","l"
"0.0437200","378.65780100","2024-05-15T15:15:59.707Z","s","l"
"0.0437200","425.91478011","2024-05-15T15:15:59.927Z","s","l"
"0.0437200","25522.77692799","2024-05-15T15:16:00.251Z","s","m"
"0.0437100","1143.89565479","2024-05-15T15:16:00.251Z","s","m"
"0.0437100","8497.11341793","2024-05-15T15:16:00.251Z","s","m"
"0.0436000","3238.46885233","2024-05-15T15:19:07.485Z","b","l"
"0.0437200","38499.00000000","2024-05-15T15:21:09.014Z","b","l"
"0.0437700","222.13249162","2024-05-15T15:30:38.114Z","b","m"
"0.0437100","990.66370027","2024-05-15T15:35:28.926Z","s","l"
"0.0434800","223.40970236","2024-05-15T15:43:22.701Z","s","l"
"0.0434300","19001.66269000","2024-05-15T15:45:52.749Z","b","l"
"0.0435700","20724.00000000","2024-05-15T16:09:51.575Z","b","l"
"0.0436800","729.67814892","2024-05-15T16:17:38.043Z","b","m"
"0.0434300","426.56140000","2024-05-15T16:38:11.836Z","b","l"
"0.0434800","5818.46392552","2024-05-15T16:50:16.023Z","s","m"
"0.0436400","7905.19020000","2024-05-15T17:18:38.386Z","b","l"
"0.0437000","1223.73945000","2024-05-15T17:21:41.341Z","b","l"
"0.0439300","478.03323469","2024-05-15T17:36:30.556Z","b","m"
"0.0440000","20000.00000000","2024-05-15T18:19:15.361Z","b","l"
"0.0440000","4949.73512681","2024-05-15T18:19:15.379Z","b","l"
"0.0442000","18099.54751131","2024-05-15T18:25:13.852Z","b","m"
"0.0443400","208.19863000","2024-05-15T18:28:07.993Z","b","l"
"0.0443200","342.92654400","2024-05-15T18:29:34.802Z","s","l"
