"time","low","high","open","close","volume"
"2024-01-05T00:00:00.000Z",5.61,5.75,5.73,5.66,5578.24
"2024-01-04T00:00:00.000Z",5.57,5.81,5.61,5.76,7038.58
"2024-01-03T00:00:00.000Z",5.02,6.07,5.99,5.61,15692.6
"2024-01-02T00:00:00.000Z",5.94,6.16,5.96,5.97,15446.66
"2024-01-01T00:00:00.000Z",5.75,5.94,5.79,5.94,5282.72
"2023-12-31T00:00:00.000Z",5.72,5.9,5.83,5.77,29452.32
"2023-12-30T00:00:00.000Z",5.72,5.88,5.87,5.82,12814.56
"2023-12-29T00:00:00.000Z",5.75,6.04,5.98,5.83,7113.6
"2023-12-28T00:00:00.000Z",5.92,6.24,6.04,5.98,14397.92
"2023-12-27T00:00:00.000Z",5.59,6.13,5.65,6.02,24656.45
"2023-12-26T00:00:00.000Z",5.5,5.78,5.76,5.65,7010.28
"2023-12-25T00:00:00.000Z",5.71,5.83,5.76,5.77,5623.97
"2023-12-24T00:00:00.000Z",5.69,5.87,5.86,5.75,5966.58
"2023-12-23T00:00:00.000Z",5.74,5.91,5.9,5.84,8704.1
"2023-12-22T00:00:00.000Z",5.68,5.92,5.68,5.89,34121.37
"2023-12-21T00:00:00.000Z",5.55,5.85,5.58,5.67,20498.17
"2023-12-20T00:00:00.000Z",5.49,5.72,5.49,5.59,12789.35
"2023-12-19T00:00:00.000Z",5.43,5.73,5.59,5.49,2082.36
"2023-12-18T00:00:00.000Z",5.36,5.62,5.57,5.61,2225.9
"2023-12-17T00:00:00.000Z",5.56,5.68,5.67,5.56,1314.54
"2023-12-16T00:00:00.000Z",5.61,5.75,5.64,5.65,2130.16
"2023-12-15T00:00:00.000Z",5.62,5.88,5.87,5.64,4020.25
"2023-12-14T00:00:00.000Z",5.6,5.88,5.73,5.86,2818.42
"2023-12-13T00:00:00.000Z",5.45,5.79,5.58,5.73,3052.75
"2023-12-12T00:00:00.000Z",5.49,5.71,5.69,5.6,2014.06
"2023-12-11T00:00:00.000Z",5.06,5.99,5.99,5.67,9689.97
"2023-12-10T00:00:00.000Z",5.88,6.02,5.96,5.97,4709.13
"2023-12-09T00:00:00.000Z",5.91,6.11,6,5.91,1493.45
"2023-12-08T00:00:00.000Z",5.92,6.06,5.97,5.99,3831.48
"2023-12-07T00:00:00.000Z",5.62,6.03,5.66,5.97,8680.24
"2023-12-06T00:00:00.000Z",5.64,5.89,5.83,5.64,3000.3
"2023-12-05T00:00:00.000Z",5.57,5.84,5.72,5.84,5171.18
"2023-12-04T00:00:00.000Z",5.58,5.79,5.58,5.71,7224.18
"2023-12-03T00:00:00.000Z",5.45,5.63,5.51,5.55,2577.67
"2023-12-02T00:00:00.000Z",5.31,5.5,5.31,5.49,2386.5
"2023-12-01T00:00:00.000Z",5.19,5.37,5.22,5.31,2452.37
"2023-11-30T00:00:00.000Z",5.16,5.22,5.19,5.21,3465.04
"2023-11-29T00:00:00.000Z",5.16,5.27,5.19,5.18,6943.91
"2023-11-28T00:00:00.000Z",5.1,5.27,5.18,5.21,682.32
"2023-11-27T00:00:00.000Z",5.05,5.29,5.28,5.16,1886.17
"2023-11-26T00:00:00.000Z",5.21,5.37,5.32,5.29,2202.44
"2023-11-25T00:00:00.000Z",5.27,5.35,5.33,5.33,1606.23
"2023-11-24T00:00:00.000Z",5.25,5.4,5.26,5.29,6263.33
"2023-11-23T00:00:00.000Z",5.19,5.28,5.22,5.24,1375.94
"2023-11-22T00:00:00.000Z",4.92,5.31,4.93,5.23,19824.74
"2023-11-21T00:00:00.000Z",4.9,5.21,5.18,4.93,3905.73
"2023-11-20T00:00:00.000Z",5.1,5.25,5.14,5.17,5352.68
"2023-11-19T00:00:00.000Z",4.96,5.12,5.02,5.12,1922.62
"2023-11-18T00:00:00.000Z",4.9,5.04,5.03,5.01,2789.53
"2023-11-17T00:00:00.000Z",4.88,5.17,5.08,5.03,5623.34
"2023-11-16T00:00:00.000Z",5.01,5.3,5.26,5.05,6371.36
"2023-11-15T00:00:00.000Z",5.11,5.25,5.11,5.23,4006.35
"2023-11-14T00:00:00.000Z",4.94,5.31,5.19,5.1,11124.33
"2023-11-13T00:00:00.000Z",5.19,5.43,5.25,5.28,6676.49
"2023-11-12T00:00:00.000Z",5.11,5.37,5.25,5.26,5792.86
"2023-11-11T00:00:00.000Z",5.17,5.39,5.35,5.18,8161.57
"2023-11-10T00:00:00.000Z",5.24,5.46,5.42,5.41,21661.45
"2023-11-09T00:00:00.000Z",4.79,5.44,4.82,5.38,39469.41
"2023-11-08T00:00:00.000Z",4.83,4.93,4.89,4.85,9518.51
"2023-11-07T00:00:00.000Z",4.8,4.97,4.86,4.88,7061.91
"2023-11-06T00:00:00.000Z",4.74,4.91,4.79,4.87,5917.72
"2023-11-05T00:00:00.000Z",4.7,4.88,4.73,4.81,11984.03
"2023-11-04T00:00:00.000Z",4.63,4.77,4.65,4.77,8599.44
"2023-11-03T00:00:00.000Z",4.4,4.67,4.54,4.67,18599.73
"2023-11-02T00:00:00.000Z",4.52,5.02,4.93,4.53,27294.81
"2023-11-01T00:00:00.000Z",4.74,4.98,4.84,4.91,6288.74
"2023-10-31T00:00:00.000Z",4.68,4.9,4.8,4.83,6160.35
"2023-10-30T00:00:00.000Z",4.69,4.89,4.88,4.8,17720.68
"2023-10-29T00:00:00.000Z",4.84,4.96,4.95,4.91,16022.23
"2023-10-28T00:00:00.000Z",4.83,4.97,4.83,4.93,3015.56
"2023-10-27T00:00:00.000Z",4.7,4.84,4.75,4.83,5970.83
"2023-10-26T00:00:00.000Z",4.6,4.97,4.92,4.79,12447.73
"2023-10-25T00:00:00.000Z",4.79,5.19,5.06,4.94,20026.82
"2023-10-24T00:00:00.000Z",4.93,5.38,5,5.04,23206.39
"2023-10-23T00:00:00.000Z",4.86,5.04,4.94,5,12155.56
"2023-10-22T00:00:00.000Z",4.8,4.96,4.84,4.95,1672.27
"2023-10-21T00:00:00.000Z",4.74,4.89,4.78,4.83,3050.29
"2023-10-20T00:00:00.000Z",4.55,4.77,4.57,4.76,7795.95
"2023-10-19T00:00:00.000Z",4.5,4.62,4.55,4.6,2879.5
"2023-10-18T00:00:00.000Z",4.53,4.64,4.57,4.56,1696.02
"2023-10-17T00:00:00.000Z",4.45,4.67,4.66,4.61,2551.4
"2023-10-16T00:00:00.000Z",4.59,4.85,4.6,4.68,24157.33
"2023-10-15T00:00:00.000Z",4.56,4.64,4.56,4.61,4200.59
"2023-10-14T00:00:00.000Z",4.55,4.64,4.55,4.56,5388.79
"2023-10-13T00:00:00.000Z",4.52,4.67,4.62,4.55,2372.11
"2023-10-12T00:00:00.000Z",4.57,4.64,4.57,4.64,2723.43
"2023-10-11T00:00:00.000Z",4.57,4.68,4.64,4.62,1775.54
"2023-10-10T00:00:00.000Z",4.63,4.7,4.63,4.67,5815.7
"2023-10-09T00:00:00.000Z",4.54,4.83,4.82,4.63,23621.13
"2023-10-08T00:00:00.000Z",4.74,4.86,4.75,4.82,2640.46
"2023-10-07T00:00:00.000Z",4.77,4.84,4.83,4.8,1324.38
"2023-10-06T00:00:00.000Z",4.8,4.9,4.82,4.84,3860.28
"2023-10-05T00:00:00.000Z",4.7,4.93,4.92,4.82,7620.57
"2023-10-04T00:00:00.000Z",4.81,4.95,4.91,4.92,5605.99
"2023-10-03T00:00:00.000Z",4.85,5.03,4.94,4.91,10032.72
"2023-10-02T00:00:00.000Z",4.81,5.22,5.16,4.97,17750.35
"2023-10-01T00:00:00.000Z",5.03,5.19,5.06,5.13,7590.9
"2023-09-30T00:00:00.000Z",4.97,5.16,5.04,5.11,3760.03
