"price","volume","time","side","orderType"
"5.66000000","0.17000000","2024-01-05T15:37:44.754Z","sell","maker"
"5.63000000","0.13000000","2024-01-05T15:25:38.326Z","buy","maker"
"5.64000000","1.17000000","2024-01-05T15:04:54.900Z","sell","maker"
"5.63000000","75.61000000","2024-01-05T14:54:15.043Z","buy","maker"
"5.63000000","16.53000000","2024-01-05T14:53:27.599Z","buy","maker"
"5.61000000","10.00000000","2024-01-05T14:42:54.887Z","buy","maker"
"5.70000000","1.74000000","2024-01-05T13:26:47.045Z","sell","maker"
"5.68000000","0.13000000","2024-01-05T12:06:10.020Z","sell","maker"
"5.68000000","1.71000000","2024-01-05T11:47:55.065Z","sell","maker"
"5.66000000","0.19000000","2024-01-05T11:17:06.332Z","buy","maker"
"5.69000000","111.24000000","2024-01-05T11:10:11.065Z","buy","maker"
"5.74000000","0.17000000","2024-01-05T09:28:52.155Z","sell","maker"
"5.72000000","4.78000000","2024-01-05T08:23:51.164Z","sell","maker"
"5.75000000","0.51000000","2024-01-05T07:29:13.239Z","sell","maker"
"5.75000000","9.82000000","2024-01-05T07:27:21.337Z","sell","maker"
"5.75000000","0.24000000","2024-01-05T07:15:57.050Z","sell","maker"
"5.74000000","0.13000000","2024-01-05T07:07:48.789Z","sell","maker"
"5.69000000","14.93000000","2024-01-05T06:27:08.301Z","buy","maker"
"5.69000000","3.53000000","2024-01-05T06:26:13.207Z","buy","maker"
"5.67000000","33.37000000","2024-01-05T05:38:11.413Z","buy","maker"
"5.70000000","34.12000000","2024-01-05T05:29:45.476Z","sell","maker"
"5.68000000","40.34000000","2024-01-05T05:12:27.667Z","buy","maker"
"5.65000000","293.37000000","2024-01-05T04:26:33.176Z","buy","maker"
"5.66000000","10.00000000","2024-01-05T04:26:33.176Z","buy","maker"
"5.66000000","296.63000000","2024-01-05T04:26:33.176Z","buy","maker"
"5.65000000","26.00000000","2024-01-05T04:25:39.458Z","sell","maker"
"5.65000000","121.92000000","2024-01-05T04:25:38.682Z","sell","maker"
"5.65000000","159.98000000","2024-01-05T04:25:37.499Z","sell","maker"
"5.65000000","10.00000000","2024-01-05T04:25:36.565Z","buy","maker"
"5.65000000","296.63000000","2024-01-05T04:25:36.565Z","buy","maker"
"5.67000000","4.87000000","2024-01-05T04:04:43.693Z","sell","maker"
