"time","open","high","low","close","volume"
"2022-06-02T00:00:00.000Z","6.0909","6.4805","5.9796","6.3895","77133.74797521"
"2022-06-03T00:00:00.000Z","6.3856","6.4775","5.9952","6.1209","52212.33856785"
"2022-06-04T00:00:00.000Z","6.1500","6.2151","6.0060","6.1860","44178.20721799"
"2022-06-05T00:00:00.000Z","6.1871","6.2488","6.0497","6.0933","27449.83752990"
"2022-06-06T00:00:00.000Z","6.0982","6.4307","6.0982","6.3872","53798.43476755"
"2022-06-07T00:00:00.000Z","6.3872","6.3901","5.8488","6.0320","136699.89979166"
"2022-06-08T00:00:00.000Z","6.0310","6.1121","5.6651","5.6858","88512.28457458"
"2022-06-09T00:00:00.000Z","5.6799","5.9069","5.6502","5.7158","73812.38592370"
"2022-06-10T00:00:00.000Z","5.7193","5.7347","5.1233","5.1604","91482.54837241"
"2022-06-11T00:00:00.000Z","5.1604","5.5726","4.6865","4.7321","88085.19864468"
"2022-06-12T00:00:00.000Z","4.7559","4.7798","3.8800","3.8809","183719.30311586"
"2022-06-13T00:00:00.000Z","3.9119","3.9697","3.2275","3.4810","584382.88838087"
"2022-06-14T00:00:00.000Z","3.4740","3.9413","3.2500","3.6168","362552.58078310"
"2022-06-15T00:00:00.000Z","3.6096","4.2723","3.0678","4.1549","481261.16265327"
"2022-06-16T00:00:00.000Z","4.1604","4.2966","3.2984","3.3726","246265.84871291"
"2022-06-17T00:00:00.000Z","3.3488","3.8334","3.3488","3.7384","101820.04873632"
"2022-06-18T00:00:00.000Z","3.7277","3.8539","3.1185","3.6152","369499.36754872"
"2022-06-19T00:00:00.000Z","3.6207","4.5110","3.4019","4.1408","596011.33478131"
"2022-06-20T00:00:00.000Z","4.1139","4.8289","3.8646","4.4897","910551.02908681"
"2022-06-21T00:00:00.000Z","4.4830","4.8479","4.3169","4.3877","678181.45589126"
"2022-06-22T00:00:00.000Z","4.3721","4.3808","3.9581","3.9784","331919.24798306"
"2022-06-23T00:00:00.000Z","3.9721","4.4753","3.9681","4.3953","291845.20161366"
"2022-06-24T00:00:00.000Z","4.3867","4.6134","4.3500","4.4856","309038.09221288"
"2022-06-25T00:00:00.000Z","4.4839","4.6692","4.2788","4.5803","267798.86388667"
"2022-06-26T00:00:00.000Z","4.5386","5.2923","4.5162","4.6925","509151.25334339"
"2022-06-27T00:00:00.000Z","4.6850","5.2423","4.6600","5.1122","261319.33034442"
"2022-06-28T00:00:00.000Z","5.0993","5.5663","4.7956","4.9082","904854.98768322"
"2022-06-29T00:00:00.000Z","4.9000","5.1244","4.6112","4.6727","502552.78087430"
"2022-06-30T00:00:00.000Z","4.6887","4.7427","4.2091","4.6156","314993.69718666"
"2022-07-01T00:00:00.000Z","4.6121","4.8129","4.3517","4.5000","118078.06625712"
"2022-07-02T00:00:00.000Z","4.5186","4.6191","4.3620","4.5095","32185.39333975"
"2022-07-03T00:00:00.000Z","4.5053","4.6948","4.4672","4.5574","54088.35114869"
"2022-07-04T00:00:00.000Z","4.5655","4.9364","4.4067","4.9140","118695.78440288"
"2022-07-05T00:00:00.000Z","4.9153","5.0839","4.6180","4.9101","246325.57800830"
"2022-07-06T00:00:00.000Z","4.9130","5.1608","4.7641","5.0156","362725.07052950"
"2022-07-07T00:00:00.000Z","5.0343","5.2368","4.8923","5.1198","364252.17086389"
"2022-07-08T00:00:00.000Z","5.1007","5.2941","4.9125","4.9378","184221.93442725"
"2022-07-09T00:00:00.000Z","4.9570","5.0909","4.9525","5.0041","60657.64614867"
"2022-07-10T00:00:00.000Z","5.0104","5.0413","4.7071","4.7852","149850.36742864"
"2022-07-11T00:00:00.000Z","4.7738","4.7738","4.2852","4.3311","116718.86960736"
