"price","volume","timestamp","type"
"1.227","14.27","2024-05-27T19:27:49.834Z","bid"
"1.225","99.33","2024-05-27T19:27:49.834Z","bid"
"1.224","12541.47","2024-05-27T19:27:49.834Z","bid"
"1.223","16.98","2024-05-27T19:27:49.834Z","bid"
"1.222","21.15","2024-05-27T19:27:49.834Z","bid"
"1.221","22.54","2024-05-27T19:27:49.834Z","bid"
"1.22","3.63","2024-05-27T19:27:49.834Z","bid"
"1.217","0.98","2024-05-27T19:27:49.834Z","bid"
"1.216","21.25","2024-05-27T19:27:49.834Z","bid"
"1.215","184.63","2024-05-27T19:27:49.834Z","bid"
"1.21","0.99","2024-05-27T19:27:49.834Z","bid"
"1.209","35.86","2024-05-27T19:27:49.834Z","bid"
"1.208","0.99","2024-05-27T19:27:49.834Z","bid"
"1.207","41.29","2024-05-27T19:27:49.834Z","bid"
"1.203","25.05","2024-05-27T19:27:49.834Z","bid"
"1.202","11.9","2024-05-27T19:27:49.834Z","bid"
"1.201","50.23","2024-05-27T19:27:49.834Z","bid"
"1.2","5194.48","2024-05-27T19:27:49.834Z","bid"
"1.197","224.18","2024-05-27T19:27:49.834Z","bid"
"1.195","1","2024-05-27T19:27:49.834Z","bid"
"1.194","1","2024-05-27T19:27:49.834Z","bid"
"1.192","95.48","2024-05-27T19:27:49.834Z","bid"
"1.191","24.3","2024-05-27T19:27:49.834Z","bid"
"1.188","1.01","2024-05-27T19:27:49.834Z","bid"
"1.187","1.01","2024-05-27T19:27:49.834Z","bid"
"1.186","13.83","2024-05-27T19:27:49.834Z","bid"
"1.185","24.42","2024-05-27T19:27:49.834Z","bid"
"1.184","38.61","2024-05-27T19:27:49.834Z","bid"
"1.183","9.52","2024-05-27T19:27:49.834Z","bid"
"1.182","296.1","2024-05-27T19:27:49.834Z","bid"
"1.18","105.44","2024-05-27T19:27:49.834Z","bid"
"1.179","24.55","2024-05-27T19:27:49.834Z","bid"
"1.174","13.3","2024-05-27T19:27:49.834Z","bid"
