"price","volume","time","side","orderType"
"1.260400","39.86082732","2024-05-18T09:34:19.475Z","s","m"
"1.260400","22.56508397","2024-05-18T09:34:19.475Z","s","m"
"1.259900","0.78191000","2024-05-18T09:38:54.034Z","b","l"
"1.263100","7.91702953","2024-05-18T09:56:03.688Z","b","m"
"1.258800","25.22243406","2024-05-18T11:14:30.713Z","b","m"
"1.255000","108.77238043","2024-05-18T11:37:16.486Z","b","l"
"1.255000","54.38738043","2024-05-18T11:37:18.499Z","b","l"
"1.255000","27.19738043","2024-05-18T11:37:20.519Z","b","l"
"1.255000","13.60238043","2024-05-18T11:37:22.557Z","b","l"
"1.255000","6.80238043","2024-05-18T11:37:24.581Z","b","l"
"1.255000","1435.37174155","2024-05-18T11:37:55.488Z","b","l"
"1.255000","1806.85035564","2024-05-18T11:37:55.488Z","b","l"
"1.255000","1435.37174155","2024-05-18T11:38:05.214Z","s","l"
"1.256000","41.20875815","2024-05-18T11:46:35.747Z","b","l"
"1.256000","144.77356000","2024-05-18T11:47:34.992Z","s","l"
"1.252500","88.34889360","2024-05-18T12:18:54.731Z","s","m"
"1.253000","72.18070113","2024-05-18T12:18:55.355Z","b","m"
"1.253500","1120.65745237","2024-05-18T12:18:55.355Z","b","m"
"1.253500","638.21403680","2024-05-18T12:18:55.355Z","b","m"
"1.253700","632.71580970","2024-05-18T12:18:55.355Z","b","m"
"1.250900","8.11537023","2024-05-18T12:21:12.889Z","s","m"
"1.250900","87.59593118","2024-05-18T12:21:12.889Z","s","m"
"1.249300","584.02456310","2024-05-18T12:21:24.378Z","s","l"
"1.249300","19.99583218","2024-05-18T12:21:24.379Z","s","l"
"1.249300","584.02456310","2024-05-18T12:21:24.386Z","s","l"
"1.249300","584.02456310","2024-05-18T12:21:24.403Z","s","l"
"1.245700","561.95060989","2024-05-18T12:58:15.936Z","b","l"
"1.245900","561.84284453","2024-05-18T12:58:15.936Z","b","l"
"1.246000","168.19614558","2024-05-18T12:58:15.936Z","b","l"
"1.244600","8.15644915","2024-05-18T13:01:30.934Z","s","l"
"1.244400","139.60094000","2024-05-18T13:05:27.212Z","s","l"
"1.239600","806.67869116","2024-05-18T13:38:12.297Z","s","l"
"1.239500","567.12464884","2024-05-18T13:38:12.297Z","s","l"
"1.238300","8.19794607","2024-05-18T13:39:06.166Z","s","l"
"1.240000","7.85248000","2024-05-18T13:42:24.362Z","b","l"
"1.235100","33.80957027","2024-05-18T14:00:19.177Z","s","l"
"1.232200","16.28649224","2024-05-18T14:00:22.499Z","s","l"
"1.232100","8.23919862","2024-05-18T14:03:31.491Z","s","l"
"1.230000","26.82926830","2024-05-18T14:03:33.128Z","s","l"
"1.228700","12.78262776","2024-05-18T14:03:33.136Z","s","l"
"1.235900","2.00000000","2024-05-18T14:47:42.439Z","b","l"
"1.236300","202.19993529","2024-05-18T14:48:51.849Z","b","m"
"1.242200","8.22931144","2024-05-18T15:07:37.111Z","b","l"
"1.247700","14.69741877","2024-05-18T15:39:09.209Z","s","m"
"1.247500","1120.65745237","2024-05-18T15:42:40.557Z","s","l"
"1.247400","154.20234763","2024-05-18T15:42:40.557Z","s","l"
"1.247300","130.31674000","2024-05-18T15:45:25.255Z","s","l"
"1.247900","1120.65745237","2024-05-18T16:03:32.515Z","s","l"
"1.247800","719.32631769","2024-05-18T16:03:32.515Z","s","l"
"1.247700","801.43876112","2024-05-18T16:03:32.515Z","s","l"
"1.247500","693.34366872","2024-05-18T16:03:32.515Z","s","l"
"1.247400","665.23380010","2024-05-18T16:03:32.515Z","s","l"
"1.248400","8.18810839","2024-05-18T16:08:18.324Z","b","l"
"1.251000","0.78755000","2024-05-18T16:09:17.039Z","b","l"
"1.249100","61.19820436","2024-05-18T16:30:26.627Z","b","m"
"1.245900","8.92140000","2024-05-18T16:37:24.323Z","s","l"
"1.245900","151.60512700","2024-05-18T16:50:33.587Z","s","l"
"1.254600","16.05994878","2024-05-18T17:22:38.536Z","b","l"
"1.254800","8.14666126","2024-05-18T17:22:55.450Z","b","l"
"1.252500","194.30522000","2024-05-18T17:50:51.735Z","b","l"
"1.249700","37.03101387","2024-05-18T18:31:52.458Z","s","m"
"1.249600","589.00466000","2024-05-18T19:22:42.227Z","s","l"
"1.252500","36.01653368","2024-05-18T19:35:58.364Z","b","l"
