"price","volume","time","side","orderType"
"2.18200000","7.03000000","2024-06-22T14:21:39.830Z","sell","maker"
"2.19500000","2.32000000","2024-06-22T02:06:10.477Z","sell","maker"
"2.22600000","5.14000000","2024-06-22T00:44:47.239Z","sell","maker"
"2.23600000","8.05000000","2024-06-22T00:39:44.782Z","sell","maker"
"2.24800000","9.22000000","2024-06-21T22:41:23.799Z","sell","maker"
"2.23800000","30.91000000","2024-06-21T21:09:27.501Z","sell","maker"
"2.28100000","7.89000000","2024-06-21T17:23:53.486Z","sell","maker"
"2.32600000","7.89000000","2024-06-21T14:16:02.819Z","buy","taker"
"2.28100000","2.00000000","2024-06-21T07:52:26.832Z","sell","maker"
"2.28100000","7.89000000","2024-06-21T07:52:26.832Z","sell","maker"
"2.32600000","7.89000000","2024-06-21T05:38:47.336Z","buy","taker"
"2.31300000","13.29000000","2024-06-21T00:34:05.148Z","buy","taker"
"2.31400000","116.22000000","2024-06-21T00:34:05.148Z","buy","taker"
"2.28100000","7.89000000","2024-06-20T16:05:16.250Z","sell","maker"
"2.32600000","7.73000000","2024-06-20T12:59:27.216Z","sell","maker"
"2.33000000","120.00000000","2024-06-20T12:58:33.279Z","sell","maker"
"2.37200000","7.73000000","2024-06-20T07:18:06.060Z","buy","taker"
"2.32600000","7.89000000","2024-06-20T01:32:49.055Z","buy","taker"
"2.29500000","5.04000000","2024-06-19T17:21:33.939Z","buy","taker"
"2.28100000","8.05000000","2024-06-19T17:13:16.229Z","buy","taker"
"2.23600000","8.05000000","2024-06-19T14:29:19.892Z","sell","maker"
"2.28100000","8.05000000","2024-06-19T13:18:48.125Z","buy","taker"
"2.22600000","5.13000000","2024-06-19T10:21:41.247Z","sell","maker"
"2.20200000","1.19000000","2024-06-19T10:21:41.247Z","sell","maker"
"2.23600000","6.44000000","2024-06-19T09:21:50.945Z","sell","maker"
"2.23600000","1.61000000","2024-06-19T09:21:43.819Z","sell","maker"
"2.28100000","7.89000000","2024-06-19T07:12:18.976Z","sell","maker"
"2.32600000","7.89000000","2024-06-19T04:47:03.915Z","buy","taker"
"2.25400000","249.02000000","2024-06-19T03:59:00.721Z","buy","taker"
"2.28100000","7.89000000","2024-06-19T01:45:30.645Z","sell","maker"
"2.32600000","7.89000000","2024-06-19T01:20:05.529Z","buy","taker"
"2.29500000","5.03000000","2024-06-19T01:08:54.481Z","buy","taker"
"2.28100000","8.05000000","2024-06-19T01:05:20.248Z","buy","taker"
"2.23600000","6.98000000","2024-06-18T23:16:44.871Z","buy","taker"
"2.23600000","1.23000000","2024-06-18T22:08:06.503Z","buy","taker"
"2.19200000","8.37000000","2024-06-18T20:51:55.164Z","buy","taker"
"2.14900000","8.37000000","2024-06-18T19:03:08.577Z","sell","maker"
"2.16200000","0.60000000","2024-06-18T15:24:35.733Z","sell","maker"
"2.19200000","8.21000000","2024-06-18T15:18:36.569Z","sell","maker"
"2.23600000","8.21000000","2024-06-18T14:35:41.078Z","buy","taker"
"2.19200000","8.37000000","2024-06-18T14:19:11.279Z","buy","taker"
"2.14900000","8.37000000","2024-06-18T14:05:13.884Z","sell","maker"
"2.14900000","0.52000000","2024-06-18T14:05:13.884Z","sell","maker"
"2.16600000","39.87000000","2024-06-18T13:47:40.539Z","sell","maker"
"2.19200000","8.21000000","2024-06-18T13:04:41.297Z","sell","maker"
"2.23600000","8.05000000","2024-06-18T12:58:47.412Z","sell","maker"
"2.28100000","202.94000000","2024-06-18T12:58:45.270Z","sell","maker"
"2.23600000","8.21000000","2024-06-18T12:58:43.934Z","buy","taker"
"2.28100000","8.05000000","2024-06-18T12:58:43.934Z","buy","taker"
"2.16600000","5.32000000","2024-06-18T12:21:40.135Z","sell","maker"
"2.19200000","8.21000000","2024-06-18T11:37:03.034Z","sell","maker"
"2.25800000","20.00000000","2024-06-18T07:26:34.376Z","buy","taker"
"2.23600000","8.05000000","2024-06-18T05:49:20.744Z","sell","maker"
"2.28100000","7.89000000","2024-06-18T03:34:19.653Z","sell","maker"
"2.32600000","34.06000000","2024-06-18T03:34:16.220Z","sell","maker"
"2.28100000","8.05000000","2024-06-18T03:34:16.208Z","buy","taker"
"2.32600000","7.89000000","2024-06-18T03:34:16.208Z","buy","taker"
"2.21300000","44.11000000","2024-06-18T01:59:18.808Z","sell","maker"
"2.21300000","87.88000000","2024-06-18T01:59:18.808Z","sell","maker"
"2.21300000","44.55000000","2024-06-18T01:59:18.808Z","sell","maker"
"2.21300000","87.88000000","2024-06-18T01:59:03.998Z","buy","taker"
"2.23600000","10.84000000","2024-06-18T01:52:11.922Z","sell","maker"
"2.23600000","7.73000000","2024-06-18T01:52:09.701Z","buy","taker"
"2.23600000","0.64000000","2024-06-18T01:49:16.450Z","buy","taker"
"2.19200000","7.51000000","2024-06-18T01:47:15.423Z","buy","taker"
"2.19200000","0.86000000","2024-06-18T01:46:16.409Z","buy","taker"
"2.14900000","6.58000000","2024-06-18T01:44:24.780Z","sell","maker"
"2.14900000","5.61000000","2024-06-18T01:44:24.670Z","buy","taker"
"2.14900000","2.93000000","2024-06-18T01:44:22.894Z","buy","taker"
"2.10800000","336.90000000","2024-06-18T01:44:10.387Z","sell","maker"
"2.14900000","8.37000000","2024-06-18T01:44:10.100Z","sell","maker"
"2.12300000","3.54000000","2024-06-18T01:44:10.100Z","sell","maker"
"2.10700000","8.54000000","2024-06-18T01:44:10.100Z","sell","maker"
"2.23600000","52.73000000","2024-06-18T01:44:03.556Z","sell","maker"
"2.23600000","8.21000000","2024-06-18T01:44:03.547Z","buy","taker"
"2.14900000","8.37000000","2024-06-18T01:44:00.034Z","sell","maker"
"2.16300000","7.43000000","2024-06-18T01:43:54.506Z","sell","maker"
"2.19200000","8.21000000","2024-06-18T01:43:20.027Z","sell","maker"
"2.18800000","25.57000000","2024-06-18T01:43:20.027Z","sell","maker"
"2.18800000","7.67000000","2024-06-18T01:43:20.027Z","sell","maker"
"2.18700000","14.97000000","2024-06-18T01:43:20.027Z","sell","maker"
"2.23600000","76.47000000","2024-06-18T01:42:25.898Z","sell","maker"
"2.23600000","8.21000000","2024-06-18T01:42:25.790Z","buy","taker"
"2.20100000","2.47000000","2024-06-18T01:42:12.651Z","sell","maker"
"2.19200000","8.21000000","2024-06-18T01:42:12.651Z","sell","maker"
"2.20200000","7.42000000","2024-06-18T01:42:11.400Z","sell","maker"
"2.20300000","22.70000000","2024-06-18T01:42:10.429Z","sell","maker"
"2.23600000","8.05000000","2024-06-18T01:41:50.386Z","sell","maker"
"2.24000000","2.81000000","2024-06-18T01:41:50.145Z","sell","maker"
"2.23700000","31.29000000","2024-06-18T01:41:50.145Z","sell","maker"
"2.23700000","44.70000000","2024-06-18T01:41:50.145Z","sell","maker"
"2.23900000","9.38000000","2024-06-18T01:41:49.538Z","sell","maker"
"2.27600000","8.41000000","2024-06-18T01:41:42.532Z","sell","maker"
"2.29200000","2.16000000","2024-06-18T01:41:39.750Z","sell","maker"
"2.28100000","7.89000000","2024-06-18T01:41:39.750Z","sell","maker"
"2.29500000","2.83000000","2024-06-18T01:41:21.463Z","sell","maker"
"2.29400000","8.73000000","2024-06-18T01:41:21.463Z","sell","maker"
"2.32200000","8.67000000","2024-06-18T01:23:40.051Z","sell","maker"
"2.32600000","7.73000000","2024-06-18T01:23:37.729Z","sell","maker"
"2.32600000","70.00000000","2024-06-18T01:23:37.729Z","sell","maker"
"2.32800000","9.01000000","2024-06-18T01:23:37.088Z","sell","maker"
"2.37200000","7.58000000","2024-06-18T00:35:32.321Z","sell","maker"
"2.42000000","7.43000000","2024-06-17T23:45:06.620Z","sell","maker"
"2.46800000","7.29000000","2024-06-17T20:14:13.402Z","sell","maker"
"2.46800000","7.43000000","2024-06-17T18:06:20.955Z","buy","taker"
"2.47100000","2.70000000","2024-06-17T18:06:20.955Z","buy","taker"
"2.51700000","7.29000000","2024-06-17T18:06:20.955Z","buy","taker"
"2.51900000","403.61000000","2024-06-17T18:06:20.955Z","buy","taker"
"2.42000000","7.58000000","2024-06-17T16:43:27.628Z","buy","taker"
"2.33900000","8.56000000","2024-06-17T16:19:50.224Z","sell","maker"
"2.34900000","12.91000000","2024-06-17T16:19:38.637Z","sell","maker"
"2.37900000","1.89000000","2024-06-17T16:17:53.025Z","sell","maker"
"2.37200000","7.58000000","2024-06-17T16:17:53.025Z","sell","maker"
"2.46200000","1.66000000","2024-06-17T15:38:18.656Z","sell","maker"
"2.42000000","7.43000000","2024-06-17T15:38:18.656Z","sell","maker"
"2.46800000","7.29000000","2024-06-17T12:48:20.688Z","sell","maker"
"2.48000000","10.00000000","2024-06-17T12:29:34.465Z","sell","maker"
"2.56600000","1.13000000","2024-06-17T12:04:58.428Z","buy","taker"
"2.56700000","0.41000000","2024-06-17T10:08:16.996Z","sell","maker"
"2.54100000","1.46000000","2024-06-17T10:08:16.996Z","sell","maker"
"2.51700000","7.15000000","2024-06-17T10:08:16.996Z","sell","maker"
"2.57400000","21.05000000","2024-06-17T09:24:14.822Z","buy","taker"
"2.56700000","6.60000000","2024-06-17T09:21:42.857Z","sell","maker"
"2.57200000","5.27000000","2024-06-17T08:47:06.286Z","sell","maker"
"2.57200000","38.88000000","2024-06-17T08:47:06.286Z","sell","maker"
"2.57700000","32.26000000","2024-06-17T08:40:47.295Z","sell","maker"
"2.59600000","5.27000000","2024-06-17T08:34:44.217Z","sell","maker"
"2.61900000","6.87000000","2024-06-17T08:31:24.302Z","sell","maker"
"2.67100000","6.87000000","2024-06-17T07:32:30.962Z","buy","taker"
"2.61600000","1.29000000","2024-06-17T07:10:38.308Z","sell","maker"
"2.61500000","60.00000000","2024-06-17T07:10:38.308Z","sell","maker"
"2.61900000","5.80000000","2024-06-17T07:10:36.290Z","sell","maker"
"2.67000000","50.00000000","2024-06-17T06:00:19.777Z","sell","maker"
"2.71700000","3.12000000","2024-06-17T04:11:31.170Z","sell","maker"
"2.68700000","1.14000000","2024-06-17T04:11:31.170Z","sell","maker"
"2.67100000","6.73000000","2024-06-17T04:11:31.170Z","sell","maker"
"2.64500000","3.78000000","2024-06-17T04:11:31.170Z","sell","maker"
"2.61900000","1.07000000","2024-06-17T04:11:31.170Z","sell","maker"
"2.72400000","5.81000000","2024-06-17T04:05:43.494Z","sell","maker"
"2.80900000","11.38000000","2024-06-17T03:31:15.732Z","buy","taker"
"2.83300000","2.65000000","2024-06-17T03:28:38.133Z","buy","taker"
"2.83300000","1.22000000","2024-06-17T03:28:38.133Z","buy","taker"
"2.83300000","5.64000000","2024-06-17T03:09:04.178Z","buy","taker"
"2.75200000","9.96000000","2024-06-17T02:46:42.726Z","buy","taker"
"2.75300000","2.76000000","2024-06-17T02:16:19.315Z","sell","maker"
"2.75200000","215.82000000","2024-06-17T02:16:19.315Z","sell","maker"
"2.75300000","6.95000000","2024-06-17T02:16:01.878Z","sell","maker"
"2.77900000","2.87000000","2024-06-17T01:42:16.137Z","sell","maker"
"2.77800000","6.47000000","2024-06-17T01:42:16.137Z","sell","maker"
"2.75500000","1.02000000","2024-06-17T01:42:16.137Z","sell","maker"
"2.73600000","3.12000000","2024-06-17T01:42:16.137Z","sell","maker"
"2.72500000","3.12000000","2024-06-17T01:42:16.137Z","sell","maker"
"2.72400000","0.79000000","2024-06-17T01:42:16.137Z","sell","maker"
"2.82000000","0.90000000","2024-06-17T01:41:58.890Z","sell","maker"
"2.79000000","70.00000000","2024-06-17T01:41:58.890Z","sell","maker"
"2.83400000","6.35000000","2024-06-17T01:23:21.998Z","sell","maker"
"2.88200000","0.80000000","2024-06-17T01:16:29.042Z","sell","maker"
"2.84300000","2.87000000","2024-06-17T01:16:29.042Z","sell","maker"
"2.88400000","20.00000000","2024-06-17T01:02:11.181Z","sell","maker"
"2.88400000","13.00000000","2024-06-17T01:02:11.181Z","sell","maker"
"2.88600000","37.18000000","2024-06-17T00:45:32.648Z","buy","taker"
"2.88600000","0.80000000","2024-06-17T00:45:32.640Z","sell","maker"
"2.93900000","15.80000000","2024-06-17T00:28:53.390Z","sell","maker"
"2.93900000","12.00000000","2024-06-17T00:23:01.077Z","sell","maker"
"2.93900000","8.00000000","2024-06-17T00:22:58.982Z","buy","taker"
"2.90000000","21.14000000","2024-06-17T00:22:54.539Z","sell","maker"
"2.93900000","0.79000000","2024-06-17T00:21:44.613Z","buy","taker"
"2.89200000","2.84000000","2024-06-17T00:21:41.519Z","buy","taker"
"2.89800000","1.62000000","2024-06-17T00:21:41.519Z","buy","taker"
"2.89000000","5.55000000","2024-06-17T00:21:08.725Z","buy","taker"
"2.88400000","235.70000000","2024-06-17T00:20:27.789Z","buy","taker"
"2.88400000","7.47000000","2024-06-17T00:14:46.533Z","buy","taker"
"2.88000000","15.36000000","2024-06-17T00:12:58.453Z","sell","maker"
"2.88000000","100.00000000","2024-06-17T00:08:15.147Z","buy","taker"
"2.87900000","4.16000000","2024-06-16T23:58:33.746Z","buy","taker"
"2.87900000","15.89000000","2024-06-16T23:56:02.730Z","buy","taker"
"2.83300000","15.05000000","2024-06-16T23:54:44.138Z","buy","taker"
"2.83300000","0.82000000","2024-06-16T23:54:43.055Z","sell","maker"
"2.88400000","15.94000000","2024-06-16T23:31:28.940Z","sell","maker"
"2.86100000","2.83000000","2024-06-16T23:12:10.525Z","buy","taker"
"2.88400000","7.02000000","2024-06-16T23:12:10.525Z","buy","taker"
"2.88900000","0.80000000","2024-06-16T22:02:07.075Z","buy","taker"
"2.83400000","1.04000000","2024-06-16T22:02:02.362Z","buy","taker"
"2.87100000","0.82000000","2024-06-16T22:02:02.362Z","buy","taker"
"2.88900000","5.14000000","2024-06-16T22:02:02.362Z","buy","taker"
"2.83400000","0.82000000","2024-06-16T22:01:18.082Z","buy","taker"
"2.80100000","3.07000000","2024-06-16T22:01:14.971Z","buy","taker"
"2.81300000","3.07000000","2024-06-16T22:01:14.971Z","buy","taker"
"2.82100000","3.07000000","2024-06-16T22:01:14.971Z","buy","taker"
"2.83100000","3.57000000","2024-06-16T22:01:14.971Z","buy","taker"
"2.83400000","4.61000000","2024-06-16T22:01:14.971Z","buy","taker"
"2.82300000","14.14000000","2024-06-16T21:51:42.766Z","buy","taker"
"2.83000000","1.06000000","2024-06-16T21:03:55.532Z","buy","taker"
"2.77800000","6.60000000","2024-06-16T20:23:44.323Z","buy","taker"
