"price","volume","timestamp","type"
"5.86","1.877","2024-05-27T19:12:55.465Z","bid"
"5.83","5","2024-05-27T19:12:55.465Z","bid"
"5.8","2.694","2024-05-27T19:12:55.465Z","bid"
"5.75","0.8","2024-05-27T19:12:55.465Z","bid"
"5.7","0.871","2024-05-27T19:12:55.465Z","bid"
"5.69","180","2024-05-27T19:12:55.465Z","bid"
"5.6","10","2024-05-27T19:12:55.465Z","bid"
"5.56","5","2024-05-27T19:12:55.465Z","bid"
"5.55","45.045","2024-05-27T19:12:55.465Z","bid"
"5.5","408.484","2024-05-27T19:12:55.465Z","bid"
"5.42","180","2024-05-27T19:12:55.465Z","bid"
"5.4","184.722","2024-05-27T19:12:55.465Z","bid"
"5.35","58.771","2024-05-27T19:12:55.465Z","bid"
"5.3","28.075","2024-05-27T19:12:55.465Z","bid"
"5.28","7.9","2024-05-27T19:12:55.465Z","bid"
"5.25","1010.8","2024-05-27T19:12:55.465Z","bid"
"5.2","4.807","2024-05-27T19:12:55.465Z","bid"
"5.17","9.632","2024-05-27T19:12:55.465Z","bid"
"5.15","26","2024-05-27T19:12:55.465Z","bid"
"5.1","9.404","2024-05-27T19:12:55.465Z","bid"
"5.08","4","2024-05-27T19:12:55.465Z","bid"
"5.07","20","2024-05-27T19:12:55.465Z","bid"
"5.01","1.943","2024-05-27T19:12:55.465Z","bid"
"5","813.371","2024-05-27T19:12:55.465Z","bid"
"4.96","10","2024-05-27T19:12:55.465Z","bid"
"4.95","164.235","2024-05-27T19:12:55.465Z","bid"
"4.9","466.238","2024-05-27T19:12:55.465Z","bid"
"4.85","102.886","2024-05-27T19:12:55.465Z","bid"
"4.83","10.632","2024-05-27T19:12:55.465Z","bid"
"4.75","1","2024-05-27T19:12:55.465Z","bid"
"4.73","23.707","2024-05-27T19:12:55.465Z","bid"
"4.7","234.041","2024-05-27T19:12:55.465Z","bid"
"4.63","0.385","2024-05-27T19:12:55.465Z","bid"
"4.56","34.001","2024-05-27T19:12:55.465Z","bid"
"4.53","6.284","2024-05-27T19:12:55.465Z","bid"
"4.51","55","2024-05-27T19:12:55.465Z","bid"
"4.5","32.043","2024-05-27T19:12:55.465Z","bid"
"4.47","0.79","2024-05-27T19:12:55.465Z","bid"
"4.46","3.504","2024-05-27T19:12:55.465Z","bid"
"4.42","5","2024-05-27T19:12:55.465Z","bid"
"4.4","2.26","2024-05-27T19:12:55.465Z","bid"
"4.35","7","2024-05-27T19:12:55.465Z","bid"
"4.32","10.81","2024-05-27T19:12:55.465Z","bid"
"4.27","3.491","2024-05-27T19:12:55.465Z","bid"
"4.25","1","2024-05-27T19:12:55.465Z","bid"
"4.23","23","2024-05-27T19:12:55.465Z","bid"
"4.22","3.768","2024-05-27T19:12:55.465Z","bid"
"4.2","9.466","2024-05-27T19:12:55.465Z","bid"
"4.17","0.84","2024-05-27T19:12:55.465Z","bid"
"4.15","11","2024-05-27T19:12:55.465Z","bid"
"4.06","10","2024-05-27T19:12:55.465Z","bid"
"4.04","13.501","2024-05-27T19:12:55.465Z","bid"
"4.03","0.87","2024-05-27T19:12:55.465Z","bid"
"4.01","3.897","2024-05-27T19:12:55.465Z","bid"
"4","152.627","2024-05-27T19:12:55.465Z","bid"
"3.97","25.05","2024-05-27T19:12:55.465Z","bid"
"3.89","10","2024-05-27T19:12:55.465Z","bid"
"3.83","5","2024-05-27T19:12:55.465Z","bid"
"3.82","20","2024-05-27T19:12:55.465Z","bid"
"3.78","5","2024-05-27T19:12:55.465Z","bid"
"3.77","8.42","2024-05-27T19:12:55.465Z","bid"
"3.68","10","2024-05-27T19:12:55.465Z","bid"
"3.66","3","2024-05-27T19:12:55.465Z","bid"
"3.65","23","2024-05-27T19:12:55.465Z","bid"
"3.58","10","2024-05-27T19:12:55.465Z","bid"
"3.57","4.377","2024-05-27T19:12:55.465Z","bid"
"3.55","5.484","2024-05-27T19:12:55.465Z","bid"
"3.52","30","2024-05-27T19:12:55.465Z","bid"
"3.5","4.285","2024-05-27T19:12:55.465Z","bid"
"3.45","32","2024-05-27T19:12:55.465Z","bid"
"3.4","300","2024-05-27T19:12:55.465Z","bid"
"3.36","30","2024-05-27T19:12:55.465Z","bid"
"3.33","5","2024-05-27T19:12:55.465Z","bid"
"3.3","606.061","2024-05-27T19:12:55.465Z","bid"
"3.27","1767.585","2024-05-27T19:12:55.465Z","bid"
"3.25","3","2024-05-27T19:12:55.465Z","bid"
"3.21","340.794","2024-05-27T19:12:55.465Z","bid"
"3.16","30","2024-05-27T19:12:55.465Z","bid"
"3.14","20","2024-05-27T19:12:55.465Z","bid"
"3.12","5.009","2024-05-27T19:12:55.465Z","bid"
"3.08","30","2024-05-27T19:12:55.465Z","bid"
"3.06","10","2024-05-27T19:12:55.465Z","bid"
"3.05","20","2024-05-27T19:12:55.465Z","bid"
"3.03","0.5","2024-05-27T19:12:55.465Z","bid"
"3.01","80","2024-05-27T19:12:55.465Z","bid"
"3","21.625","2024-05-27T19:12:55.465Z","bid"
"2.97","0.2","2024-05-27T19:12:55.465Z","bid"
"2.88","40.222","2024-05-27T19:12:55.465Z","bid"
"2.72","15","2024-05-27T19:12:55.465Z","bid"
"2.68","1003","2024-05-27T19:12:55.465Z","bid"
"2.67","5.853","2024-05-27T19:12:55.465Z","bid"
"2.65","0.992","2024-05-27T19:12:55.465Z","bid"
"2.58","14.668","2024-05-27T19:12:55.465Z","bid"
"2.52","8","2024-05-27T19:12:55.465Z","bid"
"2.51","198","2024-05-27T19:12:55.465Z","bid"
"2.5","25.88","2024-05-27T19:12:55.465Z","bid"
"2.43","427.16","2024-05-27T19:12:55.465Z","bid"
"2.35","20","2024-05-27T19:12:55.465Z","bid"
"2.26","4","2024-05-27T19:12:55.465Z","bid"
"2.23","7.007","2024-05-27T19:12:55.465Z","bid"
"2.15","20","2024-05-27T19:12:55.465Z","bid"
"2.02","0.246","2024-05-27T19:12:55.465Z","bid"
"2","99.637","2024-05-27T19:12:55.465Z","bid"
"1.91","124.963","2024-05-27T19:12:55.465Z","bid"
"1.82","5","2024-05-27T19:12:55.465Z","bid"
"1.69","20.433","2024-05-27T19:12:55.465Z","bid"
"1.67","126.641","2024-05-27T19:12:55.465Z","bid"
"1.6","1.284","2024-05-27T19:12:55.465Z","bid"
"1.56","5856.222","2024-05-27T19:12:55.465Z","bid"
"1.5","500","2024-05-27T19:12:55.465Z","bid"
"1.39","10","2024-05-27T19:12:55.465Z","bid"
"1.31","17.46","2024-05-27T19:12:55.465Z","bid"
"1.01","1","2024-05-27T19:12:55.465Z","bid"
"1","515.014","2024-05-27T19:12:55.465Z","bid"
"0.98","245.58","2024-05-27T19:12:55.465Z","bid"
"0.6","49.7","2024-05-27T19:12:55.465Z","bid"
"0.5","2","2024-05-27T19:12:55.465Z","bid"
"0.1","15.614","2024-05-27T19:12:55.465Z","bid"
"0.02","70","2024-05-27T19:12:55.465Z","bid"
"0.01","17206.4","2024-05-27T19:12:55.465Z","bid"
"15.88","16.8","2024-05-27T19:12:55.464Z","ask"
"15.9","3.533","2024-05-27T19:12:55.464Z","ask"
"15.94","1.973","2024-05-27T19:12:55.464Z","ask"
"15.95","1000","2024-05-27T19:12:55.464Z","ask"
"15.97","8.255","2024-05-27T19:12:55.464Z","ask"
"15.98","3.515","2024-05-27T19:12:55.464Z","ask"
"15.99","36.461","2024-05-27T19:12:55.464Z","ask"
"16","554.089","2024-05-27T19:12:55.464Z","ask"
"16.01","1.968","2024-05-27T19:12:55.464Z","ask"
"16.05","13.199","2024-05-27T19:12:55.464Z","ask"
"16.06","3.498","2024-05-27T19:12:55.464Z","ask"
"16.09","1.968","2024-05-27T19:12:55.464Z","ask"
"16.13","1.968","2024-05-27T19:12:55.464Z","ask"
"16.14","3.48","2024-05-27T19:12:55.464Z","ask"
"16.15","0.342","2024-05-27T19:12:55.464Z","ask"
"16.17","4.611","2024-05-27T19:12:55.464Z","ask"
"16.2","64.25","2024-05-27T19:12:55.464Z","ask"
"16.21","1.968","2024-05-27T19:12:55.464Z","ask"
"16.22","3.463","2024-05-27T19:12:55.464Z","ask"
"16.23","10.461","2024-05-27T19:12:55.464Z","ask"
"16.25","1.968","2024-05-27T19:12:55.464Z","ask"
"16.28","0.5","2024-05-27T19:12:55.464Z","ask"
"16.29","32.649","2024-05-27T19:12:55.464Z","ask"
"16.3","23.446","2024-05-27T19:12:55.464Z","ask"
"16.31","3085.967","2024-05-27T19:12:55.464Z","ask"
"16.37","1","2024-05-27T19:12:55.464Z","ask"
"16.39","65.429","2024-05-27T19:12:55.464Z","ask"
"16.46","6.137","2024-05-27T19:12:55.464Z","ask"
"16.47","6.46","2024-05-27T19:12:55.464Z","ask"
"16.48","10.461","2024-05-27T19:12:55.464Z","ask"
"16.5","126.83","2024-05-27T19:12:55.464Z","ask"
"16.55","3.395","2024-05-27T19:12:55.464Z","ask"
"16.59","1.114","2024-05-27T19:12:55.464Z","ask"
