"price","volume","time","side","orderType"
"7.97000000","0.26000000","2024-06-11T22:27:13.121Z","buy","taker"
"7.99000000","6.26000000","2024-06-11T21:03:38.033Z","buy","taker"
"8.00000000","232.31000000","2024-06-11T21:03:38.033Z","buy","taker"
"7.99000000","1.38000000","2024-06-11T18:44:06.720Z","sell","maker"
"7.98000000","16.48000000","2024-06-11T18:36:49.850Z","buy","taker"
"7.99000000","43.52000000","2024-06-11T18:36:49.850Z","buy","taker"
"7.76000000","17.37000000","2024-06-11T17:22:45.754Z","sell","maker"
"7.80000000","3.45000000","2024-06-11T15:41:46.525Z","buy","taker"
"7.80000000","34.73000000","2024-06-11T15:40:59.096Z","sell","maker"
"7.80000000","16.55000000","2024-06-11T15:40:59.096Z","sell","maker"
"8.00000000","2.18000000","2024-06-11T15:27:39.942Z","buy","taker"
"7.94000000","9.63000000","2024-06-11T15:21:38.383Z","sell","maker"
"7.96000000","1.01000000","2024-06-11T13:48:01.830Z","buy","taker"
"7.90000000","18.04000000","2024-06-11T13:38:56.660Z","buy","taker"
"7.97000000","269.46000000","2024-06-11T13:38:55.657Z","sell","maker"
"7.89000000","67.98000000","2024-06-11T13:38:55.657Z","sell","maker"
"7.88000000","5.64000000","2024-06-11T13:38:55.657Z","sell","maker"
"7.88000000","12.19000000","2024-06-11T13:38:55.657Z","sell","maker"
"7.85000000","1.86000000","2024-06-11T13:38:55.657Z","sell","maker"
"7.82000000","18.04000000","2024-06-11T13:38:55.657Z","sell","maker"
"8.16000000","367.17000000","2024-06-11T13:37:55.000Z","sell","maker"
"8.16000000","0.47000000","2024-06-11T13:37:34.762Z","sell","maker"
"8.16000000","12.72000000","2024-06-11T08:00:17.302Z","buy","taker"
"8.19000000","1.22000000","2024-06-11T07:00:14.670Z","buy","taker"
"8.00000000","2.06000000","2024-06-11T06:57:00.925Z","sell","maker"
"8.00000000","12.50000000","2024-06-11T06:57:00.925Z","sell","maker"
"7.97000000","16.91000000","2024-06-11T06:57:00.925Z","sell","maker"
"8.00000000","0.50000000","2024-06-11T06:57:00.053Z","sell","maker"
"8.00000000","0.56000000","2024-06-11T06:56:27.181Z","sell","maker"
"8.15000000","0.18000000","2024-06-11T04:48:27.795Z","buy","taker"
"8.08000000","3.44000000","2024-06-11T04:33:31.357Z","sell","maker"
"8.08000000","0.51000000","2024-06-11T04:33:28.720Z","sell","maker"
