"price","volume","timestamp","type"
"8.449","149.27","2024-05-25T21:43:52.505Z","ask"
"8.45","103.51","2024-05-25T21:43:52.505Z","ask"
"8.451","84.01","2024-05-25T21:43:52.505Z","ask"
"8.452","84.61","2024-05-25T21:43:52.505Z","ask"
"8.453","420.89","2024-05-25T21:43:52.505Z","ask"
"8.454","1076.91","2024-05-25T21:43:52.505Z","ask"
"8.455","635.68","2024-05-25T21:43:52.505Z","ask"
"8.456","101.05","2024-05-25T21:43:52.505Z","ask"
"8.457","733.81","2024-05-25T21:43:52.505Z","ask"
"8.458","79.66","2024-05-25T21:43:52.505Z","ask"
"8.459","263.55","2024-05-25T21:43:52.505Z","ask"
"8.46","271.69","2024-05-25T21:43:52.505Z","ask"
"8.461","3.13","2024-05-25T21:43:52.505Z","ask"
"8.462","2.65","2024-05-25T21:43:52.505Z","ask"
"8.463","1.42","2024-05-25T21:43:52.505Z","ask"
"8.464","1051.38","2024-05-25T21:43:52.505Z","ask"
"8.465","544.44","2024-05-25T21:43:52.505Z","ask"
"8.466","0.88","2024-05-25T21:43:52.505Z","ask"
"8.467","15.76","2024-05-25T21:43:52.505Z","ask"
"8.468","745.89","2024-05-25T21:43:52.505Z","ask"
"8.469","800","2024-05-25T21:43:52.505Z","ask"
"8.47","3698.3","2024-05-25T21:43:52.505Z","ask"
"8.471","1317.07","2024-05-25T21:43:52.505Z","ask"
"8.472","222.5","2024-05-25T21:43:52.505Z","ask"
"8.474","42.86","2024-05-25T21:43:52.505Z","ask"
"8.479","1111.36","2024-05-25T21:43:52.505Z","ask"
"8.48","11.83","2024-05-25T21:43:52.505Z","ask"
"8.487","210.62","2024-05-25T21:43:52.505Z","ask"
"8.49","1.1","2024-05-25T21:43:52.505Z","ask"
"8.491","1.21","2024-05-25T21:43:52.505Z","ask"
"8.498","1883.89","2024-05-25T21:43:52.505Z","ask"
"8.499","42.86","2024-05-25T21:43:52.505Z","ask"
"8.5","160.57","2024-05-25T21:43:52.505Z","ask"
"8.502","744.77","2024-05-25T21:43:52.505Z","ask"
"8.503","0.13","2024-05-25T21:43:52.505Z","ask"
"8.505","2","2024-05-25T21:43:52.505Z","ask"
"8.51","209.7","2024-05-25T21:43:52.505Z","ask"
"8.511","3.65","2024-05-25T21:43:52.505Z","ask"
"8.512","42.86","2024-05-25T21:43:52.505Z","ask"
"8.514","0.54","2024-05-25T21:43:52.505Z","ask"
"8.52","95.46","2024-05-25T21:43:52.505Z","ask"
"8.525","42.86","2024-05-25T21:43:52.505Z","ask"
"8.537","415.02","2024-05-25T21:43:52.505Z","ask"
"8.539","12.91","2024-05-25T21:43:52.505Z","ask"
"8.54","302.64","2024-05-25T21:43:52.505Z","ask"
"8.542","1.2","2024-05-25T21:43:52.505Z","ask"
"8.545","3.78","2024-05-25T21:43:52.505Z","ask"
"8.55","1397.75","2024-05-25T21:43:52.505Z","ask"
"8.553","7.78","2024-05-25T21:43:52.505Z","ask"
"8.558","3.41","2024-05-25T21:43:52.505Z","ask"
"8.56","20","2024-05-25T21:43:52.505Z","ask"
"8.561","4.2","2024-05-25T21:43:52.505Z","ask"
"8.562","2.6","2024-05-25T21:43:52.505Z","ask"
"8.563","42.86","2024-05-25T21:43:52.505Z","ask"
"8.565","0.54","2024-05-25T21:43:52.505Z","ask"
"8.57","407.96","2024-05-25T21:43:52.505Z","ask"
"8.571","0.42","2024-05-25T21:43:52.505Z","ask"
"8.579","372.16","2024-05-25T21:43:52.505Z","ask"
"8.58","70","2024-05-25T21:43:52.505Z","ask"
"8.581","25.07","2024-05-25T21:43:52.505Z","ask"
"8.582","0.36","2024-05-25T21:43:52.505Z","ask"
"8.588","27.11","2024-05-25T21:43:52.505Z","ask"
"8.59","12.06","2024-05-25T21:43:52.505Z","ask"
"8.591","1","2024-05-25T21:43:52.505Z","ask"
"8.594","1.19","2024-05-25T21:43:52.505Z","ask"
"8.596","63.18","2024-05-25T21:43:52.505Z","ask"
"8.6","62","2024-05-25T21:43:52.505Z","ask"
"8.601","1690.03","2024-05-25T21:43:52.505Z","ask"
"8.602","65","2024-05-25T21:43:52.505Z","ask"
"8.603","0.18","2024-05-25T21:43:52.505Z","ask"
"8.604","26.54","2024-05-25T21:43:52.505Z","ask"
"8.605","9.84","2024-05-25T21:43:52.505Z","ask"
"8.609","77.04","2024-05-25T21:43:52.505Z","ask"
"8.611","3.07","2024-05-25T21:43:52.505Z","ask"
"8.614","3.38","2024-05-25T21:43:52.505Z","ask"
"8.617","0.53","2024-05-25T21:43:52.505Z","ask"
"8.619","4.98","2024-05-25T21:43:52.505Z","ask"
"8.62","20","2024-05-25T21:43:52.505Z","ask"
"8.625","2.59","2024-05-25T21:43:52.505Z","ask"
"8.633","9.87","2024-05-25T21:43:52.505Z","ask"
"8.638","42.42","2024-05-25T21:43:52.505Z","ask"
"8.64","79","2024-05-25T21:43:52.505Z","ask"
"8.643","185.91","2024-05-25T21:43:52.505Z","ask"
"8.645","203.47","2024-05-25T21:43:52.505Z","ask"
"8.647","115.98","2024-05-25T21:43:52.505Z","ask"
"8.648","6.06","2024-05-25T21:43:52.505Z","ask"
"8.65","24.14","2024-05-25T21:43:52.505Z","ask"
"8.651","0.52","2024-05-25T21:43:52.505Z","ask"
"8.66","749.38","2024-05-25T21:43:52.505Z","ask"
"8.667","0.3","2024-05-25T21:43:52.505Z","ask"
"8.668","0.53","2024-05-25T21:43:52.505Z","ask"
"8.67","23396.81","2024-05-25T21:43:52.505Z","ask"
"8.674","3.43","2024-05-25T21:43:52.505Z","ask"
"8.68","20","2024-05-25T21:43:52.505Z","ask"
"8.681","0.35","2024-05-25T21:43:52.505Z","ask"
"8.682","3.58","2024-05-25T21:43:52.505Z","ask"
"8.684","13.72","2024-05-25T21:43:52.505Z","ask"
"8.69","266.33","2024-05-25T21:43:52.505Z","ask"
"8.691","0.6","2024-05-25T21:43:52.505Z","ask"
"8.693","0.19","2024-05-25T21:43:52.505Z","ask"
"8.697","1.17","2024-05-25T21:43:52.505Z","ask"
"8.7","273.67","2024-05-25T21:43:52.505Z","ask"
"8.712","137.07","2024-05-25T21:43:52.505Z","ask"
"8.72","20.53","2024-05-25T21:43:52.505Z","ask"
"8.725","55.08","2024-05-25T21:43:52.505Z","ask"
"8.726","60.65","2024-05-25T21:43:52.505Z","ask"
"8.727","3.34","2024-05-25T21:43:52.505Z","ask"
"8.728","185.91","2024-05-25T21:43:52.505Z","ask"
"8.73","27.55","2024-05-25T21:43:52.505Z","ask"
"8.732","1.12","2024-05-25T21:43:52.505Z","ask"
"8.74","78","2024-05-25T21:43:52.505Z","ask"
"8.741","4.2","2024-05-25T21:43:52.505Z","ask"
"8.742","85.67","2024-05-25T21:43:52.505Z","ask"
"8.743","3.02","2024-05-25T21:43:52.505Z","ask"
"8.75","8.5","2024-05-25T21:43:52.505Z","ask"
"8.754","2.59","2024-05-25T21:43:52.505Z","ask"
"8.758","0.77","2024-05-25T21:43:52.505Z","ask"
"8.76","20","2024-05-25T21:43:52.505Z","ask"
"8.761","9.87","2024-05-25T21:43:52.505Z","ask"
"8.767","31.11","2024-05-25T21:43:52.505Z","ask"
"8.768","3.54","2024-05-25T21:43:52.505Z","ask"
"8.773","10.77","2024-05-25T21:43:52.505Z","ask"
"8.777","4.82","2024-05-25T21:43:52.505Z","ask"
"8.779","0.96","2024-05-25T21:43:52.505Z","ask"
"8.78","2335","2024-05-25T21:43:52.505Z","ask"
"8.783","3.5","2024-05-25T21:43:52.505Z","ask"
"8.788","0.3","2024-05-25T21:43:52.506Z","ask"
"8.8","2710.34","2024-05-25T21:43:52.506Z","ask"
"8.801","23.71","2024-05-25T21:43:52.506Z","ask"
