"price","volume","time","side","orderType"
"8.44900000","0.47000000","2024-05-25T21:43:52.042Z","sell","maker"
"8.44900000","3.19000000","2024-05-25T21:43:24.856Z","sell","maker"
"8.44700000","2.37000000","2024-05-25T21:42:30.805Z","buy","maker"
"8.44700000","0.02000000","2024-05-25T21:42:28.666Z","buy","maker"
"8.44900000","2.17000000","2024-05-25T21:41:53.792Z","sell","maker"
"8.44900000","8.98000000","2024-05-25T21:41:31.555Z","sell","maker"
"8.44900000","2.25000000","2024-05-25T21:41:31.555Z","sell","maker"
"8.44900000","0.12000000","2024-05-25T21:41:25.047Z","sell","maker"
"8.44600000","5.97000000","2024-05-25T21:40:36.118Z","buy","maker"
"8.44800000","9.00000000","2024-05-25T21:40:00.626Z","sell","maker"
"8.44800000","4.74000000","2024-05-25T21:40:00.626Z","sell","maker"
"8.44800000","0.15000000","2024-05-25T21:39:56.584Z","sell","maker"
"8.44800000","0.15000000","2024-05-25T21:39:31.424Z","sell","maker"
"8.44800000","2.00000000","2024-05-25T21:39:14.629Z","sell","maker"
"8.44600000","0.87000000","2024-05-25T21:39:05.480Z","buy","maker"
"8.44600000","8.55000000","2024-05-25T21:38:51.963Z","buy","maker"
"8.44800000","0.06000000","2024-05-25T21:38:35.144Z","sell","maker"
"8.44800000","0.25000000","2024-05-25T21:38:29.193Z","sell","maker"
"8.44900000","0.25000000","2024-05-25T21:37:38.883Z","sell","maker"
"8.44800000","8.03000000","2024-05-25T21:37:32.967Z","buy","maker"
"8.44900000","0.18000000","2024-05-25T21:36:58.539Z","sell","maker"
"8.44900000","0.47000000","2024-05-25T21:36:23.198Z","sell","maker"
"8.44900000","0.25000000","2024-05-25T21:36:11.594Z","sell","maker"
"8.44900000","3.22000000","2024-05-25T21:35:43.744Z","sell","maker"
"8.44900000","0.32000000","2024-05-25T21:35:38.787Z","sell","maker"
"8.44900000","22.45000000","2024-05-25T21:35:37.686Z","sell","maker"
"8.44700000","9.59000000","2024-05-25T21:35:15.114Z","buy","maker"
"8.45000000","0.12000000","2024-05-25T21:34:57.671Z","sell","maker"
"8.45000000","0.12000000","2024-05-25T21:33:59.695Z","sell","maker"
"8.45000000","0.01000000","2024-05-25T21:33:58.043Z","sell","maker"
"8.45000000","87.74000000","2024-05-25T21:33:48.847Z","sell","maker"
"8.45200000","5.00000000","2024-05-25T21:33:03.049Z","sell","maker"
"8.45100000","7.42000000","2024-05-25T21:32:41.617Z","buy","maker"
"8.45100000","20.42000000","2024-05-25T21:32:41.617Z","buy","maker"
