"price","volume","time","side","orderType"
"0.66266","115.04505602","2024-06-13T22:48:34.767Z","s","maker"
"0.66266","944.93514398","2024-06-13T22:48:34.767Z","s","maker"
"0.66280","29.04680663","2024-06-13T22:47:45.723Z","s","maker"
"0.66280","47.16000000","2024-06-13T22:45:22.221Z","s","maker"
"0.66280","204.24270000","2024-06-13T22:23:24.262Z","s","maker"
"0.66373","37.25000000","2024-06-13T22:15:37.337Z","b","maker"
"0.66303","43.89000000","2024-06-13T22:15:16.350Z","b","maker"
"0.66346","45.76000000","2024-06-13T22:15:01.584Z","b","maker"
"0.66408","36.63000000","2024-06-13T22:14:46.033Z","b","maker"
"0.66356","49.36000000","2024-06-13T22:14:29.439Z","b","maker"
"0.66335","66.04000000","2024-06-13T22:14:10.463Z","b","maker"
"0.66344","88.72000000","2024-06-13T22:13:52.033Z","b","maker"
"0.66429","88.96000000","2024-06-13T22:13:33.311Z","b","maker"
"0.66305","30.10000000","2024-06-13T22:13:05.891Z","b","maker"
"0.66313","15.93069883","2024-06-13T22:12:48.744Z","b","maker"
"0.66314","13.86930117","2024-06-13T22:12:48.744Z","b","maker"
"0.66365","25.04000000","2024-06-13T22:12:33.194Z","b","maker"
"0.66315","16.32979454","2024-06-13T22:12:14.460Z","b","maker"
"0.66315","0.79020546","2024-06-13T22:12:14.460Z","b","maker"
"0.66312","20.75000000","2024-06-13T22:11:55.323Z","b","maker"
"0.66333","16.05000000","2024-06-13T22:11:25.077Z","b","maker"
"0.66263","190.53430000","2024-06-13T22:08:59.283Z","s","maker"
"0.66259","231.86008717","2024-06-13T22:06:30.139Z","s","maker"
"0.66253","86.36991283","2024-06-13T22:06:30.139Z","s","maker"
"0.66263","485.67284910","2024-06-13T22:00:39.460Z","s","maker"
"0.66262","45.82402589","2024-06-13T22:00:39.460Z","s","maker"
"0.66257","7.88000000","2024-06-13T22:00:00.082Z","s","maker"
"0.66276","10.00920000","2024-06-13T21:59:38.868Z","s","maker"
"0.66280","74.08021192","2024-06-13T21:53:37.462Z","s","maker"
"0.66279","6.90503101","2024-06-13T21:53:37.462Z","s","maker"
"0.66291","19.93506693","2024-06-13T21:53:26.144Z","s","maker"
"0.66281","485.54097017","2024-06-13T21:53:26.144Z","s","maker"
"0.66278","138.30669006","2024-06-13T21:53:26.144Z","s","maker"
"0.66294","19.93506693","2024-06-13T21:53:16.122Z","s","maker"
"0.66293","235.61744287","2024-06-13T21:53:16.122Z","s","maker"
"0.66292","228.30548768","2024-06-13T21:49:50.575Z","s","maker"
"0.66288","8.51451232","2024-06-13T21:49:50.575Z","s","maker"
"0.66330","7.59000000","2024-06-13T21:49:16.365Z","b","maker"
"0.66269","124.99234202","2024-06-13T21:47:55.906Z","s","maker"
"0.66270","15.71000000","2024-06-13T21:44:44.435Z","s","maker"
"0.66314","1425.00000000","2024-06-13T21:42:56.217Z","s","maker"
"0.66323","447.69000000","2024-06-13T21:41:37.977Z","b","maker"
"0.66326","0.00005914","2024-06-13T21:41:37.977Z","b","maker"
"0.66310","52.31000000","2024-06-13T21:37:33.347Z","b","maker"
"0.66289","500.00000000","2024-06-13T21:35:12.069Z","s","taker"
"0.66309","54.21247493","2024-06-13T21:34:31.805Z","b","maker"
"0.66325","201.39594279","2024-06-13T21:34:31.805Z","b","maker"
"0.66308","76.85041518","2024-06-13T21:34:31.802Z","b","maker"
"0.66309","1370.78752507","2024-06-13T21:34:31.802Z","b","maker"
"0.66264","39.87013385","2024-06-13T21:30:16.634Z","s","taker"
"0.66263","219.31113636","2024-06-13T21:30:16.634Z","s","taker"
"0.66259","485.70219250","2024-06-13T21:30:16.634Z","s","taker"
"0.66254","555.11653729","2024-06-13T21:30:16.634Z","s","taker"
"0.66268","49.50000000","2024-06-13T21:19:48.659Z","s","taker"
"0.66262","79.74026771","2024-06-13T21:11:10.110Z","s","maker"
"0.66261","14.83973229","2024-06-13T21:11:10.110Z","s","maker"
"0.66261","26.92404900","2024-06-13T21:10:54.390Z","s","maker"
"0.66265","214.64350000","2024-06-13T21:04:13.123Z","b","maker"
"0.66264","140.98730000","2024-06-13T21:03:54.008Z","s","maker"
"0.66250","6743.00000000","2024-06-13T21:03:54.008Z","s","maker"
"0.66250","291.87110000","2024-06-13T21:03:54.008Z","s","maker"
"0.66265","5273.94370441","2024-06-13T21:03:47.282Z","b","maker"
"0.66265","7176.00205930","2024-06-13T21:03:47.279Z","b","maker"
"0.66265","7175.93020000","2024-06-13T21:03:47.278Z","b","maker"
"0.66265","159.48053541","2024-06-13T21:03:47.275Z","s","maker"
"0.66270","524.33150467","2024-06-13T21:00:05.148Z","b","maker"
"0.66270","720.04987378","2024-06-13T21:00:05.036Z","b","maker"
"0.66270","396.73146727","2024-06-13T21:00:05.033Z","b","maker"
"0.66270","1513.51280832","2024-06-13T21:00:05.023Z","b","maker"
"0.66270","1513.51280832","2024-06-13T21:00:05.013Z","b","maker"
"0.66270","1513.51280832","2024-06-13T21:00:05.003Z","b","maker"
"0.66270","1513.51280832","2024-06-13T21:00:04.993Z","b","maker"
"0.66270","1513.51280832","2024-06-13T21:00:04.983Z","b","maker"
"0.66270","1513.51280832","2024-06-13T21:00:04.973Z","b","maker"
"0.66270","1513.51280832","2024-06-13T21:00:04.963Z","b","maker"
"0.66270","1513.51280832","2024-06-13T21:00:04.953Z","b","maker"
"0.66270","1513.51280832","2024-06-13T21:00:04.943Z","b","maker"
"0.66273","18.89098890","2024-06-13T21:00:03.781Z","b","maker"
"0.66275","214.83704834","2024-06-13T20:59:40.606Z","b","maker"
"0.66275","293.29261147","2024-06-13T20:52:55.974Z","s","maker"
"0.66264","1245.18100000","2024-06-13T20:52:55.974Z","s","maker"
