"price","volume","time","side","orderType"
"0.00422000","0.03600000","2023-06-08T15:38:42.045Z","sell","maker"
"0.00424000","0.04500000","2023-06-08T15:38:38.850Z","buy","taker"
"0.00409000","0.15200000","2023-06-08T15:38:08.589Z","sell","maker"
"0.00423000","0.15300000","2023-06-08T14:41:17.416Z","sell","maker"
"0.00423000","0.07100000","2023-06-08T14:41:17.411Z","buy","taker"
"0.00414000","0.04500000","2023-06-08T13:01:19.572Z","sell","maker"
"0.00414000","0.05500000","2023-06-08T13:01:19.572Z","sell","maker"
"0.00414000","0.10000000","2023-06-08T13:01:11.505Z","sell","maker"
"0.00423000","0.07100000","2023-06-08T10:49:51.143Z","sell","maker"
"0.00416000","0.03500000","2023-06-08T10:49:45.430Z","buy","taker"
"0.00417000","0.20500000","2023-06-08T10:49:45.419Z","buy","taker"
"0.00417000","0.12400000","2023-06-08T10:49:45.419Z","buy","taker"
"0.00405000","0.15600000","2023-06-08T10:49:43.512Z","sell","maker"
"0.00300000","0.08000000","2023-06-08T10:49:43.512Z","sell","maker"
"0.00200000","0.10000000","2023-06-08T10:49:43.512Z","sell","maker"
"0.00088000","2.50600000","2023-06-08T10:49:43.512Z","sell","maker"
"0.00419000","0.03600000","2023-06-08T10:49:38.765Z","sell","maker"
"0.00413000","0.14600000","2023-06-08T10:49:38.765Z","sell","maker"
"0.00388000","0.44800000","2023-06-08T10:49:38.765Z","sell","maker"
"0.00300000","0.02000000","2023-06-08T10:49:38.765Z","sell","maker"
"0.00423000","0.03600000","2023-06-08T09:37:51.151Z","sell","maker"
"0.00428000","0.03600000","2023-06-08T09:37:50.959Z","sell","maker"
"0.00430000","0.04500000","2023-06-08T09:37:49.482Z","buy","taker"
"0.00415000","0.08100000","2023-06-08T09:37:10.451Z","sell","maker"
"0.00422000","0.29700000","2023-06-08T06:57:07.376Z","sell","maker"
"0.00422000","0.24600000","2023-06-08T06:57:07.376Z","sell","maker"
"0.00422000","0.02600000","2023-06-08T06:57:07.371Z","buy","taker"
"0.00419000","0.03600000","2023-06-08T06:13:59.133Z","sell","maker"
"0.00422000","0.02700000","2023-06-08T03:37:08.955Z","sell","maker"
"0.00422000","0.04500000","2023-06-08T03:37:08.951Z","buy","taker"
"0.00422000","0.04600000","2023-06-08T03:37:07.113Z","sell","maker"
"0.00422000","0.03600000","2023-06-08T03:37:03.237Z","buy","taker"
"0.00425000","0.21600000","2023-06-08T03:37:03.237Z","buy","taker"
"0.00432000","0.13500000","2023-06-08T03:37:03.237Z","buy","taker"
"0.00440000","2.46700000","2023-06-08T03:37:03.237Z","buy","taker"
"0.00418000","0.03600000","2023-06-08T03:36:59.742Z","sell","maker"
"0.00415000","0.14500000","2023-06-08T03:36:59.742Z","sell","maker"
"0.00413000","0.01900000","2023-06-08T03:36:59.742Z","sell","maker"
"0.00422000","0.03600000","2023-06-08T03:20:57.324Z","sell","maker"
"0.00424000","0.04500000","2023-06-08T03:20:49.919Z","buy","taker"
"0.00424000","0.07100000","2023-06-08T03:20:49.561Z","buy","taker"
"0.00433000","0.07100000","2023-06-08T03:20:48.646Z","buy","taker"
"0.00436000","0.05700000","2023-06-08T03:20:48.646Z","buy","taker"
"0.00440000","0.00300000","2023-06-08T03:20:48.646Z","buy","taker"
"0.00420000","0.00500000","2023-06-08T03:10:44.497Z","sell","maker"
"0.00425000","0.07100000","2023-06-08T03:05:36.635Z","buy","taker"
"0.00435000","0.07100000","2023-06-08T03:05:32.379Z","buy","taker"
"0.00436000","0.05900000","2023-06-08T03:05:32.379Z","buy","taker"
