"price","volume","time","side","orderType"
"0.021220000","507.57228","2024-06-13T22:39:30.970Z","b","taker"
"0.021070000","3313.37250","2024-06-13T22:29:26.493Z","s","taker"
"0.021110000","637.47173","2024-06-13T22:01:35.436Z","s","maker"
"0.021090000","875.52827","2024-06-13T22:01:35.436Z","s","maker"
"0.021200000","3971.16981","2024-06-13T22:01:34.869Z","s","maker"
"0.021200000","6549.00000","2024-06-13T22:01:34.762Z","s","maker"
"0.021200000","6665.00000","2024-06-13T22:01:34.615Z","s","maker"
"0.021200000","660.00000","2024-06-13T22:01:34.421Z","s","maker"
"0.021200000","1054.00000","2024-06-13T22:01:34.140Z","s","maker"
"0.021380000","1398.60140","2024-06-13T22:00:13.467Z","b","maker"
"0.020960000","321.74678","2024-06-13T21:24:42.162Z","s","maker"
"0.020960000","625.00000","2024-06-13T21:24:42.153Z","s","maker"
"0.021030000","303.25322","2024-06-13T21:24:41.632Z","s","maker"
"0.021030000","638.00000","2024-06-13T21:24:41.573Z","s","maker"
"0.021040000","637.47172","2024-06-13T21:24:41.406Z","s","maker"
"0.021030000","0.52828","2024-06-13T21:24:41.406Z","s","maker"
"0.021030000","607.00000","2024-06-13T21:24:04.931Z","s","maker"
"0.021030000","937.00000","2024-06-13T21:24:04.652Z","s","maker"
"0.021030000","1529.00000","2024-06-13T21:24:04.385Z","s","maker"
"0.021030000","1039.00000","2024-06-13T21:24:04.117Z","s","maker"
"0.021030000","667.00000","2024-06-13T21:24:03.837Z","s","maker"
"0.021030000","1071.00000","2024-06-13T21:24:03.548Z","s","maker"
"0.021030000","2099.00000","2024-06-13T21:24:03.225Z","s","maker"
"0.021030000","3240.00000","2024-06-13T21:24:02.747Z","s","maker"
"0.021030000","2121.00000","2024-06-13T21:24:02.424Z","s","maker"
"0.021010000","1274.94345","2024-06-13T21:14:30.985Z","s","maker"
"0.021000000","1666.66666","2024-06-13T21:14:30.985Z","s","maker"
"0.020980000","12000.00000","2024-06-13T21:14:30.985Z","s","maker"
"0.020950000","826.36517","2024-06-13T21:14:30.985Z","s","maker"
"0.020950000","9167.23854","2024-06-13T21:14:30.985Z","s","maker"
"0.021270000","506.17848","2024-06-13T21:12:20.587Z","b","taker"
"0.021020000","1088.49976","2024-06-13T21:12:06.424Z","s","maker"
"0.021070000","1088.49976","2024-06-13T21:12:06.207Z","s","maker"
"0.021160000","867.34694","2024-06-13T21:09:34.408Z","s","maker"
"0.021170000","766.00000","2024-06-13T21:09:13.466Z","s","maker"
"0.021260000","502.95588","2024-06-13T21:02:23.287Z","b","taker"
"0.021110000","859.78810","2024-06-13T20:46:40.927Z","b","maker"
"0.021420000","772.44164","2024-06-13T20:46:40.927Z","b","maker"
"0.021430000","644.25026","2024-06-13T20:46:40.927Z","b","maker"
"0.021070000","2248.31857","2024-06-13T20:44:48.393Z","s","maker"
"0.021050000","3315.88350","2024-06-13T20:44:34.006Z","s","maker"
"0.021070000","3315.88689","2024-06-13T20:44:27.636Z","s","maker"
"0.021060000","671.35360","2024-06-13T20:44:05.792Z","s","maker"
"0.021050000","736.48620","2024-06-13T20:43:59.008Z","s","maker"
"0.021130000","736.49044","2024-06-13T20:43:52.037Z","s","maker"
"0.021130000","383.86213","2024-06-13T20:38:06.869Z","s","maker"
"0.021130000","4350.84624","2024-06-13T20:38:06.869Z","s","maker"
"0.021140000","4731.18025","2024-06-13T20:37:56.853Z","s","maker"
"0.021170000","7303.12738","2024-06-13T20:37:46.209Z","s","maker"
"0.021280000","13575.46000","2024-06-13T20:37:32.565Z","b","maker"
"0.021360000","461.25000","2024-06-13T20:23:08.745Z","b","maker"
"0.021250000","581.27000","2024-06-13T20:18:28.648Z","s","maker"
"0.021260000","290.19702","2024-06-13T20:15:06.864Z","s","maker"
"0.021250000","3245.86391","2024-06-13T20:15:06.864Z","s","maker"
"0.021260000","569.59111","2024-06-13T20:15:01.349Z","s","maker"
"0.021250000","1489.00000","2024-06-13T20:13:48.570Z","s","maker"
"0.021250000","935.00000","2024-06-13T20:13:46.180Z","s","maker"
"0.021250000","3589.00000","2024-06-13T20:13:45.907Z","s","maker"
"0.021250000","3589.00000","2024-06-13T20:13:45.110Z","s","maker"
"0.021250000","1489.00000","2024-06-13T20:13:44.851Z","s","maker"
"0.021290000","1085.89769","2024-06-13T20:03:19.526Z","b","maker"
"0.021450000","1140.97231","2024-06-13T20:03:19.526Z","b","maker"
"0.021250000","1221.19940","2024-06-13T20:00:13.144Z","b","maker"
"0.021290000","174.79874","2024-06-13T20:00:13.144Z","b","maker"
"0.021180000","12000.00000","2024-06-13T19:59:39.878Z","s","maker"
"0.021180000","5901.79414","2024-06-13T19:59:39.878Z","s","maker"
"0.021170000","6804.46406","2024-06-13T19:59:39.878Z","s","maker"
"0.021220000","10461.01000","2024-06-13T19:53:35.147Z","b","maker"
"0.021250000","6148.03000","2024-06-13T19:12:39.402Z","b","maker"
"0.021130000","476.61199","2024-06-13T19:11:48.299Z","s","maker"
"0.021220000","62.38801","2024-06-13T19:11:47.849Z","s","maker"
"0.021220000","539.00000","2024-06-13T19:11:47.646Z","s","maker"
"0.021230000","152.16015","2024-06-13T19:11:47.645Z","s","maker"
"0.021220000","368.83985","2024-06-13T19:11:47.645Z","s","maker"
"0.021290000","5096.91903","2024-06-13T19:03:55.303Z","b","maker"
"0.021300000","17430.65097","2024-06-13T19:03:55.303Z","b","maker"
"0.021320000","544.03000","2024-06-13T19:03:35.573Z","b","maker"
"0.021300000","966.52000","2024-06-13T18:41:33.366Z","b","maker"
"0.021290000","424.17150","2024-06-13T18:35:52.839Z","s","maker"
"0.021300000","1221.23062","2024-06-13T18:35:04.581Z","s","maker"
"0.021300000","894.11765","2024-06-13T18:20:43.002Z","s","maker"
"0.021290000","320.82235","2024-06-13T18:20:43.002Z","s","maker"
"0.021520000","56.05204","2024-06-13T18:00:13.722Z","s","maker"
"0.021400000","0.00380","2024-06-13T18:00:13.722Z","s","maker"
"0.021520000","644.00000","2024-06-13T18:00:13.703Z","s","maker"
"0.021520000","694.00000","2024-06-13T18:00:13.699Z","s","maker"
"0.021400000","514.91387","2024-06-13T17:54:35.981Z","s","maker"
"0.021400000","334.70000","2024-06-13T17:41:54.471Z","s","maker"
"0.021350000","12000.00000","2024-06-13T17:39:06.780Z","b","taker"
"0.021360000","24457.66762","2024-06-13T17:39:06.780Z","b","taker"
"0.021470000","1104.93853","2024-06-13T17:39:06.780Z","b","taker"
"0.021610000","151.77974","2024-06-13T17:39:06.780Z","b","taker"
"0.021690000","968.86955","2024-06-13T17:39:06.780Z","b","taker"
"0.021740000","847.91843","2024-06-13T17:39:06.780Z","b","taker"
"0.021770000","7116.79844","2024-06-13T17:39:06.780Z","b","taker"
"0.021290000","2347.18309","2024-06-13T17:27:43.151Z","b","maker"
"0.021330000","1085.93012","2024-06-13T17:08:21.406Z","s","maker"
"0.021270000","4916.47189","2024-06-13T17:08:21.406Z","s","maker"
"0.021260000","24472.57384","2024-06-13T17:08:21.406Z","s","maker"
"0.021200000","3315.73415","2024-06-13T17:08:21.406Z","s","maker"
"0.021260000","345.28668","2024-06-13T16:55:10.968Z","s","maker"
"0.021420000","2839.52880","2024-06-13T16:47:29.724Z","b","maker"
"0.021220000","1135.81152","2024-06-13T16:47:26.978Z","s","maker"
"0.021380000","12000.00000","2024-06-13T16:47:19.436Z","b","maker"
"0.021430000","9656.41000","2024-06-13T16:47:19.436Z","b","maker"
"0.021340000","2165.69000","2024-06-13T16:44:51.548Z","b","maker"
"0.021280000","10347.35706","2024-06-13T16:43:53.903Z","b","maker"
"0.021290000","1003.01294","2024-06-13T16:43:53.903Z","b","maker"
"0.021220000","585.30000","2024-06-13T16:42:13.233Z","s","maker"
"0.021250000","542.87000","2024-06-13T16:39:52.197Z","b","maker"
"0.021440000","8659.62000","2024-06-13T16:30:28.630Z","b","maker"
"0.021230000","4710.31559","2024-06-13T16:28:53.806Z","b","taker"
"0.021370000","2222.49000","2024-06-13T16:25:01.587Z","b","maker"
"0.021180000","3577.13000","2024-06-13T16:21:37.473Z","s","maker"
"0.021490000","6979.99069","2024-06-13T16:16:33.303Z","b","taker"
"0.021320000","1808.92000","2024-06-13T16:04:41.041Z","b","maker"
"0.021180000","1655.95000","2024-06-13T16:03:37.639Z","s","maker"
"0.021360000","1392.75766","2024-06-13T16:00:15.414Z","b","maker"
"0.021390000","101.50000","2024-06-13T15:57:39.538Z","b","maker"
"0.021230000","11224.44390","2024-06-13T15:52:27.921Z","s","maker"
"0.021230000","12000.00000","2024-06-13T15:52:27.790Z","s","maker"
"0.021220000","970.22786","2024-06-13T15:52:26.890Z","s","maker"
"0.021230000","152.16015","2024-06-13T15:52:26.714Z","s","maker"
"0.021230000","6068.32499","2024-06-13T15:52:26.714Z","s","maker"
"0.021310000","1961.38145","2024-06-13T15:52:26.320Z","s","maker"
"0.021300000","97.66810","2024-06-13T15:52:26.320Z","s","maker"
"0.021400000","97.66810","2024-06-13T15:52:21.883Z","s","maker"
"0.021310000","5313.51913","2024-06-13T15:52:21.883Z","s","maker"
"0.021300000","23376.51030","2024-06-13T15:52:21.883Z","s","maker"
"0.021400000","450.00000","2024-06-13T15:42:42.020Z","s","maker"
"0.021420000","148.05043","2024-06-13T15:42:41.967Z","s","maker"
"0.021400000","301.94957","2024-06-13T15:42:41.967Z","s","maker"
"0.021420000","570.00000","2024-06-13T15:42:13.564Z","s","maker"
"0.021420000","783.00000","2024-06-13T15:42:13.383Z","s","maker"
"0.021420000","560.00000","2024-06-13T15:42:13.304Z","s","maker"
"0.021420000","560.00000","2024-06-13T15:42:13.087Z","s","maker"
"0.021420000","1561.00000","2024-06-13T15:42:13.040Z","s","maker"
"0.021430000","687.00000","2024-06-13T15:41:51.741Z","s","maker"
"0.021430000","917.00000","2024-06-13T15:41:51.303Z","s","maker"
"0.021490000","229.23000","2024-06-13T15:34:21.037Z","b","maker"
"0.021500000","15937.19646","2024-06-13T15:32:10.331Z","s","taker"
"0.021450000","5659.87499","2024-06-13T15:32:10.331Z","s","taker"
"0.021440000","18402.92855","2024-06-13T15:32:10.331Z","s","taker"
"0.021580000","1034.75760","2024-06-13T15:28:57.252Z","b","maker"
"0.021600000","599.00000","2024-06-13T15:24:17.458Z","s","maker"
"0.021740000","1068.08403","2024-06-13T15:20:05.962Z","s","maker"
"0.021740000","647.00000","2024-06-13T15:18:30.511Z","s","maker"
"0.021740000","1039.00000","2024-06-13T15:18:30.236Z","s","maker"
"0.021740000","1457.00000","2024-06-13T15:18:28.601Z","s","maker"
"0.021740000","1471.00000","2024-06-13T15:18:28.539Z","s","maker"
"0.021740000","1127.00000","2024-06-13T15:17:41.363Z","s","maker"
"0.021740000","1171.00000","2024-06-13T15:17:27.176Z","s","maker"
"0.021740000","984.00000","2024-06-13T15:16:54.766Z","s","maker"
"0.021740000","1006.00000","2024-06-13T15:16:10.264Z","s","maker"
"0.021740000","13028.99600","2024-06-13T15:15:30.315Z","b","maker"
"0.021700000","5526.76289","2024-06-13T15:07:51.763Z","s","taker"
"0.021680000","838.64475","2024-06-13T15:07:51.763Z","s","taker"
"0.021630000","951.83704","2024-06-13T15:07:51.763Z","s","taker"
"0.021570000","1390.82058","2024-06-13T15:07:51.763Z","s","taker"
"0.021540000","149.97029","2024-06-13T15:07:51.763Z","s","taker"
"0.021500000","362.80354","2024-06-13T15:07:51.763Z","s","taker"
"0.021800000","17789.59000","2024-06-13T14:48:27.581Z","s","maker"
"0.021760000","885.51290","2024-06-13T14:31:25.261Z","b","taker"
"0.022020000","836.96747","2024-06-13T14:31:25.261Z","b","taker"
"0.022080000","877.51963","2024-06-13T14:31:25.261Z","b","taker"
"0.021740000","226.59000","2024-06-13T14:30:07.034Z","b","maker"
"0.021710000","1697.54140","2024-06-13T14:29:13.448Z","b","taker"
"0.021740000","24026.88065","2024-06-13T14:29:13.448Z","b","taker"
"0.021960000","4275.57795","2024-06-13T14:29:13.448Z","b","taker"
"0.021820000","1556.77539","2024-06-13T14:23:57.380Z","b","maker"
"0.021820000","1702.64430","2024-06-13T14:23:57.131Z","b","maker"
"0.021820000","1700.94229","2024-06-13T14:23:57.131Z","b","maker"
"0.021770000","819.67090","2024-06-13T14:17:31.750Z","b","maker"
"0.021790000","107.32910","2024-06-13T14:17:31.750Z","b","maker"
