"price","volume","timestamp","type"
"0.4985","5","2024-06-13T22:48:33.029Z","bid"
"0.4982","30.89","2024-06-13T22:48:33.029Z","bid"
"0.496","30","2024-06-13T22:48:33.029Z","bid"
"0.4935","11.14","2024-06-13T22:48:33.029Z","bid"
"0.4914","5","2024-06-13T22:48:33.029Z","bid"
"0.4892","14.23","2024-06-13T22:48:33.029Z","bid"
"0.4818","2.77","2024-06-13T22:48:33.029Z","bid"
"0.4802","44.67","2024-06-13T22:48:33.029Z","bid"
"0.48","549.96","2024-06-13T22:48:33.029Z","bid"
"0.4762","629.15","2024-06-13T22:48:33.029Z","bid"
"0.4759","629.41","2024-06-13T22:48:33.029Z","bid"
"0.4755","629.94","2024-06-13T22:48:33.029Z","bid"
"0.4753","1891.02","2024-06-13T22:48:33.029Z","bid"
"0.4752","105.22","2024-06-13T22:48:33.029Z","bid"
"0.4705","107.12","2024-06-13T22:48:33.029Z","bid"
"0.47","425.53","2024-06-13T22:48:33.029Z","bid"
"0.4699","0.1","2024-06-13T22:48:33.029Z","bid"
"0.45","770.84","2024-06-13T22:48:33.029Z","bid"
"0.443","178.63","2024-06-13T22:48:33.029Z","bid"
"0.44","609.02","2024-06-13T22:48:33.029Z","bid"
"0.4374","240","2024-06-13T22:48:33.029Z","bid"
"0.4288","204779.64","2024-06-13T22:48:33.029Z","bid"
"0.4238","65.62","2024-06-13T22:48:33.029Z","bid"
"0.4208","183.93","2024-06-13T22:48:33.029Z","bid"
"0.42","23.66","2024-06-13T22:48:33.029Z","bid"
"0.4173","6.15","2024-06-13T22:48:33.029Z","bid"
"0.4122","212497.93","2024-06-13T22:48:33.029Z","bid"
"0.4113","433273.59","2024-06-13T22:48:33.029Z","bid"
"0.411","2000","2024-06-13T22:48:33.029Z","bid"
"0.41","365.85","2024-06-13T22:48:33.029Z","bid"
"0.401","16","2024-06-13T22:48:33.029Z","bid"
"0.4","49.72","2024-06-13T22:48:33.029Z","bid"
"0.397","1255","2024-06-13T22:48:33.029Z","bid"
"0.3911","1018.66","2024-06-13T22:48:33.029Z","bid"
"0.39","576.92","2024-06-13T22:48:33.029Z","bid"
"0.38","261.57","2024-06-13T22:48:33.029Z","bid"
"0.37","24057.5","2024-06-13T22:48:33.029Z","bid"
"0.366","100","2024-06-13T22:48:33.029Z","bid"
"0.3636","100","2024-06-13T22:48:33.029Z","bid"
"0.361","277","2024-06-13T22:48:33.029Z","bid"
"0.36","276.25","2024-06-13T22:48:33.029Z","bid"
"0.356","70.22","2024-06-13T22:48:33.029Z","bid"
"0.3535","100","2024-06-13T22:48:33.029Z","bid"
"0.353","14.02","2024-06-13T22:48:33.029Z","bid"
"0.351","141.66","2024-06-13T22:48:33.029Z","bid"
"0.35","714.37","2024-06-13T22:48:33.029Z","bid"
"0.34","2941.17","2024-06-13T22:48:33.029Z","bid"
"0.3383","200","2024-06-13T22:48:33.029Z","bid"
"0.3375","106.91","2024-06-13T22:48:33.029Z","bid"
"0.33","26943.75","2024-06-13T22:48:33.029Z","bid"
"0.3221","0.1","2024-06-13T22:48:33.029Z","bid"
"0.3131","200","2024-06-13T22:48:33.029Z","bid"
"0.31","583.87","2024-06-13T22:48:33.029Z","bid"
"0.309","4.74","2024-06-13T22:48:33.029Z","bid"
"0.3","1049.99","2024-06-13T22:48:33.029Z","bid"
"0.285","231","2024-06-13T22:48:33.029Z","bid"
"0.2777","143.24","2024-06-13T22:48:33.029Z","bid"
"0.275","3.7","2024-06-13T22:48:33.029Z","bid"
"0.27","11.02","2024-06-13T22:48:33.029Z","bid"
"0.269","184.38","2024-06-13T22:48:33.029Z","bid"
"0.26","100","2024-06-13T22:48:33.029Z","bid"
"0.253","40","2024-06-13T22:48:33.029Z","bid"
"0.2525","79","2024-06-13T22:48:33.029Z","bid"
"0.25","60","2024-06-13T22:48:33.029Z","bid"
"0.243","409.25","2024-06-13T22:48:33.029Z","bid"
"0.236","17.6","2024-06-13T22:48:33.029Z","bid"
"0.232","17.9","2024-06-13T22:48:33.029Z","bid"
"0.227","18.3","2024-06-13T22:48:33.029Z","bid"
"0.223","18.6","2024-06-13T22:48:33.029Z","bid"
"0.2172","76.73","2024-06-13T22:48:33.029Z","bid"
"0.21","771.28","2024-06-13T22:48:33.029Z","bid"
"0.205","6.2","2024-06-13T22:48:33.029Z","bid"
"0.204","975","2024-06-13T22:48:33.029Z","bid"
"0.2022","30","2024-06-13T22:48:33.029Z","bid"
"0.2001","270.81","2024-06-13T22:48:33.029Z","bid"
"0.2","617.33","2024-06-13T22:48:33.029Z","bid"
"0.195","50.87","2024-06-13T22:48:33.029Z","bid"
"0.19","769.42","2024-06-13T22:48:33.029Z","bid"
"0.1847","6.15","2024-06-13T22:48:33.029Z","bid"
"0.18","51.04","2024-06-13T22:48:33.029Z","bid"
"0.15","233.33","2024-06-13T22:48:33.029Z","bid"
"0.141","70.5","2024-06-13T22:48:33.029Z","bid"
"0.125","8000","2024-06-13T22:48:33.029Z","bid"
"0.1","159.92","2024-06-13T22:48:33.029Z","bid"
"0.07","4500","2024-06-13T22:48:33.029Z","bid"
"0.01","500","2024-06-13T22:48:33.029Z","bid"
"0.0002","5100","2024-06-13T22:48:33.029Z","bid"
"0.0001","19940","2024-06-13T22:48:33.029Z","bid"
"2.784","100","2024-06-13T22:48:33.028Z","ask"
"2.8","41796.84","2024-06-13T22:48:33.028Z","ask"
"2.81","72468","2024-06-13T22:48:33.028Z","ask"
"2.82","60000","2024-06-13T22:48:33.028Z","ask"
"2.865","6.75","2024-06-13T22:48:33.028Z","ask"
"2.87","67785","2024-06-13T22:48:33.028Z","ask"
"2.8735","25","2024-06-13T22:48:33.028Z","ask"
"2.889","150","2024-06-13T22:48:33.028Z","ask"
"2.9","14389.21","2024-06-13T22:48:33.028Z","ask"
"2.948","200","2024-06-13T22:48:33.028Z","ask"
"2.9735","25","2024-06-13T22:48:33.028Z","ask"
"2.9757","6.15","2024-06-13T22:48:33.028Z","ask"
"2.9833","100","2024-06-13T22:48:33.028Z","ask"
"3","3466.73","2024-06-13T22:48:33.028Z","ask"
"3.01","185","2024-06-13T22:48:33.028Z","ask"
"3.1","25","2024-06-13T22:48:33.028Z","ask"
"3.1736","315.1","2024-06-13T22:48:33.028Z","ask"
"3.1998","200","2024-06-13T22:48:33.028Z","ask"
"3.2083","6.15","2024-06-13T22:48:33.028Z","ask"
"3.2128","7.74","2024-06-13T22:48:33.028Z","ask"
"3.2235","50","2024-06-13T22:48:33.028Z","ask"
"3.248","55","2024-06-13T22:48:33.028Z","ask"
"3.25","10316.09","2024-06-13T22:48:33.028Z","ask"
"3.27","157","2024-06-13T22:48:33.028Z","ask"
"3.2856","52.43","2024-06-13T22:48:33.028Z","ask"
"3.385","300","2024-06-13T22:48:33.028Z","ask"
"3.4","503.7","2024-06-13T22:48:33.028Z","ask"
"3.4229","750","2024-06-13T22:48:33.028Z","ask"
"3.4409","6.15","2024-06-13T22:48:33.028Z","ask"
"3.4735","50","2024-06-13T22:48:33.028Z","ask"
"3.489","100","2024-06-13T22:48:33.028Z","ask"
"3.4988","100","2024-06-13T22:48:33.028Z","ask"
"3.52","85.22","2024-06-13T22:48:33.028Z","ask"
"3.5597","28.2","2024-06-13T22:48:33.028Z","ask"
"3.6735","6.15","2024-06-13T22:48:33.028Z","ask"
"3.7235","50","2024-06-13T22:48:33.028Z","ask"
"3.748","50","2024-06-13T22:48:33.028Z","ask"
"3.8","1830.32","2024-06-13T22:48:33.028Z","ask"
"3.889","60","2024-06-13T22:48:33.028Z","ask"
"3.9","2875.19","2024-06-13T22:48:33.028Z","ask"
"3.9061","6.15","2024-06-13T22:48:33.028Z","ask"
"3.948","100","2024-06-13T22:48:33.028Z","ask"
"3.9735","50","2024-06-13T22:48:33.028Z","ask"
"3.99","25","2024-06-13T22:48:33.028Z","ask"
"3.9944","52.51","2024-06-13T22:48:33.028Z","ask"
"4","2023.36","2024-06-13T22:48:33.028Z","ask"
"4.01","370","2024-06-13T22:48:33.028Z","ask"
"4.07","100","2024-06-13T22:48:33.028Z","ask"
"4.11","466.95","2024-06-13T22:48:33.028Z","ask"
"4.1387","6.15","2024-06-13T22:48:33.028Z","ask"
"4.19","6000","2024-06-13T22:48:33.028Z","ask"
"4.1919","3.7","2024-06-13T22:48:33.028Z","ask"
"4.2","120","2024-06-13T22:48:33.028Z","ask"
"4.2014","10","2024-06-13T22:48:33.028Z","ask"
"4.2735","50","2024-06-13T22:48:33.028Z","ask"
"4.3713","6.15","2024-06-13T22:48:33.028Z","ask"
"4.3998","175","2024-06-13T22:48:33.028Z","ask"
"4.4","180.44","2024-06-13T22:48:33.028Z","ask"
"4.46","32773.71","2024-06-13T22:48:33.028Z","ask"
"4.489","80","2024-06-13T22:48:33.028Z","ask"
"4.5","11331.39","2024-06-13T22:48:33.028Z","ask"
"4.55","236.92","2024-06-13T22:48:33.028Z","ask"
"4.5735","50","2024-06-13T22:48:33.028Z","ask"
"4.6","31.67","2024-06-13T22:48:33.028Z","ask"
"4.6039","6.15","2024-06-13T22:48:33.028Z","ask"
"4.74","4","2024-06-13T22:48:33.028Z","ask"
"4.748","50","2024-06-13T22:48:33.028Z","ask"
"4.8365","6.15","2024-06-13T22:48:33.028Z","ask"
"4.889","50","2024-06-13T22:48:33.028Z","ask"
"4.89","15.5","2024-06-13T22:48:33.028Z","ask"
"4.9","47.01","2024-06-13T22:48:33.028Z","ask"
"4.91","198.23","2024-06-13T22:48:33.028Z","ask"
"4.9235","50","2024-06-13T22:48:33.028Z","ask"
"4.93","1138","2024-06-13T22:48:33.028Z","ask"
"4.948","100","2024-06-13T22:48:33.028Z","ask"
"4.965","236.92","2024-06-13T22:48:33.028Z","ask"
"4.99","391.66","2024-06-13T22:48:33.028Z","ask"
"5","3427.98","2024-06-13T22:48:33.028Z","ask"
"5.0691","6.15","2024-06-13T22:48:33.028Z","ask"
"5.14","216.32","2024-06-13T22:48:33.028Z","ask"
"5.2735","50","2024-06-13T22:48:33.028Z","ask"
"5.3","20","2024-06-13T22:48:33.028Z","ask"
"5.3017","6.15","2024-06-13T22:48:33.028Z","ask"
"5.4","2302.78","2024-06-13T22:48:33.028Z","ask"
"5.4102","111.57","2024-06-13T22:48:33.028Z","ask"
"5.5","1521.69","2024-06-13T22:48:33.028Z","ask"
"5.5343","6.15","2024-06-13T22:48:33.028Z","ask"
"5.6","5","2024-06-13T22:48:33.028Z","ask"
"5.6235","50","2024-06-13T22:48:33.028Z","ask"
"5.66","226.27","2024-06-13T22:48:33.028Z","ask"
"5.69","694.74","2024-06-13T22:48:33.028Z","ask"
"5.7","4615.81","2024-06-13T22:48:33.028Z","ask"
"5.72","209.26","2024-06-13T22:48:33.028Z","ask"
"5.74","375.14","2024-06-13T22:48:33.028Z","ask"
"5.7669","6.15","2024-06-13T22:48:33.028Z","ask"
