"price","volume","time","side","orderType"
"203.30000000","0.24900000","2023-07-14T02:59:52.518Z","sell","maker"
"200.80000000","0.06500000","2023-07-14T02:59:52.518Z","sell","maker"
"200.30000000","0.98900000","2023-07-14T02:59:52.518Z","sell","maker"
"203.20000000","1.30300000","2023-07-14T02:59:51.518Z","sell","maker"
"203.10000000","1.30200000","2023-07-14T02:59:49.518Z","sell","maker"
"202.50000000","0.05700000","2023-07-14T02:59:41.324Z","sell","maker"
"204.70000000","0.20000000","2023-07-14T02:59:15.188Z","buy","taker"
"201.80000000","0.09500000","2023-07-14T02:59:01.116Z","sell","maker"
"204.70000000","0.01600000","2023-07-14T02:58:37.252Z","buy","taker"
"201.40000000","0.03000000","2023-07-14T02:58:26.180Z","sell","maker"
"201.40000000","0.09000000","2023-07-14T02:58:22.854Z","sell","maker"
"201.30000000","0.41000000","2023-07-14T02:58:22.854Z","sell","maker"
"203.80000000","0.30000000","2023-07-14T02:58:14.580Z","buy","taker"
"203.90000000","2.00000000","2023-07-14T02:58:14.580Z","buy","taker"
"204.70000000","0.53900000","2023-07-14T02:58:14.580Z","buy","taker"
"205.70000000","0.73500000","2023-07-14T02:58:14.580Z","buy","taker"
"201.50000000","0.99900000","2023-07-14T02:58:11.054Z","sell","maker"
"204.40000000","0.27000000","2023-07-14T02:57:49.766Z","buy","taker"
"204.70000000","0.00300000","2023-07-14T02:57:49.766Z","buy","taker"
"202.20000000","0.27300000","2023-07-14T02:57:45.901Z","sell","maker"
"202.10000000","3.02700000","2023-07-14T02:57:45.901Z","sell","maker"
"202.20000000","0.56300000","2023-07-14T02:57:45.054Z","sell","maker"
"202.10000000","1.18900000","2023-07-14T02:57:45.054Z","sell","maker"
"202.10000000","1.75200000","2023-07-14T02:57:44.054Z","sell","maker"
"204.70000000","0.09400000","2023-07-14T02:57:43.102Z","buy","taker"
"202.90000000","0.24500000","2023-07-14T02:57:42.879Z","buy","taker"
"203.00000000","0.14700000","2023-07-14T02:57:42.054Z","sell","maker"
"201.70000000","0.37600000","2023-07-14T02:57:42.054Z","sell","maker"
"200.80000000","1.06900000","2023-07-14T02:57:42.054Z","sell","maker"
"200.80000000","0.16000000","2023-07-14T02:57:42.054Z","sell","maker"
"204.70000000","0.12000000","2023-07-14T02:57:36.627Z","buy","taker"
"202.70000000","0.50900000","2023-07-14T02:56:51.375Z","sell","maker"
"203.00000000","0.00200000","2023-07-14T02:56:25.269Z","buy","taker"
"203.00000000","0.04500000","2023-07-14T02:56:25.269Z","buy","taker"
"203.00000000","2.15000000","2023-07-14T02:56:24.855Z","buy","taker"
"203.00000000","1.30700000","2023-07-14T02:56:24.358Z","buy","taker"
"203.00000000","4.80100000","2023-07-14T02:56:24.248Z","buy","taker"
"203.00000000","0.51800000","2023-07-14T02:56:24.245Z","buy","taker"
"203.00000000","0.04700000","2023-07-14T02:56:24.193Z","buy","taker"
"203.00000000","0.83500000","2023-07-14T02:56:24.183Z","buy","taker"
"203.00000000","0.10900000","2023-07-14T02:56:24.138Z","buy","taker"
"202.40000000","1.00000000","2023-07-14T02:56:23.395Z","sell","maker"
"201.90000000","0.34800000","2023-07-14T02:56:08.654Z","sell","maker"
"202.00000000","0.46800000","2023-07-14T02:56:00.681Z","sell","maker"
"201.40000000","0.35700000","2023-07-14T02:55:44.754Z","sell","maker"
"201.10000000","0.14200000","2023-07-14T02:55:19.824Z","sell","maker"
"201.50000000","4.68900000","2023-07-14T02:55:13.318Z","sell","maker"
"201.40000000","9.48000000","2023-07-14T02:55:13.318Z","sell","maker"
"201.50000000","14.16900000","2023-07-14T02:55:12.318Z","sell","maker"
"201.00000000","0.56600000","2023-07-14T02:55:10.397Z","sell","maker"
"201.00000000","0.37700000","2023-07-14T02:55:10.397Z","sell","maker"
"200.90000000","2.79400000","2023-07-14T02:55:10.397Z","sell","maker"
"201.00000000","0.08800000","2023-07-14T02:55:10.348Z","sell","maker"
"200.90000000","0.66100000","2023-07-14T02:55:10.348Z","sell","maker"
"203.90000000","3.73000000","2023-07-14T02:55:10.318Z","sell","maker"
"201.30000000","3.25500000","2023-07-14T02:55:10.318Z","sell","maker"
"201.00000000","7.18400000","2023-07-14T02:55:10.318Z","sell","maker"
"203.90000000","0.95000000","2023-07-14T02:55:06.757Z","sell","maker"
"203.80000000","0.94200000","2023-07-14T02:55:06.751Z","buy","taker"
"203.90000000","11.09200000","2023-07-14T02:55:06.751Z","buy","taker"
"203.90000000","3.73400000","2023-07-14T02:55:06.751Z","buy","taker"
"201.80000000","0.11100000","2023-07-14T02:54:53.540Z","sell","maker"
"201.10000000","18.89600000","2023-07-14T02:54:53.540Z","sell","maker"
"201.00000000","17.99300000","2023-07-14T02:54:53.540Z","sell","maker"
"203.70000000","0.04000000","2023-07-14T02:54:30.618Z","buy","taker"
"201.00000000","5.91700000","2023-07-14T02:54:12.124Z","sell","maker"
"201.10000000","0.07400000","2023-07-14T02:54:11.125Z","sell","maker"
"201.00000000","5.84300000","2023-07-14T02:54:11.125Z","sell","maker"
"201.00000000","5.91600000","2023-07-14T02:54:09.124Z","sell","maker"
"201.30000000","0.33900000","2023-07-14T02:54:05.854Z","sell","maker"
"201.10000000","0.51500000","2023-07-14T02:53:56.654Z","sell","maker"
"201.10000000","0.96000000","2023-07-14T02:53:56.654Z","sell","maker"
"201.00000000","2.24700000","2023-07-14T02:53:56.654Z","sell","maker"
"201.10000000","3.72200000","2023-07-14T02:53:55.654Z","sell","maker"
"202.20000000","0.83700000","2023-07-14T02:53:53.654Z","sell","maker"
"201.70000000","0.56400000","2023-07-14T02:53:53.654Z","sell","maker"
"201.10000000","0.75800000","2023-07-14T02:53:53.654Z","sell","maker"
"201.00000000","1.56300000","2023-07-14T02:53:53.654Z","sell","maker"
"202.90000000","0.15900000","2023-07-14T02:52:57.417Z","sell","maker"
"202.30000000","0.07400000","2023-07-14T02:52:57.417Z","sell","maker"
"201.10000000","0.11100000","2023-07-14T02:52:57.417Z","sell","maker"
"201.00000000","0.12600000","2023-07-14T02:52:57.417Z","sell","maker"
"203.40000000","0.00900000","2023-07-14T02:52:25.618Z","sell","maker"
"203.90000000","0.13900000","2023-07-14T02:52:24.554Z","buy","taker"
"203.90000000","0.00600000","2023-07-14T02:52:24.155Z","buy","taker"
"203.90000000","0.58300000","2023-07-14T02:52:24.114Z","buy","taker"
"203.90000000","0.01900000","2023-07-14T02:52:22.633Z","buy","taker"
"203.90000000","3.78500000","2023-07-14T02:52:22.127Z","buy","taker"
"203.90000000","0.21600000","2023-07-14T02:52:21.981Z","buy","taker"
"203.90000000","11.32800000","2023-07-14T02:52:21.968Z","buy","taker"
"203.90000000","18.62500000","2023-07-14T02:52:21.965Z","buy","taker"
"204.80000000","0.04800000","2023-07-14T02:52:19.241Z","buy","taker"
"203.90000000","0.24100000","2023-07-14T02:52:01.412Z","sell","maker"
"203.20000000","0.42800000","2023-07-14T02:51:41.018Z","sell","maker"
"203.20000000","3.46900000","2023-07-14T02:51:38.154Z","sell","maker"
"203.10000000","0.20300000","2023-07-14T02:51:37.154Z","sell","maker"
"203.00000000","3.26600000","2023-07-14T02:51:37.154Z","sell","maker"
"203.20000000","1.44700000","2023-07-14T02:51:35.154Z","sell","maker"
"203.10000000","1.37000000","2023-07-14T02:51:35.154Z","sell","maker"
"203.00000000","0.56100000","2023-07-14T02:51:35.154Z","sell","maker"
"202.90000000","0.09000000","2023-07-14T02:51:35.154Z","sell","maker"
"204.20000000","0.22200000","2023-07-14T02:51:25.450Z","buy","taker"
"203.00000000","0.56100000","2023-07-14T02:51:22.624Z","sell","maker"
"203.00000000","1.38800000","2023-07-14T02:51:22.624Z","sell","maker"
"204.80000000","0.07100000","2023-07-14T02:50:52.679Z","buy","taker"
"201.00000000","0.49900000","2023-07-14T02:50:26.024Z","sell","maker"
"201.00000000","1.48900000","2023-07-14T02:50:10.724Z","sell","maker"
"201.00000000","3.14800000","2023-07-14T02:50:08.917Z","sell","maker"
"201.00000000","0.11100000","2023-07-14T02:50:08.154Z","sell","maker"
"201.00000000","0.42400000","2023-07-14T02:50:01.471Z","sell","maker"
"201.00000000","0.51100000","2023-07-14T02:49:58.824Z","sell","maker"
"201.00000000","1.55600000","2023-07-14T02:49:46.279Z","sell","maker"
"201.00000000","0.10100000","2023-07-14T02:49:45.454Z","sell","maker"
"202.50000000","0.90100000","2023-07-14T02:49:38.980Z","buy","taker"
"202.60000000","0.46500000","2023-07-14T02:49:38.980Z","buy","taker"
"205.70000000","0.15100000","2023-07-14T02:49:38.980Z","buy","taker"
"201.00000000","1.00600000","2023-07-14T02:48:55.917Z","sell","maker"
