"price","volume","timestamp","type"
"20","1565.310181","2024-05-27T20:44:14.405Z","ask"
"21","3","2024-05-27T20:44:14.405Z","ask"
"21.01","122.501148","2024-05-27T20:44:14.405Z","ask"
"21.06","98.913946","2024-05-27T20:44:14.405Z","ask"
"21.12","308.311106","2024-05-27T20:44:14.405Z","ask"
"22","25.452224","2024-05-27T20:44:14.405Z","ask"
"22.84","40","2024-05-27T20:44:14.405Z","ask"
"23","55.314624","2024-05-27T20:44:14.405Z","ask"
"23.3","21.459227","2024-05-27T20:44:14.405Z","ask"
"23.73","408.511113","2024-05-27T20:44:14.405Z","ask"
"23.785","261.239506","2024-05-27T20:44:14.405Z","ask"
"24","85","2024-05-27T20:44:14.405Z","ask"
"25","30","2024-05-27T20:44:14.405Z","ask"
"25.5","158.615941","2024-05-27T20:44:14.405Z","ask"
"27","5","2024-05-27T20:44:14.405Z","ask"
"28.8","500","2024-05-27T20:44:14.405Z","ask"
"29","20","2024-05-27T20:44:14.405Z","ask"
"30","110.545226","2024-05-27T20:44:14.405Z","ask"
"31","5","2024-05-27T20:44:14.405Z","ask"
"31.35","3.714107","2024-05-27T20:44:14.405Z","ask"
"31.5","702.646689","2024-05-27T20:44:14.405Z","ask"
"32.727","195.92963","2024-05-27T20:44:14.405Z","ask"
"33","5","2024-05-27T20:44:14.405Z","ask"
"35","25","2024-05-27T20:44:14.405Z","ask"
"36.483","480","2024-05-27T20:44:14.405Z","ask"
"37","50","2024-05-27T20:44:14.405Z","ask"
"39","15","2024-05-27T20:44:14.405Z","ask"
"40","10","2024-05-27T20:44:14.405Z","ask"
"41.68","587.78889","2024-05-27T20:44:14.405Z","ask"
"45","27","2024-05-27T20:44:14.405Z","ask"
"46","70","2024-05-27T20:44:14.405Z","ask"
"50","21.2","2024-05-27T20:44:14.405Z","ask"
"55","15","2024-05-27T20:44:14.405Z","ask"
"63","351.323345","2024-05-27T20:44:14.405Z","ask"
"64","70","2024-05-27T20:44:14.405Z","ask"
"65","15","2024-05-27T20:44:14.405Z","ask"
"70","11.354435","2024-05-27T20:44:14.405Z","ask"
"75","65","2024-05-27T20:44:14.405Z","ask"
"90","62","2024-05-27T20:44:14.405Z","ask"
"95","6.031024","2024-05-27T20:44:14.405Z","ask"
"98","12.165832","2024-05-27T20:44:14.405Z","ask"
"100","78.225324","2024-05-27T20:44:14.405Z","ask"
"120","35","2024-05-27T20:44:14.405Z","ask"
"126","175.661672","2024-05-27T20:44:14.405Z","ask"
"130","50","2024-05-27T20:44:14.405Z","ask"
"133","50","2024-05-27T20:44:14.405Z","ask"
"140","15","2024-05-27T20:44:14.405Z","ask"
"146","20","2024-05-27T20:44:14.405Z","ask"
"150","1639.0605","2024-05-27T20:44:14.405Z","ask"
"164","20","2024-05-27T20:44:14.405Z","ask"
"180","12","2024-05-27T20:44:14.405Z","ask"
"252","175.661672","2024-05-27T20:44:14.405Z","ask"
"260","20","2024-05-27T20:44:14.405Z","ask"
"360","13.671285","2024-05-27T20:44:14.405Z","ask"
"461","20","2024-05-27T20:44:14.405Z","ask"
"880","1","2024-05-27T20:44:14.405Z","ask"
"900","15","2024-05-27T20:44:14.405Z","ask"
"0.8326","1774.727918","2024-05-27T20:44:14.405Z","bid"
"0.8325","306.828349","2024-05-27T20:44:14.405Z","bid"
"0.8323","273.89211","2024-05-27T20:44:14.405Z","bid"
