"time","open","high","low","close","volume"
"2022-08-26T00:00:00.000Z","0.3816","0.4680","0.3816","0.3962","60529.00526635"
"2022-08-27T00:00:00.000Z","0.3986","0.3986","0.3416","0.3424","59930.74960396"
"2022-08-28T00:00:00.000Z","0.3553","0.3579","0.3235","0.3235","3380.47658668"
"2022-08-29T00:00:00.000Z","0.3215","0.3711","0.3214","0.3395","26283.49866653"
"2022-08-30T00:00:00.000Z","0.3397","0.3406","0.3206","0.3277","11334.34731533"
"2022-08-31T00:00:00.000Z","0.3281","0.3375","0.3172","0.3247","17340.49874016"
"2022-09-01T00:00:00.000Z","0.3211","0.3292","0.3096","0.3209","53042.12362199"
"2022-09-02T00:00:00.000Z","0.3179","0.3378","0.3119","0.3152","32506.56008292"
"2022-09-03T00:00:00.000Z","0.3180","0.3232","0.3078","0.3080","12925.77420907"
"2022-09-04T00:00:00.000Z","0.3094","0.3155","0.3080","0.3155","921.26500744"
"2022-09-05T00:00:00.000Z","0.3126","0.3126","0.3080","0.3097","2279.75466233"
"2022-09-06T00:00:00.000Z","0.3071","0.3199","0.2994","0.3004","5652.26308632"
"2022-09-07T00:00:00.000Z","0.2998","0.3221","0.2880","0.3120","20007.94203332"
"2022-09-08T00:00:00.000Z","0.3105","0.3244","0.2987","0.3147","26582.11569899"
"2022-09-09T00:00:00.000Z","0.3112","0.3538","0.3112","0.3364","26404.50038991"
"2022-09-10T00:00:00.000Z","0.3279","0.3397","0.3279","0.3397","31970.85293493"
"2022-09-11T00:00:00.000Z","0.3375","0.3403","0.3244","0.3330","36972.98287155"
"2022-09-12T00:00:00.000Z","0.3313","0.3488","0.3281","0.3373","27273.91835454"
"2022-09-13T00:00:00.000Z","0.3433","0.3474","0.3072","0.3139","30402.72965641"
"2022-09-14T00:00:00.000Z","0.3138","0.3383","0.3138","0.3373","13563.94159038"
"2022-09-15T00:00:00.000Z","0.3410","0.3517","0.3071","0.3173","15686.77565391"
"2022-09-16T00:00:00.000Z","0.3177","0.3221","0.3106","0.3145","3527.29129587"
"2022-09-17T00:00:00.000Z","0.3194","0.3194","0.3143","0.3170","1122.19945556"
"2022-09-18T00:00:00.000Z","0.3174","0.3264","0.2980","0.2980","7336.61118421"
"2022-09-19T00:00:00.000Z","0.2857","0.3020","0.2857","0.3020","4858.65890377"
"2022-09-20T00:00:00.000Z","0.2992","0.3026","0.2915","0.2982","2899.97872068"
"2022-09-21T00:00:00.000Z","0.2982","0.3104","0.2887","0.2888","4623.26483212"
"2022-09-22T00:00:00.000Z","0.2889","0.3084","0.2874","0.3074","5109.70543692"
"2022-09-23T00:00:00.000Z","0.3060","0.3105","0.2884","0.3037","6246.43055333"
"2022-09-24T00:00:00.000Z","0.3040","0.3071","0.2951","0.3000","2410.17002840"
"2022-09-25T00:00:00.000Z","0.3003","0.3046","0.2899","0.2947","3773.44529749"
"2022-09-26T00:00:00.000Z","0.2945","0.3029","0.2847","0.2927","7807.84896425"
"2022-09-27T00:00:00.000Z","0.2937","0.3062","0.2851","0.2898","6470.37377142"
"2022-09-28T00:00:00.000Z","0.2898","0.2952","0.2829","0.2926","7334.09518409"
"2022-09-29T00:00:00.000Z","0.2926","0.2971","0.2868","0.2898","8429.73947320"
"2022-09-30T00:00:00.000Z","0.2900","0.2977","0.2861","0.2887","3592.82762002"
"2022-10-01T00:00:00.000Z","0.2873","0.2939","0.2851","0.2854","5021.78322812"
"2022-10-02T00:00:00.000Z","0.2854","0.2876","0.2825","0.2825","5735.59426262"
"2022-10-03T00:00:00.000Z","0.2826","0.2880","0.2821","0.2880","5808.64689353"
"2022-10-04T00:00:00.000Z","0.2893","0.2971","0.2824","0.2914","9637.50481061"
"2022-10-05T00:00:00.000Z","0.2881","0.2946","0.2873","0.2902","2657.28792968"
"2022-10-06T00:00:00.000Z","0.2913","0.2969","0.2871","0.2888","7503.29065184"
"2022-10-07T00:00:00.000Z","0.2900","0.2923","0.2833","0.2844","2414.98960962"
"2022-10-08T00:00:00.000Z","0.2861","0.2898","0.2847","0.2876","889.38824382"
"2022-10-09T00:00:00.000Z","0.2873","0.2889","0.2836","0.2888","2631.47144568"
"2022-10-10T00:00:00.000Z","0.2884","0.3062","0.2839","0.2839","7483.64865035"
