"price","volume","time","side","orderType"
"0.35660000","103.00000000","2024-05-13T17:15:35.233Z","s","l"
"0.35660000","98.00000000","2024-05-13T17:15:35.291Z","s","l"
"0.35660000","228.00000000","2024-05-13T17:15:35.304Z","s","l"
"0.35660000","67.00000000","2024-05-13T17:15:35.426Z","s","l"
"0.35660000","159.00000000","2024-05-13T17:15:35.493Z","s","l"
"0.35660000","68.00000000","2024-05-13T17:15:35.535Z","s","l"
"0.35660000","83.00000000","2024-05-13T17:15:35.753Z","s","l"
"0.35660000","83.00000000","2024-05-13T17:15:35.753Z","s","l"
"0.35660000","43.95715778","2024-05-13T17:29:00.185Z","s","l"
"0.35340000","30.04284222","2024-05-13T17:29:00.185Z","s","l"
"0.34920000","200.00000000","2024-05-13T18:22:53.974Z","b","l"
"0.34920000","86.36884306","2024-05-13T18:22:53.974Z","b","l"
"0.34910000","71.00000000","2024-05-13T18:25:53.248Z","s","l"
"0.34910000","245.19500000","2024-05-13T18:27:41.250Z","s","l"
"0.34910000","87.00000000","2024-05-13T18:30:37.418Z","s","l"
"0.34910000","86.00000000","2024-05-13T18:30:37.442Z","s","l"
"0.34910000","73.00000000","2024-05-13T18:30:37.832Z","s","l"
"0.34910000","77.00000000","2024-05-13T18:30:38.249Z","s","l"
"0.34780000","59.24400000","2024-05-13T18:34:27.133Z","b","l"
"0.34720000","100.00000000","2024-05-13T18:48:08.867Z","s","l"
"0.34700000","54.34877168","2024-05-13T18:48:08.867Z","s","l"
"0.34690000","95.03522832","2024-05-13T18:48:08.867Z","s","l"
"0.34800000","108.34055853","2024-05-13T20:00:11.535Z","b","m"
"0.34810000","88.22072861","2024-05-13T20:00:11.535Z","b","m"
"0.34860000","70.52172073","2024-05-13T20:07:31.602Z","b","l"
"0.34870000","100.00000000","2024-05-13T20:07:31.602Z","b","l"
"0.34900000","121.44527927","2024-05-13T20:07:31.602Z","b","l"
"0.34720000","35.26086036","2024-05-13T20:24:48.494Z","b","l"
"0.34730000","5.44013964","2024-05-13T20:24:48.494Z","b","l"
"0.34720000","35.26086037","2024-05-13T20:31:01.639Z","b","l"
"0.34730000","20.62568384","2024-05-13T20:31:01.639Z","b","l"
"0.34810000","66.39722864","2024-05-14T06:12:39.956Z","s","l"
"0.34110000","100.00000000","2024-05-14T06:31:52.747Z","s","m"
"0.34090000","200.00000000","2024-05-14T06:31:52.747Z","s","m"
"0.34050000","400.00000000","2024-05-14T06:31:52.747Z","s","m"
"0.33990000","53.77971098","2024-05-14T06:31:52.747Z","s","m"
"0.33980000","654.57000000","2024-05-14T06:31:52.747Z","s","m"
"0.33900000","619.41999000","2024-05-14T06:31:52.747Z","s","m"
"0.33890000","755.25313359","2024-05-14T06:31:52.747Z","s","m"
"0.33850000","124.69199999","2024-05-14T06:31:52.747Z","s","m"
"0.33840000","6267.24216544","2024-05-14T06:31:52.747Z","s","m"
"0.34120000","97.70628393","2024-05-14T06:31:52.765Z","s","l"
"0.34120000","24.32486410","2024-05-14T06:31:52.766Z","s","l"
"0.33990000","139.71301547","2024-05-14T06:33:28.027Z","b","l"
"0.34000000","36.28698453","2024-05-14T06:33:28.027Z","b","l"
"0.34000000","156.00000000","2024-05-14T06:33:28.383Z","b","l"
"0.34120000","73.67512590","2024-05-14T06:37:20.885Z","b","l"
"0.34370000","69.85650774","2024-05-14T07:02:52.747Z","b","l"
"0.34380000","100.00000000","2024-05-14T07:02:52.747Z","b","l"
"0.34390000","200.00000000","2024-05-14T07:02:52.747Z","b","l"
"0.34390000","86.89471800","2024-05-14T07:02:52.747Z","b","l"
"0.34430000","43.24877426","2024-05-14T07:02:52.747Z","b","l"
"0.34420000","69.85650774","2024-05-14T07:02:56.650Z","b","l"
"0.34430000","100.00000000","2024-05-14T07:02:56.650Z","b","l"
"0.34440000","100.00000000","2024-05-14T07:03:03.690Z","b","l"
"0.34450000","200.00000000","2024-05-14T07:03:03.690Z","b","l"
"0.34500000","200.00000000","2024-05-14T07:03:03.690Z","b","l"
"0.34500000","100.00000000","2024-05-14T07:03:19.434Z","b","l"
"0.34520000","200.00000000","2024-05-14T07:03:19.434Z","b","l"
"0.34560000","200.00000000","2024-05-14T07:03:19.434Z","b","l"
"0.34530000","100.00000000","2024-05-14T07:03:37.515Z","b","l"
"0.34550000","5298.07200120","2024-05-14T07:03:37.515Z","b","l"
"0.34550000","1.92799880","2024-05-14T07:03:37.627Z","s","l"
"0.34510000","100.00000000","2024-05-14T07:03:50.461Z","b","l"
"0.34560000","200.00000000","2024-05-14T07:03:50.461Z","b","l"
"0.34570000","400.00000000","2024-05-14T07:03:50.461Z","b","l"
"0.34580000","700.00000000","2024-05-14T07:04:05.156Z","b","l"
"0.34230000","11.56200000","2024-05-14T07:12:01.220Z","s","l"
"0.34240000","100.00000000","2024-05-14T07:43:18.357Z","b","l"
"0.34260000","200.00000000","2024-05-14T07:43:18.357Z","b","l"
"0.34310000","201.25182162","2024-05-14T07:43:18.357Z","b","l"
"0.33840000","46.43064423","2024-05-14T12:34:30.972Z","s","l"
"0.33830000","135.26244146","2024-05-14T12:42:49.027Z","s","l"
"0.33820000","200.00000000","2024-05-14T12:42:49.027Z","s","l"
"0.33820000","100.00000000","2024-05-14T12:42:49.027Z","s","l"
"0.33770000","245.23306854","2024-05-14T12:42:49.027Z","s","l"
"0.33570000","67.63122073","2024-05-14T13:08:18.588Z","s","l"
"0.33560000","200.00000000","2024-05-14T13:08:18.588Z","s","l"
"0.33530000","33.81561036","2024-05-14T13:21:37.585Z","s","l"
"0.33520000","289.18438964","2024-05-14T13:21:37.585Z","s","l"
"0.33520000","367.14019270","2024-05-14T13:21:53.082Z","s","l"
"0.33620000","124.13563627","2024-05-14T13:26:19.426Z","b","m"
"0.33630000","100.00000000","2024-05-14T13:26:19.426Z","b","m"
"0.33630000","100.00000000","2024-05-14T13:26:31.555Z","b","m"
"0.33620000","62.06781814","2024-05-14T13:26:48.825Z","b","m"
"0.33630000","100.00000000","2024-05-14T13:26:48.825Z","b","m"
"0.33630000","100.00000000","2024-05-14T13:27:01.833Z","b","m"
"0.33660000","31.03390907","2024-05-14T13:27:01.833Z","b","m"
"0.33670000","168.96609093","2024-05-14T13:27:01.833Z","b","m"
"0.33650000","31.03390907","2024-05-14T13:27:29.755Z","b","m"
"0.33660000","100.00000000","2024-05-14T13:27:29.755Z","b","m"
"0.33670000","31.03390907","2024-05-14T13:27:29.755Z","b","m"
"0.33640000","100.00000000","2024-05-14T13:27:38.558Z","b","m"
"0.33660000","200.00000000","2024-05-14T13:27:38.558Z","b","m"
"0.33660000","100.00000000","2024-05-14T13:27:48.250Z","b","m"
"0.33670000","100.00000000","2024-05-14T13:27:56.405Z","b","m"
"0.33610000","100.00000000","2024-05-14T13:28:44.045Z","b","m"
"0.33650000","200.00000000","2024-05-14T13:28:44.045Z","b","m"
"0.33630000","100.00000000","2024-05-14T13:29:13.025Z","b","m"
"0.33650000","200.00000000","2024-05-14T13:29:13.025Z","b","m"
"0.33570000","100.00000000","2024-05-14T13:31:46.531Z","b","m"
"0.33600000","200.00000000","2024-05-14T13:31:46.531Z","b","m"
"0.33650000","400.00000000","2024-05-14T13:31:46.531Z","b","m"
"0.33660000","304.83000000","2024-05-14T13:31:46.531Z","b","m"
"0.33540000","100.00000000","2024-05-14T13:37:05.668Z","b","m"
"0.33540000","200.00000000","2024-05-14T13:37:05.668Z","b","m"
"0.33560000","100.00000000","2024-05-14T13:37:22.974Z","b","m"
"0.33560000","100.00000000","2024-05-14T13:37:40.076Z","b","m"
"0.33580000","200.00000000","2024-05-14T13:37:40.076Z","b","m"
"0.33590000","100.00000000","2024-05-14T13:38:07.402Z","b","m"
"0.33620000","200.00000000","2024-05-14T13:38:07.402Z","b","m"
"0.33530000","100.00000000","2024-05-14T13:43:29.382Z","b","l"
"0.33550000","200.00000000","2024-05-14T13:43:29.382Z","b","l"
"0.33600000","400.00000000","2024-05-14T13:43:29.382Z","b","l"
"0.33340000","66.36487061","2024-05-14T14:28:48.195Z","b","l"
"0.33410000","100.00000000","2024-05-14T14:28:48.195Z","b","l"
"0.33430000","200.00000000","2024-05-14T14:28:48.195Z","b","l"
"0.33470000","46.59581162","2024-05-14T14:28:48.195Z","b","l"
"0.33450000","100.00000000","2024-05-14T14:29:19.387Z","b","l"
"0.33470000","200.00000000","2024-05-14T14:29:19.387Z","b","l"
"0.33530000","400.00000000","2024-05-14T14:29:19.387Z","b","l"
"0.33560000","673.25000000","2024-05-14T14:29:19.387Z","b","l"
"0.33000000","57.00000000","2024-05-14T16:37:22.166Z","s","l"
"0.33010000","200.00000000","2024-05-14T17:31:47.485Z","b","l"
"0.33030000","100.00000000","2024-05-14T17:31:47.485Z","b","l"
"0.33030000","400.00000000","2024-05-14T17:31:47.485Z","b","l"
"0.33030000","869.34000000","2024-05-14T17:31:47.485Z","b","l"
"0.33020000","400.00000000","2024-05-14T17:32:02.108Z","b","l"
"0.33020000","100.00000000","2024-05-14T17:32:02.108Z","b","l"
"0.33020000","200.00000000","2024-05-14T17:32:02.108Z","b","l"
"0.33000000","46.00000000","2024-05-14T17:32:14.611Z","s","l"
"0.33000000","43.00000000","2024-05-14T17:32:14.629Z","s","l"
"0.33110000","100.00000000","2024-05-14T18:19:18.589Z","s","l"
"0.33070000","30.20235578","2024-05-14T19:10:22.983Z","b","m"
"0.33030000","100.00000000","2024-05-14T19:11:50.527Z","b","l"
"0.33090000","200.00000000","2024-05-14T19:11:50.527Z","b","l"
"0.33130000","400.00000000","2024-05-14T19:11:50.527Z","b","l"
