"price","volume","time","side","orderType"
"3.23500000","2.30000000","2023-06-26T23:32:11.968Z","sell","maker"
"3.23500000","7.60000000","2023-06-26T23:29:24.597Z","sell","maker"
"3.23600000","2.85000000","2023-06-26T23:29:24.366Z","sell","maker"
"3.23500000","4.75000000","2023-06-26T23:29:24.366Z","sell","maker"
"3.23600000","7.60000000","2023-06-26T23:25:31.323Z","sell","maker"
"3.23600000","7.60000000","2023-06-26T23:23:53.089Z","sell","maker"
"3.23600000","7.67000000","2023-06-26T23:20:47.680Z","sell","maker"
"3.23600000","7.67000000","2023-06-26T23:20:23.734Z","sell","maker"
"3.23600000","7.67000000","2023-06-26T23:20:22.508Z","sell","maker"
"3.23600000","7.67000000","2023-06-26T23:20:21.080Z","sell","maker"
"3.23800000","21.21000000","2023-06-26T11:54:32.907Z","sell","maker"
"3.23500000","3.79000000","2023-06-26T11:54:32.907Z","sell","maker"
"3.24100000","11.89000000","2023-06-26T02:40:04.393Z","buy","taker"
"3.28300000","25.91000000","2023-06-26T02:40:04.389Z","sell","maker"
"3.30000000","0.07000000","2023-06-26T01:14:21.502Z","sell","maker"
"3.30000000","1.75000000","2023-06-26T01:02:07.909Z","sell","maker"
"3.30200000","1.90000000","2023-06-25T22:02:48.726Z","sell","maker"
"3.30000000","5.66000000","2023-06-25T22:02:48.726Z","sell","maker"
"3.30700000","3.79000000","2023-06-25T22:02:30.402Z","buy","taker"
"3.30700000","5.31000000","2023-06-25T22:02:18.801Z","buy","taker"
"3.30700000","2.18000000","2023-06-25T22:02:18.585Z","sell","maker"
"3.35800000","8.36000000","2023-06-25T18:53:11.046Z","buy","taker"
"3.30000000","1748.01000000","2023-06-25T18:52:23.467Z","sell","maker"
"3.35000000","9.96000000","2023-06-25T18:47:23.936Z","buy","taker"
"3.35000000","35.77000000","2023-06-25T18:47:23.936Z","buy","taker"
"3.35000000","23.51000000","2023-06-25T18:46:53.645Z","buy","taker"
"3.33600000","27.14000000","2023-06-25T18:45:26.459Z","buy","taker"
"3.30000000","9.07000000","2023-06-25T18:45:24.227Z","sell","maker"
"3.30000000","34.13000000","2023-06-25T18:45:23.996Z","sell","maker"
"3.30000000","7.11000000","2023-06-25T18:45:23.994Z","sell","maker"
"3.30000000","8.81000000","2023-06-25T18:45:23.994Z","sell","maker"
"3.35000000","26.36000000","2023-06-25T18:45:23.990Z","buy","taker"
"3.26400000","0.50000000","2023-06-25T10:20:09.729Z","sell","maker"
"3.26400000","0.01000000","2023-06-25T10:20:09.729Z","sell","maker"
"3.23500000","2.96000000","2023-06-25T09:18:46.646Z","sell","maker"
"3.23500000","0.50000000","2023-06-25T09:18:46.503Z","sell","maker"
"3.23500000","0.50000000","2023-06-25T09:18:45.980Z","sell","maker"
"3.23500000","0.50000000","2023-06-25T09:18:45.500Z","sell","maker"
"3.23500000","0.50000000","2023-06-25T09:18:44.943Z","sell","maker"
"3.23500000","0.50000000","2023-06-25T09:18:44.488Z","sell","maker"
"3.23500000","0.50000000","2023-06-25T09:18:03.926Z","sell","maker"
"3.23500000","0.50000000","2023-06-25T09:17:31.120Z","sell","maker"
"3.23500000","0.50000000","2023-06-25T09:16:28.688Z","sell","maker"
"3.23500000","0.89000000","2023-06-25T09:15:01.971Z","sell","maker"
"3.29000000","1.30000000","2023-06-25T09:13:33.358Z","buy","taker"
"3.30800000","15.11000000","2023-06-25T09:13:33.358Z","buy","taker"
"3.30900000","26.26000000","2023-06-25T09:13:33.358Z","buy","taker"
"3.35800000","17.52000000","2023-06-25T09:13:33.358Z","buy","taker"
"3.20000000","3.06000000","2023-06-25T02:00:36.227Z","sell","maker"
"3.26400000","39.70000000","2023-06-24T21:28:44.581Z","buy","taker"
"3.26900000","1.94000000","2023-06-24T21:28:44.227Z","buy","taker"
"3.22700000","2.92000000","2023-06-24T20:12:18.919Z","buy","taker"
"3.20000000","1122.87000000","2023-06-24T19:48:10.150Z","buy","taker"
"3.18600000","10.99000000","2023-06-24T19:35:07.728Z","sell","maker"
"3.18600000","7.81000000","2023-06-24T19:35:05.177Z","sell","maker"
"3.18600000","7.81000000","2023-06-24T19:35:04.839Z","sell","maker"
"3.19900000","2.14000000","2023-06-24T19:34:59.213Z","buy","taker"
"3.20000000","622.86000000","2023-06-24T19:34:59.213Z","buy","taker"
"3.20000000","60.49000000","2023-06-24T19:34:57.560Z","buy","taker"
"3.20000000","0.50000000","2023-06-24T19:34:57.558Z","buy","taker"
"3.20000000","20.28000000","2023-06-24T19:34:57.558Z","buy","taker"
"3.20000000","0.50000000","2023-06-24T19:34:57.558Z","buy","taker"
"3.20000000","0.50000000","2023-06-24T19:34:57.558Z","buy","taker"
"3.23600000","7.66000000","2023-06-24T19:34:57.554Z","sell","maker"
"3.23600000","21.26000000","2023-06-24T19:34:57.554Z","sell","maker"
"3.23500000","26.29000000","2023-06-24T19:34:57.554Z","sell","maker"
"3.26500000","8.23000000","2023-06-24T19:34:57.295Z","buy","taker"
"3.26500000","4.63000000","2023-06-24T19:34:57.072Z","buy","taker"
"3.26600000","3.13000000","2023-06-24T19:34:56.845Z","buy","taker"
"3.26600000","2.65000000","2023-06-24T19:34:56.699Z","buy","taker"
"3.26600000","1.63000000","2023-06-24T19:34:56.699Z","buy","taker"
"3.28300000","0.09000000","2023-06-24T19:34:56.695Z","sell","maker"
"3.28300000","7.50000000","2023-06-24T19:34:56.601Z","sell","maker"
"3.28300000","7.50000000","2023-06-24T19:34:56.502Z","sell","maker"
"3.28400000","7.51000000","2023-06-24T16:10:53.778Z","sell","maker"
"3.33300000","3.44000000","2023-06-24T16:10:51.694Z","sell","maker"
"3.33300000","7.36000000","2023-06-24T16:10:51.529Z","sell","maker"
"3.33300000","7.36000000","2023-06-24T16:10:26.633Z","sell","maker"
"3.33300000","7.36000000","2023-06-24T16:10:22.050Z","sell","maker"
"3.38300000","0.01000000","2023-06-24T16:06:04.417Z","sell","maker"
"3.38300000","13.58000000","2023-06-24T16:02:33.903Z","sell","maker"
"3.38300000","8.90000000","2023-06-24T16:01:50.817Z","sell","maker"
"3.46500000","2.86000000","2023-06-24T15:57:05.961Z","buy","taker"
"3.46500000","4.38000000","2023-06-24T15:56:36.320Z","buy","taker"
"3.46500000","2.18000000","2023-06-24T15:32:50.780Z","buy","taker"
"3.43500000","15.96000000","2023-06-24T13:05:42.920Z","sell","maker"
"3.43500000","176.19000000","2023-06-24T13:05:42.920Z","sell","maker"
"3.38300000","2.65000000","2023-06-24T13:05:42.920Z","sell","maker"
"3.43500000","5.77000000","2023-06-24T06:31:05.034Z","sell","maker"
"3.44900000","2.74000000","2023-06-24T06:31:04.141Z","sell","maker"
"3.43500000","3.03000000","2023-06-24T06:31:04.141Z","sell","maker"
"3.44900000","5.77000000","2023-06-24T06:30:44.434Z","sell","maker"
"3.47100000","0.43000000","2023-06-24T06:15:52.039Z","buy","taker"
"3.47100000","6.88000000","2023-06-24T06:15:51.354Z","buy","taker"
"3.48600000","0.25000000","2023-06-24T06:15:51.352Z","sell","maker"
"3.48600000","24.15000000","2023-06-24T06:15:43.065Z","sell","maker"
"3.48700000","7.12000000","2023-06-24T06:15:18.444Z","sell","maker"
"3.48700000","7.12000000","2023-06-24T06:15:08.401Z","sell","maker"
"3.51200000","0.43000000","2023-06-24T06:15:02.020Z","buy","taker"
"3.51200000","1.45000000","2023-06-24T06:15:01.849Z","buy","taker"
"3.51200000","7.05000000","2023-06-24T06:15:00.828Z","buy","taker"
"3.53900000","24.03000000","2023-06-24T05:22:57.978Z","sell","maker"
"3.62400000","0.84000000","2023-06-24T04:00:27.716Z","sell","maker"
"3.61500000","0.80000000","2023-06-24T04:00:27.716Z","sell","maker"
"3.59800000","6.36000000","2023-06-24T04:00:27.716Z","sell","maker"
"3.62400000","12.90000000","2023-06-24T03:57:23.413Z","sell","maker"
"3.62400000","2.68000000","2023-06-24T03:57:15.137Z","sell","maker"
"3.62400000","6.70000000","2023-06-24T03:57:12.015Z","sell","maker"
"3.62400000","6.14000000","2023-06-24T03:57:08.925Z","sell","maker"
"3.62400000","6.14000000","2023-06-24T03:57:05.826Z","sell","maker"
"3.62400000","6.13000000","2023-06-24T03:57:02.916Z","sell","maker"
"3.62400000","4.15000000","2023-06-24T03:56:33.994Z","sell","maker"
"3.62400000","5.89000000","2023-06-24T03:56:27.315Z","sell","maker"
"3.67400000","3.92000000","2023-06-24T03:56:26.881Z","buy","taker"
"3.62400000","73.53000000","2023-06-24T03:56:16.746Z","sell","maker"
"3.62400000","1.34000000","2023-06-24T03:56:16.744Z","sell","maker"
"3.62400000","15.87000000","2023-06-24T03:56:16.744Z","sell","maker"
"3.58900000","76.13000000","2023-06-24T03:56:16.740Z","buy","taker"
"3.62000000","24.00000000","2023-06-24T03:56:16.740Z","buy","taker"
"3.62400000","5.90000000","2023-06-24T03:56:16.740Z","buy","taker"
"3.50400000","7.06000000","2023-06-23T22:21:34.441Z","buy","taker"
"3.50400000","7.06000000","2023-06-23T22:20:45.347Z","buy","taker"
"3.50400000","5.79000000","2023-06-23T22:20:43.057Z","buy","taker"
"3.50400000","0.50000000","2023-06-23T22:20:43.057Z","buy","taker"
"3.50400000","0.50000000","2023-06-23T22:20:43.057Z","buy","taker"
"3.50400000","0.27000000","2023-06-23T22:20:43.057Z","buy","taker"
"3.56600000","1.70000000","2023-06-23T20:52:57.798Z","sell","maker"
"3.56600000","22.68000000","2023-06-23T20:52:57.794Z","buy","taker"
"3.56600000","472.86000000","2023-06-23T20:52:57.794Z","buy","taker"
"3.56600000","1.70000000","2023-06-23T20:52:55.384Z","buy","taker"
"3.51400000","24.73000000","2023-06-23T20:52:46.274Z","buy","taker"
"3.50700000","1.72000000","2023-06-23T20:52:44.022Z","sell","maker"
"3.50700000","79.44000000","2023-06-23T20:52:44.019Z","buy","taker"
"3.50700000","1.72000000","2023-06-23T20:52:38.856Z","buy","taker"
"3.50700000","1.72000000","2023-06-23T20:52:32.585Z","buy","taker"
"3.49600000","1.72000000","2023-06-23T20:52:19.255Z","buy","taker"
"3.49200000","7.05000000","2023-06-23T20:52:12.185Z","buy","taker"
"3.46000000","2.32000000","2023-06-23T20:51:55.889Z","sell","maker"
"3.46000000","0.56000000","2023-06-23T20:51:55.888Z","sell","maker"
"3.46000000","4.17000000","2023-06-23T20:51:55.885Z","buy","taker"
"3.46000000","6.91000000","2023-06-23T20:48:09.432Z","buy","taker"
"3.46000000","6.95000000","2023-06-23T20:47:37.052Z","buy","taker"
"3.42300000","67.53000000","2023-06-23T20:47:22.313Z","buy","taker"
"3.41800000","29.73000000","2023-06-23T20:47:10.051Z","buy","taker"
"3.41800000","0.65000000","2023-06-23T20:47:10.051Z","buy","taker"
"3.40900000","7.02000000","2023-06-23T20:47:05.477Z","sell","maker"
"3.40900000","1.23000000","2023-06-23T20:47:04.939Z","sell","maker"
"3.40900000","25.50000000","2023-06-23T20:47:04.935Z","buy","taker"
"3.34600000","0.30000000","2023-06-23T17:00:37.712Z","sell","maker"
"3.28300000","0.98000000","2023-06-23T16:35:09.743Z","sell","maker"
"3.33400000","12.55000000","2023-06-23T15:53:37.832Z","sell","maker"
"3.33300000","25.52000000","2023-06-23T15:53:37.832Z","sell","maker"
"3.28300000","9.84000000","2023-06-23T15:53:37.832Z","sell","maker"
"3.46000000","7.09000000","2023-06-23T12:23:27.962Z","buy","taker"
"3.41800000","6.95000000","2023-06-23T10:25:04.254Z","buy","taker"
"3.40900000","5.55000000","2023-06-23T10:21:53.143Z","buy","taker"
"3.40900000","7.00000000","2023-06-23T10:20:55.627Z","buy","taker"
"3.33500000","6.29000000","2023-06-23T09:56:15.226Z","sell","maker"
"3.40900000","0.04000000","2023-06-23T09:53:51.454Z","sell","maker"
"3.40900000","6.98000000","2023-06-23T09:52:19.305Z","buy","taker"
"3.40900000","7.06000000","2023-06-23T09:50:42.699Z","buy","taker"
"3.40800000","7.02000000","2023-06-23T09:49:00.369Z","buy","taker"
"3.40800000","7.06000000","2023-06-23T09:47:48.946Z","buy","taker"
"3.40900000","7.04000000","2023-06-23T09:45:35.639Z","buy","taker"
"3.40900000","4.01000000","2023-06-23T08:50:10.915Z","buy","taker"
"3.40900000","0.40000000","2023-06-23T08:21:34.231Z","buy","taker"
"3.34800000","8.30000000","2023-06-23T08:15:09.735Z","sell","maker"
"3.33300000","25.52000000","2023-06-23T08:15:09.735Z","sell","maker"
"3.37500000","1.39000000","2023-06-23T07:53:29.397Z","buy","taker"
"3.37500000","0.75000000","2023-06-23T07:53:29.397Z","buy","taker"
"3.45800000","91.45000000","2023-06-23T07:53:29.397Z","buy","taker"
"3.38000000","1.89000000","2023-06-23T07:42:20.303Z","buy","taker"
"3.38300000","25.14000000","2023-06-23T07:41:40.407Z","sell","maker"
"3.43500000","5.92000000","2023-06-23T07:41:40.406Z","sell","maker"
"3.43500000","1.99000000","2023-06-23T07:41:40.406Z","sell","maker"
"3.43500000","1.99000000","2023-06-23T07:41:40.406Z","sell","maker"
"3.43500000","18.84000000","2023-06-23T07:41:40.404Z","sell","maker"
"3.48600000","0.58000000","2023-06-23T07:32:56.596Z","sell","maker"
"3.48600000","0.01000000","2023-06-23T07:32:56.596Z","sell","maker"
"3.48600000","6.93000000","2023-06-23T07:32:52.403Z","sell","maker"
"3.48600000","16.88000000","2023-06-23T07:32:44.390Z","sell","maker"
"3.48700000","3.31000000","2023-06-23T07:32:36.125Z","sell","maker"
"3.54000000","7.62000000","2023-06-23T07:32:25.982Z","sell","maker"
"3.53900000","24.03000000","2023-06-23T07:32:25.982Z","sell","maker"
"3.55900000","54.87000000","2023-06-23T07:32:25.981Z","sell","maker"
"3.55900000","17.14000000","2023-06-23T07:32:25.980Z","sell","maker"
"3.59300000","18.16000000","2023-06-23T07:30:46.298Z","sell","maker"
"3.59300000","7.19000000","2023-06-23T07:30:46.298Z","sell","maker"
"3.59300000","5.51000000","2023-06-23T06:56:44.495Z","sell","maker"
"3.68300000","7.32000000","2023-06-23T06:44:46.272Z","sell","maker"
"3.68300000","0.92000000","2023-06-23T06:44:46.271Z","sell","maker"
"3.68300000","0.92000000","2023-06-23T06:44:46.271Z","sell","maker"
"3.67500000","1.84000000","2023-06-23T06:44:46.267Z","buy","taker"
"3.67400000","5.51000000","2023-06-23T06:14:51.485Z","buy","taker"
"3.66000000","3.73000000","2023-06-23T06:10:14.268Z","buy","taker"
"3.66000000","3.74000000","2023-06-23T06:10:10.179Z","buy","taker"
"3.65600000","3.73000000","2023-06-23T06:10:06.885Z","buy","taker"
"3.65600000","3.73000000","2023-06-23T06:09:59.819Z","buy","taker"
"3.65100000","3.73000000","2023-06-23T06:09:55.187Z","buy","taker"
"3.54300000","0.29000000","2023-06-23T05:16:57.151Z","sell","maker"
"3.57000000","0.33000000","2023-06-23T05:15:20.336Z","buy","taker"
"3.58200000","0.31000000","2023-06-23T04:50:20.422Z","buy","taker"
"3.67500000","10.65000000","2023-06-23T04:25:35.493Z","buy","taker"
"3.67500000","4.34000000","2023-06-23T04:24:44.781Z","buy","taker"
"3.67500000","4.32000000","2023-06-23T04:24:00.858Z","buy","taker"
"3.67500000","2.49000000","2023-06-23T04:23:30.991Z","buy","taker"
"3.65700000","62.12000000","2023-06-23T04:21:39.296Z","buy","taker"
"3.62000000","24.00000000","2023-06-23T04:21:04.956Z","buy","taker"
"3.61900000","65.72000000","2023-06-23T04:21:03.144Z","buy","taker"
"3.60500000","124.39000000","2023-06-23T04:21:01.159Z","buy","taker"
"3.56600000","22.45000000","2023-06-23T04:20:42.829Z","buy","taker"
"3.56600000","4.42000000","2023-06-23T04:20:29.177Z","buy","taker"
"3.56600000","3.45000000","2023-06-23T04:20:06.338Z","buy","taker"
"3.56600000","0.97000000","2023-06-23T04:20:06.338Z","buy","taker"
"3.56600000","4.41000000","2023-06-23T04:19:54.912Z","buy","taker"
"3.56600000","4.41000000","2023-06-23T04:19:36.180Z","buy","taker"
"3.56600000","3.79000000","2023-06-23T04:19:00.671Z","buy","taker"
"3.56600000","4.51000000","2023-06-23T04:19:00.312Z","buy","taker"
"3.56600000","3.80000000","2023-06-23T04:18:56.429Z","buy","taker"
"3.51400000","20.42000000","2023-06-23T04:17:10.139Z","buy","taker"
"3.51400000","45.08000000","2023-06-23T04:17:10.139Z","buy","taker"
"3.50700000","4.82000000","2023-06-23T04:14:51.781Z","buy","taker"
"3.50700000","4.83000000","2023-06-23T04:14:31.803Z","buy","taker"
"3.50200000","4.82000000","2023-06-23T04:14:15.230Z","buy","taker"
"3.50200000","4.83000000","2023-06-23T04:13:50.190Z","buy","taker"
"3.46000000","0.53000000","2023-06-23T04:13:38.053Z","buy","taker"
"3.51400000","4.31000000","2023-06-23T04:13:38.053Z","buy","taker"
"3.46000000","4.92000000","2023-06-23T04:11:05.462Z","buy","taker"
"3.46000000","4.91000000","2023-06-23T04:10:48.980Z","buy","taker"
"3.46000000","4.92000000","2023-06-23T04:10:17.816Z","buy","taker"
"3.46000000","4.92000000","2023-06-23T04:09:31.067Z","buy","taker"
"3.46000000","4.92000000","2023-06-23T04:09:20.394Z","buy","taker"
"3.40900000","5.28000000","2023-06-23T03:58:45.611Z","buy","taker"
"3.40900000","7.17000000","2023-06-23T03:58:13.035Z","buy","taker"
"3.40900000","2.09000000","2023-06-23T03:19:40.870Z","buy","taker"
"3.28600000","9.76000000","2023-06-23T02:36:03.167Z","sell","maker"
"3.28500000","4.92000000","2023-06-23T02:36:03.167Z","sell","maker"
"3.38500000","14.77000000","2023-06-23T02:22:47.686Z","buy","taker"
"3.38700000","1.68000000","2023-06-23T02:12:02.042Z","buy","taker"
"3.35800000","4.08000000","2023-06-23T02:11:50.572Z","buy","taker"
"3.35800000","1.38000000","2023-06-23T02:11:38.244Z","buy","taker"
"3.35800000","0.31000000","2023-06-23T02:11:38.244Z","buy","taker"
"3.35800000","4.09000000","2023-06-23T02:11:33.023Z","buy","taker"
"3.35800000","4.09000000","2023-06-23T02:11:29.549Z","buy","taker"
"3.35800000","1.69000000","2023-06-23T02:11:23.097Z","buy","taker"
"3.35800000","1.70000000","2023-06-23T02:11:11.616Z","buy","taker"
"3.35800000","4.31000000","2023-06-23T02:09:47.792Z","buy","taker"
"3.35800000","4.31000000","2023-06-23T02:09:43.259Z","buy","taker"
"3.35800000","4.31000000","2023-06-23T02:09:29.328Z","buy","taker"
"3.28300000","4.43000000","2023-06-23T01:53:16.045Z","buy","taker"
"3.28300000","7.48000000","2023-06-23T01:53:10.169Z","buy","taker"
"3.28300000","1.58000000","2023-06-23T01:53:05.455Z","buy","taker"
"3.28300000","9.41000000","2023-06-23T01:53:04.148Z","buy","taker"
"3.28300000","0.59000000","2023-06-23T01:32:48.072Z","buy","taker"
"3.28300000","0.48000000","2023-06-23T01:31:43.412Z","sell","maker"
"3.28300000","25.43000000","2023-06-22T23:27:11.864Z","sell","maker"
"3.28400000","42.39000000","2023-06-22T23:27:11.725Z","sell","maker"
"3.31900000","5.31000000","2023-06-22T23:27:11.517Z","sell","maker"
"3.31900000","8.37000000","2023-06-22T23:27:11.517Z","sell","maker"
"3.40900000","5.59000000","2023-06-22T21:26:09.253Z","buy","taker"
"3.40900000","5.36000000","2023-06-22T21:26:01.109Z","buy","taker"
"3.35800000","25.89000000","2023-06-22T21:17:44.580Z","buy","taker"
"3.32700000","0.43000000","2023-06-22T19:24:34.598Z","sell","maker"
"3.28300000","0.21000000","2023-06-22T18:51:15.137Z","sell","maker"
"3.28300000","1.17000000","2023-06-22T18:49:17.595Z","sell","maker"
"3.28300000","9.11000000","2023-06-22T18:49:17.143Z","sell","maker"
"3.28300000","5.14000000","2023-06-22T18:49:10.958Z","sell","maker"
"3.28300000","5.14000000","2023-06-22T18:49:10.957Z","sell","maker"
"3.28300000","5.14000000","2023-06-22T18:49:10.957Z","sell","maker"
"3.33300000","0.06000000","2023-06-22T18:48:47.847Z","sell","maker"
"3.33300000","8.76000000","2023-06-22T18:48:47.445Z","sell","maker"
"3.33300000","5.21000000","2023-06-22T18:48:47.343Z","sell","maker"
"3.33300000","2.83000000","2023-06-22T18:48:47.332Z","sell","maker"
"3.33300000","2.83000000","2023-06-22T18:48:47.331Z","sell","maker"
"3.33300000","2.83000000","2023-06-22T18:48:47.331Z","sell","maker"
"3.33300000","3.00000000","2023-06-22T18:48:47.331Z","sell","maker"
"3.38300000","0.05000000","2023-06-22T18:45:18.902Z","sell","maker"
"3.38300000","8.27000000","2023-06-22T18:44:57.798Z","sell","maker"
"3.38300000","16.82000000","2023-06-22T18:44:38.792Z","sell","maker"
"3.43500000","7.43000000","2023-06-22T18:43:12.952Z","sell","maker"
"3.43500000","0.51000000","2023-06-22T18:43:12.952Z","sell","maker"
"3.44000000","15.98000000","2023-06-22T18:43:04.962Z","sell","maker"
"3.44000000","0.71000000","2023-06-22T18:43:04.962Z","sell","maker"
"3.46400000","0.93000000","2023-06-22T18:33:33.469Z","sell","maker"
"3.45700000","0.45000000","2023-06-22T18:17:49.514Z","sell","maker"
"3.51400000","179.84000000","2023-06-22T18:12:20.551Z","sell","maker"
"3.49800000","1.43000000","2023-06-22T18:12:20.551Z","sell","maker"
"3.43500000","17.33000000","2023-06-22T18:12:20.551Z","sell","maker"
"3.51400000","2.23000000","2023-06-22T18:12:12.874Z","sell","maker"
"3.51400000","2.21000000","2023-06-22T18:09:03.434Z","sell","maker"
"3.51400000","19.45000000","2023-06-22T18:06:51.672Z","buy","taker"
"3.51400000","5.28000000","2023-06-22T18:06:33.071Z","buy","taker"
"3.50900000","8.80000000","2023-06-22T18:06:22.963Z","sell","maker"
"3.50900000","81.53000000","2023-06-22T18:06:22.958Z","buy","taker"
"3.46000000","25.12000000","2023-06-22T18:05:46.598Z","buy","taker"
"3.45900000","8.75000000","2023-06-22T18:04:50.645Z","sell","maker"
"3.45900000","45.35000000","2023-06-22T18:04:50.640Z","buy","taker"
"3.45900000","1.99000000","2023-06-22T18:04:50.640Z","buy","taker"
"3.45900000","4.98000000","2023-06-22T18:04:50.640Z","buy","taker"
"3.45900000","8.85000000","2023-06-22T17:05:22.650Z","buy","taker"
"3.45900000","3.65000000","2023-06-22T17:04:09.790Z","buy","taker"
"3.45900000","8.78000000","2023-06-22T17:04:09.760Z","buy","taker"
"3.45900000","5.19000000","2023-06-22T17:03:55.439Z","buy","taker"
"3.45400000","60.12000000","2023-06-22T17:03:45.421Z","sell","maker"
"3.45400000","3.12000000","2023-06-22T17:03:45.420Z","sell","maker"
"3.45400000","9.13000000","2023-06-22T17:03:45.419Z","sell","maker"
"3.43800000","68.47000000","2023-06-22T17:03:45.416Z","buy","taker"
"3.40900000","6.61000000","2023-06-22T16:58:32.516Z","buy","taker"
"3.40900000","0.69000000","2023-06-22T16:58:32.516Z","buy","taker"
"3.40900000","7.30000000","2023-06-22T16:58:09.713Z","buy","taker"
"3.40900000","4.31000000","2023-06-22T16:57:51.941Z","buy","taker"
"3.40900000","3.26000000","2023-06-22T16:57:24.209Z","buy","taker"
"3.40900000","4.01000000","2023-06-22T16:57:20.965Z","buy","taker"
"3.33300000","25.52000000","2023-06-22T16:37:56.965Z","sell","maker"
"3.33400000","9.04000000","2023-06-22T16:30:26.437Z","sell","maker"
"3.44800000","7.49000000","2023-06-22T15:29:06.942Z","sell","maker"
"3.44800000","7.52000000","2023-06-22T15:29:03.131Z","sell","maker"
"3.44800000","3.24000000","2023-06-22T15:29:03.122Z","sell","maker"
"3.44800000","3.24000000","2023-06-22T15:29:03.120Z","sell","maker"
"3.44800000","3.24000000","2023-06-22T15:29:03.120Z","sell","maker"
"3.44800000","6.99000000","2023-06-22T15:29:03.120Z","sell","maker"
"3.44800000","3.24000000","2023-06-22T15:29:03.119Z","sell","maker"
"3.44800000","3.24000000","2023-06-22T15:29:03.119Z","sell","maker"
"3.40900000","25.50000000","2023-06-22T15:29:03.116Z","buy","taker"
"3.33000000","0.37000000","2023-06-22T15:26:01.153Z","buy","taker"
"3.30000000","0.34000000","2023-06-22T15:15:56.537Z","buy","taker"
"3.28800000","16.81000000","2023-06-22T15:13:29.480Z","sell","maker"
"3.33300000","2.00000000","2023-06-22T15:03:45.780Z","sell","maker"
"3.33300000","25.52000000","2023-06-22T14:35:52.131Z","sell","maker"
"3.36100000","11.98000000","2023-06-22T14:34:51.105Z","sell","maker"
"3.36100000","1.11000000","2023-06-22T14:34:51.105Z","sell","maker"
"3.36100000","32.75000000","2023-06-22T14:34:51.105Z","sell","maker"
"3.38600000","7.81000000","2023-06-22T14:34:36.481Z","sell","maker"
"3.38600000","1.70000000","2023-06-22T14:34:36.481Z","sell","maker"
"3.38300000","25.14000000","2023-06-22T14:34:36.481Z","sell","maker"
"3.40500000","2.52000000","2023-06-22T14:34:29.431Z","sell","maker"
"3.40000000","16.60000000","2023-06-22T14:24:55.868Z","sell","maker"
"3.41300000","67.17000000","2023-06-22T14:19:53.310Z","buy","taker"
"3.33500000","76.17000000","2023-06-22T14:19:45.532Z","buy","taker"
"3.25300000","82.11000000","2023-06-22T14:19:41.157Z","buy","taker"
"3.25900000","1.19000000","2023-06-22T14:19:41.157Z","buy","taker"
"3.30900000","26.27000000","2023-06-22T14:19:41.157Z","buy","taker"
