"price","volume","time","side","orderType"
"25073.21000000","0.00699000","2023-07-14T02:59:57.583Z","sell","maker"
"25073.21000000","0.00701000","2023-07-14T02:59:56.584Z","sell","maker"
"25073.21000000","0.00702000","2023-07-14T02:59:54.583Z","sell","maker"
"25055.72000000","0.06062000","2023-07-14T02:59:52.517Z","sell","maker"
"25006.93000000","0.00007000","2023-07-14T02:59:52.517Z","sell","maker"
"24990.01000000","0.06570000","2023-07-14T02:59:52.517Z","sell","maker"
"24990.00000000","0.00755000","2023-07-14T02:59:52.517Z","sell","maker"
"25055.72000000","0.13394000","2023-07-14T02:59:51.518Z","sell","maker"
"25073.22000000","0.01365000","2023-07-14T02:59:49.518Z","sell","maker"
"25073.21000000","0.04918000","2023-07-14T02:59:49.518Z","sell","maker"
"25055.72000000","0.07111000","2023-07-14T02:59:49.518Z","sell","maker"
"25073.22000000","0.00399000","2023-07-14T02:59:48.795Z","sell","maker"
"25100.67000000","0.00169000","2023-07-14T02:59:37.967Z","buy","taker"
"25086.78000000","0.00004000","2023-07-14T02:59:37.937Z","buy","taker"
"25100.67000000","0.00188000","2023-07-14T02:59:37.937Z","buy","taker"
"25073.21000000","0.00038000","2023-07-14T02:59:33.614Z","sell","maker"
"25073.21000000","0.00105000","2023-07-14T02:59:33.614Z","sell","maker"
"25055.72000000","0.00235000","2023-07-14T02:59:28.155Z","sell","maker"
"25073.22000000","0.00193000","2023-07-14T02:59:27.931Z","buy","taker"
"25086.78000000","0.00003000","2023-07-14T02:59:27.931Z","buy","taker"
"25073.21000000","0.00007000","2023-07-14T02:59:27.605Z","buy","taker"
"25073.21000000","0.00038000","2023-07-14T02:59:24.941Z","buy","taker"
"25073.22000000","0.00027000","2023-07-14T02:59:24.628Z","buy","taker"
"25055.72000000","0.00813000","2023-07-14T02:59:22.519Z","sell","maker"
"25055.72000000","0.02046000","2023-07-14T02:59:22.512Z","buy","taker"
"25055.72000000","0.00138000","2023-07-14T02:59:22.512Z","buy","taker"
"25055.72000000","0.01658000","2023-07-14T02:59:22.512Z","buy","taker"
"25055.72000000","0.00007000","2023-07-14T02:59:21.407Z","buy","taker"
"25055.72000000","0.00379000","2023-07-14T02:59:17.920Z","buy","taker"
"25055.72000000","0.00109000","2023-07-14T02:59:17.607Z","buy","taker"
"24990.00000000","0.00055000","2023-07-14T02:59:16.224Z","sell","maker"
"25055.72000000","0.00124000","2023-07-14T02:59:14.450Z","buy","taker"
"25055.72000000","0.00094000","2023-07-14T02:59:13.152Z","buy","taker"
"25055.00000000","0.03875000","2023-07-14T02:59:09.471Z","buy","taker"
"25055.72000000","0.16125000","2023-07-14T02:59:09.471Z","buy","taker"
"25055.00000000","0.00323000","2023-07-14T02:59:08.794Z","buy","taker"
"25055.00000000","0.00200000","2023-07-14T02:59:08.056Z","buy","taker"
"24990.00000000","0.00560000","2023-07-14T02:59:02.812Z","sell","maker"
"25055.00000000","0.00006000","2023-07-14T02:59:01.500Z","buy","taker"
"25054.98000000","0.00004000","2023-07-14T02:59:01.268Z","buy","taker"
"25055.00000000","0.00596000","2023-07-14T02:59:01.268Z","buy","taker"
"24990.00000000","0.00077000","2023-07-14T02:59:01.139Z","sell","maker"
"25054.98000000","0.00031000","2023-07-14T02:58:59.987Z","buy","taker"
"24990.00000000","0.01688000","2023-07-14T02:58:58.621Z","sell","maker"
"25054.98000000","0.00115000","2023-07-14T02:58:56.127Z","buy","taker"
"24990.00000000","0.00753000","2023-07-14T02:58:55.180Z","sell","maker"
"25054.99000000","0.00105000","2023-07-14T02:58:54.937Z","buy","taker"
"25054.99000000","0.00006000","2023-07-14T02:58:54.680Z","buy","taker"
"24990.00000000","0.00098000","2023-07-14T02:58:54.046Z","sell","maker"
"24990.00000000","0.01050000","2023-07-14T02:58:53.654Z","sell","maker"
"25055.71000000","0.00007000","2023-07-14T02:58:49.690Z","buy","taker"
"24990.00000000","0.00130000","2023-07-14T02:58:48.411Z","sell","maker"
"25055.72000000","0.00007000","2023-07-14T02:58:40.782Z","buy","taker"
"25055.72000000","0.00082000","2023-07-14T02:58:37.703Z","buy","taker"
"25055.72000000","0.00137000","2023-07-14T02:58:37.562Z","buy","taker"
"25055.72000000","0.00007000","2023-07-14T02:58:37.470Z","buy","taker"
"25055.72000000","0.00088000","2023-07-14T02:58:37.198Z","buy","taker"
"24988.68000000","0.00017000","2023-07-14T02:58:37.184Z","buy","taker"
"25006.93000000","0.00007000","2023-07-14T02:58:37.184Z","buy","taker"
"25023.98000000","0.00005000","2023-07-14T02:58:37.184Z","buy","taker"
"25032.89000000","0.00098000","2023-07-14T02:58:37.184Z","buy","taker"
"25040.76000000","0.00005000","2023-07-14T02:58:37.184Z","buy","taker"
"25040.96000000","0.00006000","2023-07-14T02:58:37.184Z","buy","taker"
"25047.26000000","0.00016000","2023-07-14T02:58:37.184Z","buy","taker"
"25055.72000000","0.00084000","2023-07-14T02:58:37.184Z","buy","taker"
"24979.35000000","0.00128000","2023-07-14T02:58:37.178Z","buy","taker"
"24988.68000000","0.00184000","2023-07-14T02:58:37.178Z","buy","taker"
"24979.35000000","0.00010000","2023-07-14T02:58:32.464Z","buy","taker"
