"price","volume","time","side","orderType"
"0.51900000","38.50000000","2023-06-26T23:02:21.291Z","sell","maker"
"0.51800000","38.50000000","2023-06-26T23:02:21.291Z","sell","maker"
"0.51700000","48.30000000","2023-06-26T23:02:21.291Z","sell","maker"
"0.51600000","66.40000000","2023-06-26T23:02:21.291Z","sell","maker"
"0.51600000","19.00000000","2023-06-26T23:02:21.291Z","sell","maker"
"0.51600000","140.50000000","2023-06-26T23:02:21.291Z","sell","maker"
"0.51600000","38.70000000","2023-06-26T23:02:21.291Z","sell","maker"
"0.51600000","4350.00000000","2023-06-26T23:02:21.291Z","sell","maker"
"0.51600000","36.10000000","2023-06-26T23:02:21.291Z","sell","maker"
"0.50900000","95.20000000","2023-06-26T23:02:21.291Z","sell","maker"
"0.51600000","11.10000000","2023-06-25T22:40:09.277Z","sell","maker"
"0.51600000","3.60000000","2023-06-25T18:43:59.174Z","sell","maker"
"0.66900000","65.60000000","2023-06-25T16:32:08.754Z","buy","taker"
"0.51700000","4.00000000","2023-06-25T06:41:55.742Z","sell","maker"
"0.51600000","44.30000000","2023-06-25T06:41:43.664Z","sell","maker"
"0.66900000","3.70000000","2023-06-25T04:56:03.839Z","buy","taker"
"0.47700000","58.20000000","2023-06-24T02:32:27.813Z","sell","maker"
"0.47500000","29.00000000","2023-06-23T20:52:39.982Z","sell","maker"
"0.50000000","15.80000000","2023-06-23T20:03:37.898Z","buy","taker"
"0.50000000","4.00000000","2023-06-23T20:01:20.631Z","buy","taker"
"0.50000000","36.70000000","2023-06-23T16:09:25.495Z","buy","taker"
"0.50000000","80.00000000","2023-06-23T16:09:25.015Z","buy","taker"
"0.50000000","42.70000000","2023-06-23T16:09:25.015Z","buy","taker"
"0.50000000","42.70000000","2023-06-23T16:09:25.015Z","buy","taker"
"0.50000000","42.70000000","2023-06-23T16:09:25.015Z","buy","taker"
"0.50000000","38.80000000","2023-06-23T16:01:05.685Z","buy","taker"
"0.50000000","38.80000000","2023-06-23T16:01:05.684Z","buy","taker"
"0.50000000","82.80000000","2023-06-23T16:01:05.684Z","buy","taker"
"0.50000000","38.80000000","2023-06-23T16:01:05.684Z","buy","taker"
"0.51400000","2.30000000","2023-06-23T15:33:11.754Z","sell","maker"
"0.51300000","9.50000000","2023-06-23T15:33:11.754Z","sell","maker"
"0.51200000","14.70000000","2023-06-23T15:33:11.754Z","sell","maker"
"0.50000000","264.60000000","2023-06-23T15:33:11.754Z","sell","maker"
"0.51400000","43.20000000","2023-06-23T14:47:23.212Z","sell","maker"
"0.51400000","55.00000000","2023-06-23T13:45:04.242Z","sell","maker"
"0.51400000","16.10000000","2023-06-23T13:45:04.242Z","sell","maker"
"0.51300000","9.70000000","2023-06-22T06:10:31.865Z","sell","maker"
"0.68800000","14.80000000","2023-06-22T06:10:23.808Z","buy","taker"
"0.69000000","90.90000000","2023-06-21T22:19:05.993Z","buy","taker"
"0.69000000","12.30000000","2023-06-21T22:19:05.993Z","buy","taker"
"0.69100000","41.60000000","2023-06-21T22:19:05.993Z","buy","taker"
"0.69200000","3.80000000","2023-06-21T21:07:25.200Z","buy","taker"
"0.69800000","71.60000000","2023-06-21T09:43:20.883Z","buy","taker"
"0.60000000","86.60000000","2023-06-20T23:44:39.734Z","sell","maker"
"0.51200000","3.20000000","2023-06-20T23:44:39.734Z","sell","maker"
"0.51200000","59.60000000","2023-06-20T23:44:39.734Z","sell","maker"
"0.60000000","7.20000000","2023-06-20T19:50:46.651Z","buy","taker"
"0.60000000","7.20000000","2023-06-20T19:50:46.651Z","buy","taker"
"0.60000000","7.20000000","2023-06-20T19:50:46.651Z","buy","taker"
"0.60000000","12.10000000","2023-06-20T19:50:46.651Z","buy","taker"
"0.51900000","99.00000000","2023-06-20T13:44:12.364Z","sell","maker"
"0.51700000","5.60000000","2023-06-20T13:44:12.364Z","sell","maker"
"0.51600000","5.60000000","2023-06-20T13:44:12.364Z","sell","maker"
"0.51500000","5.60000000","2023-06-20T13:44:12.364Z","sell","maker"
"0.51400000","5.60000000","2023-06-20T13:44:12.364Z","sell","maker"
"0.51300000","5.70000000","2023-06-20T13:44:12.364Z","sell","maker"
"0.51200000","2.30000000","2023-06-20T13:44:12.364Z","sell","maker"
"0.72900000","9.60000000","2023-06-20T12:47:51.661Z","buy","taker"
"0.51800000","18.60000000","2023-06-20T11:07:08.516Z","sell","maker"
"0.71400000","5.20000000","2023-06-20T05:05:36.958Z","buy","taker"
"0.72900000","8.60000000","2023-06-20T05:05:36.958Z","buy","taker"
"0.71000000","21.10000000","2023-06-19T05:34:08.866Z","buy","taker"
"0.73000000","7.60000000","2023-06-18T19:52:54.060Z","sell","maker"
"0.73000000","7.60000000","2023-06-18T19:52:46.774Z","sell","maker"
"0.74000000","14.90000000","2023-06-18T19:52:39.436Z","sell","maker"
"0.74500000","9.80000000","2023-06-18T19:52:30.188Z","sell","maker"
"0.74800000","13.10000000","2023-06-18T19:52:23.646Z","sell","maker"
"0.75000000","2.00000000","2023-06-18T18:49:12.731Z","buy","taker"
"0.60800000","1.30000000","2023-06-18T14:46:27.678Z","buy","taker"
"0.60800000","4.00000000","2023-06-18T14:46:27.495Z","buy","taker"
"0.60500000","74.50000000","2023-06-18T14:43:21.254Z","sell","maker"
"0.60800000","31.50000000","2023-06-18T14:39:35.426Z","buy","taker"
"0.60900000","31.50000000","2023-06-18T14:39:35.298Z","buy","taker"
"0.61000000","36.80000000","2023-06-18T14:39:35.294Z","sell","maker"
"0.60600000","281.90000000","2023-06-18T14:38:42.406Z","sell","maker"
"0.61100000","36.00000000","2023-06-18T14:32:13.039Z","sell","maker"
"0.71100000","29.60000000","2023-06-18T09:41:35.108Z","sell","maker"
"0.65000000","33.10000000","2023-06-18T09:34:51.062Z","sell","maker"
