"price","volume","time","side","orderType"
"0.99930000","107.00000000","2023-03-30T02:37:28.179Z","sell","maker"
"1.00050000","210.00000000","2023-03-30T02:35:10.250Z","buy","taker"
"0.99960000","941.00000000","2023-03-30T02:25:58.399Z","sell","maker"
"0.99960000","494.00000000","2023-03-30T02:03:58.309Z","sell","maker"
"0.99910000","342.00000000","2023-03-30T01:59:14.451Z","sell","maker"
"0.99930000","342.00000000","2023-03-30T01:59:13.454Z","sell","maker"
"0.99930000","341.00000000","2023-03-30T01:59:11.450Z","sell","maker"
"0.99960000","632.00000000","2023-03-30T01:35:08.328Z","sell","maker"
"0.99960000","385.00000000","2023-03-30T01:27:04.684Z","sell","maker"
"0.99960000","388.00000000","2023-03-30T01:27:03.685Z","sell","maker"
"1.00050000","266.00000000","2023-03-30T01:23:25.079Z","buy","taker"
"1.00050000","266.00000000","2023-03-30T01:23:24.079Z","buy","taker"
"1.00050000","267.00000000","2023-03-30T01:23:22.079Z","buy","taker"
"0.99960000","1029.00000000","2023-03-30T01:15:37.816Z","sell","maker"
"0.99990000","640.00000000","2023-03-30T00:56:35.384Z","buy","taker"
"0.99990000","392.00000000","2023-03-30T00:56:34.386Z","buy","taker"
"0.99920000","16.00000000","2023-03-29T23:46:27.575Z","sell","maker"
"0.99990000","302.00000000","2023-03-29T23:22:52.916Z","buy","taker"
"0.99930000","700.00000000","2023-03-29T23:16:44.904Z","sell","maker"
"1.00040000","30.00000000","2023-03-29T22:05:15.821Z","buy","taker"
"1.00000000","2377.00000000","2023-03-29T21:58:13.181Z","buy","taker"
"1.00000000","82.00000000","2023-03-29T21:55:16.314Z","buy","taker"
"0.99940000","41.00000000","2023-03-29T21:30:34.721Z","sell","maker"
"0.99970000","1198.00000000","2023-03-29T20:45:02.581Z","sell","maker"
"1.00000000","435.00000000","2023-03-29T20:38:36.332Z","buy","taker"
"1.00000000","1263.00000000","2023-03-29T20:23:01.000Z","buy","taker"
"1.00060000","5.00000000","2023-03-29T20:13:38.263Z","buy","taker"
"0.99970000","5.00000000","2023-03-29T20:08:20.384Z","sell","maker"
"1.00000000","257.00000000","2023-03-29T19:58:38.133Z","buy","taker"
"1.00050000","147.00000000","2023-03-29T19:52:22.763Z","buy","taker"
"1.00000000","100.00000000","2023-03-29T19:51:41.801Z","buy","taker"
"0.99970000","1416.00000000","2023-03-29T19:10:28.249Z","sell","maker"
"1.00060000","200.00000000","2023-03-29T17:43:30.479Z","buy","taker"
"1.00060000","10.00000000","2023-03-29T16:04:01.810Z","buy","taker"
"1.00070000","5.00000000","2023-03-29T16:02:48.924Z","buy","taker"
"0.99970000","13724.00000000","2023-03-29T15:40:06.613Z","sell","maker"
"0.99990000","198.00000000","2023-03-29T15:31:05.394Z","buy","taker"
"1.00040000","137.00000000","2023-03-29T14:46:20.150Z","buy","taker"
"1.00070000","363.00000000","2023-03-29T14:46:20.150Z","buy","taker"
"1.00040000","500.00000000","2023-03-29T14:46:19.150Z","buy","taker"
"1.00040000","499.00000000","2023-03-29T14:46:17.154Z","buy","taker"
"1.00040000","100.00000000","2023-03-29T14:03:03.650Z","buy","taker"
"1.00050000","347.00000000","2023-03-29T12:52:25.621Z","buy","taker"
"0.99970000","315.00000000","2023-03-29T12:05:58.972Z","buy","taker"
"0.99970000","317.00000000","2023-03-29T12:05:57.969Z","buy","taker"
"0.99920000","5.00000000","2023-03-29T11:21:12.778Z","sell","maker"
"0.99900000","3.00000000","2023-03-29T11:20:12.799Z","sell","maker"
"0.99930000","3003.00000000","2023-03-29T11:06:49.495Z","sell","maker"
"0.99930000","1101.00000000","2023-03-29T08:11:53.641Z","sell","maker"
"0.99930000","149.00000000","2023-03-29T07:01:27.808Z","sell","maker"
"0.99930000","386.00000000","2023-03-29T07:01:27.792Z","sell","maker"
"0.99930000","32500.00000000","2023-03-29T06:36:36.131Z","sell","maker"
"0.99930000","2243.00000000","2023-03-29T06:31:08.864Z","sell","maker"
"0.99870000","26.00000000","2023-03-29T06:16:19.376Z","sell","maker"
"0.99870000","26.00000000","2023-03-29T06:02:28.476Z","sell","maker"
"0.99930000","10.00000000","2023-03-29T05:57:27.337Z","sell","maker"
"0.99870000","367.00000000","2023-03-29T05:48:06.921Z","sell","maker"
"0.99870000","367.00000000","2023-03-29T05:48:05.921Z","sell","maker"
"0.99890000","368.00000000","2023-03-29T05:48:03.921Z","sell","maker"
"0.99880000","48.00000000","2023-03-29T05:37:11.379Z","sell","maker"
"0.99890000","47.00000000","2023-03-29T04:49:36.150Z","sell","maker"
"0.99860000","666.00000000","2023-03-29T03:04:55.376Z","sell","maker"
"0.99890000","666.00000000","2023-03-29T03:04:54.376Z","sell","maker"
"0.99900000","667.00000000","2023-03-29T03:04:52.376Z","sell","maker"
"0.99970000","424.00000000","2023-03-29T02:46:18.606Z","buy","taker"
"1.00010000","10.00000000","2023-03-29T01:36:06.916Z","buy","taker"
"1.00000000","101.00000000","2023-03-29T01:26:52.621Z","buy","taker"
"0.99950000","311.00000000","2023-03-29T00:56:58.470Z","sell","maker"
"0.99950000","1149.00000000","2023-03-29T00:54:09.735Z","sell","maker"
"0.99950000","12.00000000","2023-03-29T00:52:06.671Z","sell","maker"
"0.99950000","6574.00000000","2023-03-29T00:48:26.769Z","sell","maker"
"0.99960000","179.00000000","2023-03-29T00:23:52.606Z","buy","taker"
"1.00010000","200.00000000","2023-03-28T23:57:59.268Z","buy","taker"
"1.00010000","8200.00000000","2023-03-28T23:54:53.356Z","buy","taker"
"1.00000000","1102.00000000","2023-03-28T23:53:11.976Z","buy","taker"
"1.00000000","2243.00000000","2023-03-28T23:53:11.976Z","buy","taker"
"1.00010000","6655.00000000","2023-03-28T23:53:11.976Z","buy","taker"
"1.00000000","26.00000000","2023-03-28T23:51:41.950Z","buy","taker"
