"time","low","high","open","close","volume"
"2024-05-05T00:00:00.000Z",55,58.62,57.89,57.9,23437.854
"2024-05-04T00:00:00.000Z",57.64,62,59.44,57.82,13147.522
"2024-05-03T00:00:00.000Z",56.18,62.05,57.07,59.42,24154.349
"2024-05-02T00:00:00.000Z",53.68,59.92,55.63,57.07,10213.095
"2024-05-01T00:00:00.000Z",50.73,55.76,53.09,55.64,13009.285
"2024-04-30T00:00:00.000Z",50.96,56.69,55.82,53.24,14210.166
"2024-04-29T00:00:00.000Z",54.03,56.93,55.75,55.84,12047.389
"2024-04-28T00:00:00.000Z",55.47,58.2,57.2,55.75,7896.48
"2024-04-27T00:00:00.000Z",53.61,57.56,55.93,57.11,12975.6
"2024-04-26T00:00:00.000Z",54.66,56.97,56.15,55.87,8381.244
"2024-04-25T00:00:00.000Z",54.47,57.45,56.85,56.14,7363.283
"2024-04-24T00:00:00.000Z",55.95,60.88,59.38,56.79,15538.643
"2024-04-23T00:00:00.000Z",58.71,60.19,59.74,59.39,6765.176
"2024-04-22T00:00:00.000Z",58.49,60.89,58.75,59.71,11730.096
"2024-04-21T00:00:00.000Z",57.78,60.08,58.82,58.72,9859.903
"2024-04-20T00:00:00.000Z",54.18,59.29,54.87,59,10125.941
"2024-04-19T00:00:00.000Z",49.7,56.03,53.81,54.92,18996.42
"2024-04-18T00:00:00.000Z",50.61,54.35,51.77,53.95,11365.7
"2024-04-17T00:00:00.000Z",49.91,53.83,53.74,51.88,30344.969
"2024-04-16T00:00:00.000Z",50.72,54.28,52.93,53.72,18316.38
"2024-04-15T00:00:00.000Z",51.03,56.43,54.89,52.93,40005.77
"2024-04-14T00:00:00.000Z",49.04,55.87,51.17,55.07,66306.806
"2024-04-13T00:00:00.000Z",43.3,59.55,59.48,51.23,74199.308
"2024-04-12T00:00:00.000Z",54.42,72.04,70.05,59.53,55716.269
"2024-04-11T00:00:00.000Z",69.5,72.1,71.27,70.08,6202.719
"2024-04-10T00:00:00.000Z",68.01,73.39,73,71.28,34886.662
"2024-04-09T00:00:00.000Z",72.63,76.35,76,73.05,13941.418
"2024-04-08T00:00:00.000Z",72.14,76.4,73.35,75.96,12433.253
"2024-04-07T00:00:00.000Z",72.4,74.26,72.54,73.3,12112.128
"2024-04-06T00:00:00.000Z",71.06,73.26,71.34,72.56,3998.987
"2024-04-05T00:00:00.000Z",68.9,72.65,72.37,71.35,9938.867
"2024-04-04T00:00:00.000Z",68.09,74.23,69.52,72.32,26995.259
"2024-04-03T00:00:00.000Z",68.42,72.07,70.64,69.73,17245.615
"2024-04-02T00:00:00.000Z",68.58,75.97,75.65,70.71,36244.671
"2024-04-01T00:00:00.000Z",73.6,80.6,79.43,75.63,32166.32
"2024-03-31T00:00:00.000Z",76.5,79.65,76.7,79.45,18516.767
"2024-03-30T00:00:00.000Z",76.18,79.85,79.79,76.84,10211.904
"2024-03-29T00:00:00.000Z",77.61,81.59,78.98,79.79,23290.178
"2024-03-28T00:00:00.000Z",76.27,79.71,77.44,79.04,24207.823
"2024-03-27T00:00:00.000Z",75.19,80.3,79.17,77.54,21914.882
"2024-03-26T00:00:00.000Z",76.95,80.56,77.16,79.17,24617.54
"2024-03-25T00:00:00.000Z",72.7,78.02,73.04,77.12,23634.173
"2024-03-24T00:00:00.000Z",70.32,73.51,70.53,72.97,12558.669
"2024-03-23T00:00:00.000Z",69.73,72.03,70.33,70.57,15150.344
"2024-03-22T00:00:00.000Z",67.85,75.27,74.37,70.33,20378.761
"2024-03-21T00:00:00.000Z",71.79,76.36,74.23,74.45,24544.076
"2024-03-20T00:00:00.000Z",63.51,74.95,66.42,74.28,41171.541
"2024-03-19T00:00:00.000Z",65.08,75.3,74.88,66.5,44190.151
"2024-03-18T00:00:00.000Z",73.73,80.54,79.22,74.99,25374.272
"2024-03-17T00:00:00.000Z",72.71,80.6,76.16,79.34,19641.603
"2024-03-16T00:00:00.000Z",74.18,83.65,82.28,76.08,23960.959
"2024-03-15T00:00:00.000Z",75.97,90.07,89.09,82.27,38135.207
"2024-03-14T00:00:00.000Z",83.08,91.17,91.01,89.09,40905.3
"2024-03-13T00:00:00.000Z",86.98,98,87.64,91.05,81455.567
"2024-03-12T00:00:00.000Z",81.77,93.91,92.76,87.64,54230.335
"2024-03-11T00:00:00.000Z",82.24,93.08,87.92,92.67,61170.952
"2024-03-10T00:00:00.000Z",85.22,92.68,91.51,87.94,31298.293
"2024-03-09T00:00:00.000Z",86.15,93.6,86.33,91.35,34096.124
"2024-03-08T00:00:00.000Z",82.87,90.97,89.84,86.32,34987.123
"2024-03-07T00:00:00.000Z",85.81,90.58,89.38,89.75,27488.161
"2024-03-06T00:00:00.000Z",78.61,89.81,82.32,89.35,44044.796
"2024-03-05T00:00:00.000Z",69.83,94.89,89.5,82.32,121062.162
"2024-03-04T00:00:00.000Z",86.44,97.81,89.56,89.51,70576.649
"2024-03-03T00:00:00.000Z",82.2,92.67,92.33,89.46,37986.324
"2024-03-02T00:00:00.000Z",89.38,97.45,95.05,92.32,57312.338
"2024-03-01T00:00:00.000Z",90.12,95.86,90.67,95.09,41290.739
"2024-02-29T00:00:00.000Z",88.44,103.44,93.89,90.73,103349.823
"2024-02-28T00:00:00.000Z",75.59,95.56,83.93,93.8,117620.063
"2024-02-27T00:00:00.000Z",74.54,84.7,74.99,83.9,66153.561
"2024-02-26T00:00:00.000Z",69.15,77.9,69.37,74.99,81160.132
"2024-02-25T00:00:00.000Z",66.47,71.75,67.58,69.34,30802.334
"2024-02-24T00:00:00.000Z",64.86,74.95,65.85,67.61,69423.103
"2024-02-23T00:00:00.000Z",57.87,76,59.37,65.95,70718.51
"2024-02-22T00:00:00.000Z",56.36,60.68,57.36,59.32,10818.694
"2024-02-21T00:00:00.000Z",55.14,60.28,59.64,57.41,17792.991
"2024-02-20T00:00:00.000Z",56.97,61.88,61.58,59.64,15003.25
"2024-02-19T00:00:00.000Z",58.31,62.63,60.48,61.55,30196.06
