"price","volume","timestamp","type"
"50.66","0.001","2024-06-13T22:48:48.754Z","bid"
"50.62","0.272","2024-06-13T22:48:48.754Z","bid"
"50.61","0.915","2024-06-13T22:48:48.754Z","bid"
"50.6","0.001","2024-06-13T22:48:48.754Z","bid"
"50.53","0.279","2024-06-13T22:48:48.754Z","bid"
"50.51","0.04","2024-06-13T22:48:48.754Z","bid"
"50.5","0.083","2024-06-13T22:48:48.754Z","bid"
"50.37","1.397","2024-06-13T22:48:48.754Z","bid"
"50.3","0.569","2024-06-13T22:48:48.754Z","bid"
"50.16","0.717","2024-06-13T22:48:48.754Z","bid"
"50.15","70.36","2024-06-13T22:48:48.754Z","bid"
"50.09","0.099","2024-06-13T22:48:48.754Z","bid"
"50.08","6.414","2024-06-13T22:48:48.754Z","bid"
"50.03","5","2024-06-13T22:48:48.754Z","bid"
"50.01","100.297","2024-06-13T22:48:48.754Z","bid"
"50","122.06","2024-06-13T22:48:48.754Z","bid"
"49.99","0.7","2024-06-13T22:48:48.754Z","bid"
"49.98","2","2024-06-13T22:48:48.754Z","bid"
"49.97","0.002","2024-06-13T22:48:48.754Z","bid"
"49.8","2.035","2024-06-13T22:48:48.754Z","bid"
"49.75","2.03","2024-06-13T22:48:48.754Z","bid"
"49.74","2.7","2024-06-13T22:48:48.754Z","bid"
"49.7","0.341","2024-06-13T22:48:48.754Z","bid"
"49.59","3.024","2024-06-13T22:48:48.754Z","bid"
"49.58","0.683","2024-06-13T22:48:48.754Z","bid"
"49.57","6.414","2024-06-13T22:48:48.754Z","bid"
"49.55","1.747","2024-06-13T22:48:48.754Z","bid"
"49.51","0.983","2024-06-13T22:48:48.754Z","bid"
"49.49","0.315","2024-06-13T22:48:48.754Z","bid"
"49.46","0.001","2024-06-13T22:48:48.754Z","bid"
"49.22","1.401","2024-06-13T22:48:48.754Z","bid"
"49.08","1.3","2024-06-13T22:48:48.754Z","bid"
"49.01","0.944","2024-06-13T22:48:48.754Z","bid"
"49","44.925","2024-06-13T22:48:48.754Z","bid"
"48.97","0.334","2024-06-13T22:48:48.754Z","bid"
"48.89","0.04","2024-06-13T22:48:48.754Z","bid"
"48.82","0.447","2024-06-13T22:48:48.754Z","bid"
"48.81","0.586","2024-06-13T22:48:48.754Z","bid"
"48.65","0.061","2024-06-13T22:48:48.754Z","bid"
"48.5","1","2024-06-13T22:48:48.754Z","bid"
"48.45","0.355","2024-06-13T22:48:48.754Z","bid"
"48.29","0.796","2024-06-13T22:48:48.754Z","bid"
"48.21","5.495","2024-06-13T22:48:48.754Z","bid"
"48.08","0.635","2024-06-13T22:48:48.754Z","bid"
"48.06","9.571","2024-06-13T22:48:48.754Z","bid"
"48","88","2024-06-13T22:48:48.754Z","bid"
"47.94","0.377","2024-06-13T22:48:48.754Z","bid"
"47.9","0.273","2024-06-13T22:48:48.754Z","bid"
"47.79","0.229","2024-06-13T22:48:48.754Z","bid"
"47.69","4.193","2024-06-13T22:48:48.754Z","bid"
"47.5","5.133","2024-06-13T22:48:48.754Z","bid"
"47.44","0.401","2024-06-13T22:48:48.754Z","bid"
"47.36","0.604","2024-06-13T22:48:48.754Z","bid"
"47.32","0.147","2024-06-13T22:48:48.754Z","bid"
"47","13.015","2024-06-13T22:48:48.754Z","bid"
"46.97","0.069","2024-06-13T22:48:48.754Z","bid"
"46.93","0.426","2024-06-13T22:48:48.754Z","bid"
"46.89","0.001","2024-06-13T22:48:48.754Z","bid"
"46.85","2","2024-06-13T22:48:48.754Z","bid"
"46.8","0.027","2024-06-13T22:48:48.754Z","bid"
"46.67","0.021","2024-06-13T22:48:48.754Z","bid"
"46.65","0.613","2024-06-13T22:48:48.754Z","bid"
"46.43","0.452","2024-06-13T22:48:48.754Z","bid"
"46.06","0.649","2024-06-13T22:48:48.754Z","bid"
"46","60","2024-06-13T22:48:48.754Z","bid"
"45.96","0.623","2024-06-13T22:48:48.754Z","bid"
"45.93","0.481","2024-06-13T22:48:48.754Z","bid"
"45.45","0.25","2024-06-13T22:48:48.754Z","bid"
"45.43","0.511","2024-06-13T22:48:48.754Z","bid"
"45.28","0.632","2024-06-13T22:48:48.754Z","bid"
"45.1","77.605","2024-06-13T22:48:48.754Z","bid"
"45","422.843","2024-06-13T22:48:48.754Z","bid"
"44.94","0.543","2024-06-13T22:48:48.754Z","bid"
"44.82","0.022","2024-06-13T22:48:48.754Z","bid"
"44.61","0.641","2024-06-13T22:48:48.754Z","bid"
"44.5","0.786","2024-06-13T22:48:48.754Z","bid"
"44.45","0.577","2024-06-13T22:48:48.754Z","bid"
"44.13","0.365","2024-06-13T22:48:48.754Z","bid"
"44.12","1.128","2024-06-13T22:48:48.754Z","bid"
"44","62.771","2024-06-13T22:48:48.754Z","bid"
"43.96","0.613","2024-06-13T22:48:48.754Z","bid"
"43.95","0.651","2024-06-13T22:48:48.754Z","bid"
"43.87","0.455","2024-06-13T22:48:48.754Z","bid"
"43.75","0.227","2024-06-13T22:48:48.754Z","bid"
"43.56","0.086","2024-06-13T22:48:48.754Z","bid"
"43.48","0.651","2024-06-13T22:48:48.754Z","bid"
"43.4","1","2024-06-13T22:48:48.754Z","bid"
"43.3","0.661","2024-06-13T22:48:48.754Z","bid"
"43.22","0.578","2024-06-13T22:48:48.754Z","bid"
"43.2","11.574","2024-06-13T22:48:48.754Z","bid"
"43","26.561","2024-06-13T22:48:48.754Z","bid"
"42.84","0.548","2024-06-13T22:48:48.754Z","bid"
"42.77","0.581","2024-06-13T22:48:48.754Z","bid"
"42.7","0.232","2024-06-13T22:48:48.754Z","bid"
"42.66","0.671","2024-06-13T22:48:48.754Z","bid"
"42.53","0.032","2024-06-13T22:48:48.754Z","bid"
"42.52","0.735","2024-06-13T22:48:48.754Z","bid"
"42.46","10","2024-06-13T22:48:48.754Z","bid"
"42.05","0.782","2024-06-13T22:48:48.754Z","bid"
"42.03","1.053","2024-06-13T22:48:48.754Z","bid"
"42","148.186","2024-06-13T22:48:48.754Z","bid"
"41.89","0.25","2024-06-13T22:48:48.754Z","bid"
