"price","volume","time","side","orderType"
"0.11268000","144.00000000","2024-06-11T18:40:56.935Z","buy","taker"
"0.11225000","587.00000000","2024-06-11T18:33:38.033Z","buy","taker"
"0.10871000","117.00000000","2024-06-11T17:26:43.759Z","sell","maker"
"0.11150000","452.00000000","2024-06-11T16:05:48.153Z","buy","taker"
"0.10945000","91.00000000","2024-06-11T15:40:57.577Z","sell","maker"
"0.10993000","136.00000000","2024-06-11T15:40:52.488Z","sell","maker"
"0.10994000","117.00000000","2024-06-11T15:40:52.414Z","sell","maker"
"0.11048000","144.00000000","2024-06-11T15:38:17.128Z","sell","maker"
"0.11093000","347.00000000","2024-06-11T15:35:01.341Z","buy","taker"
"0.11049000","922.00000000","2024-06-11T15:34:08.234Z","sell","maker"
"0.11093000","3079.00000000","2024-06-11T15:33:53.343Z","sell","maker"
"0.11252000","133.00000000","2024-06-11T13:46:55.417Z","sell","maker"
"0.11268000","141.00000000","2024-06-11T13:43:31.579Z","sell","maker"
"0.11269000","73.00000000","2024-06-11T13:21:41.972Z","sell","maker"
"0.11269000","1155.00000000","2024-06-11T12:24:54.139Z","sell","maker"
"0.11721000","39.00000000","2024-06-11T10:42:25.293Z","buy","taker"
"0.11721000","23.00000000","2024-06-11T10:35:21.835Z","buy","taker"
"0.11721000","12.00000000","2024-06-11T05:25:02.772Z","buy","taker"
"0.11607000","133.00000000","2024-06-11T02:45:13.736Z","buy","taker"
"0.11493000","141.00000000","2024-06-11T02:02:06.763Z","buy","taker"
"0.11481000","752.00000000","2024-06-11T02:02:06.177Z","buy","taker"
"0.11382000","578.00000000","2024-06-11T01:54:08.810Z","buy","taker"
"0.11307000","444.00000000","2024-06-11T01:54:08.035Z","buy","taker"
"0.11248000","342.00000000","2024-06-11T01:54:07.716Z","buy","taker"
"0.11200000","862.00000000","2024-06-11T01:53:35.648Z","buy","taker"
"0.11200000","45.00000000","2024-06-11T01:53:35.640Z","sell","maker"
"0.11252000","133.00000000","2024-06-11T01:53:00.666Z","sell","maker"
"0.11268000","141.00000000","2024-06-11T01:53:00.321Z","sell","maker"
"0.11337000","882.00000000","2024-06-11T01:52:54.900Z","sell","maker"
"0.11518000","130.00000000","2024-06-11T01:52:53.403Z","sell","maker"
"0.11493000","139.00000000","2024-06-11T01:52:53.403Z","sell","maker"
"0.11617000","3030.00000000","2024-06-11T01:52:52.098Z","sell","maker"
"0.11722000","131.00000000","2024-06-11T01:52:46.216Z","sell","maker"
"0.11790000","127.00000000","2024-06-10T23:30:05.803Z","sell","maker"
"0.11791000","389.00000000","2024-06-10T22:13:38.087Z","sell","maker"
"0.11791000","354.00000000","2024-06-10T20:31:45.576Z","sell","maker"
"0.11955000","133.00000000","2024-06-10T19:56:29.631Z","sell","maker"
"0.11956000","770.00000000","2024-06-10T19:39:29.843Z","sell","maker"
"0.12193000","133.00000000","2024-06-10T15:45:24.249Z","buy","taker"
"0.12162000","828.00000000","2024-06-10T15:21:53.255Z","sell","maker"
"0.12162000","126.00000000","2024-06-10T15:18:31.591Z","buy","taker"
"0.11848000","517.00000000","2024-06-10T14:57:40.199Z","sell","maker"
"0.12161000","302.00000000","2024-06-10T14:32:36.028Z","buy","taker"
"0.11723000","22.00000000","2024-06-10T13:08:16.660Z","sell","maker"
"0.12161000","1287.00000000","2024-06-10T11:37:35.082Z","buy","taker"
"0.11723000","17.00000000","2024-06-10T09:21:51.995Z","sell","maker"
"0.11790000","127.00000000","2024-06-10T08:00:03.790Z","sell","maker"
"0.11880000","42.00000000","2024-06-10T07:05:54.426Z","sell","maker"
"0.11924000","134.00000000","2024-06-10T07:04:48.180Z","sell","maker"
"0.11955000","133.00000000","2024-06-10T06:51:58.352Z","sell","maker"
"0.12019000","83.00000000","2024-06-10T05:47:46.579Z","sell","maker"
"0.12018000","134.00000000","2024-06-10T05:47:46.579Z","sell","maker"
"0.12069000","124.00000000","2024-06-10T05:47:22.126Z","sell","maker"
"0.12193000","131.00000000","2024-06-10T03:48:45.150Z","sell","maker"
"0.12683000","249.00000000","2024-06-09T19:51:53.487Z","buy","taker"
"0.12436000","131.00000000","2024-06-09T19:12:30.420Z","buy","taker"
"0.12299000","293.00000000","2024-06-09T16:40:45.380Z","buy","taker"
"0.12194000","3576.00000000","2024-06-09T16:40:45.128Z","sell","maker"
"0.12193000","131.00000000","2024-06-09T16:40:45.128Z","sell","maker"
"0.12117000","293.00000000","2024-06-09T16:40:45.128Z","sell","maker"
"0.12436000","131.00000000","2024-06-09T12:53:56.233Z","buy","taker"
"0.12435000","12.00000000","2024-06-09T09:36:18.557Z","buy","taker"
"0.12070000","97.00000000","2024-06-09T09:21:50.387Z","sell","maker"
"0.12193000","131.00000000","2024-06-09T02:54:31.461Z","sell","maker"
"0.12436000","131.00000000","2024-06-09T01:29:15.391Z","buy","taker"
"0.12193000","131.00000000","2024-06-08T22:22:00.665Z","sell","maker"
"0.12436000","131.00000000","2024-06-08T19:08:33.703Z","buy","taker"
"0.12194000","3613.00000000","2024-06-08T19:08:31.437Z","sell","maker"
"0.12193000","131.00000000","2024-06-08T19:08:31.437Z","sell","maker"
"0.12100000","1637.00000000","2024-06-08T19:08:31.437Z","sell","maker"
"0.12248000","112.00000000","2024-06-08T15:25:05.634Z","sell","maker"
"0.12436000","770.00000000","2024-06-08T14:01:16.997Z","sell","maker"
