"price","volume","timestamp","type"
"0.1205","27357.9","2024-05-25T21:43:33.555Z","ask"
"0.1206","32753.8","2024-05-25T21:43:33.555Z","ask"
"0.1207","53837.4","2024-05-25T21:43:33.555Z","ask"
"0.1208","30411.9","2024-05-25T21:43:33.555Z","ask"
"0.1209","45000","2024-05-25T21:43:33.555Z","ask"
"0.121","43798.7","2024-05-25T21:43:33.555Z","ask"
"0.1217","47452.4","2024-05-25T21:43:33.555Z","ask"
"0.1218","30","2024-05-25T21:43:33.555Z","ask"
"0.122","17330.5","2024-05-25T21:43:33.555Z","ask"
"0.1221","32166.8","2024-05-25T21:43:33.555Z","ask"
"0.1222","2513.4","2024-05-25T21:43:33.555Z","ask"
"0.1226","265.6","2024-05-25T21:43:33.555Z","ask"
"0.1227","80971.6","2024-05-25T21:43:33.555Z","ask"
"0.1228","126.4","2024-05-25T21:43:33.555Z","ask"
"0.1229","59357.5","2024-05-25T21:43:33.555Z","ask"
"0.123","932.2","2024-05-25T21:43:33.555Z","ask"
"0.1231","46134.7","2024-05-25T21:43:33.555Z","ask"
"0.1233","140.6","2024-05-25T21:43:33.555Z","ask"
"0.1234","91869.8","2024-05-25T21:43:33.555Z","ask"
"0.1235","926.3","2024-05-25T21:43:33.555Z","ask"
"0.1236","0.1","2024-05-25T21:43:33.555Z","ask"
"0.1237","1662.9","2024-05-25T21:43:33.555Z","ask"
"0.1238","182.1","2024-05-25T21:43:33.555Z","ask"
"0.1239","1035.5","2024-05-25T21:43:33.555Z","ask"
"0.1241","34966.4","2024-05-25T21:43:33.555Z","ask"
"0.1242","30","2024-05-25T21:43:33.555Z","ask"
"0.1243","1745.3","2024-05-25T21:43:33.555Z","ask"
"0.1244","41.6","2024-05-25T21:43:33.555Z","ask"
"0.1246","72919.4","2024-05-25T21:43:33.555Z","ask"
"0.1247","139.1","2024-05-25T21:43:33.555Z","ask"
"0.1248","1978.5","2024-05-25T21:43:33.555Z","ask"
"0.1249","97576.1","2024-05-25T21:43:33.555Z","ask"
"0.125","95685.3","2024-05-25T21:43:33.555Z","ask"
"0.1252","94.3","2024-05-25T21:43:33.555Z","ask"
"0.1253","262.4","2024-05-25T21:43:33.555Z","ask"
"0.1255","30","2024-05-25T21:43:33.555Z","ask"
"0.1256","259.1","2024-05-25T21:43:33.555Z","ask"
"0.1258","882.6","2024-05-25T21:43:33.555Z","ask"
"0.1259","219.8","2024-05-25T21:43:33.555Z","ask"
"0.126","18280","2024-05-25T21:43:33.555Z","ask"
"0.1263","301.9","2024-05-25T21:43:33.555Z","ask"
"0.1265","137.1","2024-05-25T21:43:33.555Z","ask"
"0.1266","1902.6","2024-05-25T21:43:33.555Z","ask"
"0.1267","30","2024-05-25T21:43:33.555Z","ask"
"0.127","85.6","2024-05-25T21:43:33.555Z","ask"
"0.1271","137.2","2024-05-25T21:43:33.555Z","ask"
"0.1273","305.3","2024-05-25T21:43:33.555Z","ask"
"0.1274","4648.1","2024-05-25T21:43:33.555Z","ask"
"0.1275","468058.9","2024-05-25T21:43:33.555Z","ask"
"0.1277","403.6","2024-05-25T21:43:33.555Z","ask"
"0.1278","555.5","2024-05-25T21:43:33.555Z","ask"
"0.1282","865.8","2024-05-25T21:43:33.555Z","ask"
"0.1283","932.5","2024-05-25T21:43:33.555Z","ask"
"0.1284","7656.1","2024-05-25T21:43:33.555Z","ask"
"0.1285","15000","2024-05-25T21:43:33.555Z","ask"
"0.1288","487.7","2024-05-25T21:43:33.555Z","ask"
"0.1289","1479.9","2024-05-25T21:43:33.555Z","ask"
"0.129","4607.6","2024-05-25T21:43:33.555Z","ask"
"0.1291","120.2","2024-05-25T21:43:33.555Z","ask"
"0.1293","404.7","2024-05-25T21:43:33.555Z","ask"
"0.1294","1146.5","2024-05-25T21:43:33.555Z","ask"
"0.1295","15.9","2024-05-25T21:43:33.555Z","ask"
"0.1296","1007.1","2024-05-25T21:43:33.555Z","ask"
"0.1297","133.7","2024-05-25T21:43:33.555Z","ask"
"0.1298","40.4","2024-05-25T21:43:33.555Z","ask"
"0.1299","20921.6","2024-05-25T21:43:33.555Z","ask"
"0.13","10062.4","2024-05-25T21:43:33.555Z","ask"
"0.1301","40.4","2024-05-25T21:43:33.555Z","ask"
"0.1303","172.6","2024-05-25T21:43:33.555Z","ask"
"0.1305","408","2024-05-25T21:43:33.555Z","ask"
"0.1307","83.2","2024-05-25T21:43:33.555Z","ask"
"0.1308","471","2024-05-25T21:43:33.555Z","ask"
"0.1309","0.1","2024-05-25T21:43:33.555Z","ask"
"0.131","2656","2024-05-25T21:43:33.555Z","ask"
"0.1311","544.5","2024-05-25T21:43:33.555Z","ask"
"0.1312","35.6","2024-05-25T21:43:33.555Z","ask"
"0.1313","300","2024-05-25T21:43:33.555Z","ask"
"0.1315","4012.3","2024-05-25T21:43:33.555Z","ask"
"0.1316","4715.3","2024-05-25T21:43:33.555Z","ask"
"0.1317","212715.6","2024-05-25T21:43:33.555Z","ask"
"0.1318","533.5","2024-05-25T21:43:33.555Z","ask"
"0.1321","39.1","2024-05-25T21:43:33.555Z","ask"
"0.1322","646.3","2024-05-25T21:43:33.555Z","ask"
"0.1323","1566.5","2024-05-25T21:43:33.555Z","ask"
"0.1324","288","2024-05-25T21:43:33.555Z","ask"
"0.1325","0.8","2024-05-25T21:43:33.555Z","ask"
"0.1326","40.3","2024-05-25T21:43:33.555Z","ask"
"0.1327","5333.8","2024-05-25T21:43:33.555Z","ask"
"0.1328","427.6","2024-05-25T21:43:33.555Z","ask"
"0.133","150.5","2024-05-25T21:43:33.555Z","ask"
"0.1331","116.6","2024-05-25T21:43:33.555Z","ask"
"0.1333","858.2","2024-05-25T21:43:33.555Z","ask"
"0.1334","11342.8","2024-05-25T21:43:33.555Z","ask"
"0.1336","1078","2024-05-25T21:43:33.555Z","ask"
"0.1337","168.4","2024-05-25T21:43:33.555Z","ask"
"0.1338","243.3","2024-05-25T21:43:33.555Z","ask"
"0.1339","26103.6","2024-05-25T21:43:33.555Z","ask"
"0.134","10542.2","2024-05-25T21:43:33.555Z","ask"
"0.1342","4242.2","2024-05-25T21:43:33.555Z","ask"
"0.1343","129.2","2024-05-25T21:43:33.555Z","ask"
"0.1344","579.9","2024-05-25T21:43:33.555Z","ask"
"0.1345","2824.2","2024-05-25T21:43:33.555Z","ask"
"0.1349","847.8","2024-05-25T21:43:33.555Z","ask"
"0.135","14261.3","2024-05-25T21:43:33.555Z","ask"
"0.1354","77.7","2024-05-25T21:43:33.555Z","ask"
"0.1355","521.7","2024-05-25T21:43:33.555Z","ask"
"0.1357","127.8","2024-05-25T21:43:33.555Z","ask"
"0.1358","114.4","2024-05-25T21:43:33.555Z","ask"
"0.1362","9831.2","2024-05-25T21:43:33.555Z","ask"
"0.1363","505.5","2024-05-25T21:43:33.555Z","ask"
"0.1364","2703.4","2024-05-25T21:43:33.555Z","ask"
"0.1365","943.5","2024-05-25T21:43:33.555Z","ask"
"0.1368","14700.3","2024-05-25T21:43:33.555Z","ask"
"0.1369","38.3","2024-05-25T21:43:33.555Z","ask"
"0.137","247.4","2024-05-25T21:43:33.555Z","ask"
"0.1371","3525.2","2024-05-25T21:43:33.555Z","ask"
"0.1372","113.2","2024-05-25T21:43:33.555Z","ask"
"0.1373","1876.5","2024-05-25T21:43:33.555Z","ask"
"0.1374","220","2024-05-25T21:43:33.555Z","ask"
"0.1375","0.8","2024-05-25T21:43:33.555Z","ask"
"0.1377","125.9","2024-05-25T21:43:33.555Z","ask"
"0.138","78.8","2024-05-25T21:43:33.555Z","ask"
"0.1381","374.6","2024-05-25T21:43:33.556Z","ask"
"0.1384","125.3","2024-05-25T21:43:33.556Z","ask"
"0.1385","1208.5","2024-05-25T21:43:33.556Z","ask"
"0.1386","37.3","2024-05-25T21:43:33.556Z","ask"
"0.1387","274.8","2024-05-25T21:43:33.556Z","ask"
"0.1388","396.2","2024-05-25T21:43:33.556Z","ask"
"0.139","8000.8","2024-05-25T21:43:33.556Z","ask"
"0.1393","858.8","2024-05-25T21:43:33.556Z","ask"
"0.1396","38.3","2024-05-25T21:43:33.556Z","ask"
"0.1397","320.1","2024-05-25T21:43:33.556Z","ask"
"0.1398","52.3","2024-05-25T21:43:33.556Z","ask"
"0.1399","382.7","2024-05-25T21:43:33.556Z","ask"
"0.14","86074.1","2024-05-25T21:43:33.556Z","ask"
"0.1401","0.1","2024-05-25T21:43:33.556Z","ask"
"0.1402","71.8","2024-05-25T21:43:33.556Z","ask"
"0.1404","457","2024-05-25T21:43:33.556Z","ask"
"0.1405","834.1","2024-05-25T21:43:33.556Z","ask"
"0.1406","750","2024-05-25T21:43:33.556Z","ask"
"0.1407","231.3","2024-05-25T21:43:33.556Z","ask"
"0.1408","4365.4","2024-05-25T21:43:33.556Z","ask"
"0.1409","0.1","2024-05-25T21:43:33.556Z","ask"
"0.141","66.6","2024-05-25T21:43:33.556Z","ask"
"0.1412","122.9","2024-05-25T21:43:33.556Z","ask"
"0.1413","811.4","2024-05-25T21:43:33.556Z","ask"
"0.1414","109.8","2024-05-25T21:43:33.556Z","ask"
"0.1415","24938.3","2024-05-25T21:43:33.556Z","ask"
"0.1417","76.8","2024-05-25T21:43:33.556Z","ask"
"0.1418","363.5","2024-05-25T21:43:33.556Z","ask"
"0.1419","24231.8","2024-05-25T21:43:33.556Z","ask"
"0.142","1782.3","2024-05-25T21:43:33.556Z","ask"
"0.1421","93.3","2024-05-25T21:43:33.556Z","ask"
"0.1422","7933.2","2024-05-25T21:43:33.556Z","ask"
"0.1426","121.7","2024-05-25T21:43:33.556Z","ask"
"0.1429","2533.7","2024-05-25T21:43:33.556Z","ask"
"0.143","1750","2024-05-25T21:43:33.556Z","ask"
"0.1433","121","2024-05-25T21:43:33.556Z","ask"
"0.1435","150","2024-05-25T21:43:33.556Z","ask"
"0.1436","265.5","2024-05-25T21:43:33.556Z","ask"
"0.1437","866.6","2024-05-25T21:43:33.556Z","ask"
"0.1438","35.9","2024-05-25T21:43:33.556Z","ask"
