"price","volume","time","side","orderType"
"0.12040000","247.70000000","2024-05-25T21:43:04.543Z","buy","maker"
"0.12040000","790.90000000","2024-05-25T21:42:12.205Z","buy","maker"
"0.12050000","82.50000000","2024-05-25T21:40:54.238Z","sell","maker"
"0.12050000","8.30000000","2024-05-25T21:36:11.127Z","sell","maker"
"0.12030000","167.20000000","2024-05-25T21:35:36.086Z","buy","maker"
"0.12040000","210.00000000","2024-05-25T21:35:36.086Z","buy","maker"
"0.12050000","3007.90000000","2024-05-25T21:30:48.241Z","sell","maker"
"0.12050000","1100.00000000","2024-05-25T21:30:48.241Z","sell","maker"
"0.12030000","3492.80000000","2024-05-25T21:30:43.491Z","buy","maker"
"0.12030000","1407.20000000","2024-05-25T21:30:43.491Z","buy","maker"
"0.12030000","1100.00000000","2024-05-25T21:30:43.491Z","buy","maker"
"0.12020000","83.10000000","2024-05-25T21:24:51.316Z","buy","maker"
"0.12020000","378.40000000","2024-05-25T21:23:37.555Z","buy","maker"
"0.12040000","200.00000000","2024-05-25T21:18:14.167Z","sell","maker"
"0.12040000","475.90000000","2024-05-25T21:17:58.807Z","sell","maker"
"0.12040000","340.00000000","2024-05-25T21:17:58.807Z","sell","maker"
"0.12040000","340.00000000","2024-05-25T21:17:58.807Z","sell","maker"
"0.12020000","481.80000000","2024-05-25T21:15:58.229Z","buy","maker"
"0.12020000","622.30000000","2024-05-25T21:15:58.229Z","buy","maker"
"0.12020000","1075.30000000","2024-05-25T21:14:23.794Z","buy","maker"
"0.12040000","4756.80000000","2024-05-25T21:14:00.005Z","sell","maker"
"0.12040000","1100.00000000","2024-05-25T21:14:00.005Z","sell","maker"
"0.12040000","440.80000000","2024-05-25T21:14:00.005Z","sell","maker"
"0.12020000","1105.90000000","2024-05-25T21:13:50.338Z","buy","maker"
"0.12020000","300.00000000","2024-05-25T21:12:51.910Z","buy","maker"
"0.12020000","102.70000000","2024-05-25T21:10:55.651Z","buy","maker"
"0.12020000","649.30000000","2024-05-25T21:10:55.651Z","buy","maker"
"0.12040000","322.90000000","2024-05-25T21:10:29.772Z","sell","maker"
"0.12040000","809.20000000","2024-05-25T21:03:51.970Z","sell","maker"
"0.12040000","1613.80000000","2024-05-25T21:00:51.843Z","sell","maker"
"0.12030000","1298.50000000","2024-05-25T20:58:34.818Z","buy","maker"
"0.12030000","566.50000000","2024-05-25T20:58:34.767Z","buy","maker"
"0.12030000","308.70000000","2024-05-25T20:58:34.767Z","buy","maker"
"0.12050000","2016.10000000","2024-05-25T20:53:02.136Z","sell","maker"
"0.12050000","1.10000000","2024-05-25T20:52:43.709Z","sell","maker"
"0.12030000","271.30000000","2024-05-25T20:52:25.704Z","buy","maker"
"0.12030000","1159.90000000","2024-05-25T20:43:25.719Z","buy","maker"
"0.12030000","143.60000000","2024-05-25T20:42:52.481Z","buy","maker"
"0.12040000","2319.80000000","2024-05-25T20:42:08.940Z","buy","maker"
"0.12040000","2224.20000000","2024-05-25T20:42:08.917Z","buy","maker"
"0.12040000","1703.70000000","2024-05-25T20:42:08.915Z","buy","maker"
"0.12050000","711.80000000","2024-05-25T20:41:20.346Z","sell","maker"
"0.12050000","1200.00000000","2024-05-25T20:41:20.346Z","sell","maker"
"0.12040000","879.70000000","2024-05-25T20:40:48.563Z","sell","maker"
"0.12040000","543.80000000","2024-05-25T20:40:48.563Z","sell","maker"
"0.12040000","754.10000000","2024-05-25T20:40:44.580Z","sell","maker"
