"time","low","high","open","close","volume"
"2024-05-27T00:00:00.000Z",2.831,2.923,2.839,2.858,39199.256
"2024-05-26T00:00:00.000Z",2.825,2.948,2.916,2.842,24203.739
"2024-05-25T00:00:00.000Z",2.739,2.989,2.739,2.915,64501.326
"2024-05-24T00:00:00.000Z",2.591,2.785,2.683,2.722,25883.062
"2024-05-23T00:00:00.000Z",2.542,2.899,2.734,2.676,42102.242
"2024-05-22T00:00:00.000Z",2.675,2.815,2.717,2.72,66665.426
"2024-05-21T00:00:00.000Z",2.561,2.751,2.591,2.726,53928.159
"2024-05-20T00:00:00.000Z",2.305,2.583,2.337,2.559,23036.76
"2024-05-19T00:00:00.000Z",2.305,2.425,2.408,2.339,10527.693
"2024-05-18T00:00:00.000Z",2.39,2.467,2.405,2.419,15029.426
"2024-05-17T00:00:00.000Z",2.322,2.443,2.328,2.407,28149.97
"2024-05-16T00:00:00.000Z",2.287,2.458,2.458,2.33,62859.284
"2024-05-15T00:00:00.000Z",2.323,2.463,2.37,2.463,37532.139
"2024-05-14T00:00:00.000Z",2.267,2.452,2.42,2.373,44448.958
"2024-05-13T00:00:00.000Z",2.333,2.466,2.45,2.406,37952.876
"2024-05-12T00:00:00.000Z",2.432,2.5,2.467,2.452,14425.692
"2024-05-11T00:00:00.000Z",2.423,2.501,2.46,2.466,20096.277
"2024-05-10T00:00:00.000Z",2.396,2.651,2.545,2.458,51319.931
"2024-05-09T00:00:00.000Z",2.371,2.583,2.517,2.55,59855.482
"2024-05-08T00:00:00.000Z",2.403,2.891,2.425,2.511,305668.373
"2024-05-07T00:00:00.000Z",2.321,2.514,2.401,2.425,157405.104
"2024-05-06T00:00:00.000Z",2.388,2.646,2.612,2.401,81133.628
"2024-05-05T00:00:00.000Z",2.542,2.659,2.589,2.61,20420.179
"2024-05-04T00:00:00.000Z",2.591,2.636,2.611,2.593,10284.563
"2024-05-03T00:00:00.000Z",2.46,2.658,2.508,2.61,61973.943
"2024-05-02T00:00:00.000Z",2.35,2.534,2.418,2.521,22601.152
"2024-05-01T00:00:00.000Z",2.216,2.427,2.397,2.423,39791.288
"2024-04-30T00:00:00.000Z",2.307,2.618,2.588,2.398,48246.461
"2024-04-29T00:00:00.000Z",2.5,2.669,2.663,2.586,10284.502
"2024-04-28T00:00:00.000Z",2.635,2.724,2.65,2.648,15453.302
"2024-04-27T00:00:00.000Z",2.481,2.666,2.577,2.643,17827.564
"2024-04-26T00:00:00.000Z",2.524,2.664,2.646,2.577,11584.065
"2024-04-25T00:00:00.000Z",2.518,2.697,2.645,2.643,46087.071
"2024-04-24T00:00:00.000Z",2.625,2.887,2.747,2.645,58910.92
"2024-04-23T00:00:00.000Z",2.717,2.854,2.797,2.728,12649.216
"2024-04-22T00:00:00.000Z",2.687,2.833,2.727,2.784,21982.305
"2024-04-21T00:00:00.000Z",2.66,2.776,2.776,2.678,12792.901
"2024-04-20T00:00:00.000Z",2.5,3.021,2.54,2.781,24197.621
"2024-04-19T00:00:00.000Z",2.229,2.578,2.525,2.542,85570.03
"2024-04-18T00:00:00.000Z",2.478,2.636,2.547,2.566,21076.609
"2024-04-17T00:00:00.000Z",2.497,2.671,2.654,2.55,31555.484
"2024-04-16T00:00:00.000Z",2.493,2.687,2.594,2.672,24835.122
"2024-04-15T00:00:00.000Z",2.503,2.82,2.692,2.603,79930.85
"2024-04-14T00:00:00.000Z",2.335,2.736,2.404,2.708,86558.982
"2024-04-13T00:00:00.000Z",2.1,2.853,2.831,2.411,184156.989
"2024-04-12T00:00:00.000Z",2.5,3.616,3.553,2.858,116397.29
"2024-04-11T00:00:00.000Z",3.524,3.711,3.65,3.544,27605.074
"2024-04-10T00:00:00.000Z",3.495,3.715,3.684,3.65,57181.418
"2024-04-09T00:00:00.000Z",3.653,3.938,3.922,3.679,16144.051
"2024-04-08T00:00:00.000Z",3.608,3.97,3.683,3.916,30764.282
"2024-04-07T00:00:00.000Z",3.575,3.71,3.576,3.684,24239.345
"2024-04-06T00:00:00.000Z",3.535,3.641,3.554,3.583,6479.427
"2024-04-05T00:00:00.000Z",3.484,3.777,3.771,3.569,31638.55
"2024-04-04T00:00:00.000Z",3.64,3.886,3.722,3.777,20762.89
"2024-04-03T00:00:00.000Z",3.578,3.83,3.68,3.729,15557.786
"2024-04-02T00:00:00.000Z",3.612,3.95,3.95,3.668,38348.008
"2024-04-01T00:00:00.000Z",3.821,4.199,4.185,3.964,41623.321
"2024-03-31T00:00:00.000Z",4.075,4.242,4.081,4.2,18803.493
"2024-03-30T00:00:00.000Z",4.059,4.23,4.198,4.064,10921.928
"2024-03-29T00:00:00.000Z",4.141,4.3,4.217,4.201,20573.317
"2024-03-28T00:00:00.000Z",4.032,4.234,4.1,4.214,20419.487
"2024-03-27T00:00:00.000Z",4.051,4.297,4.251,4.106,43383.17
"2024-03-26T00:00:00.000Z",4.132,4.302,4.196,4.24,63223.783
"2024-03-25T00:00:00.000Z",4.002,4.3,4.022,4.208,40801.789
"2024-03-24T00:00:00.000Z",3.812,4.031,3.899,4.022,14890.607
"2024-03-23T00:00:00.000Z",3.8,3.96,3.823,3.842,13147.392
"2024-03-22T00:00:00.000Z",3.685,4.01,3.915,3.835,47354.062
"2024-03-21T00:00:00.000Z",3.794,3.975,3.95,3.925,63213.246
"2024-03-20T00:00:00.000Z",3.49,3.96,3.626,3.956,53481.825
"2024-03-19T00:00:00.000Z",3.543,4.173,4.163,3.635,83649.89
"2024-03-18T00:00:00.000Z",4.074,4.405,4.358,4.157,21971.307
"2024-03-17T00:00:00.000Z",4.002,4.464,4.185,4.384,88070.125
"2024-03-16T00:00:00.000Z",4.07,4.636,4.565,4.149,51392.589
"2024-03-15T00:00:00.000Z",4.23,4.926,4.856,4.565,96462.321
"2024-03-14T00:00:00.000Z",4.532,5.198,5.083,4.845,74479.405
"2024-03-13T00:00:00.000Z",4.852,5.116,4.877,5.07,92583.381
"2024-03-12T00:00:00.000Z",4.674,5.144,5.009,4.876,127087.198
"2024-03-11T00:00:00.000Z",4.616,5.03,4.798,5.017,40220.914
"2024-03-10T00:00:00.000Z",4.657,4.977,4.943,4.794,41053.598
"2024-03-09T00:00:00.000Z",4.924,5.186,4.956,4.948,42863.637
"2024-03-08T00:00:00.000Z",4.863,5.266,5.212,4.968,55232.212
"2024-03-07T00:00:00.000Z",5.19,5.533,5.489,5.201,61007.606
"2024-03-06T00:00:00.000Z",4.786,5.558,4.979,5.487,92151.913
"2024-03-05T00:00:00.000Z",4.55,5.537,5.193,4.958,102762.053
"2024-03-04T00:00:00.000Z",4.77,5.56,4.833,5.189,103184.558
"2024-03-03T00:00:00.000Z",4.653,5.102,5.037,4.827,40906.269
"2024-03-02T00:00:00.000Z",4.864,5.18,5.09,5.031,30084.85
"2024-03-01T00:00:00.000Z",4.933,5.121,4.98,5.099,34645.508
"2024-02-29T00:00:00.000Z",4.829,5.176,5.031,4.969,58700.736
"2024-02-28T00:00:00.000Z",4.656,5.292,5.046,5.028,80157.96
"2024-02-27T00:00:00.000Z",4.9,5.753,4.945,5.025,114667.463
"2024-02-26T00:00:00.000Z",4.687,5.002,4.96,4.942,38374.834
"2024-02-25T00:00:00.000Z",4.869,5.081,4.904,4.946,59026.148
"2024-02-24T00:00:00.000Z",4.563,5.006,4.614,4.893,44959.458
"2024-02-23T00:00:00.000Z",4.453,4.816,4.74,4.621,80428.677
"2024-02-22T00:00:00.000Z",4.57,4.991,4.952,4.731,137768.826
"2024-02-21T00:00:00.000Z",4.166,5.169,4.291,4.959,203227.634
"2024-02-20T00:00:00.000Z",3.986,4.623,4.222,4.289,113079.734
"2024-02-19T00:00:00.000Z",4.119,4.49,4.469,4.221,76910.102
"2024-02-18T00:00:00.000Z",3.625,4.633,3.628,4.476,189504.942
"2024-02-17T00:00:00.000Z",3.513,3.659,3.626,3.632,20464.887
"2024-02-16T00:00:00.000Z",3.566,3.695,3.609,3.633,23319.364
"2024-02-15T00:00:00.000Z",3.514,3.653,3.514,3.609,23416.066
"2024-02-14T00:00:00.000Z",3.375,3.586,3.39,3.51,20886.611
"2024-02-13T00:00:00.000Z",3.286,3.401,3.352,3.392,34133.133
"2024-02-12T00:00:00.000Z",3.078,3.42,3.13,3.348,43307.722
"2024-02-11T00:00:00.000Z",3.097,3.195,3.178,3.099,11922.262
"2024-02-10T00:00:00.000Z",3.164,3.249,3.21,3.175,9884.143
"2024-02-09T00:00:00.000Z",3.091,3.225,3.097,3.199,28063.265
"2024-02-08T00:00:00.000Z",3.076,3.167,3.154,3.094,23312.767
"2024-02-07T00:00:00.000Z",2.97,3.154,2.993,3.151,34033.553
"2024-02-06T00:00:00.000Z",2.961,3.023,2.98,2.989,26526.519
"2024-02-05T00:00:00.000Z",2.943,3.059,3.044,2.976,55569.109
"2024-02-04T00:00:00.000Z",2.852,3.2,2.95,3.058,169012.152
"2024-02-03T00:00:00.000Z",2.91,3.6,2.936,2.952,243518.47
"2024-02-02T00:00:00.000Z",2.834,2.938,2.874,2.928,17236.79
"2024-02-01T00:00:00.000Z",2.832,2.953,2.935,2.854,19527.523
"2024-01-31T00:00:00.000Z",2.889,3.032,2.994,2.919,22063.599
"2024-01-30T00:00:00.000Z",2.89,3.035,2.892,2.988,36010.138
"2024-01-29T00:00:00.000Z",2.794,2.913,2.812,2.896,17503.57
"2024-01-28T00:00:00.000Z",2.775,2.918,2.897,2.808,33200.063
