"price","volume","timestamp","type"
"0.2","75","2024-05-27T19:54:04.252Z","bid"
"0.1","150","2024-05-27T19:54:04.252Z","bid"
"0.002","510","2024-05-27T19:54:04.252Z","bid"
"0.001","1994","2024-05-27T19:54:04.252Z","bid"
"2.868","286.59","2024-05-27T19:54:04.251Z","ask"
"2.869","217.74","2024-05-27T19:54:04.251Z","ask"
"2.872","47.605","2024-05-27T19:54:04.251Z","ask"
"2.874","347.9","2024-05-27T19:54:04.251Z","ask"
"2.875","200","2024-05-27T19:54:04.251Z","ask"
"2.877","95.21","2024-05-27T19:54:04.251Z","ask"
"2.88","119.013","2024-05-27T19:54:04.251Z","ask"
"2.881","19.345","2024-05-27T19:54:04.251Z","ask"
"2.882","537.8","2024-05-27T19:54:04.251Z","ask"
"2.885","149.801","2024-05-27T19:54:04.251Z","ask"
"2.886","725.904","2024-05-27T19:54:04.251Z","ask"
"2.893","238.026","2024-05-27T19:54:04.251Z","ask"
"2.899","776.1","2024-05-27T19:54:04.251Z","ask"
"2.91","68.986","2024-05-27T19:54:04.251Z","ask"
"2.912","1333.4","2024-05-27T19:54:04.251Z","ask"
"2.917","3.917","2024-05-27T19:54:04.251Z","ask"
"2.919","297.532","2024-05-27T19:54:04.251Z","ask"
"2.929","0.8","2024-05-27T19:54:04.251Z","ask"
"2.934","24.87","2024-05-27T19:54:04.251Z","ask"
"2.936","170.2","2024-05-27T19:54:04.251Z","ask"
"2.939","4.106","2024-05-27T19:54:04.251Z","ask"
"2.942","0.119","2024-05-27T19:54:04.251Z","ask"
"2.953","357.039","2024-05-27T19:54:04.251Z","ask"
"2.954","69.148","2024-05-27T19:54:04.251Z","ask"
"2.959","15.681","2024-05-27T19:54:04.251Z","ask"
"2.96","100","2024-05-27T19:54:04.251Z","ask"
"2.97","0.8","2024-05-27T19:54:04.251Z","ask"
"2.972","18.403","2024-05-27T19:54:04.251Z","ask"
"2.98","3.29","2024-05-27T19:54:04.251Z","ask"
"2.989","8.08","2024-05-27T19:54:04.251Z","ask"
"2.99","30","2024-05-27T19:54:04.251Z","ask"
"3","102.322","2024-05-27T19:54:04.251Z","ask"
"3.01","0.8","2024-05-27T19:54:04.251Z","ask"
"3.022","4.106","2024-05-27T19:54:04.251Z","ask"
"3.045","7.931","2024-05-27T19:54:04.251Z","ask"
"3.046","703.044","2024-05-27T19:54:04.251Z","ask"
"3.051","0.8","2024-05-27T19:54:04.251Z","ask"
"3.08","4.106","2024-05-27T19:54:04.251Z","ask"
"3.081","2.5","2024-05-27T19:54:04.251Z","ask"
"3.091","0.8","2024-05-27T19:54:04.251Z","ask"
"3.164","4.009","2024-05-27T19:54:04.251Z","ask"
"3.202","4.009","2024-05-27T19:54:04.251Z","ask"
"3.21","1.567","2024-05-27T19:54:04.251Z","ask"
"3.25","12.398","2024-05-27T19:54:04.251Z","ask"
"3.264","4.009","2024-05-27T19:54:04.251Z","ask"
"3.293","0.8","2024-05-27T19:54:04.251Z","ask"
"3.322","9.968","2024-05-27T19:54:04.251Z","ask"
"3.327","2.842","2024-05-27T19:54:04.251Z","ask"
"3.365","2.842","2024-05-27T19:54:04.251Z","ask"
"3.407","2.5","2024-05-27T19:54:04.251Z","ask"
"3.46","289.017","2024-05-27T19:54:04.251Z","ask"
"3.48","500","2024-05-27T19:54:04.251Z","ask"
"3.59","2823.613","2024-05-27T19:54:04.251Z","ask"
"3.608","46.422","2024-05-27T19:54:04.251Z","ask"
"3.7","19.441","2024-05-27T19:54:04.251Z","ask"
"3.729","1.349","2024-05-27T19:54:04.251Z","ask"
"3.733","2.5","2024-05-27T19:54:04.251Z","ask"
"3.88","4.393","2024-05-27T19:54:04.251Z","ask"
"3.901","0.077","2024-05-27T19:54:04.251Z","ask"
"3.96","20.204","2024-05-27T19:54:04.251Z","ask"
"3.971","0.194","2024-05-27T19:54:04.251Z","ask"
"3.976","0.194","2024-05-27T19:54:04.251Z","ask"
"4","820.197","2024-05-27T19:54:04.251Z","ask"
"4.002","0.388","2024-05-27T19:54:04.251Z","ask"
"4.007","365.931","2024-05-27T19:54:04.251Z","ask"
"4.04","271.321","2024-05-27T19:54:04.251Z","ask"
"4.044","0.582","2024-05-27T19:54:04.251Z","ask"
"4.059","2.5","2024-05-27T19:54:04.251Z","ask"
"4.11","4.879","2024-05-27T19:54:04.251Z","ask"
"4.148","24.108","2024-05-27T19:54:04.251Z","ask"
"4.16","168.88","2024-05-27T19:54:04.251Z","ask"
"4.205","1","2024-05-27T19:54:04.251Z","ask"
"4.214","0.194","2024-05-27T19:54:04.251Z","ask"
"4.229","1.189","2024-05-27T19:54:04.251Z","ask"
