"price","volume","time","side","orderType"
"2.85800000","2.73100000","2024-05-27T19:54:03.272Z","sell","maker"
"2.85800000","1.28900000","2024-05-27T19:54:00.608Z","sell","maker"
"2.85800000","2.34600000","2024-05-27T19:53:58.030Z","sell","maker"
"2.85800000","3.10500000","2024-05-27T19:53:50.718Z","sell","maker"
"2.85800000","2.48100000","2024-05-27T19:53:48.034Z","sell","maker"
"2.85800000","3.43300000","2024-05-27T19:53:45.774Z","sell","maker"
"2.85800000","3.02400000","2024-05-27T19:53:42.027Z","sell","maker"
"2.85800000","2.54200000","2024-05-27T19:53:40.013Z","sell","maker"
"2.85800000","1.42400000","2024-05-27T19:53:38.023Z","sell","maker"
"2.85800000","13.63600000","2024-05-27T19:53:35.008Z","sell","maker"
"2.85800000","2.59200000","2024-05-27T19:53:34.969Z","sell","maker"
"2.85800000","0.70000000","2024-05-27T19:53:34.756Z","sell","maker"
"2.85800000","5.38500000","2024-05-27T19:53:34.259Z","sell","maker"
"2.85800000","3.72700000","2024-05-27T19:53:32.283Z","sell","maker"
"2.85800000","1.75000000","2024-05-27T19:53:29.525Z","sell","maker"
"2.85800000","1.64900000","2024-05-27T19:53:23.769Z","sell","maker"
"2.85800000","3.43200000","2024-05-27T19:53:19.881Z","sell","maker"
"2.85800000","1.19100000","2024-05-27T19:53:16.278Z","sell","maker"
"2.85800000","1.12200000","2024-05-27T19:53:13.114Z","sell","maker"
"2.85800000","3.78700000","2024-05-27T19:52:08.407Z","sell","maker"
"2.85800000","1.07100000","2024-05-27T19:52:04.908Z","sell","maker"
"2.85800000","6.24800000","2024-05-27T19:52:04.823Z","sell","maker"
"2.85900000","58.80300000","2024-05-27T19:52:04.747Z","buy","maker"
"2.86300000","29.40100000","2024-05-27T19:52:04.747Z","buy","maker"
"2.86400000","8.00000000","2024-05-27T19:52:04.747Z","buy","maker"
"2.86500000","14.70100000","2024-05-27T19:52:04.747Z","buy","maker"
"2.86600000","7.35000000","2024-05-27T19:52:04.747Z","buy","maker"
"2.85800000","24.00000000","2024-05-27T19:51:59.024Z","sell","maker"
"2.85800000","24.00000000","2024-05-27T19:51:59.019Z","sell","maker"
"2.85800000","24.00000000","2024-05-27T19:51:59.015Z","sell","maker"
"2.85800000","22.26300000","2024-05-27T19:51:59.009Z","sell","maker"
