"price","volume","time","side","orderType"
"6.16200000","0.45000000","2024-06-14T23:08:22.751Z","buy","taker"
"6.18200000","5.31000000","2024-06-14T22:02:01.922Z","sell","maker"
"6.19200000","11.85000000","2024-06-14T22:01:59.938Z","sell","maker"
"6.20100000","1.16000000","2024-06-14T21:54:34.030Z","sell","maker"
"6.20300000","9.72000000","2024-06-14T21:54:06.015Z","buy","taker"
"6.20000000","1.00000000","2024-06-14T21:54:02.824Z","buy","taker"
"6.19300000","49.31000000","2024-06-14T21:53:19.070Z","sell","maker"
"6.16000000","53.29000000","2024-06-14T21:44:45.457Z","buy","taker"
"6.17400000","8.07000000","2024-06-14T21:44:06.548Z","buy","taker"
"6.19100000","2.95000000","2024-06-14T21:37:11.582Z","buy","taker"
"6.18900000","2.67000000","2024-06-14T21:37:03.055Z","buy","taker"
"6.17900000","6.39000000","2024-06-14T21:36:34.398Z","sell","maker"
"6.18000000","24.96000000","2024-06-14T21:36:30.922Z","buy","taker"
"6.18000000","3.24000000","2024-06-14T21:36:30.922Z","buy","taker"
"6.16400000","5.59000000","2024-06-14T21:36:07.549Z","buy","taker"
"6.15500000","0.86000000","2024-06-14T21:31:46.364Z","sell","maker"
"6.15600000","23.78000000","2024-06-14T21:31:28.704Z","buy","taker"
"6.15400000","1.87000000","2024-06-14T21:31:19.629Z","buy","taker"
"6.15400000","2.97000000","2024-06-14T21:31:19.629Z","buy","taker"
"6.15000000","2.66000000","2024-06-14T21:31:13.187Z","buy","taker"
"6.14600000","10.99000000","2024-06-14T21:31:09.563Z","buy","taker"
"6.14700000","4.08000000","2024-06-14T21:31:09.563Z","buy","taker"
"6.11400000","185.43000000","2024-06-14T21:23:52.119Z","buy","taker"
"6.11400000","9.47000000","2024-06-14T21:23:52.119Z","buy","taker"
"6.09400000","1.31000000","2024-06-14T21:08:10.544Z","buy","taker"
"6.08900000","9.92000000","2024-06-14T20:58:25.438Z","sell","maker"
"6.08900000","1.40000000","2024-06-14T20:58:24.836Z","sell","maker"
"6.09100000","21.81000000","2024-06-14T20:58:18.057Z","sell","maker"
"6.09100000","1.43000000","2024-06-14T20:58:17.456Z","sell","maker"
"6.10900000","11.15000000","2024-06-14T20:48:18.496Z","sell","maker"
"6.12600000","0.01000000","2024-06-14T20:38:48.700Z","sell","maker"
"6.12600000","18.05000000","2024-06-14T20:38:43.227Z","sell","maker"
"6.13900000","0.26000000","2024-06-14T20:29:58.202Z","sell","maker"
"6.14400000","20.22000000","2024-06-14T20:28:08.131Z","buy","taker"
"6.14400000","8.99000000","2024-06-14T20:28:08.131Z","buy","taker"
"6.11100000","5.00000000","2024-06-14T20:15:32.069Z","sell","maker"
"6.10300000","4.19000000","2024-06-14T20:10:02.448Z","sell","maker"
"6.10600000","18.93000000","2024-06-14T20:09:47.238Z","sell","maker"
"6.10600000","0.88000000","2024-06-14T20:08:21.416Z","sell","maker"
"6.11500000","23.12000000","2024-06-14T20:01:18.915Z","buy","taker"
"6.09600000","27.60000000","2024-06-14T19:38:13.583Z","buy","taker"
"6.09600000","21.07000000","2024-06-14T19:38:13.583Z","buy","taker"
"6.09600000","115.37000000","2024-06-14T19:38:13.583Z","buy","taker"
"6.10600000","5.71000000","2024-06-14T19:30:23.040Z","sell","maker"
"6.10500000","0.99000000","2024-06-14T19:30:23.040Z","sell","maker"
"6.08200000","0.54000000","2024-06-14T19:21:33.813Z","buy","taker"
"6.07600000","0.47000000","2024-06-14T19:08:21.355Z","sell","maker"
"6.08800000","7.00000000","2024-06-14T19:04:57.548Z","buy","taker"
"6.09700000","75.00000000","2024-06-14T18:56:52.169Z","buy","taker"
"6.07000000","16.47000000","2024-06-14T18:10:20.788Z","sell","maker"
"6.07600000","22.79000000","2024-06-14T18:08:13.367Z","sell","maker"
"6.11000000","3.60000000","2024-06-14T18:06:15.611Z","sell","maker"
"6.11000000","1.63000000","2024-06-14T17:42:39.665Z","sell","maker"
"6.10800000","9.17000000","2024-06-14T17:26:35.955Z","buy","taker"
"6.10200000","76.35000000","2024-06-14T17:20:05.675Z","sell","maker"
"6.10200000","86.73000000","2024-06-14T17:20:05.675Z","sell","maker"
"6.11800000","10.77000000","2024-06-14T17:19:05.832Z","buy","taker"
"6.10000000","3.02000000","2024-06-14T17:08:22.178Z","sell","maker"
"6.09800000","6.60000000","2024-06-14T17:02:33.481Z","sell","maker"
"6.09800000","3.40000000","2024-06-14T17:02:31.678Z","sell","maker"
"6.10300000","24.56000000","2024-06-14T17:02:07.117Z","sell","maker"
"6.11700000","12.28000000","2024-06-14T17:00:13.281Z","sell","maker"
