"time","open","high","low","close","volume"
"2024-05-27T00:00:00.000Z","0.342","0.386","0.339","0.380","327384.94618839"
"2024-05-26T00:00:00.000Z","0.350","0.354","0.338","0.340","89213.07988294"
"2024-05-25T00:00:00.000Z","0.350","0.355","0.344","0.351","163603.13023906"
"2024-05-24T00:00:00.000Z","0.349","0.365","0.341","0.349","317619.33726710"
"2024-05-23T00:00:00.000Z","0.358","0.367","0.323","0.348","555595.70331316"
"2024-05-22T00:00:00.000Z","0.357","0.380","0.353","0.357","447753.38885014"
"2024-05-21T00:00:00.000Z","0.334","0.363","0.332","0.356","441344.51251042"
"2024-05-20T00:00:00.000Z","0.309","0.335","0.305","0.333","281125.75902586"
"2024-05-19T00:00:00.000Z","0.323","0.329","0.307","0.309","165656.52265191"
"2024-05-18T00:00:00.000Z","0.320","0.324","0.317","0.323","107676.73951272"
"2024-05-17T00:00:00.000Z","0.299","0.326","0.298","0.319","154250.83546887"
"2024-05-16T00:00:00.000Z","0.301","0.304","0.291","0.299","134161.61779247"
"2024-05-15T00:00:00.000Z","0.284","0.302","0.266","0.301","520333.81190630"
"2024-05-14T00:00:00.000Z","0.318","0.320","0.277","0.285","1275210.58595113"
"2024-05-13T00:00:00.000Z","0.306","0.361","0.303","0.318","396478.90748131"
"2024-05-12T00:00:00.000Z","0.304","0.310","0.300","0.305","57239.83157538"
"2024-05-11T00:00:00.000Z","0.310","0.316","0.300","0.306","33975.41523782"
"2024-05-10T00:00:00.000Z","0.314","0.320","0.302","0.309","176530.78216490"
"2024-05-09T00:00:00.000Z","0.307","0.327","0.297","0.316","239713.10130906"
"2024-05-08T00:00:00.000Z","0.312","0.315","0.304","0.308","144716.89429825"
"2024-05-07T00:00:00.000Z","0.325","0.339","0.306","0.310","308696.46832314"
"2024-05-06T00:00:00.000Z","0.329","0.341","0.322","0.325","203844.51884988"
"2024-05-05T00:00:00.000Z","0.339","0.339","0.325","0.330","88975.29738173"
"2024-05-04T00:00:00.000Z","0.324","0.340","0.324","0.337","201343.31673690"
"2024-05-03T00:00:00.000Z","0.316","0.325","0.306","0.325","275473.43655217"
"2024-05-02T00:00:00.000Z","0.316","0.321","0.298","0.317","353690.32815811"
"2024-05-01T00:00:00.000Z","0.306","0.321","0.290","0.316","299277.14158521"
"2024-04-30T00:00:00.000Z","0.319","0.323","0.295","0.304","267921.82481504"
"2024-04-29T00:00:00.000Z","0.331","0.331","0.313","0.320","150346.12912585"
