"price","volume","time","side","orderType"
"1595.49000000","0.10990000","2023-07-14T02:59:57.580Z","sell","maker"
"1595.47000000","0.10990000","2023-07-14T02:59:56.580Z","sell","maker"
"1595.47000000","0.11000000","2023-07-14T02:59:54.579Z","sell","maker"
"1595.46000000","0.02200000","2023-07-14T02:59:48.786Z","sell","maker"
"1595.45000000","0.06250000","2023-07-14T02:59:48.786Z","sell","maker"
"1601.52000000","0.03140000","2023-07-14T02:59:37.508Z","buy","taker"
"1601.52000000","0.03460000","2023-07-14T02:59:37.508Z","buy","taker"
"1600.01000000","0.00610000","2023-07-14T02:59:33.610Z","buy","taker"
"1600.23000000","0.00090000","2023-07-14T02:59:33.610Z","buy","taker"
"1600.38000000","0.01570000","2023-07-14T02:59:33.610Z","buy","taker"
"1600.01000000","0.02450000","2023-07-14T02:59:27.978Z","buy","taker"
"1592.49000000","0.00110000","2023-07-14T02:59:27.960Z","sell","maker"
"1600.01000000","0.00110000","2023-07-14T02:59:27.630Z","buy","taker"
"1600.01000000","0.00590000","2023-07-14T02:59:25.001Z","buy","taker"
"1597.83000000","0.00110000","2023-07-14T02:59:22.517Z","buy","taker"
"1599.40000000","0.12740000","2023-07-14T02:59:22.517Z","buy","taker"
"1597.00000000","0.00040000","2023-07-14T02:59:02.808Z","sell","maker"
"1591.85000000","0.08780000","2023-07-14T02:59:02.808Z","sell","maker"
"1596.53000000","0.00060000","2023-07-14T02:59:01.828Z","buy","taker"
"1596.53000000","0.00490000","2023-07-14T02:59:00.006Z","buy","taker"
"1591.83000000","0.26440000","2023-07-14T02:58:58.617Z","sell","maker"
"1596.53000000","0.01800000","2023-07-14T02:58:56.141Z","buy","taker"
"1591.81000000","0.00090000","2023-07-14T02:58:54.968Z","sell","maker"
"1596.53000000","0.00090000","2023-07-14T02:58:54.691Z","buy","taker"
"1591.79000000","0.00110000","2023-07-14T02:58:52.550Z","sell","maker"
"1596.53000000","0.00070000","2023-07-14T02:58:50.266Z","buy","taker"
