"price","volume","timestamp","type"
"1.0686","2.72","2024-06-13T22:49:12.737Z","ask"
"1.0688","1.16","2024-06-13T22:49:12.737Z","ask"
"1.0689","497.63","2024-06-13T22:49:12.737Z","ask"
"1.069","1.05","2024-06-13T22:49:12.737Z","ask"
"1.0691","0.53","2024-06-13T22:49:12.737Z","ask"
"1.0692","0.47","2024-06-13T22:49:12.737Z","ask"
"1.0694","1.81","2024-06-13T22:49:12.737Z","ask"
"1.0695","4.38","2024-06-13T22:49:12.737Z","ask"
"1.0702","980.83","2024-06-13T22:49:12.737Z","ask"
"1.0718","3708.55","2024-06-13T22:49:12.737Z","ask"
"1.0719","9333.96","2024-06-13T22:49:12.737Z","ask"
"1.072","442.58","2024-06-13T22:49:12.737Z","ask"
"1.0728","19.87","2024-06-13T22:49:12.737Z","ask"
"1.073","494.62","2024-06-13T22:49:12.737Z","ask"
"1.0745","4162.52","2024-06-13T22:49:12.737Z","ask"
"1.0746","25","2024-06-13T22:49:12.737Z","ask"
"1.0747","59.96","2024-06-13T22:49:12.737Z","ask"
"1.0749","25","2024-06-13T22:49:12.737Z","ask"
"1.075","513","2024-06-13T22:49:12.737Z","ask"
"1.0751","25","2024-06-13T22:49:12.737Z","ask"
"1.0752","25","2024-06-13T22:49:12.737Z","ask"
"1.0754","25","2024-06-13T22:49:12.737Z","ask"
"1.0755","25","2024-06-13T22:49:12.737Z","ask"
"1.0799","190.7","2024-06-13T22:49:12.737Z","ask"
"1.08","3773.54","2024-06-13T22:49:12.737Z","ask"
"1.081","555.07","2024-06-13T22:49:12.737Z","ask"
"1.0811","895.6","2024-06-13T22:49:12.737Z","ask"
"1.0866","200","2024-06-13T22:49:12.737Z","ask"
"1.0873","249.23","2024-06-13T22:49:12.737Z","ask"
"1.0876","209","2024-06-13T22:49:12.737Z","ask"
"1.0899","100","2024-06-13T22:49:12.737Z","ask"
"1.09","5335.98","2024-06-13T22:49:12.737Z","ask"
"1.0925","3720.89","2024-06-13T22:49:12.737Z","ask"
"1.1","10240.47","2024-06-13T22:49:12.737Z","ask"
