"price","volume","time","side","orderType"
"1.68400000","1.92000000","2024-06-14T23:08:12.154Z","sell","maker"
"1.67770000","3.52000000","2024-06-14T23:08:12.154Z","sell","maker"
"1.72560000","1.25000000","2024-06-14T22:58:53.695Z","buy","taker"
"1.72270000","1.92000000","2024-06-14T22:08:29.092Z","buy","taker"
"1.72560000","1.04000000","2024-06-14T22:08:29.092Z","buy","taker"
"1.70430000","9.78000000","2024-06-14T21:36:14.091Z","buy","taker"
"1.70100000","33.99000000","2024-06-14T21:35:49.698Z","buy","taker"
"1.69900000","47.62000000","2024-06-14T21:19:18.203Z","sell","maker"
"1.68280000","25.95000000","2024-06-14T21:19:18.184Z","buy","taker"
"1.69980000","1.21000000","2024-06-14T21:08:10.042Z","buy","taker"
"1.70070000","3.75000000","2024-06-14T20:08:11.986Z","buy","taker"
"1.70080000","9.74000000","2024-06-14T19:08:16.913Z","buy","taker"
"1.70030000","8.07000000","2024-06-14T18:58:55.549Z","buy","taker"
"1.67530000","33.99000000","2024-06-14T18:31:53.269Z","buy","taker"
"1.67870000","9.78000000","2024-06-14T18:31:53.269Z","buy","taker"
"1.67870000","5.57000000","2024-06-14T18:31:53.269Z","buy","taker"
"1.66280000","34.77000000","2024-06-14T18:23:09.135Z","sell","maker"
"1.66600000","10.00000000","2024-06-14T18:22:29.939Z","sell","maker"
"1.72180000","3.14000000","2024-06-14T18:08:19.646Z","buy","taker"
"1.71960000","0.93000000","2024-06-14T17:59:21.474Z","buy","taker"
"1.70100000","3.63000000","2024-06-14T17:12:43.702Z","buy","taker"
"1.70100000","21.81000000","2024-06-14T17:12:19.934Z","buy","taker"
"1.70100000","8.55000000","2024-06-14T17:08:31.742Z","buy","taker"
"1.66720000","2.97000000","2024-06-14T17:06:53.490Z","sell","maker"
"1.70500000","50.00000000","2024-06-14T17:02:56.042Z","sell","maker"
"1.70430000","9.78000000","2024-06-14T16:36:56.867Z","buy","taker"
"1.68400000","1.92000000","2024-06-14T16:35:36.452Z","sell","maker"
"1.67850000","7.31000000","2024-06-14T16:35:36.452Z","sell","maker"
"1.72300000","58.03000000","2024-06-14T16:16:19.181Z","buy","taker"
"1.72200000","20.42000000","2024-06-14T16:13:31.759Z","buy","taker"
"1.72270000","1.92000000","2024-06-14T16:11:41.618Z","buy","taker"
"1.72290000","31.84000000","2024-06-14T16:11:41.618Z","buy","taker"
"1.65920000","182.96000000","2024-06-14T16:10:07.957Z","sell","maker"
"1.68400000","1.92000000","2024-06-14T16:08:43.960Z","sell","maker"
"1.68400000","57.59000000","2024-06-14T16:08:43.960Z","sell","maker"
"1.69210000","41.37000000","2024-06-14T16:08:40.082Z","sell","maker"
"1.69210000","10.22000000","2024-06-14T16:08:33.501Z","sell","maker"
"1.70940000","1.89000000","2024-06-14T16:08:30.032Z","sell","maker"
"1.70000000","14.70000000","2024-06-14T16:08:30.032Z","sell","maker"
"1.73620000","9.35000000","2024-06-14T16:08:21.629Z","buy","taker"
"1.71000000","60.21000000","2024-06-14T16:08:15.137Z","sell","maker"
"1.72000000","1.00000000","2024-06-14T16:08:09.302Z","sell","maker"
"1.71280000","22.33000000","2024-06-14T16:08:09.302Z","sell","maker"
"1.71280000","56.81000000","2024-06-14T16:08:09.302Z","sell","maker"
"1.72370000","159.34000000","2024-06-14T16:07:57.606Z","sell","maker"
"1.74000000","1.00000000","2024-06-14T16:07:50.802Z","sell","maker"
"1.73520000","1.87000000","2024-06-14T16:07:50.802Z","sell","maker"
"1.72570000","10.02000000","2024-06-14T16:07:50.802Z","sell","maker"
"1.74660000","58.51000000","2024-06-14T15:46:01.287Z","sell","maker"
"1.75000000","209.88000000","2024-06-14T15:44:56.931Z","sell","maker"
"1.75000000","18.76000000","2024-06-14T15:44:56.931Z","sell","maker"
"1.75000000","366.79000000","2024-06-14T15:44:56.871Z","sell","maker"
"1.75000000","303.49000000","2024-06-14T15:44:56.817Z","sell","maker"
"1.75000000","10.00000000","2024-06-14T15:44:56.817Z","sell","maker"
"1.75050000","150.18000000","2024-06-14T15:44:50.235Z","sell","maker"
"1.75030000","1.00000000","2024-06-14T15:44:50.235Z","sell","maker"
"1.76330000","155.77000000","2024-06-14T15:32:25.954Z","buy","taker"
"1.75050000","9.16000000","2024-06-14T15:08:14.558Z","sell","maker"
"1.75790000","55.12000000","2024-06-14T14:32:48.590Z","sell","maker"
"1.76140000","1.84000000","2024-06-14T14:32:46.022Z","sell","maker"
"1.76010000","9.82000000","2024-06-14T14:32:46.022Z","sell","maker"
"1.76000000","1.00000000","2024-06-14T14:32:46.022Z","sell","maker"
"1.76260000","42.72000000","2024-06-14T14:32:32.360Z","sell","maker"
"1.76420000","22.88000000","2024-06-14T14:31:57.907Z","sell","maker"
"1.78040000","1.36000000","2024-06-14T14:28:23.191Z","buy","taker"
"1.76720000","34.77000000","2024-06-14T14:27:42.823Z","sell","maker"
"1.77000000","15.00000000","2024-06-14T14:27:26.138Z","sell","maker"
"1.77000000","10.00000000","2024-06-14T14:27:26.138Z","sell","maker"
"1.77000000","1.00000000","2024-06-14T14:27:26.138Z","sell","maker"
"1.81360000","22.44000000","2024-06-14T14:08:31.344Z","buy","taker"
"1.77280000","7.66000000","2024-06-14T13:08:17.420Z","sell","maker"
"1.81680000","1.29000000","2024-06-14T12:08:16.356Z","buy","taker"
"1.81310000","4.28000000","2024-06-14T11:08:09.297Z","buy","taker"
"1.78120000","9.08000000","2024-06-14T10:21:41.783Z","sell","maker"
"1.77110000","16.22000000","2024-06-14T10:08:18.193Z","sell","maker"
"1.81000000","13.81000000","2024-06-14T09:56:16.261Z","buy","taker"
"1.81000000","1.00000000","2024-06-14T09:08:18.101Z","buy","taker"
"1.81450000","7.21000000","2024-06-14T09:08:18.101Z","buy","taker"
"1.77670000","6.50000000","2024-06-14T08:19:34.631Z","sell","maker"
"1.77660000","0.65000000","2024-06-14T08:19:34.631Z","sell","maker"
"1.80980000","3.24000000","2024-06-14T08:08:33.019Z","buy","taker"
"1.80470000","5.54000000","2024-06-14T07:33:58.149Z","buy","taker"
"1.77010000","17.79000000","2024-06-14T07:08:23.931Z","sell","maker"
"1.80980000","2.73000000","2024-06-14T06:59:02.433Z","buy","taker"
"1.80030000","7.01000000","2024-06-14T06:08:23.880Z","buy","taker"
"1.80030000","6.23000000","2024-06-14T06:08:23.880Z","buy","taker"
"1.80030000","78.16000000","2024-06-14T06:07:17.601Z","buy","taker"
"1.77010000","7.01000000","2024-06-14T05:08:11.794Z","sell","maker"
"1.79870000","27.76000000","2024-06-14T05:01:58.170Z","buy","taker"
"1.79870000","114.93000000","2024-06-14T04:29:00.038Z","buy","taker"
"1.79870000","35.07000000","2024-06-14T04:29:00.038Z","buy","taker"
"1.79870000","15.46000000","2024-06-14T04:08:14.681Z","buy","taker"
"1.77090000","10.05000000","2024-06-14T03:50:22.348Z","sell","maker"
"1.77090000","0.80000000","2024-06-14T03:50:22.348Z","sell","maker"
"1.78000000","1.00000000","2024-06-14T03:08:14.622Z","sell","maker"
"1.77210000","10.77000000","2024-06-14T03:08:14.622Z","sell","maker"
"1.80980000","2.70000000","2024-06-14T02:59:31.296Z","buy","taker"
"1.80980000","33.16000000","2024-06-14T02:08:20.381Z","buy","taker"
"1.77840000","5.35000000","2024-06-14T01:08:17.430Z","sell","maker"
"1.77270000","5.15000000","2024-06-14T01:08:17.430Z","sell","maker"
"1.77270000","4.27000000","2024-06-14T01:08:17.430Z","sell","maker"
"1.77270000","13.70000000","2024-06-14T01:08:17.430Z","sell","maker"
"1.81600000","5.50000000","2024-06-14T00:42:50.215Z","buy","taker"
"1.81570000","4.00000000","2024-06-14T00:32:58.972Z","buy","taker"
"1.81560000","13.76000000","2024-06-14T00:28:26.930Z","buy","taker"
"1.81470000","3.50000000","2024-06-14T00:26:04.676Z","buy","taker"
"1.81580000","9.00000000","2024-06-14T00:21:27.003Z","buy","taker"
"1.81590000","22.94000000","2024-06-14T00:08:22.366Z","buy","taker"
"1.81560000","1.00000000","2024-06-13T23:25:37.108Z","buy","taker"
"1.77280000","28.36000000","2024-06-13T23:08:17.278Z","sell","maker"
"1.81600000","16.64000000","2024-06-13T22:08:29.195Z","buy","taker"
"1.77280000","13.27000000","2024-06-13T21:16:03.775Z","sell","maker"
"1.81530000","14.01000000","2024-06-13T21:12:01.867Z","buy","taker"
"1.77280000","6.84000000","2024-06-13T21:08:14.974Z","sell","maker"
"1.81100000","5.29000000","2024-06-13T20:08:13.067Z","buy","taker"
"1.80500000","143.72000000","2024-06-13T19:33:09.581Z","sell","maker"
