"time","open","high","low","close","volume"
"2022-06-02T00:00:00.000Z","2.6130","2.7332","2.5600","2.6289","288721.35552509"
"2022-06-03T00:00:00.000Z","2.6280","2.6289","2.4404","2.4696","429052.59566808"
"2022-06-04T00:00:00.000Z","2.4739","2.5912","2.4054","2.5357","353757.86337617"
"2022-06-05T00:00:00.000Z","2.5364","2.6230","2.4666","2.5627","198160.08711422"
"2022-06-06T00:00:00.000Z","2.5613","2.7502","2.5577","2.6244","260496.84642574"
"2022-06-07T00:00:00.000Z","2.6057","2.6731","2.4254","2.6347","365794.91834002"
"2022-06-08T00:00:00.000Z","2.6233","2.7159","2.5559","2.5943","230376.41268356"
"2022-06-09T00:00:00.000Z","2.5818","2.7242","2.5084","2.5400","282682.49688205"
"2022-06-10T00:00:00.000Z","2.5336","2.6193","2.3345","2.3600","633376.53625881"
"2022-06-11T00:00:00.000Z","2.3601","2.4300","2.0900","2.1227","482831.29679548"
"2022-06-12T00:00:00.000Z","2.1225","2.1428","1.8912","1.8912","506615.17271777"
"2022-06-13T00:00:00.000Z","1.8983","1.9030","1.5577","1.7503","1370315.77934432"
"2022-06-14T00:00:00.000Z","1.7261","1.7583","1.5672","1.6933","460038.83991233"
"2022-06-15T00:00:00.000Z","1.6862","1.8369","1.4798","1.8368","727275.56930227"
"2022-06-16T00:00:00.000Z","1.8370","1.8481","1.5669","1.5964","600459.48056306"
"2022-06-17T00:00:00.000Z","1.5998","1.6919","1.5803","1.6562","474794.18378427"
"2022-06-18T00:00:00.000Z","1.6500","1.6773","1.3965","1.5149","481311.77284602"
"2022-06-19T00:00:00.000Z","1.5130","1.6233","1.4342","1.5968","393520.39158961"
"2022-06-20T00:00:00.000Z","1.5985","1.6844","1.5134","1.6632","297215.38964294"
"2022-06-21T00:00:00.000Z","1.6581","1.7850","1.6517","1.7089","330331.93350203"
"2022-06-22T00:00:00.000Z","1.6989","1.7321","1.5929","1.6055","385170.70293013"
"2022-06-23T00:00:00.000Z","1.6026","1.8586","1.6022","1.7696","509337.69689493"
"2022-06-24T00:00:00.000Z","1.7701","1.8794","1.7688","1.8323","573556.67429724"
"2022-06-25T00:00:00.000Z","1.8319","1.8790","1.7401","1.8213","444578.68495078"
"2022-06-26T00:00:00.000Z","1.8196","2.0407","1.8029","1.8244","759863.88681148"
"2022-06-27T00:00:00.000Z","1.8225","2.0839","1.8138","1.9202","581537.96272400"
"2022-06-28T00:00:00.000Z","1.9308","2.1144","1.9308","1.9877","979754.76109500"
"2022-06-29T00:00:00.000Z","1.9876","2.0017","1.8348","1.8900","538285.62446537"
"2022-06-30T00:00:00.000Z","1.8844","1.8976","1.6576","1.7772","355021.03674315"
"2022-07-01T00:00:00.000Z","1.7573","1.8652","1.7150","1.7916","311160.55070729"
"2022-07-02T00:00:00.000Z","1.7869","1.8260","1.7314","1.7954","149932.77959745"
"2022-07-03T00:00:00.000Z","1.7954","1.8051","1.7332","1.7462","174120.98090202"
"2022-07-04T00:00:00.000Z","1.7433","1.8051","1.6843","1.8008","179414.78081296"
