"price","volume","time","side","orderType"
"0.65450","1592.83020757","2024-05-16T05:23:28.720Z","s","l"
"0.65640","1348.00000000","2024-05-16T05:28:33.244Z","b","l"
"0.65640","240.64059040","2024-05-16T05:28:33.252Z","b","l"
"0.65710","300.00000000","2024-05-16T05:46:54.907Z","b","l"
"0.65740","1290.00000000","2024-05-16T05:46:55.126Z","b","l"
"0.65740","868.18843156","2024-05-16T05:46:55.168Z","b","l"
"0.65890","300.00000000","2024-05-16T05:56:58.756Z","b","l"
"0.65990","89.45978200","2024-05-16T05:57:04.562Z","b","l"
"0.65800","906.32939331","2024-05-16T06:09:41.951Z","s","l"
"0.65960","49.06989800","2024-05-16T06:19:10.360Z","b","l"
"0.65990","390.00000000","2024-05-16T06:32:12.463Z","b","l"
"0.66110","137.05973429","2024-05-16T07:12:14.711Z","b","l"
"0.66110","323.18319416","2024-05-16T07:12:15.565Z","b","l"
"0.66120","16.74717133","2024-05-16T07:12:25.589Z","b","l"
"0.66120","12.12192121","2024-05-16T07:12:35.604Z","b","l"
"0.66120","8.85603421","2024-05-16T07:12:45.661Z","b","l"
"0.66120","7.00000000","2024-05-16T07:12:55.676Z","b","l"
"0.66120","7.00000000","2024-05-16T07:13:05.708Z","b","l"
"0.66120","7.00000000","2024-05-16T07:13:14.573Z","b","l"
"0.66120","4.41519252","2024-05-16T07:13:24.603Z","b","l"
"0.66240","28.74411111","2024-05-16T07:15:50.535Z","b","l"
"0.66260","271.25588889","2024-05-16T07:15:50.535Z","b","l"
"0.66270","1002.75531900","2024-05-16T07:23:56.026Z","s","l"
"0.66360","300.00000000","2024-05-16T07:31:58.034Z","b","l"
"0.66120","300.48313672","2024-05-16T07:41:49.187Z","b","l"
"0.66050","542.00000000","2024-05-16T07:45:17.953Z","s","l"
"0.66050","416.00000000","2024-05-16T07:45:17.954Z","s","l"
"0.66050","621.00000000","2024-05-16T07:45:17.965Z","s","l"
"0.66080","149.76910273","2024-05-16T07:51:30.073Z","b","l"
"0.66000","100.00000000","2024-05-16T07:56:59.244Z","s","l"
"0.66010","20.61272700","2024-05-16T07:57:59.612Z","s","l"
"0.66050","2027.09462979","2024-05-16T08:01:33.341Z","s","l"
"0.65940","898.00000000","2024-05-16T08:06:45.504Z","b","l"
"0.65940","686.16330035","2024-05-16T08:06:45.505Z","b","l"
"0.66070","763.00930871","2024-05-16T08:30:30.109Z","s","l"
"0.66300","300.00000000","2024-05-16T08:57:25.907Z","b","l"
"0.66300","439.00000000","2024-05-16T08:57:25.984Z","b","l"
"0.66230","78.80152724","2024-05-16T09:29:07.392Z","b","l"
"0.66230","221.19847276","2024-05-16T09:29:07.392Z","b","l"
"0.66230","5897.79000000","2024-05-16T09:29:07.393Z","b","l"
"0.66280","1123.31000000","2024-05-16T09:29:07.394Z","b","l"
"0.66300","2418.57000000","2024-05-16T09:29:07.394Z","b","l"
"0.66310","2056.35000000","2024-05-16T09:29:07.394Z","b","l"
"0.66300","6353.28000000","2024-05-16T09:29:07.394Z","b","l"
"0.66320","1600.00000000","2024-05-16T09:29:07.648Z","b","l"
"0.66320","530.00000000","2024-05-16T09:29:07.648Z","b","l"
"0.66320","900.00000000","2024-05-16T09:29:07.649Z","b","l"
"0.66320","300.00000000","2024-05-16T09:29:12.039Z","b","l"
"0.66400","140.07128221","2024-05-16T09:29:12.049Z","b","l"
"0.66410","2013.59871779","2024-05-16T09:29:12.049Z","b","l"
"0.66410","966.67000000","2024-05-16T09:29:12.049Z","b","l"
"0.66410","31.74280945","2024-05-16T09:29:12.050Z","b","l"
"0.66410","154.58339774","2024-05-16T09:29:12.050Z","b","l"
"0.66410","3826.80379281","2024-05-16T09:29:12.050Z","b","l"
"0.66410","670.00000000","2024-05-16T09:29:12.099Z","b","l"
"0.66060","28.67589679","2024-05-16T09:34:36.475Z","s","l"
"0.66060","2257.50620814","2024-05-16T09:34:36.475Z","s","l"
"0.66060","1092.29929001","2024-05-16T09:34:36.475Z","s","l"
"0.66060","5603.30388971","2024-05-16T09:34:36.475Z","s","l"
"0.66120","1092.29929001","2024-05-16T09:35:01.806Z","s","l"
"0.66120","2257.50620814","2024-05-16T09:35:01.806Z","s","l"
"0.66340","3.10521600","2024-05-16T10:00:04.702Z","s","l"
"0.66140","16.91052622","2024-05-16T10:22:39.560Z","s","m"
"0.66130","122.17306394","2024-05-16T10:22:39.560Z","s","m"
"0.65850","753.66597275","2024-05-16T10:31:05.672Z","s","l"
"0.65950","15.88597528","2024-05-16T10:42:15.625Z","s","m"
"0.65940","237.56976566","2024-05-16T10:42:15.625Z","s","m"
"0.66030","7.00000000","2024-05-16T11:21:48.351Z","b","l"
"0.65860","156.39234700","2024-05-16T11:38:33.618Z","s","l"
"0.65850","300.00000000","2024-05-16T11:52:27.769Z","b","l"
"0.65850","1973.58684671","2024-05-16T11:52:27.824Z","b","l"
"0.65850","506.41315329","2024-05-16T11:52:27.824Z","b","l"
"0.66000","300.00000000","2024-05-16T11:59:21.224Z","b","l"
"0.66000","5316.35000000","2024-05-16T11:59:21.231Z","b","l"
"0.66000","1048.94000000","2024-05-16T11:59:21.239Z","b","l"
"0.66000","1171.00000000","2024-05-16T11:59:21.240Z","b","l"
"0.66000","2172.98948810","2024-05-16T11:59:21.299Z","b","l"
"0.66150","2490.00000000","2024-05-16T11:59:21.862Z","b","l"
"0.65930","1168.84000000","2024-05-16T12:04:29.681Z","s","l"
"0.65820","289.73527285","2024-05-16T12:15:07.398Z","s","l"
"0.65810","97.50103015","2024-05-16T12:15:07.398Z","s","l"
"0.65950","1208.00000000","2024-05-16T12:20:11.095Z","b","l"
"0.65960","152.00000000","2024-05-16T12:20:11.095Z","b","l"
"0.65800","1171.00000000","2024-05-16T12:21:09.149Z","s","l"
"0.65800","1171.00000000","2024-05-16T12:21:15.621Z","s","l"
"0.65610","300.00000000","2024-05-16T12:29:31.427Z","b","l"
"0.65800","1524.00000000","2024-05-16T12:30:37.962Z","b","l"
"0.65690","4039.08656093","2024-05-16T12:30:43.330Z","s","l"
"0.65910","1860.00000000","2024-05-16T12:33:25.565Z","b","l"
"0.65720","111.07729762","2024-05-16T12:36:57.051Z","s","l"
"0.65660","2172.98948810","2024-05-16T12:36:57.637Z","s","l"
"0.65500","6.69255221","2024-05-16T12:39:17.202Z","s","m"
"0.65560","41.09955300","2024-05-16T12:40:07.384Z","s","l"
"0.65610","1092.29929001","2024-05-16T12:46:39.963Z","s","l"
"0.65610","240.02486657","2024-05-16T12:46:39.963Z","s","l"
"0.65610","471.36544402","2024-05-16T12:46:39.963Z","s","l"
"0.65610","136.54160440","2024-05-16T12:46:39.963Z","s","l"
"0.65620","112.77049679","2024-05-16T12:47:01.618Z","b","l"
"0.65880","1787.61840546","2024-05-16T12:51:41.063Z","b","m"
"0.65880","1032.11057858","2024-05-16T12:51:45.209Z","b","m"
"0.65870","955.77057876","2024-05-16T12:51:50.642Z","b","m"
"0.65870","460.52450858","2024-05-16T12:51:56.679Z","b","m"
"0.65870","143.92343201","2024-05-16T12:52:04.014Z","b","m"
"0.65870","68.59290400","2024-05-16T12:52:04.014Z","b","m"
"0.65870","244.78410590","2024-05-16T12:52:12.187Z","b","m"
"0.65880","1411.74287975","2024-05-16T12:52:21.522Z","b","m"
"0.65920","219.42844885","2024-05-16T12:52:31.506Z","b","m"
"0.65920","1047.97487136","2024-05-16T12:52:43.024Z","b","m"
"0.65930","300.00000000","2024-05-16T12:55:23.054Z","b","l"
"0.65930","2580.22507196","2024-05-16T12:55:23.056Z","b","l"
"0.65930","3409.90492804","2024-05-16T12:55:23.056Z","b","l"
"0.65930","1888.29127915","2024-05-16T12:55:23.056Z","b","l"
"0.65930","3678.06872085","2024-05-16T12:55:23.056Z","b","l"
"0.65930","124.73507196","2024-05-16T12:55:23.056Z","b","l"
"0.65960","2880.09387440","2024-05-16T12:55:23.056Z","b","l"
"0.65700","2282.61227967","2024-05-16T13:05:40.075Z","s","l"
"0.65680","8600.59772033","2024-05-16T13:05:40.075Z","s","l"
"0.65660","48.18550100","2024-05-16T13:10:28.335Z","s","l"
"0.65580","15.42253924","2024-05-16T13:11:26.430Z","s","l"
"0.65670","171.70228900","2024-05-16T13:16:41.401Z","s","l"
"0.66020","300.00000000","2024-05-16T13:47:02.780Z","b","l"
"0.66020","1971.95691119","2024-05-16T13:47:02.781Z","b","l"
"0.66020","2271.95735312","2024-05-16T13:47:02.781Z","b","l"
"0.65060","28.80172833","2024-05-16T14:31:41.116Z","s","l"
"0.65060","64.89516921","2024-05-16T14:31:41.116Z","s","l"
"0.64990","788.10931173","2024-05-16T14:31:41.121Z","s","l"
"0.64980","2341.32402601","2024-05-16T14:31:41.121Z","s","l"
"0.64980","158.67597399","2024-05-16T14:31:41.121Z","s","l"
"0.64970","757.00000000","2024-05-16T14:31:41.121Z","s","l"
"0.64950","1602.10318423","2024-05-16T14:31:41.121Z","s","l"
"0.64940","64.13335248","2024-05-16T14:31:41.121Z","s","l"
"0.64940","547.52082704","2024-05-16T14:31:41.121Z","s","l"
"0.64940","750.79726978","2024-05-16T14:31:41.122Z","s","l"
"0.64930","1147.29000000","2024-05-16T14:31:41.122Z","s","l"
"0.64860","1231.34606796","2024-05-16T14:31:41.122Z","s","l"
"0.65000","782.35833443","2024-05-16T14:31:41.125Z","s","l"
"0.65000","391.17916721","2024-05-16T14:31:41.125Z","s","l"
"0.65000","62.96419182","2024-05-16T14:31:41.125Z","s","l"
"0.64950","719.39414261","2024-05-16T14:31:41.125Z","s","l"
"0.64950","391.17916721","2024-05-16T14:31:41.125Z","s","l"
