"price","volume","time","side","orderType"
"0.72750000","276.70000000","2024-05-25T21:45:45.728Z","sell","maker"
"0.72750000","240.50000000","2024-05-25T21:45:45.728Z","sell","maker"
"0.72750000","322.50000000","2024-05-25T21:45:34.574Z","sell","maker"
"0.72750000","180.20000000","2024-05-25T21:45:34.574Z","sell","maker"
"0.72740000","148.00000000","2024-05-25T21:45:29.831Z","buy","maker"
"0.72740000","582.00000000","2024-05-25T21:45:29.831Z","buy","maker"
"0.72740000","751.30000000","2024-05-25T21:45:29.831Z","buy","maker"
"0.72740000","1.40000000","2024-05-25T21:45:27.906Z","buy","maker"
"0.72760000","49.80000000","2024-05-25T21:45:17.291Z","sell","maker"
"0.72740000","9.50000000","2024-05-25T21:44:55.868Z","buy","maker"
"0.72760000","211.40000000","2024-05-25T21:44:46.702Z","buy","maker"
"0.72760000","0.90000000","2024-05-25T21:44:40.479Z","buy","maker"
"0.72760000","3.20000000","2024-05-25T21:44:22.753Z","buy","maker"
"0.72750000","11.90000000","2024-05-25T21:44:00.881Z","sell","maker"
"0.72750000","491.50000000","2024-05-25T21:44:00.881Z","sell","maker"
"0.72750000","491.50000000","2024-05-25T21:44:00.881Z","sell","maker"
"0.72750000","300.20000000","2024-05-25T21:44:00.175Z","sell","maker"
"0.72750000","203.30000000","2024-05-25T21:44:00.175Z","sell","maker"
"0.72740000","18.50000000","2024-05-25T21:43:59.671Z","buy","maker"
"0.72740000","9.00000000","2024-05-25T21:43:59.671Z","buy","maker"
"0.72750000","76.60000000","2024-05-25T21:43:47.502Z","sell","maker"
"0.72750000","1.30000000","2024-05-25T21:43:37.403Z","sell","maker"
"0.72740000","201.70000000","2024-05-25T21:43:35.920Z","buy","maker"
"0.72740000","582.10000000","2024-05-25T21:43:35.920Z","buy","maker"
"0.72740000","70.20000000","2024-05-25T21:43:35.920Z","buy","maker"
"0.72740000","26.30000000","2024-05-25T21:43:34.897Z","buy","maker"
"0.72750000","1.40000000","2024-05-25T21:43:01.140Z","sell","maker"
"0.72750000","8.20000000","2024-05-25T21:42:54.295Z","sell","maker"
"0.72740000","17.70000000","2024-05-25T21:42:30.112Z","buy","maker"
"0.72740000","6.30000000","2024-05-25T21:42:08.641Z","buy","maker"
"0.72740000","26.30000000","2024-05-25T21:41:59.367Z","buy","maker"
"0.72750000","211.40000000","2024-05-25T21:41:17.691Z","sell","maker"
"0.72750000","12.30000000","2024-05-25T21:41:11.178Z","sell","maker"
"0.72750000","9.00000000","2024-05-25T21:41:08.411Z","sell","maker"
"0.72750000","15.00000000","2024-05-25T21:41:01.713Z","sell","maker"
"0.72750000","13.70000000","2024-05-25T21:40:51.133Z","sell","maker"
"0.72740000","100.20000000","2024-05-25T21:40:35.757Z","buy","maker"
"0.72750000","47.80000000","2024-05-25T21:40:04.013Z","sell","maker"
"0.72750000","6.80000000","2024-05-25T21:39:58.911Z","sell","maker"
"0.72750000","9.80000000","2024-05-25T21:39:05.485Z","sell","maker"
"0.72730000","32.00000000","2024-05-25T21:38:26.436Z","sell","maker"
"0.72730000","65.20000000","2024-05-25T21:38:22.733Z","sell","maker"
"0.72730000","13.70000000","2024-05-25T21:38:04.065Z","sell","maker"
"0.72730000","681.70000000","2024-05-25T21:37:55.948Z","sell","maker"
"0.72730000","278.80000000","2024-05-25T21:37:08.864Z","sell","maker"
"0.72730000","2.80000000","2024-05-25T21:36:45.313Z","sell","maker"
"0.72730000","3.20000000","2024-05-25T21:36:44.955Z","sell","maker"
"0.72730000","205.90000000","2024-05-25T21:36:43.943Z","sell","maker"
"0.72720000","550.00000000","2024-05-25T21:36:42.912Z","buy","maker"
"0.72720000","1188.30000000","2024-05-25T21:36:42.912Z","buy","maker"
"0.72720000","752.70000000","2024-05-25T21:36:42.912Z","buy","maker"
"0.72720000","837.90000000","2024-05-25T21:36:42.912Z","buy","maker"
"0.72730000","731.70000000","2024-05-25T21:36:42.912Z","buy","maker"
"0.72730000","752.70000000","2024-05-25T21:36:42.912Z","buy","maker"
"0.72740000","4.30000000","2024-05-25T21:36:24.572Z","sell","maker"
"0.72760000","1.60000000","2024-05-25T21:36:06.909Z","sell","maker"
"0.72750000","572.90000000","2024-05-25T21:36:03.208Z","buy","maker"
"0.72710000","28.20000000","2024-05-25T21:35:59.904Z","sell","maker"
"0.72710000","5.50000000","2024-05-25T21:35:52.732Z","sell","maker"
"0.72700000","4.30000000","2024-05-25T21:35:49.003Z","buy","maker"
"0.72710000","199.10000000","2024-05-25T21:35:44.181Z","sell","maker"
"0.72700000","4.40000000","2024-05-25T21:35:42.663Z","buy","maker"
"0.72700000","14.30000000","2024-05-25T21:35:37.167Z","buy","maker"
"0.72710000","7.30000000","2024-05-25T21:35:37.122Z","sell","maker"
"0.72710000","5.30000000","2024-05-25T21:35:31.708Z","sell","maker"
"0.72700000","8.20000000","2024-05-25T21:35:21.642Z","buy","maker"
"0.72680000","201.40000000","2024-05-25T21:35:17.367Z","buy","maker"
"0.72680000","2.80000000","2024-05-25T21:34:58.890Z","buy","maker"
"0.72710000","7.50000000","2024-05-25T21:34:35.638Z","sell","maker"
"0.72710000","1.40000000","2024-05-25T21:34:31.522Z","sell","maker"
"0.72720000","11.10000000","2024-05-25T21:34:09.330Z","sell","maker"
"0.72690000","0.10000000","2024-05-25T21:34:03.066Z","buy","maker"
"0.72690000","48.10000000","2024-05-25T21:33:46.443Z","buy","maker"
"0.72710000","388.90000000","2024-05-25T21:33:36.058Z","buy","maker"
"0.72710000","82.70000000","2024-05-25T21:33:34.043Z","buy","maker"
"0.72730000","65.70000000","2024-05-25T21:32:56.232Z","sell","maker"
"0.72710000","65.40000000","2024-05-25T21:32:56.052Z","buy","maker"
"0.72730000","46.40000000","2024-05-25T21:32:56.052Z","buy","maker"
"0.72730000","79.30000000","2024-05-25T21:32:23.110Z","buy","maker"
"0.72730000","336.80000000","2024-05-25T21:32:23.110Z","buy","maker"
"0.72740000","2.70000000","2024-05-25T21:32:12.332Z","buy","maker"
"0.72740000","5.80000000","2024-05-25T21:31:33.303Z","buy","maker"
"0.72740000","28.40000000","2024-05-25T21:31:29.416Z","buy","maker"
"0.72760000","28.30000000","2024-05-25T21:31:25.803Z","sell","maker"
"0.72760000","68.00000000","2024-05-25T21:31:18.867Z","sell","maker"
"0.72760000","13.70000000","2024-05-25T21:30:21.052Z","sell","maker"
