"time","low","high","open","close","volume"
"2023-07-31T00:00:00.000Z",1.31,1.339,1.318,1.32,20713.93
"2023-08-01T00:00:00.000Z",1.275,1.444,1.323,1.438,73252.86
"2023-08-02T00:00:00.000Z",1.413,1.495,1.439,1.475,153595.36
"2023-08-03T00:00:00.000Z",1.428,1.515,1.483,1.448,104489.24
"2023-08-04T00:00:00.000Z",1.376,1.475,1.447,1.391,34625.76
"2023-08-05T00:00:00.000Z",1.367,1.414,1.397,1.413,14686.94
"2023-08-06T00:00:00.000Z",1.364,1.44,1.4,1.364,13554.32
"2023-08-07T00:00:00.000Z",1.28,1.393,1.366,1.306,65848.56
"2023-08-08T00:00:00.000Z",1.279,1.311,1.304,1.3,20495.21
"2023-08-09T00:00:00.000Z",1.29,1.314,1.294,1.304,26346.91
"2023-08-10T00:00:00.000Z",1.296,1.328,1.301,1.325,7279.12
"2023-08-11T00:00:00.000Z",1.304,1.33,1.323,1.312,16672.86
"2023-08-12T00:00:00.000Z",1.295,1.318,1.301,1.304,14285.23
"2023-08-13T00:00:00.000Z",1.297,1.321,1.302,1.301,3947.27
"2023-08-14T00:00:00.000Z",1.3,1.331,1.3,1.316,4541.18
"2023-08-15T00:00:00.000Z",1.126,1.315,1.315,1.221,52015.97
"2023-08-16T00:00:00.000Z",1.127,1.267,1.214,1.152,22594.14
"2023-08-17T00:00:00.000Z",0.912,1.19,1.158,1.046,86816.4
"2023-08-18T00:00:00.000Z",1.059,1.128,1.059,1.089,20912.51
"2023-08-19T00:00:00.000Z",1.085,1.139,1.096,1.119,17192.19
"2023-08-20T00:00:00.000Z",1.09,1.14,1.118,1.114,15770.56
"2023-08-21T00:00:00.000Z",1.062,1.108,1.108,1.104,14024.66
"2023-08-22T00:00:00.000Z",1.05,1.122,1.106,1.098,12602.96
"2023-08-23T00:00:00.000Z",1.092,1.126,1.102,1.12,6288.2
"2023-08-24T00:00:00.000Z",1.098,1.14,1.132,1.104,12289.82
"2023-08-25T00:00:00.000Z",1.091,1.124,1.113,1.122,4852.9
"2023-08-26T00:00:00.000Z",1.122,1.137,1.125,1.122,6217.58
"2023-08-27T00:00:00.000Z",1.119,1.132,1.127,1.131,3501.89
"2023-08-28T00:00:00.000Z",1.099,1.15,1.138,1.119,9519.89
"2023-08-29T00:00:00.000Z",1.119,1.176,1.128,1.167,24299.47
"2023-08-30T00:00:00.000Z",1.152,1.211,1.166,1.177,15514.86
"2023-08-31T00:00:00.000Z",1.105,1.182,1.179,1.125,19526.55
"2023-09-01T00:00:00.000Z",1.077,1.137,1.131,1.094,42375.54
"2023-09-02T00:00:00.000Z",1.09,1.135,1.09,1.116,14300.42
"2023-09-03T00:00:00.000Z",1.103,1.128,1.122,1.121,11964.47
"2023-09-04T00:00:00.000Z",1.094,1.131,1.119,1.122,19699.1
