"time","low","high","open","close","volume"
"2023-07-31T00:00:00.000Z",13.33,13.79,13.37,13.47,4366.042
"2023-08-01T00:00:00.000Z",13.12,13.71,13.47,13.63,3928.48
"2023-08-02T00:00:00.000Z",13.18,13.7,13.63,13.27,3043.617
"2023-08-03T00:00:00.000Z",13.16,13.47,13.22,13.29,5963.848
"2023-08-04T00:00:00.000Z",12.97,13.34,13.24,13.14,10153.4
"2023-08-05T00:00:00.000Z",12.9,13.14,13.14,12.93,2887.73
"2023-08-06T00:00:00.000Z",12.87,13.29,12.96,13.22,3046.577
"2023-08-07T00:00:00.000Z",13.17,13.82,13.25,13.41,10342.191
"2023-08-08T00:00:00.000Z",13.41,13.81,13.43,13.7,3216.892
"2023-08-09T00:00:00.000Z",13.39,13.73,13.73,13.57,5360.192
"2023-08-10T00:00:00.000Z",13.06,13.56,13.56,13.06,1489.537
"2023-08-11T00:00:00.000Z",12.63,13.2,13.1,12.69,2881.79
"2023-08-12T00:00:00.000Z",12.57,12.89,12.72,12.84,4833.732
"2023-08-13T00:00:00.000Z",12.82,13.17,12.88,13.08,1655.992
"2023-08-14T00:00:00.000Z",13,13.47,13.01,13.44,3918.164
"2023-08-15T00:00:00.000Z",12.51,13.49,13.47,12.8,5430.891
"2023-08-16T00:00:00.000Z",11.86,12.89,12.83,11.96,7096.182
"2023-08-17T00:00:00.000Z",10.7,12.37,11.97,11.03,7065.186
"2023-08-18T00:00:00.000Z",11.06,11.77,11.15,11.38,5075.564
"2023-08-19T00:00:00.000Z",11.28,11.57,11.38,11.44,2156.972
"2023-08-20T00:00:00.000Z",11.14,11.52,11.46,11.17,2620.41
"2023-08-21T00:00:00.000Z",10.91,11.62,11.2,11.32,7730.579
"2023-08-22T00:00:00.000Z",10.87,11.59,11.36,11.21,4059.388
"2023-08-23T00:00:00.000Z",11.13,11.49,11.26,11.36,1581.17
"2023-08-24T00:00:00.000Z",11.37,11.8,11.38,11.61,4418.458
"2023-08-25T00:00:00.000Z",11.23,11.63,11.6,11.46,2975.754
"2023-08-26T00:00:00.000Z",11.33,11.6,11.43,11.36,2259.352
"2023-08-27T00:00:00.000Z",11.13,11.47,11.38,11.19,1880.362
"2023-08-28T00:00:00.000Z",10.86,11.22,11.21,11.11,3778.747
"2023-08-29T00:00:00.000Z",10.87,11.43,11.14,11.31,5541.77
"2023-08-30T00:00:00.000Z",10.97,11.35,11.33,11.11,7197.052
"2023-08-31T00:00:00.000Z",10.6,11.34,11.1,10.97,5250.307
"2023-09-01T00:00:00.000Z",10.71,11.07,10.98,10.93,2587.293
"2023-09-02T00:00:00.000Z",10.86,25.15,10.94,19.55,381351.396
"2023-09-03T00:00:00.000Z",17.2,23.26,19.54,19.4,233088.522
"2023-09-04T00:00:00.000Z",14.43,21.77,19.38,14.72,123975.069
"2023-09-05T00:00:00.000Z",13.57,15.11,14.75,14.04,56834.08
"2023-09-06T00:00:00.000Z",13.88,16.81,14.04,14.74,121988.961
"2023-09-07T00:00:00.000Z",13.96,14.9,14.73,14.25,64988.821
"2023-09-08T00:00:00.000Z",13.55,15.6,14.29,13.82,47660.234
"2023-09-09T00:00:00.000Z",13.13,14.07,13.82,13.66,23418.476
"2023-09-10T00:00:00.000Z",12.7,13.63,13.63,13.19,20817.237
"2023-09-11T00:00:00.000Z",11.98,13.28,13.25,12.2,47455.379
"2023-09-12T00:00:00.000Z",12.05,12.82,12.22,12.21,17770.524
"2023-09-13T00:00:00.000Z",12.13,12.94,12.2,12.33,8599.94
"2023-09-14T00:00:00.000Z",11.97,12.59,12.37,12.53,7301.094
"2023-09-15T00:00:00.000Z",12.47,14.37,12.51,13.15,57499.09
"2023-09-16T00:00:00.000Z",12.66,13.54,13.15,13.01,33830.686
"2023-09-17T00:00:00.000Z",12.2,13.01,13.01,12.43,8469.221
"2023-09-18T00:00:00.000Z",12.35,12.71,12.45,12.53,6393.893
"2023-09-19T00:00:00.000Z",12.36,12.77,12.52,12.56,8082.718
"2023-09-20T00:00:00.000Z",12.44,13.06,12.59,13,10682.191
"2023-09-21T00:00:00.000Z",12.35,13.19,13.01,12.8,12879.302
"2023-09-22T00:00:00.000Z",12.69,13,12.81,12.96,4517.327
"2023-09-23T00:00:00.000Z",12.52,13.1,12.97,12.9,3827.621
"2023-09-24T00:00:00.000Z",12,12.89,12.89,12.36,12141.451
"2023-09-25T00:00:00.000Z",12.26,12.77,12.4,12.58,4121.185
"2023-09-26T00:00:00.000Z",12.52,12.8,12.59,12.78,6143.983
"2023-09-27T00:00:00.000Z",12.48,12.92,12.78,12.55,5299.201
"2023-09-28T00:00:00.000Z",12.43,12.69,12.58,12.53,8414.407
"2023-09-29T00:00:00.000Z",12.43,12.67,12.52,12.5,9690.578
"2023-09-30T00:00:00.000Z",12.42,12.91,12.5,12.62,6420.02
"2023-10-01T00:00:00.000Z",12.56,13.95,12.57,13.73,34373.434
"2023-10-02T00:00:00.000Z",12.75,13.71,13.71,13.1,12283.111
"2023-10-03T00:00:00.000Z",12.6,13.32,13.12,12.61,6233.969
"2023-10-04T00:00:00.000Z",12.35,12.81,12.62,12.78,9473.132
"2023-10-05T00:00:00.000Z",12.57,12.88,12.74,12.59,4839.438
"2023-10-06T00:00:00.000Z",12.35,12.77,12.61,12.7,5468.711
"2023-10-07T00:00:00.000Z",12.38,12.81,12.68,12.47,5620.587
"2023-10-08T00:00:00.000Z",12.12,14.13,12.47,13.38,33760.898
"2023-10-09T00:00:00.000Z",11.99,13.36,13.36,12.45,20340.211
"2023-10-10T00:00:00.000Z",12.03,12.5,12.46,12.19,5232.883
"2023-10-11T00:00:00.000Z",11.45,12.25,12.21,11.76,12126.638
"2023-10-12T00:00:00.000Z",11.53,11.88,11.78,11.69,4073.168
"2023-10-13T00:00:00.000Z",11.57,12.04,11.7,11.87,8311.139
"2023-10-14T00:00:00.000Z",11.84,12.1,11.86,12,7288.219
"2023-10-15T00:00:00.000Z",11.95,12.32,12.01,12.08,3366.236
"2023-10-16T00:00:00.000Z",12.09,12.76,12.1,12.5,11623.495
"2023-10-17T00:00:00.000Z",11.83,12.55,12.47,11.93,8064.074
"2023-10-18T00:00:00.000Z",11.63,12.23,11.92,11.63,7801.535
"2023-10-19T00:00:00.000Z",11.41,11.95,11.63,11.82,5720.54
"2023-10-20T00:00:00.000Z",11.69,12.3,11.84,12.15,15323.079
"2023-10-21T00:00:00.000Z",12.08,12.52,12.13,12.37,8321.169
"2023-10-22T00:00:00.000Z",12.16,12.49,12.34,12.42,5273.104
"2023-10-23T00:00:00.000Z",12.37,13.25,12.43,13.1,11781.292
"2023-10-24T00:00:00.000Z",12.84,13.81,13.16,13.4,13392.755
"2023-10-25T00:00:00.000Z",13.19,14.27,13.33,14.1,13428.065
"2023-10-26T00:00:00.000Z",13.24,14.34,14.07,13.82,16660.088
"2023-10-27T00:00:00.000Z",13.51,14.02,13.79,13.67,2328.037
"2023-10-28T00:00:00.000Z",13.67,14.87,13.68,14.24,9932.863
