"price","volume","timestamp","type"
"2.1774","1200","2024-05-25T19:43:34.449Z","ask"
"2.1806","114.88","2024-05-25T19:43:34.449Z","ask"
"2.1807","439.98","2024-05-25T19:43:34.449Z","ask"
"2.1823","189.07","2024-05-25T19:43:34.449Z","ask"
"2.1824","476.85","2024-05-25T19:43:34.449Z","ask"
"2.1833","206.27","2024-05-25T19:43:34.449Z","ask"
"2.1851","63.63","2024-05-25T19:43:34.449Z","ask"
"2.1861","61.14","2024-05-25T19:43:34.449Z","ask"
"2.1862","500","2024-05-25T19:43:34.449Z","ask"
"2.1868","74.3","2024-05-25T19:43:34.449Z","ask"
"2.1869","1175.02","2024-05-25T19:43:34.449Z","ask"
"2.187","26000","2024-05-25T19:43:34.449Z","ask"
"2.1873","148.46","2024-05-25T19:43:34.449Z","ask"
"2.1916","2874.14","2024-05-25T19:43:34.449Z","ask"
"2.1917","318.13","2024-05-25T19:43:34.449Z","ask"
"2.1919","2","2024-05-25T19:43:34.449Z","ask"
"2.1964","26000","2024-05-25T19:43:34.449Z","ask"
"2.2043","530.23","2024-05-25T19:43:34.449Z","ask"
"2.2067","1019.6","2024-05-25T19:43:34.449Z","ask"
"2.2121","2","2024-05-25T19:43:34.449Z","ask"
"2.2124","39000","2024-05-25T19:43:34.449Z","ask"
"2.2274","1408.22","2024-05-25T19:43:34.449Z","ask"
"2.2323","2","2024-05-25T19:43:34.449Z","ask"
"2.236","1060.45","2024-05-25T19:43:34.449Z","ask"
"2.2525","2","2024-05-25T19:43:34.449Z","ask"
"2.2527","14.97","2024-05-25T19:43:34.449Z","ask"
"2.2535","1330.55","2024-05-25T19:43:34.449Z","ask"
"2.2727","2","2024-05-25T19:43:34.449Z","ask"
"2.2823","0.05","2024-05-25T19:43:34.449Z","ask"
"2.3093","14.6","2024-05-25T19:43:34.449Z","ask"
"2.3307","2.71","2024-05-25T19:43:34.449Z","ask"
"2.3439","412.05","2024-05-25T19:43:34.449Z","ask"
"2.3674","14.25","2024-05-25T19:43:34.449Z","ask"
"2.379","7.98","2024-05-25T19:43:34.449Z","ask"
"2.3823","192.21","2024-05-25T19:43:34.449Z","ask"
"2.3937","0.87","2024-05-25T19:43:34.449Z","ask"
"2.4268","13.9","2024-05-25T19:43:34.449Z","ask"
"2.4431","511.36","2024-05-25T19:43:34.449Z","ask"
"2.4614","30.08","2024-05-25T19:43:34.449Z","ask"
"2.485","2121.59","2024-05-25T19:43:34.449Z","ask"
"2.4878","13.56","2024-05-25T19:43:34.449Z","ask"
"2.4995","0.06","2024-05-25T19:43:34.449Z","ask"
"2.5","191.46","2024-05-25T19:43:34.449Z","ask"
"2.518","11.3","2024-05-25T19:43:34.449Z","ask"
"2.52","404.16","2024-05-25T19:43:34.449Z","ask"
"2.5272","24.86","2024-05-25T19:43:34.449Z","ask"
"2.5292","5.51","2024-05-25T19:43:34.449Z","ask"
"2.55","50","2024-05-25T19:43:34.449Z","ask"
"2.5503","13.22","2024-05-25T19:43:34.449Z","ask"
"2.6","674.7","2024-05-25T19:43:34.449Z","ask"
"2.602","10","2024-05-25T19:43:34.449Z","ask"
"2.6144","12.9","2024-05-25T19:43:34.449Z","ask"
"2.6275","11.08","2024-05-25T19:43:34.449Z","ask"
"2.6524","80.8","2024-05-25T19:43:34.449Z","ask"
"2.6801","12.58","2024-05-25T19:43:34.449Z","ask"
"2.6875","9.3","2024-05-25T19:43:34.449Z","ask"
"2.69","51.28","2024-05-25T19:43:34.449Z","ask"
"2.6989","1.12","2024-05-25T19:43:34.449Z","ask"
"2.7","5603.39","2024-05-25T19:43:34.449Z","ask"
"2.727","5","2024-05-25T19:43:34.449Z","ask"
"2.73","2","2024-05-25T19:43:34.449Z","ask"
"2.7474","12.27","2024-05-25T19:43:34.449Z","ask"
"2.78","500","2024-05-25T19:43:34.449Z","ask"
"2.8","25.61","2024-05-25T19:43:34.449Z","ask"
"2.8161","48.34","2024-05-25T19:43:34.449Z","ask"
"2.8165","11.97","2024-05-25T19:43:34.449Z","ask"
