"time","low","high","open","close","volume"
"2023-07-31T00:00:00.000Z",23.51,24.81,24.25,23.73,821230.224
"2023-08-01T00:00:00.000Z",22.8,24.06,23.72,24.05,936683.538
"2023-08-02T00:00:00.000Z",22.86,24.27,24.05,23.14,904723.904
"2023-08-03T00:00:00.000Z",22.5,23.38,23.13,22.62,652527.321
"2023-08-04T00:00:00.000Z",22.5,23.55,22.63,22.77,838185.486
"2023-08-05T00:00:00.000Z",22.21,22.91,22.77,22.63,376179.337
"2023-08-06T00:00:00.000Z",22.56,23.44,22.63,23.16,406526.285
"2023-08-07T00:00:00.000Z",22.3,23.63,23.16,23.11,477688.498
"2023-08-08T00:00:00.000Z",23,24.78,23.1,24.21,1269927.015
"2023-08-09T00:00:00.000Z",24.09,25.01,24.2,24.37,842230.301
"2023-08-10T00:00:00.000Z",24.11,25.02,24.37,24.6,526466.521
"2023-08-11T00:00:00.000Z",24.31,24.9,24.6,24.61,515295.549
"2023-08-12T00:00:00.000Z",24.38,25.19,24.61,24.91,436246.653
"2023-08-13T00:00:00.000Z",24.18,24.95,24.92,24.21,323388.634
"2023-08-14T00:00:00.000Z",24.05,25.29,24.21,25.18,728090.949
"2023-08-15T00:00:00.000Z",23.71,25.39,25.18,23.87,996267.76
"2023-08-16T00:00:00.000Z",22.37,24.01,23.87,22.79,1134478.793
"2023-08-17T00:00:00.000Z",20.5,23.41,22.79,21.68,1401187.606
"2023-08-18T00:00:00.000Z",20.9,22.2,21.67,21.33,948328.881
"2023-08-19T00:00:00.000Z",21.29,22.17,21.33,21.89,414682.428
"2023-08-20T00:00:00.000Z",21.57,22.03,21.9,21.78,283792.488
"2023-08-21T00:00:00.000Z",20.31,21.78,21.78,21.2,719009.996
"2023-08-22T00:00:00.000Z",19.29,21.27,21.2,20.58,865632.008
"2023-08-23T00:00:00.000Z",20.34,21.81,20.57,21.73,890731.577
"2023-08-24T00:00:00.000Z",20.67,22.03,21.74,21.05,643508.617
"2023-08-25T00:00:00.000Z",20.08,21.05,21.04,20.42,626071.78
"2023-08-26T00:00:00.000Z",20.17,20.43,20.41,20.27,194852.137
"2023-08-27T00:00:00.000Z",20.23,20.91,20.27,20.79,267602.451
"2023-08-28T00:00:00.000Z",20.03,20.78,20.78,20.55,482266.362
"2023-08-29T00:00:00.000Z",20.11,22.02,20.55,21.79,1341435.965
"2023-08-30T00:00:00.000Z",20.6,21.99,21.79,20.82,704349.676
"2023-08-31T00:00:00.000Z",19.42,21.07,20.81,19.73,1477783.025
"2023-09-01T00:00:00.000Z",19.02,19.93,19.72,19.33,807746.788
"2023-09-02T00:00:00.000Z",19.13,19.69,19.32,19.49,309302.132
"2023-09-03T00:00:00.000Z",19.23,19.67,19.49,19.57,312031.568
"2023-09-04T00:00:00.000Z",19.16,20.03,19.57,19.52,411141.739
"2023-09-05T00:00:00.000Z",19.03,20.6,19.51,20.26,877221.105
"2023-09-06T00:00:00.000Z",19.14,20.37,20.26,19.64,670393.35
"2023-09-07T00:00:00.000Z",19.32,20,19.63,19.91,540304.612
"2023-09-08T00:00:00.000Z",19.37,20.28,19.92,19.61,460389.639
"2023-09-09T00:00:00.000Z",19.37,19.61,19.61,19.44,201743.804
"2023-09-10T00:00:00.000Z",17.8,19.44,19.44,18.23,1225347.476
"2023-09-11T00:00:00.000Z",17.34,18.46,18.23,17.72,1263148.599
"2023-09-12T00:00:00.000Z",17.56,18.8,17.72,17.92,1123051.34
"2023-09-13T00:00:00.000Z",17.69,18.57,17.92,18.4,1060226.746
"2023-09-14T00:00:00.000Z",18.39,19.32,18.4,18.86,978025.881
"2023-09-15T00:00:00.000Z",18.56,19.49,18.86,19.14,820155.637
"2023-09-16T00:00:00.000Z",18.88,19.46,19.15,19.13,409682.883
"2023-09-17T00:00:00.000Z",18.65,19.14,19.13,18.81,241358.324
"2023-09-18T00:00:00.000Z",18.6,20.16,18.82,19.66,1137968.796
"2023-09-19T00:00:00.000Z",19.58,20.4,19.64,20.04,650593.597
"2023-09-20T00:00:00.000Z",19.81,20.5,20.03,20.29,843651.523
"2023-09-21T00:00:00.000Z",19.27,20.3,20.3,19.46,1065796.88
"2023-09-22T00:00:00.000Z",19.16,19.79,19.45,19.42,499825.247
"2023-09-23T00:00:00.000Z",19.28,19.58,19.42,19.48,273614.035
"2023-09-24T00:00:00.000Z",19.21,19.67,19.48,19.36,237377.083
"2023-09-25T00:00:00.000Z",19.09,19.74,19.36,19.39,536868.777
"2023-09-26T00:00:00.000Z",18.83,19.52,19.39,19.01,522180.351
"2023-09-27T00:00:00.000Z",18.73,19.46,19.01,19.12,943861.842
"2023-09-28T00:00:00.000Z",19.08,20.05,19.12,19.98,1170433.793
"2023-09-29T00:00:00.000Z",19.86,20.5,19.98,20.27,565041.2
"2023-09-30T00:00:00.000Z",20.08,21.8,20.28,21.36,847857.117
"2023-10-01T00:00:00.000Z",21.13,24.49,21.36,23.87,1350196.382
"2023-10-02T00:00:00.000Z",22.9,24.8,23.88,23.36,1679273.949
"2023-10-03T00:00:00.000Z",23.22,24.76,23.39,23.62,1137984.041
"2023-10-04T00:00:00.000Z",22.58,23.85,23.62,23.14,883545.838
"2023-10-05T00:00:00.000Z",22.55,23.97,23.14,22.7,757622.529
"2023-10-06T00:00:00.000Z",22.67,23.79,22.7,23.43,747467.234
"2023-10-07T00:00:00.000Z",23.1,24.2,23.42,23.31,482011.028
"2023-10-08T00:00:00.000Z",23.09,23.64,23.3,23.24,273249.75
"2023-10-09T00:00:00.000Z",21.61,23.38,23.23,22.1,685047.892
"2023-10-10T00:00:00.000Z",21.71,22.48,22.11,22.11,470735.057
"2023-10-11T00:00:00.000Z",21.61,22.42,22.11,22.01,815386.376
"2023-10-12T00:00:00.000Z",20.93,22.04,22.01,21.29,474036.407
"2023-10-13T00:00:00.000Z",21.11,22.22,21.28,21.84,570363.14
"2023-10-14T00:00:00.000Z",21.8,22.25,21.85,22,243456.115
"2023-10-15T00:00:00.000Z",21.67,22.18,22,21.94,359412.866
"2023-10-16T00:00:00.000Z",21.9,24.78,21.93,23.97,1699423.358
"2023-10-17T00:00:00.000Z",23.46,24.57,23.97,23.95,1062243.881
"2023-10-18T00:00:00.000Z",23.36,24.44,23.94,23.42,1007584.54
"2023-10-19T00:00:00.000Z",23.13,25.79,23.41,24.94,1708510.464
"2023-10-20T00:00:00.000Z",24.74,27.4,24.94,27.05,2445877.547
"2023-10-21T00:00:00.000Z",26.66,30.33,27.05,29.32,1895797.701
"2023-10-22T00:00:00.000Z",28.11,30.03,29.32,29.06,979912.243
"2023-10-23T00:00:00.000Z",28.75,32.69,29.06,31.91,2892634.04
"2023-10-24T00:00:00.000Z",29.51,32.59,31.9,30.18,2612855.787
"2023-10-25T00:00:00.000Z",30,33.9,30.19,32.43,2591832.289
"2023-10-26T00:00:00.000Z",30.71,33.27,32.44,32.78,2593101.869
"2023-10-27T00:00:00.000Z",31.27,33.36,32.79,31.74,1601328.022
"2023-10-28T00:00:00.000Z",31.4,32.52,31.75,31.64,532581.737
"2023-10-29T00:00:00.000Z",31.3,33.15,31.64,32.84,1189572.261
"2023-10-30T00:00:00.000Z",32.45,35.34,32.85,34.95,1996411.129
"2023-10-31T00:00:00.000Z",34.79,38.6,34.95,38.43,3496301.771
"2023-11-01T00:00:00.000Z",37.94,46.97,38.42,41.18,5621226.735
"2023-11-02T00:00:00.000Z",38.64,44.6,41.16,40.25,3444791.361
"2023-11-03T00:00:00.000Z",38.02,40.26,40.26,39.48,2573934.38
"2023-11-04T00:00:00.000Z",39,42.8,39.46,42.44,1733105.233
"2023-11-05T00:00:00.000Z",40.29,42.89,42.43,41.2,1662028.628
"2023-11-06T00:00:00.000Z",39.69,42.25,41.21,42.16,2212020.031
"2023-11-07T00:00:00.000Z",40.11,44.75,42.17,42.95,3447843.701
"2023-11-08T00:00:00.000Z",42.27,43.89,42.94,43.13,1418831.051
"2023-11-09T00:00:00.000Z",42.52,48.93,43.16,45.3,4257617.115
"2023-11-10T00:00:00.000Z",45.08,57.74,45.31,56.72,4565362.62
"2023-11-11T00:00:00.000Z",53.6,63.98,56.7,56.35,4863376.242
"2023-11-12T00:00:00.000Z",54.42,61.89,56.36,56.28,3290263.31
"2023-11-13T00:00:00.000Z",51.54,59.88,56.25,51.6,3385353.382
"2023-11-14T00:00:00.000Z",51.26,58,51.59,56.84,3185931.88
"2023-11-15T00:00:00.000Z",56.16,67.13,56.84,65.48,3590761.454
"2023-11-16T00:00:00.000Z",56.39,68.18,65.49,57.8,4460143.68
"2023-11-17T00:00:00.000Z",54.11,60.55,57.82,58.55,2740209.443
