"price","volume","time","side","orderType"
"167.10000000","0.00239281","2024-05-25T20:25:47.296Z","sell","maker"
"167.10000000","5.89709251","2024-05-25T20:25:47.272Z","sell","maker"
"167.10000000","0.03500000","2024-05-25T20:25:47.272Z","sell","maker"
"167.10000000","0.03500000","2024-05-25T20:25:47.272Z","sell","maker"
"167.09000000","0.76213703","2024-05-25T20:25:47.227Z","buy","maker"
"167.10000000","5.95219411","2024-05-25T20:25:45.490Z","sell","maker"
"167.10000000","0.15313273","2024-05-25T20:25:45.490Z","sell","maker"
"167.08000000","0.05248668","2024-05-25T20:25:45.482Z","buy","maker"
"167.08000000","1.00000000","2024-05-25T20:25:45.152Z","buy","maker"
"167.08000000","0.18800000","2024-05-25T20:25:45.109Z","buy","maker"
"167.09000000","0.13316959","2024-05-25T20:25:40.361Z","sell","maker"
"167.09000000","0.03835715","2024-05-25T20:25:34.743Z","sell","maker"
"167.08000000","0.08886894","2024-05-25T20:25:30.829Z","sell","maker"
"167.10000000","0.01698463","2024-05-25T20:25:29.335Z","sell","maker"
"167.07000000","0.00304718","2024-05-25T20:25:21.965Z","buy","maker"
"167.07000000","13.82091043","2024-05-25T20:25:21.962Z","buy","maker"
"167.07000000","15.55076299","2024-05-25T20:25:21.962Z","buy","maker"
"167.07000000","0.66159803","2024-05-25T20:25:21.962Z","buy","maker"
"167.07000000","0.00377745","2024-05-25T20:25:21.960Z","buy","maker"
"167.05000000","9.70700667","2024-05-25T20:25:21.933Z","sell","maker"
"167.05000000","0.07304717","2024-05-25T20:25:21.933Z","sell","maker"
"167.05000000","0.07377745","2024-05-25T20:25:21.933Z","sell","maker"
"167.05000000","24.57192805","2024-05-25T20:25:21.933Z","sell","maker"
"167.05000000","2.71400000","2024-05-25T20:25:21.819Z","sell","maker"
"167.05000000","2.74734340","2024-05-25T20:25:21.743Z","sell","maker"
"167.05000000","0.11605854","2024-05-25T20:25:20.615Z","sell","maker"
"167.05000000","0.01738925","2024-05-25T20:25:18.798Z","sell","maker"
"167.04000000","0.06900299","2024-05-25T20:25:18.090Z","buy","maker"
"167.04000000","7.83780450","2024-05-25T20:25:17.938Z","buy","maker"
"167.05000000","0.00011967","2024-05-25T20:25:15.567Z","sell","maker"
"167.05000000","0.28124039","2024-05-25T20:25:15.548Z","sell","maker"
"167.04000000","5.84049478","2024-05-25T20:25:15.243Z","buy","maker"
"167.04000000","3.56775551","2024-05-25T20:25:15.243Z","buy","maker"
"167.04000000","1.77433462","2024-05-25T20:25:15.243Z","buy","maker"
"167.03000000","0.00755492","2024-05-25T20:25:15.233Z","sell","maker"
"167.01000000","0.00609435","2024-05-25T20:25:14.516Z","buy","maker"
"167.01000000","4.07726094","2024-05-25T20:25:14.514Z","buy","maker"
"167.01000000","15.55076299","2024-05-25T20:25:14.514Z","buy","maker"
"167.01000000","3.56775551","2024-05-25T20:25:14.514Z","buy","maker"
"167.01000000","2.83893540","2024-05-25T20:25:14.514Z","buy","maker"
"167.02000000","1.41946770","2024-05-25T20:25:14.514Z","buy","maker"
"167.00000000","0.07755490","2024-05-25T20:25:14.492Z","sell","maker"
"167.00000000","0.07609435","2024-05-25T20:25:14.492Z","sell","maker"
"167.00000000","11.93778954","2024-05-25T20:25:14.492Z","sell","maker"
"167.00000000","2.59906254","2024-05-25T20:25:14.492Z","sell","maker"
"167.00000000","21.48027131","2024-05-25T20:25:14.486Z","sell","maker"
"167.00000000","5.24805479","2024-05-25T20:25:14.426Z","sell","maker"
"167.00000000","0.07126056","2024-05-25T20:25:11.862Z","sell","maker"
"167.00000000","0.07293696","2024-05-25T20:25:10.462Z","sell","maker"
"166.99000000","0.00097300","2024-05-25T20:25:10.444Z","buy","maker"
"167.00000000","0.57067729","2024-05-25T20:25:09.113Z","sell","maker"
"166.99000000","0.03088824","2024-05-25T20:25:08.678Z","buy","maker"
"166.99000000","0.00828305","2024-05-25T20:25:08.677Z","buy","maker"
"166.99000000","0.11828305","2024-05-25T20:25:08.647Z","sell","maker"
"166.99000000","11.59673768","2024-05-25T20:25:08.647Z","sell","maker"
"166.99000000","0.02911176","2024-05-25T20:25:08.647Z","sell","maker"
"166.99000000","0.10266472","2024-05-25T20:25:08.647Z","sell","maker"
"166.99000000","0.92344489","2024-05-25T20:25:08.249Z","sell","maker"
"166.99000000","5.92849871","2024-05-25T20:25:07.150Z","sell","maker"
"166.99000000","0.00047887","2024-05-25T20:25:04.466Z","sell","maker"
"166.99000000","1.16086268","2024-05-25T20:25:04.441Z","sell","maker"
"166.99000000","0.10973651","2024-05-25T20:25:01.405Z","sell","maker"
"166.98000000","0.13596268","2024-05-25T20:24:58.592Z","buy","maker"
"166.99000000","0.13881881","2024-05-25T20:24:57.642Z","sell","maker"
"166.99000000","1.48224325","2024-05-25T20:24:55.234Z","sell","maker"
"166.99000000","0.09136947","2024-05-25T20:24:53.328Z","sell","maker"
"166.98000000","0.37801789","2024-05-25T20:24:49.320Z","buy","maker"
"166.99000000","5.47699845","2024-05-25T20:24:48.239Z","sell","maker"
"166.98000000","2.00000000","2024-05-25T20:24:46.091Z","buy","maker"
"166.99000000","1.19299180","2024-05-25T20:24:42.770Z","sell","maker"
"166.99000000","0.13941240","2024-05-25T20:24:35.693Z","sell","maker"
"166.98000000","1.08422188","2024-05-25T20:24:34.637Z","buy","maker"
"166.99000000","0.57071146","2024-05-25T20:24:34.328Z","sell","maker"
"166.99000000","0.64230459","2024-05-25T20:24:33.991Z","sell","maker"
"166.99000000","1.10435649","2024-05-25T20:24:33.991Z","sell","maker"
"166.99000000","1.13629111","2024-05-25T20:24:32.907Z","sell","maker"
"166.98000000","0.21171468","2024-05-25T20:24:30.616Z","buy","maker"
"166.98000000","0.96801246","2024-05-25T20:24:28.661Z","buy","maker"
"166.98000000","0.19500000","2024-05-25T20:24:27.293Z","sell","maker"
"166.98000000","8.87109983","2024-05-25T20:24:27.293Z","sell","maker"
"166.98000000","3.33143707","2024-05-25T20:24:27.280Z","sell","maker"
"166.98000000","3.13986579","2024-05-25T20:24:25.638Z","sell","maker"
"166.97000000","0.20032943","2024-05-25T20:24:25.509Z","sell","maker"
"166.97000000","0.00539220","2024-05-25T20:24:25.305Z","buy","maker"
"166.95000000","10.07356449","2024-05-25T20:24:25.277Z","sell","maker"
"166.95000000","0.20161926","2024-05-25T20:24:25.277Z","sell","maker"
"166.95000000","0.01460780","2024-05-25T20:24:25.277Z","sell","maker"
"166.95000000","0.00078440","2024-05-25T20:24:25.277Z","sell","maker"
"166.95000000","0.19371017","2024-05-25T20:24:25.277Z","sell","maker"
"166.91000000","11.09617868","2024-05-25T20:24:24.270Z","sell","maker"
"166.91000000","0.00599126","2024-05-25T20:24:24.270Z","sell","maker"
"166.91000000","6.00000000","2024-05-25T20:24:24.269Z","sell","maker"
"166.93000000","3.28228953","2024-05-25T20:24:22.361Z","buy","maker"
"166.93000000","3.20413682","2024-05-25T20:24:22.361Z","buy","maker"
"166.94000000","0.27403258","2024-05-25T20:24:22.357Z","buy","maker"
"166.94000000","19.00148902","2024-05-25T20:24:22.357Z","buy","maker"
"166.94000000","0.54777225","2024-05-25T20:24:17.250Z","buy","maker"
"166.94000000","3.31000000","2024-05-25T20:24:14.728Z","buy","maker"
"166.95000000","1.16801115","2024-05-25T20:24:13.657Z","sell","maker"
"166.95000000","0.00868176","2024-05-25T20:24:13.347Z","sell","maker"
"166.95000000","2.89934735","2024-05-25T20:24:10.405Z","sell","maker"
"166.95000000","0.01105696","2024-05-25T20:24:10.405Z","sell","maker"
"166.95000000","0.49427844","2024-05-25T20:24:10.023Z","sell","maker"
"166.95000000","0.02921560","2024-05-25T20:24:10.023Z","sell","maker"
"166.95000000","0.37716908","2024-05-25T20:24:10.023Z","sell","maker"
"166.95000000","0.00156880","2024-05-25T20:24:10.023Z","sell","maker"
"166.95000000","0.09992441","2024-05-25T20:24:10.023Z","sell","maker"
"166.95000000","0.29056526","2024-05-25T20:24:05.216Z","sell","maker"
"166.95000000","0.75800310","2024-05-25T20:24:02.812Z","sell","maker"
"166.95000000","0.25199690","2024-05-25T20:24:02.812Z","sell","maker"
"166.94000000","0.06000000","2024-05-25T20:24:00.587Z","buy","maker"
"166.95000000","1.21473163","2024-05-25T20:23:59.748Z","sell","maker"
"166.94000000","7.28765611","2024-05-25T20:23:56.341Z","buy","maker"
"166.95000000","0.39291644","2024-05-25T20:23:55.607Z","sell","maker"
"166.95000000","2.33765271","2024-05-25T20:23:50.975Z","sell","maker"
"166.95000000","0.59822946","2024-05-25T20:23:49.867Z","sell","maker"
"166.94000000","1.01337139","2024-05-25T20:23:49.391Z","buy","maker"
"166.95000000","0.59299191","2024-05-25T20:23:46.942Z","sell","maker"
"166.94000000","0.03011562","2024-05-25T20:23:46.517Z","buy","maker"
"166.95000000","0.33200423","2024-05-25T20:23:46.137Z","sell","maker"
"166.94000000","0.14974543","2024-05-25T20:23:44.711Z","buy","maker"
"166.95000000","2.83826727","2024-05-25T20:23:43.366Z","sell","maker"
"166.95000000","0.99766832","2024-05-25T20:23:35.132Z","sell","maker"
"166.94000000","0.82998342","2024-05-25T20:23:32.435Z","buy","maker"
"166.94000000","3.56775553","2024-05-25T20:23:32.435Z","buy","maker"
