"time","low","high","open","close","volume"
"2024-04-08T00:00:00.000Z",1.565,1.935,1.84,1.649,2014859.04
"2024-04-09T00:00:00.000Z",1.647,2.109,1.667,1.823,6137596.32
"2024-04-10T00:00:00.000Z",1.534,1.849,1.82,1.634,5263861.44
"2024-04-11T00:00:00.000Z",1.366,1.636,1.635,1.403,4599466.01
"2024-04-12T00:00:00.000Z",0.944,1.442,1.404,1.072,6433159.89
"2024-04-13T00:00:00.000Z",0.746,1.116,1.071,0.917,6701054.44
"2024-04-14T00:00:00.000Z",0.86,1.056,0.921,1.029,4527092.73
"2024-04-15T00:00:00.000Z",0.844,1.025,1.025,0.892,3342663.08
"2024-04-16T00:00:00.000Z",0.806,0.919,0.895,0.865,3449109.99
"2024-04-17T00:00:00.000Z",0.755,0.92,0.863,0.876,3494446.03
"2024-04-18T00:00:00.000Z",0.764,0.9,0.876,0.856,3169401.37
"2024-04-19T00:00:00.000Z",0.761,0.975,0.852,0.909,4570146.71
"2024-04-20T00:00:00.000Z",0.874,1.12,0.907,1.103,4710906.59
"2024-04-21T00:00:00.000Z",0.978,1.102,1.102,1.048,3587926.66
"2024-04-22T00:00:00.000Z",1.011,1.229,1.047,1.182,3548979.29
"2024-04-23T00:00:00.000Z",1.088,1.294,1.177,1.147,2656446.83
"2024-04-24T00:00:00.000Z",1.02,1.181,1.148,1.038,2401420.34
"2024-04-25T00:00:00.000Z",0.983,1.056,1.036,1.007,3314183.97
"2024-04-26T00:00:00.000Z",0.932,1.011,1.006,0.94,3554146.93
"2024-04-27T00:00:00.000Z",0.881,0.967,0.942,0.935,2264738.94
"2024-04-28T00:00:00.000Z",0.894,0.985,0.933,0.9,2096666.99
"2024-04-29T00:00:00.000Z",0.833,0.92,0.898,0.887,1539489.91
"2024-04-30T00:00:00.000Z",0.771,0.896,0.886,0.811,2223481.48
"2024-05-01T00:00:00.000Z",0.741,0.84,0.81,0.818,2479116.79
"2024-05-02T00:00:00.000Z",0.785,0.88,0.818,0.855,2197373.28
"2024-05-03T00:00:00.000Z",0.826,0.918,0.855,0.903,1829653.86
"2024-05-04T00:00:00.000Z",0.876,0.939,0.902,0.877,1042800.74
"2024-05-05T00:00:00.000Z",0.842,0.937,0.878,0.903,2448051.05
"2024-05-06T00:00:00.000Z",0.84,0.946,0.901,0.844,2018644.67
"2024-05-07T00:00:00.000Z",0.8,0.866,0.845,0.808,1271973.24
"2024-05-08T00:00:00.000Z",0.764,0.815,0.805,0.776,1403436.08
"2024-05-09T00:00:00.000Z",0.764,0.881,0.777,0.857,2547547.74
"2024-05-10T00:00:00.000Z",0.812,0.917,0.857,0.834,2921456.41
"2024-05-11T00:00:00.000Z",0.824,1.052,0.84,0.983,4867577.35
"2024-05-12T00:00:00.000Z",0.906,0.989,0.983,0.924,1999353.4
"2024-05-13T00:00:00.000Z",0.817,0.93,0.921,0.837,2473572
"2024-05-14T00:00:00.000Z",0.784,0.841,0.836,0.788,722764.42
"2024-05-15T00:00:00.000Z",0.767,0.869,0.792,0.834,2340423.38
"2024-05-16T00:00:00.000Z",0.819,0.923,0.835,0.843,2856284.11
"2024-05-17T00:00:00.000Z",0.828,0.923,0.844,0.877,1745372.56
"2024-05-18T00:00:00.000Z",0.872,0.973,0.879,0.91,1505226.92
"2024-05-19T00:00:00.000Z",0.798,0.922,0.909,0.804,2219747.58
"2024-05-20T00:00:00.000Z",0.781,0.918,0.803,0.903,2844293.96
"2024-05-21T00:00:00.000Z",0.852,0.918,0.904,0.898,1586176.4
"2024-05-22T00:00:00.000Z",0.864,0.98,0.898,0.907,1396757.91
"2024-05-23T00:00:00.000Z",0.814,0.917,0.906,0.89,993805.64
"2024-05-24T00:00:00.000Z",0.891,1.037,0.892,1.027,3158835.75
"2024-05-25T00:00:00.000Z",0.983,1.088,1.027,1.083,2022049.49
