"price","volume","timestamp","type"
"1.083","883.69","2024-05-25T19:44:12.988Z","ask"
"1.084","4468.47","2024-05-25T19:44:12.988Z","ask"
"1.085","6060.45","2024-05-25T19:44:12.988Z","ask"
"1.086","7508.5","2024-05-25T19:44:12.988Z","ask"
"1.087","3036.57","2024-05-25T19:44:12.988Z","ask"
"1.088","919.1","2024-05-25T19:44:12.988Z","ask"
"1.089","7120.28","2024-05-25T19:44:12.988Z","ask"
"1.09","126.65","2024-05-25T19:44:12.988Z","ask"
"1.091","733.57","2024-05-25T19:44:12.988Z","ask"
"1.092","1043.73","2024-05-25T19:44:12.988Z","ask"
"1.093","9811.85","2024-05-25T19:44:12.988Z","ask"
"1.094","122.16","2024-05-25T19:44:12.988Z","ask"
"1.095","3724.77","2024-05-25T19:44:12.988Z","ask"
"1.096","14.58","2024-05-25T19:44:12.988Z","ask"
"1.099","1528.71","2024-05-25T19:44:12.988Z","ask"
"1.1","5279.99","2024-05-25T19:44:12.988Z","ask"
"1.101","6143.28","2024-05-25T19:44:12.988Z","ask"
"1.102","4085.03","2024-05-25T19:44:12.988Z","ask"
"1.103","28.55","2024-05-25T19:44:12.988Z","ask"
"1.105","14.51","2024-05-25T19:44:12.988Z","ask"
"1.106","49.15","2024-05-25T19:44:12.988Z","ask"
"1.11","2550.36","2024-05-25T19:44:12.988Z","ask"
"1.112","9.2","2024-05-25T19:44:12.988Z","ask"
"1.114","8138.38","2024-05-25T19:44:12.988Z","ask"
"1.115","123.96","2024-05-25T19:44:12.988Z","ask"
"1.117","1","2024-05-25T19:44:12.988Z","ask"
"1.12","1","2024-05-25T19:44:12.988Z","ask"
"1.123","8061.83","2024-05-25T19:44:12.988Z","ask"
"1.124","2.5","2024-05-25T19:44:12.988Z","ask"
"1.125","906.11","2024-05-25T19:44:12.988Z","ask"
"1.13","1471.65","2024-05-25T19:44:12.988Z","ask"
"1.131","9.41","2024-05-25T19:44:12.988Z","ask"
"1.132","5095.71","2024-05-25T19:44:12.988Z","ask"
"1.136","200","2024-05-25T19:44:12.988Z","ask"
"1.138","2.5","2024-05-25T19:44:12.988Z","ask"
"1.143","438.1","2024-05-25T19:44:12.988Z","ask"
"1.147","511.91","2024-05-25T19:44:12.988Z","ask"
"1.15","2587.66","2024-05-25T19:44:12.988Z","ask"
"1.154","38.06","2024-05-25T19:44:12.989Z","ask"
"1.155","15","2024-05-25T19:44:12.989Z","ask"
"1.16","107952.46","2024-05-25T19:44:12.989Z","ask"
"1.166","1526.99","2024-05-25T19:44:12.989Z","ask"
"1.167","5.1","2024-05-25T19:44:12.989Z","ask"
"1.175","853.2","2024-05-25T19:44:12.989Z","ask"
"1.18","5892.03","2024-05-25T19:44:12.989Z","ask"
"1.185","22354.31","2024-05-25T19:44:12.989Z","ask"
"1.186","22354.31","2024-05-25T19:44:12.989Z","ask"
"1.19","728.78","2024-05-25T19:44:12.989Z","ask"
"1.191","3418.91","2024-05-25T19:44:12.989Z","ask"
"1.192","5.34","2024-05-25T19:44:12.989Z","ask"
"1.195","30","2024-05-25T19:44:12.989Z","ask"
"1.2","382.09","2024-05-25T19:44:12.989Z","ask"
"1.21","50.16","2024-05-25T19:44:12.989Z","ask"
"1.22","144.38","2024-05-25T19:44:12.989Z","ask"
"1.221","103.27","2024-05-25T19:44:12.989Z","ask"
"1.23","412.6","2024-05-25T19:44:12.989Z","ask"
"1.235","16349.58","2024-05-25T19:44:12.989Z","ask"
"1.24","3362.45","2024-05-25T19:44:12.989Z","ask"
"1.25","7144.68","2024-05-25T19:44:12.989Z","ask"
"1.253","100.63","2024-05-25T19:44:12.989Z","ask"
"1.257","797.54","2024-05-25T19:44:12.989Z","ask"
"1.26","79.36","2024-05-25T19:44:12.989Z","ask"
"1.27","624.4","2024-05-25T19:44:12.989Z","ask"
"1.276","2.37","2024-05-25T19:44:12.989Z","ask"
"1.277","4.1","2024-05-25T19:44:12.989Z","ask"
"1.28","1863.62","2024-05-25T19:44:12.989Z","ask"
"1.286","98.04","2024-05-25T19:44:12.989Z","ask"
"1.32","95.5","2024-05-25T19:44:12.989Z","ask"
"1.34","1997.22","2024-05-25T19:44:12.989Z","ask"
"1.345","4287.4","2024-05-25T19:44:12.989Z","ask"
"1.35","2230.66","2024-05-25T19:44:12.989Z","ask"
"1.354","93.1","2024-05-25T19:44:12.989Z","ask"
"1.36","500","2024-05-25T19:44:12.989Z","ask"
"1.37","3750","2024-05-25T19:44:12.989Z","ask"
"1.375","374.58","2024-05-25T19:44:12.989Z","ask"
"1.379","2.5","2024-05-25T19:44:12.989Z","ask"
"1.381","436.84","2024-05-25T19:44:12.989Z","ask"
"1.39","5120.61","2024-05-25T19:44:12.989Z","ask"
"1.399","1.47","2024-05-25T19:44:12.989Z","ask"
"1.4","4416.58","2024-05-25T19:44:12.989Z","ask"
"1.427","4.47","2024-05-25T19:44:12.989Z","ask"
"1.43","340.72","2024-05-25T19:44:12.989Z","ask"
"1.433","4.39","2024-05-25T19:44:12.989Z","ask"
"1.44","197.62","2024-05-25T19:44:12.989Z","ask"
"1.445","30","2024-05-25T19:44:12.989Z","ask"
"1.45","6121.64","2024-05-25T19:44:12.989Z","ask"
"1.46","51.57","2024-05-25T19:44:12.989Z","ask"
"1.475","1019.5","2024-05-25T19:44:12.989Z","ask"
"1.48","754.28","2024-05-25T19:44:12.989Z","ask"
"1.49","2656.51","2024-05-25T19:44:12.989Z","ask"
"1.5","17791.11","2024-05-25T19:44:12.989Z","ask"
"1.51","28.87","2024-05-25T19:44:12.989Z","ask"
"1.52","7999.7","2024-05-25T19:44:12.989Z","ask"
"1.522","34.58","2024-05-25T19:44:12.989Z","ask"
"1.53","45.38","2024-05-25T19:44:12.989Z","ask"
"1.541","8.91","2024-05-25T19:44:12.989Z","ask"
"1.546","13.7","2024-05-25T19:44:12.989Z","ask"
"1.556","396.42","2024-05-25T19:44:12.989Z","ask"
"1.557","1.33","2024-05-25T19:44:12.989Z","ask"
"1.56","7.12","2024-05-25T19:44:12.989Z","ask"
"1.566","2.64","2024-05-25T19:44:12.989Z","ask"
"1.579","1269.8","2024-05-25T19:44:12.989Z","ask"
"1.58","200","2024-05-25T19:44:12.989Z","ask"
"1.59","34016.99","2024-05-25T19:44:12.989Z","ask"
"1.6","3903.15","2024-05-25T19:44:12.989Z","ask"
"1.631","5","2024-05-25T19:44:12.989Z","ask"
"1.633","207.57","2024-05-25T19:44:12.989Z","ask"
"1.64","9.95","2024-05-25T19:44:12.989Z","ask"
"1.66","155.91","2024-05-25T19:44:12.989Z","ask"
