"time","low","high","open","close","volume"
"2023-08-01T00:00:00.000Z",6.323,6.687,6.525,6.682,659194.812714
"2023-08-02T00:00:00.000Z",6.123,6.688,6.68,6.151,636468.32404
"2023-08-03T00:00:00.000Z",6.049,6.253,6.15,6.094,321614.538154
"2023-08-04T00:00:00.000Z",5.998,6.216,6.094,6.06,276320.238673
"2023-08-05T00:00:00.000Z",5.934,6.09,6.059,6.085,189074.194015
"2023-08-06T00:00:00.000Z",5.933,6.157,6.085,5.952,127258.203402
"2023-08-07T00:00:00.000Z",5.725,6.004,5.946,5.866,284205.436289
"2023-08-08T00:00:00.000Z",5.811,6.151,5.863,6.081,450891.600406
"2023-08-09T00:00:00.000Z",6.035,6.293,6.081,6.252,303070.411659
"2023-08-10T00:00:00.000Z",6.145,6.341,6.249,6.186,420508.437189
"2023-08-11T00:00:00.000Z",6.095,6.209,6.186,6.196,199932.343679
"2023-08-12T00:00:00.000Z",6.115,6.247,6.197,6.22,116474.724695
"2023-08-13T00:00:00.000Z",6.05,6.227,6.221,6.085,222812.350913
"2023-08-14T00:00:00.000Z",6.073,6.36,6.081,6.255,209691.541498
"2023-08-15T00:00:00.000Z",5.933,6.292,6.268,5.948,326186.529325
"2023-08-16T00:00:00.000Z",5.293,5.945,5.945,5.454,617846.331849
"2023-08-17T00:00:00.000Z",4.574,5.5,5.454,4.994,491002.481562
"2023-08-18T00:00:00.000Z",4.837,5.05,4.993,4.904,900921.765539
"2023-08-19T00:00:00.000Z",4.857,4.998,4.902,4.906,674929.253563
"2023-08-20T00:00:00.000Z",4.86,4.934,4.906,4.9,379482.586496
"2023-08-21T00:00:00.000Z",4.719,4.915,4.9,4.76,758217.284632
"2023-08-22T00:00:00.000Z",4.499,4.777,4.76,4.664,1930040.027511
"2023-08-23T00:00:00.000Z",4.646,4.854,4.665,4.762,1240168.775272
"2023-08-24T00:00:00.000Z",4.595,4.816,4.76,4.656,700188.582265
"2023-08-25T00:00:00.000Z",4.515,4.668,4.656,4.546,783170.136251
"2023-08-26T00:00:00.000Z",4.531,4.642,4.549,4.597,216774.596345
"2023-08-27T00:00:00.000Z",4.596,4.705,4.596,4.683,213536.194116
"2023-08-28T00:00:00.000Z",4.563,4.731,4.681,4.667,358867.571227
"2023-08-29T00:00:00.000Z",4.564,4.887,4.666,4.798,731762.005701
"2023-08-30T00:00:00.000Z",4.635,4.807,4.798,4.64,691779.761111
"2023-08-31T00:00:00.000Z",4.316,4.681,4.638,4.368,1064329.471682
"2023-09-01T00:00:00.000Z",4.231,4.421,4.368,4.264,936295.594555
"2023-09-02T00:00:00.000Z",4.248,4.4,4.264,4.398,186936.655161
"2023-09-03T00:00:00.000Z",4.362,4.468,4.4,4.409,372515.923594
"2023-09-04T00:00:00.000Z",4.362,4.499,4.409,4.439,495988.637708
"2023-09-05T00:00:00.000Z",4.273,4.451,4.441,4.375,262462.511657
"2023-09-06T00:00:00.000Z",4.345,4.495,4.377,4.46,234809.069325
"2023-09-07T00:00:00.000Z",4.405,4.525,4.461,4.475,185903.885161
"2023-09-08T00:00:00.000Z",4.3,4.488,4.475,4.363,228667.566247
"2023-09-09T00:00:00.000Z",4.302,4.372,4.362,4.32,289593.791762
"2023-09-10T00:00:00.000Z",4.112,4.322,4.322,4.219,289782.597405
"2023-09-11T00:00:00.000Z",4.032,4.249,4.218,4.11,544133.635787
"2023-09-12T00:00:00.000Z",4.08,4.315,4.106,4.195,438471.588419
