"price","volume","time","side","orderType"
"0.54296000","46.53941820","2024-05-21T18:18:23.127Z","s","m"
"0.54296000","20.78069360","2024-05-21T18:18:23.127Z","s","m"
"0.54296000","18.00000000","2024-05-21T18:18:23.127Z","s","m"
"0.54296000","28.96135859","2024-05-21T18:18:23.127Z","s","m"
"0.54296000","57.96723719","2024-05-21T18:18:23.127Z","s","m"
"0.54296000","69.98864080","2024-05-21T18:18:23.127Z","s","m"
"0.54296000","40.02479494","2024-05-21T18:18:23.127Z","s","m"
"0.54296000","109.18357704","2024-05-21T18:18:23.127Z","s","m"
"0.54296000","52.22338399","2024-05-21T18:18:23.127Z","s","m"
"0.54296000","39.08640741","2024-05-21T18:18:23.127Z","s","m"
"0.54296000","200.23584321","2024-05-21T18:18:23.127Z","s","m"
"0.54296000","411.78141938","2024-05-21T18:18:23.127Z","s","m"
"0.54296000","78.04733745","2024-05-21T18:18:23.127Z","s","m"
"0.54296000","132.92570970","2024-05-21T18:18:23.127Z","s","m"
"0.54296000","438.52112548","2024-05-21T18:18:23.127Z","s","m"
"0.54296000","22.27248610","2024-05-21T18:18:23.127Z","s","m"
"0.54296000","66.17040415","2024-05-21T18:18:23.127Z","s","m"
"0.54296000","49.89542443","2024-05-21T18:18:23.127Z","s","m"
"0.54296000","136.90051446","2024-05-21T18:18:23.127Z","s","m"
"0.54296000","110.93184385","2024-05-21T18:18:23.127Z","s","m"
"0.54296000","367.21634534","2024-05-21T18:18:23.127Z","s","m"
"0.54296000","13.00560207","2024-05-21T18:18:23.127Z","s","m"
"0.54288000","1079.44058170","2024-05-21T18:18:23.127Z","s","m"
"0.54288000","109.77592956","2024-05-21T18:18:23.127Z","s","m"
"0.54288000","129.41525797","2024-05-21T18:18:23.127Z","s","m"
"0.54288000","19.20768635","2024-05-21T18:18:23.127Z","s","m"
"0.54284000","166.14677852","2024-05-21T18:18:23.127Z","s","m"
"0.54284000","291.57924816","2024-05-21T18:18:23.127Z","s","m"
"0.54284000","68.84687512","2024-05-21T18:18:23.127Z","s","m"
"0.54284000","210.46654825","2024-05-21T18:18:23.127Z","s","m"
"0.54284000","78.54764440","2024-05-21T18:18:23.127Z","s","m"
"0.54284000","36.17518799","2024-05-21T18:18:23.127Z","s","m"
"0.54284000","126.99265720","2024-05-21T18:18:23.127Z","s","m"
"0.54284000","421.24506036","2024-05-21T18:18:23.127Z","s","m"
"0.54284000","1062.51164998","2024-05-21T18:18:23.127Z","s","m"
"0.54284000","24.98835002","2024-05-21T18:18:23.127Z","s","m"
"0.54284000","0.12256839","2024-05-21T18:18:23.127Z","s","m"
"0.54284000","70.65588112","2024-05-21T18:18:23.127Z","s","m"
"0.54284000","30.27702756","2024-05-21T18:18:23.127Z","s","m"
"0.54284000","31.08076199","2024-05-21T18:18:23.127Z","s","m"
"0.54284000","34.61694781","2024-05-21T18:18:23.127Z","s","m"
"0.54284000","150.00000000","2024-05-21T18:18:23.127Z","s","m"
"0.54284000","24.77062348","2024-05-21T18:18:23.127Z","s","m"
"0.54284000","67.87492377","2024-05-21T18:18:23.127Z","s","m"
"0.54284000","115.41626683","2024-05-21T18:18:23.127Z","s","m"
"0.54284000","89.58294119","2024-05-21T18:18:23.127Z","s","m"
"0.54288000","12.77684702","2024-05-21T18:19:01.098Z","b","m"
"0.54281000","419.01442000","2024-05-21T18:19:38.608Z","b","l"
"0.54293000","76.34100800","2024-05-21T18:21:18.166Z","s","m"
"0.54299000","11.51034089","2024-05-21T18:21:24.892Z","b","m"
"0.54298000","736.68895150","2024-05-21T18:21:55.688Z","s","l"
"0.54298000","1087.50000000","2024-05-21T18:21:55.688Z","s","l"
"0.54298000","14.75941216","2024-05-21T18:21:55.688Z","s","l"
"0.54298000","898.73569251","2024-05-21T18:22:38.514Z","s","l"
"0.54294000","1400.00000000","2024-05-21T18:22:38.514Z","s","l"
"0.54293000","736.73644174","2024-05-21T18:22:38.514Z","s","l"
"0.54292000","4604.67943471","2024-05-21T18:22:38.514Z","s","l"
"0.54291000","736.70251952","2024-05-21T18:22:38.514Z","s","l"
"0.54287000","1473.54073419","2024-05-21T18:22:38.514Z","s","l"
"0.54287000","568.66084376","2024-05-21T18:22:38.514Z","s","l"
"0.54287000","1285.00000000","2024-05-21T18:22:38.514Z","s","l"
"0.54286000","1087.50000000","2024-05-21T18:22:38.514Z","s","l"
"0.54281000","4910.87805435","2024-05-21T18:22:38.514Z","s","l"
"0.54280000","129.21041878","2024-05-21T18:22:38.514Z","s","l"
"0.54278000","4604.35623508","2024-05-21T18:22:38.514Z","s","l"
"0.54278000","9211.81694599","2024-05-21T18:22:38.514Z","s","l"
"0.54277000","1051.99425937","2024-05-21T18:22:38.514Z","s","l"
"0.54281000","1087.50000000","2024-05-21T18:23:10.966Z","s","l"
"0.54281000","4605.60055747","2024-05-21T18:23:10.966Z","s","l"
"0.54276000","567.62475699","2024-05-21T18:23:10.966Z","s","l"
"0.54276000","1285.00000000","2024-05-21T18:23:10.966Z","s","l"
"0.54272000","31.00000000","2024-05-21T18:23:10.966Z","s","l"
"0.54271000","116.72390000","2024-05-21T18:23:10.966Z","s","l"
"0.54271000","1087.50000000","2024-05-21T18:23:10.966Z","s","l"
"0.54269000","1219.05078554","2024-05-21T18:23:10.966Z","s","l"
"0.54291000","583.53740000","2024-05-21T18:23:13.738Z","b","l"
"0.54265000","250.00000000","2024-05-21T18:23:43.463Z","b","l"
"0.54271000","172.80023000","2024-05-21T18:23:48.918Z","b","l"
"0.54298000","1087.50000000","2024-05-21T18:24:19.631Z","s","l"
"0.54298000","1656.81161083","2024-05-21T18:24:19.631Z","s","l"
"0.54297000","1400.00000000","2024-05-21T18:24:19.631Z","s","l"
"0.54297000","1087.50000000","2024-05-21T18:24:19.631Z","s","l"
"0.54296000","4604.39074701","2024-05-21T18:24:19.631Z","s","l"
"0.54287000","163.79764216","2024-05-21T18:24:19.631Z","s","l"
"0.54294000","736.75001151","2024-05-21T18:26:38.009Z","b","l"
"0.54296000","736.75001151","2024-05-21T18:26:38.009Z","b","l"
"0.54299000","64.89877184","2024-05-21T18:26:38.009Z","b","l"
"0.54299000","17.76341275","2024-05-21T18:26:38.009Z","b","l"
"0.54299000","1285.00000000","2024-05-21T18:26:38.009Z","b","l"
"0.54299000","1400.00000000","2024-05-21T18:26:38.009Z","b","l"
"0.54301000","1473.48645313","2024-05-21T18:26:38.009Z","b","l"
"0.54301000","1216.25720926","2024-05-21T18:26:38.009Z","b","l"
"0.54220000","1660.90349207","2024-05-21T18:28:46.269Z","b","l"
"0.54224000","1285.00000000","2024-05-21T18:28:46.269Z","b","l"
"0.54231000","630.63162793","2024-05-21T18:28:46.269Z","b","l"
"0.54180000","175.11997046","2024-05-21T18:31:09.569Z","s","l"
"0.54171000","89.21201851","2024-05-21T18:31:09.569Z","s","l"
"0.54117000","25.00000000","2024-05-21T18:31:13.631Z","b","l"
"0.54116000","1087.50000000","2024-05-21T18:31:16.702Z","s","m"
"0.54110000","119.30130000","2024-05-21T18:31:16.702Z","s","m"
"0.54110000","1087.50000000","2024-05-21T18:31:16.702Z","s","m"
"0.54107000","55.69404023","2024-05-21T18:31:16.702Z","s","m"
"0.54107000","1285.00000000","2024-05-21T18:31:16.702Z","s","m"
"0.54105000","1255.50945309","2024-05-21T18:31:16.702Z","s","m"
"0.54124000","18.40845000","2024-05-21T18:31:23.412Z","b","l"
"0.54090000","172.20435000","2024-05-21T18:31:34.549Z","b","l"
"0.54077000","350.00000000","2024-05-21T18:31:35.088Z","s","l"
"0.54086000","33.98228000","2024-05-21T18:31:43.414Z","b","l"
"0.54102000","110.88318456","2024-05-21T18:31:51.833Z","b","m"
"0.54111000","14.38983000","2024-05-21T18:31:55.617Z","b","l"
"0.54167000","264.33198897","2024-05-21T18:32:40.059Z","s","l"
"0.54204000","34.06826000","2024-05-21T18:32:58.403Z","b","l"
"0.54203000","250.00000000","2024-05-21T18:33:04.117Z","b","l"
"0.54235000","1.86204000","2024-05-21T18:33:17.882Z","b","l"
"0.54240000","16.78182000","2024-05-21T18:33:19.506Z","b","l"
"0.54243000","34.04370267","2024-05-21T18:35:01.108Z","b","m"
"0.54245000","1285.00000000","2024-05-21T18:35:01.108Z","b","m"
"0.54247000","1087.50000000","2024-05-21T18:35:01.108Z","b","m"
"0.54248000","1091.39512374","2024-05-21T18:35:01.108Z","b","m"
"0.54248000","1363.07692934","2024-05-21T18:35:01.108Z","b","m"
"0.54238000","89.17120000","2024-05-21T18:35:39.216Z","b","l"
"0.54226000","86.09800000","2024-05-21T18:35:47.790Z","b","l"
"0.54245000","814.82164254","2024-05-21T18:36:12.735Z","s","l"
"0.54244000","814.91929164","2024-05-21T18:36:12.735Z","s","l"
"0.54237000","1474.96704370","2024-05-21T18:36:12.735Z","s","l"
"0.54237000","1400.00000000","2024-05-21T18:36:12.735Z","s","l"
"0.54234000","36.23516623","2024-05-21T18:36:12.735Z","s","l"
"0.54233000","839.32580680","2024-05-21T18:36:12.735Z","s","l"
"0.54246000","10.08978317","2024-05-21T18:36:27.891Z","b","l"
"0.54249000","368.14651683","2024-05-21T18:36:27.891Z","b","l"
"0.54256000","273.42887600","2024-05-21T18:36:35.440Z","s","m"
"0.54256000","737.23885617","2024-05-21T18:36:48.868Z","s","l"
"0.54251000","2878.27910383","2024-05-21T18:36:48.868Z","s","l"
"0.54253000","1805.32297436","2024-05-21T18:38:07.325Z","s","l"
"0.54234000","37.78453600","2024-05-21T18:38:12.994Z","s","m"
"0.54230000","92.73590700","2024-05-21T18:38:16.907Z","s","m"
"0.54230000","87.41194200","2024-05-21T18:38:17.507Z","s","m"
"0.54227000","16.44511000","2024-05-21T18:38:31.582Z","b","l"
"0.54220000","490.00000000","2024-05-21T18:38:57.752Z","s","m"
"0.54217000","134.41487000","2024-05-21T18:40:18.272Z","s","l"
"0.54198000","38.00000000","2024-05-21T18:41:18.989Z","s","l"
"0.54190000","51.76428000","2024-05-21T18:41:18.989Z","s","l"
"0.54212000","184.41338103","2024-05-21T18:41:53.231Z","s","m"
"0.54111000","38.06567000","2024-05-21T18:45:04.760Z","s","l"
"0.54090000","36.23516623","2024-05-21T18:46:10.234Z","s","m"
"0.54090000","36.23516623","2024-05-21T18:46:10.234Z","s","m"
"0.54090000","1087.50000000","2024-05-21T18:46:10.234Z","s","m"
"0.54089000","2069.05025946","2024-05-21T18:46:10.234Z","s","m"
"0.54075000","9.80702244","2024-05-21T18:46:28.283Z","s","m"
"0.54075000","336.64254300","2024-05-21T18:46:28.283Z","s","m"
"0.54075000","38.23594600","2024-05-21T18:46:28.283Z","s","m"
"0.54074000","1087.50000000","2024-05-21T18:46:31.947Z","s","l"
"0.54072000","1295.00000000","2024-05-21T18:46:31.947Z","s","l"
"0.54066000","1400.00000000","2024-05-21T18:46:31.947Z","s","l"
"0.54065000","52.43688154","2024-05-21T18:46:31.947Z","s","l"
"0.54065000","1087.50000000","2024-05-21T18:46:31.947Z","s","l"
"0.54065000","36.23516623","2024-05-21T18:46:31.947Z","s","l"
"0.54064000","36.23516623","2024-05-21T18:46:31.947Z","s","l"
"0.54064000","36.23516623","2024-05-21T18:46:31.947Z","s","l"
"0.54059000","4056.62662823","2024-05-21T18:46:31.947Z","s","l"
"0.54059000","9249.04904848","2024-05-21T18:46:31.947Z","s","l"
"0.54059000","1087.50000000","2024-05-21T18:46:31.947Z","s","l"
"0.54055000","43.40688627","2024-05-21T18:46:31.947Z","s","l"
"0.54055000","3011.74580865","2024-05-21T18:46:31.947Z","s","l"
"0.54054000","1295.00000000","2024-05-21T18:46:31.947Z","s","l"
"0.54052000","1087.50000000","2024-05-21T18:46:31.947Z","s","l"
"0.54050000","310.53433998","2024-05-21T18:46:31.947Z","s","l"
"0.54050000","725.16798142","2024-05-21T18:46:31.947Z","s","l"
"0.54049000","5050.00000000","2024-05-21T18:46:31.947Z","s","l"
"0.54048000","387.66389439","2024-05-21T18:46:31.947Z","s","l"
"0.54047000","4623.96617127","2024-05-21T18:46:31.947Z","s","l"
"0.54046000","1087.50000000","2024-05-21T18:46:31.947Z","s","l"
"0.54046000","113.50200000","2024-05-21T18:46:31.947Z","s","l"
"0.54043000","1592.73711874","2024-05-21T18:46:31.947Z","s","l"
"0.54043000","9185.00000000","2024-05-21T18:46:31.947Z","s","l"
"0.54042000","9251.99760729","2024-05-21T18:46:31.947Z","s","l"
"0.54040000","1087.50000000","2024-05-21T18:46:31.947Z","s","l"
"0.54040000","277.73267665","2024-05-21T18:46:31.947Z","s","l"
"0.54036000","69.26704384","2024-05-21T18:46:31.947Z","s","l"
"0.54034000","1087.50000000","2024-05-21T18:46:31.947Z","s","l"
"0.54034000","1929.52787558","2024-05-21T18:46:31.947Z","s","l"
"0.54033000","260.49404102","2024-05-21T18:46:31.947Z","s","l"
"0.54032000","100.05238349","2024-05-21T18:46:31.947Z","s","l"
"0.54032000","9160.00000000","2024-05-21T18:46:31.947Z","s","l"
"0.54028000","1087.50000000","2024-05-21T18:46:31.947Z","s","l"
"0.54027000","18.69410757","2024-05-21T18:46:31.947Z","s","l"
"0.54021000","111.24971653","2024-05-21T18:46:31.947Z","s","l"
"0.54021000","1364.90000000","2024-05-21T18:46:31.947Z","s","l"
"0.54021000","14945.70874985","2024-05-21T18:46:31.947Z","s","l"
"0.54020000","38.00000000","2024-05-21T18:46:39.404Z","b","l"
"0.54020000","49460.00000000","2024-05-21T18:46:39.432Z","b","l"
"0.54020000","52125.00000000","2024-05-21T18:46:40.134Z","b","l"
"0.54020000","1658.00000000","2024-05-21T18:46:40.291Z","b","l"
"0.54020000","21205.00000000","2024-05-21T18:46:40.292Z","b","l"
"0.54020000","27240.00000000","2024-05-21T18:46:40.312Z","b","l"
"0.54020000","8000.00000000","2024-05-21T18:46:40.315Z","b","l"
"0.54020000","1000.00000000","2024-05-21T18:46:40.315Z","b","l"
"0.54020000","3000.00000000","2024-05-21T18:46:40.315Z","b","l"
"0.54020000","34995.00000000","2024-05-21T18:46:40.333Z","b","l"
"0.54020000","166.51000000","2024-05-21T18:46:40.379Z","b","l"
"0.54020000","115.06690000","2024-05-21T18:46:40.399Z","b","l"
"0.54020000","4626.37403308","2024-05-21T18:46:40.610Z","b","l"
"0.54020000","4626.20281273","2024-05-21T18:46:40.763Z","b","l"
"0.54020000","3700.62607802","2024-05-21T18:46:40.915Z","b","l"
"0.54020000","2774.80187213","2024-05-21T18:46:41.068Z","b","l"
"0.54020000","44960.00000000","2024-05-21T18:46:41.070Z","b","l"
"0.54020000","4627.82391138","2024-05-21T18:46:41.137Z","b","l"
"0.54020000","3699.66736660","2024-05-21T18:46:41.301Z","b","l"
"0.54020000","3699.73582951","2024-05-21T18:46:41.455Z","b","l"
"0.54020000","115.06690000","2024-05-21T18:46:41.483Z","b","l"
"0.54020000","4625.94600595","2024-05-21T18:46:41.607Z","b","l"
"0.54020000","4625.94600595","2024-05-21T18:46:41.760Z","b","l"
"0.54020000","4626.11720730","2024-05-21T18:46:41.912Z","b","l"
"0.54020000","4500.00000000","2024-05-21T18:46:42.017Z","b","l"
"0.54020000","4626.20281273","2024-05-21T18:46:42.064Z","b","l"
"0.54020000","4626.37403308","2024-05-21T18:46:42.217Z","b","l"
"0.54020000","4626.37403308","2024-05-21T18:46:42.370Z","b","l"
"0.54020000","4626.88777021","2024-05-21T18:46:42.522Z","b","l"
"0.54020000","2775.77782985","2024-05-21T18:46:42.675Z","b","l"
"0.54020000","11865.00000000","2024-05-21T18:46:43.248Z","b","l"
"0.54020000","38.00000000","2024-05-21T18:46:48.257Z","b","l"
"0.54020000","38.00000000","2024-05-21T18:46:48.257Z","b","l"
"0.54020000","38.00000000","2024-05-21T18:46:48.263Z","b","l"
"0.54019000","92.19245000","2024-05-21T18:46:49.808Z","s","l"
"0.54020000","10.00000000","2024-05-21T18:46:58.163Z","b","l"
"0.54020000","38.00000000","2024-05-21T18:47:02.508Z","b","l"
"0.54020000","38.00000000","2024-05-21T18:47:02.509Z","b","l"
"0.54020000","1658.00000000","2024-05-21T18:47:02.509Z","b","l"
"0.54020000","38.00000000","2024-05-21T18:47:02.509Z","b","l"
"0.54020000","50450.00000000","2024-05-21T18:47:02.717Z","b","l"
"0.54020000","1000.00000000","2024-05-21T18:47:02.721Z","b","l"
"0.54020000","3000.00000000","2024-05-21T18:47:02.721Z","b","l"
"0.54020000","179.96000000","2024-05-21T18:47:02.750Z","b","l"
"0.54020000","10875.00000000","2024-05-21T18:47:02.752Z","b","l"
"0.54020000","50450.00000000","2024-05-21T18:47:06.920Z","b","l"
"0.54020000","38.00000000","2024-05-21T18:47:11.194Z","b","l"
"0.54020000","1658.00000000","2024-05-21T18:47:11.207Z","b","l"
"0.54020000","49460.00000000","2024-05-21T18:47:11.238Z","b","l"
"0.54020000","3000.00000000","2024-05-21T18:47:16.392Z","b","l"
"0.54020000","1000.00000000","2024-05-21T18:47:16.393Z","b","l"
"0.54020000","49460.00000000","2024-05-21T18:47:16.394Z","b","l"
"0.54020000","38.00000000","2024-05-21T18:47:18.318Z","b","l"
"0.54020000","38.00000000","2024-05-21T18:47:18.319Z","b","l"
"0.54020000","1658.00000000","2024-05-21T18:47:18.320Z","b","l"
"0.54020000","4627.81545913","2024-05-21T18:47:18.327Z","b","l"
"0.54020000","49460.00000000","2024-05-21T18:47:19.407Z","b","l"
"0.54020000","4627.81545913","2024-05-21T18:47:19.646Z","b","l"
"0.54020000","4627.81545913","2024-05-21T18:47:20.647Z","b","l"
"0.54020000","52125.00000000","2024-05-21T18:47:20.949Z","b","l"
"0.54020000","1000.00000000","2024-05-21T18:47:21.177Z","b","l"
"0.54020000","1658.00000000","2024-05-21T18:47:21.179Z","b","l"
"0.54020000","21205.00000000","2024-05-21T18:47:21.181Z","b","l"
"0.54020000","4627.28284514","2024-05-21T18:47:21.188Z","b","l"
"0.54020000","27240.00000000","2024-05-21T18:47:21.218Z","b","l"
"0.54020000","34995.00000000","2024-05-21T18:47:21.488Z","b","l"
"0.54020000","4000.00000000","2024-05-21T18:47:21.710Z","b","l"
"0.54020000","4626.97853282","2024-05-21T18:47:21.923Z","b","l"
"0.54020000","10684.21380000","2024-05-21T18:47:21.927Z","b","l"
"0.54020000","44.27080000","2024-05-21T18:47:21.933Z","b","l"
"0.54020000","12.50900000","2024-05-21T18:47:21.950Z","b","l"
"0.54020000","34.27140000","2024-05-21T18:47:21.955Z","b","l"
"0.54020000","9255.57462851","2024-05-21T18:47:21.955Z","b","l"
"0.54020000","24.68060000","2024-05-21T18:47:21.977Z","b","l"
"0.54020000","484.57986799","2024-05-21T18:47:21.997Z","b","l"
"0.54020000","10.99920000","2024-05-21T18:47:22.005Z","b","l"
"0.54020000","198.33900000","2024-05-21T18:47:22.059Z","b","l"
"0.54020000","8000.00000000","2024-05-21T18:47:22.060Z","b","l"
"0.54020000","3000.00000000","2024-05-21T18:47:22.060Z","b","l"
"0.54020000","256.30810000","2024-05-21T18:47:22.061Z","b","l"
"0.54020000","44960.00000000","2024-05-21T18:47:22.076Z","b","l"
"0.54020000","64.51710000","2024-05-21T18:47:22.079Z","b","l"
"0.54020000","21.62360000","2024-05-21T18:47:22.089Z","b","l"
"0.54020000","61.76250000","2024-05-21T18:47:22.091Z","b","l"
"0.54020000","154.51000000","2024-05-21T18:47:22.092Z","b","l"
"0.54020000","207.65700000","2024-05-21T18:47:22.095Z","b","l"
"0.54020000","217.97240000","2024-05-21T18:47:22.095Z","b","l"
"0.54020000","14.41440000","2024-05-21T18:47:22.097Z","b","l"
"0.54020000","100.68060000","2024-05-21T18:47:22.098Z","b","l"
"0.54020000","28.79230000","2024-05-21T18:47:22.102Z","b","l"
"0.54020000","100.67820000","2024-05-21T18:47:22.103Z","b","l"
